Date,Open,Close,High,Low,Volume
16-11-20,11.7,11.7,11.8,11.7,1020
17-11-20,11.7,11.7,11.7,11.7,0
18-11-20,11.7,11.7,11.7,11.7,910
19-11-20,11.7,11.7,11.7,11.7,390
20-11-20,11.8,11.8,11.8,11.8,500
23-11-20,11.8,12.0,12.3,11.8,10750
24-11-20,12.2,12.4,12.4,12.2,12000
25-11-20,12.4,12.4,12.4,12.4,3800
26-11-20,12.35,12.35,12.35,12.35,10
27-11-20,12.35,12.35,12.35,12.35,1240
30-11-20,11.85,11.8,12.3,11.7,520
01-12-20,11.8,11.8,11.8,11.8,0
02-12-20,11.8,11.8,11.8,11.8,990
03-12-20,11.8,11.7,11.8,11.7,10010
04-12-20,11.8,12.1,12.1,11.6,7710
07-12-20,12.1,12.1,12.1,12.1,0
08-12-20,12.0,12.0,12.0,12.0,910
09-12-20,12.0,12.0,12.0,12.0,2400
10-12-20,12.4,12.0,12.4,12.0,1330
11-12-20,12.0,12.0,12.0,12.0,130
14-12-20,12.1,12.1,12.1,12.1,10
15-12-20,12.4,12.4,12.9,12.3,5870
16-12-20,12.1,12.1,12.1,12.1,1050
17-12-20,12.1,12.0,12.1,12.0,1510
18-12-20,12.0,12.1,12.1,12.0,1850
21-12-20,12.15,12.15,12.15,12.15,40
22-12-20,12.15,12.15,12.5,12.1,23820
23-12-20,12.5,12.4,12.5,12.4,830
24-12-20,12.75,12.15,12.75,12.15,120
25-12-20,12.15,12.1,12.15,12.1,1130
28-12-20,12.15,12.5,12.7,12.15,1710
29-12-20,12.5,12.95,13.0,12.3,910
30-12-20,12.5,13.0,13.0,12.5,160
31-12-20,13.0,13.5,13.8,12.1,770
04-01-21,12.6,12.6,12.6,12.6,100
05-01-21,12.2,12.0,12.2,12.0,2000
06-01-21,12.4,12.7,12.7,12.4,400
07-01-21,12.7,12.7,12.7,12.7,1000
08-01-21,12.7,12.2,12.7,12.2,6800
11-01-21,12.35,12.1,12.4,12.1,22200
12-01-21,12.5,12.9,12.9,12.5,1300
13-01-21,12.9,12.9,12.9,12.9,0
14-01-21,12.5,12.7,12.7,12.5,4300
15-01-21,12.8,12.9,12.9,12.8,17300
18-01-21,13.0,12.8,13.3,12.75,8200
19-01-21,13.0,13.1,13.1,13.0,2000
20-01-21,13.1,13.9,14.0,13.1,11600
21-01-21,13.4,14.1,14.1,13.2,3300
22-01-21,14.0,14.0,14.0,14.0,3700
25-01-21,14.0,13.8,14.0,13.8,2500
26-01-21,13.8,13.2,13.8,13.0,15200
27-01-21,13.2,13.5,13.5,13.2,2700
28-01-21,13.2,13.0,13.2,13.0,2100
29-01-21,13.9,13.8,13.9,12.5,2200
01-02-21,13.8,13.8,13.8,13.8,100
02-02-21,13.1,14.5,14.5,13.1,500
03-02-21,15.4,13.6,15.4,13.5,2800
04-02-21,13.95,14.0,14.0,13.95,500
05-02-21,13.7,13.5,13.7,13.5,600
08-02-21,13.2,13.2,13.2,13.2,100
09-02-21,13.0,13.2,13.2,12.8,3300
17-02-21,12.9,13.8,13.8,12.9,400
18-02-21,13.2,13.9,13.9,13.2,2100
19-02-21,13.9,13.9,13.9,13.9,0
22-02-21,13.2,13.1,13.5,13.1,900
23-02-21,13.2,13.2,13.2,13.2,200
24-02-21,13.2,13.2,13.9,13.2,1900
25-02-21,13.6,13.7,13.7,13.6,5000
26-02-21,13.9,13.25,14.4,13.25,1600
01-03-21,13.3,13.2,13.3,13.2,300
02-03-21,13.25,13.25,13.25,13.25,100
03-03-21,13.35,13.3,13.35,13.3,3300
04-03-21,14.2,14.2,14.2,14.15,12600
05-03-21,14.25,14.2,14.4,14.2,2100
08-03-21,14.15,14.3,14.9,14.0,18700
09-03-21,13.55,14.4,14.4,13.55,1600
