Date,Open,Close,High,Low,Volume
16-11-20,24.8,24.2,24.8,24.1,1397120
17-11-20,24.5,24.55,24.55,24.1,1187590
18-11-20,24.6,25.2,25.4,24.5,3334220
19-11-20,25.4,25.0,25.4,24.75,1745640
20-11-20,25.2,24.95,25.2,24.65,1383390
23-11-20,25.15,25.2,25.45,24.95,2480870
24-11-20,25.3,24.9,25.3,24.55,2540140
25-11-20,25.0,24.7,25.0,24.6,1247540
26-11-20,24.7,24.25,24.7,24.15,2365870
27-11-20,24.1,24.35,24.65,24.1,1159780
30-11-20,24.35,23.9,24.35,23.9,2004630
01-12-20,23.5,23.9,24.0,23.45,1383440
02-12-20,23.9,23.6,24.0,23.6,1412250
03-12-20,23.6,24.2,24.25,23.6,1585490
04-12-20,24.3,23.9,24.3,23.85,946510
07-12-20,23.85,23.95,24.1,23.85,724230
08-12-20,23.9,24.4,24.5,23.9,1552970
09-12-20,24.7,25.7,26.0,24.65,6044410
10-12-20,25.7,25.15,25.9,25.1,3365890
11-12-20,25.2,25.65,26.0,24.8,2684680
14-12-20,26.3,26.65,26.8,25.8,4444990
15-12-20,26.75,28.0,28.0,26.7,6555140
16-12-20,28.4,27.95,28.45,27.85,2818650
17-12-20,27.5,28.15,28.9,27.5,3803680
18-12-20,28.6,28.15,29.2,28.15,4128740
21-12-20,28.15,27.65,28.15,27.0,6432950
22-12-20,27.65,27.9,28.3,27.45,2842620
23-12-20,28.2,27.5,28.2,27.5,2599820
24-12-20,27.6,26.4,27.7,25.7,3017080
25-12-20,26.5,27.3,27.45,25.8,2343000
28-12-20,27.75,26.95,27.75,26.65,2452920
29-12-20,26.75,26.95,27.5,26.6,2823000
30-12-20,26.95,26.9,27.1,26.75,1702500
31-12-20,26.8,27.3,27.35,26.75,1841500
04-01-21,27.4,28.0,28.5,27.25,4106700
05-01-21,28.0,28.15,28.4,27.7,2306600
06-01-21,28.6,27.9,28.7,27.85,2786700
07-01-21,28.3,28.15,28.5,27.8,3223500
08-01-21,28.25,28.2,28.9,27.9,3432900
11-01-21,28.5,29.35,29.5,28.0,4442400
12-01-21,29.5,29.3,29.5,29.0,2702300
13-01-21,29.3,29.4,29.95,28.8,4388500
14-01-21,29.4,29.1,29.4,28.85,2273400
15-01-21,29.35,29.05,29.35,28.9,2278400
18-01-21,29.05,29.9,30.5,28.95,5250000
19-01-21,29.9,27.85,29.9,27.85,2534000
20-01-21,27.6,27.3,28.0,25.95,3279200
21-01-21,27.6,27.4,27.8,26.85,2477700
22-01-21,27.3,26.85,27.4,26.75,2281200
25-01-21,26.4,26.35,26.85,26.2,1984700
26-01-21,26.3,25.05,26.3,24.8,2504400
27-01-21,24.65,23.4,25.2,23.3,2577400
28-01-21,21.9,21.8,22.7,21.8,3488700
29-01-21,20.45,22.8,23.15,20.45,2185300
01-02-21,23.0,22.3,23.35,21.9,1360600
02-02-21,22.5,22.8,23.0,21.9,1099300
03-02-21,23.6,23.55,24.1,23.1,1465300
04-02-21,23.7,23.55,24.0,23.3,1192900
05-02-21,23.6,23.8,23.95,23.4,1190200
08-02-21,23.8,23.45,24.1,22.75,1542800
09-02-21,23.4,23.6,23.65,23.1,978900
17-02-21,23.8,25.25,25.25,23.6,2991100
18-02-21,25.25,25.2,25.9,24.9,1171300
19-02-21,24.8,25.0,25.3,24.7,1171200
22-02-21,25.0,24.7,25.15,24.5,1839500
23-02-21,24.7,24.8,25.1,24.7,1722800
24-02-21,24.9,25.15,25.9,24.9,2192300
25-02-21,25.3,25.2,25.35,24.9,1059600
26-02-21,24.6,25.2,25.2,24.6,1247300
01-03-21,26.2,26.95,26.95,25.8,4501000
02-03-21,28.3,27.35,28.3,27.1,2378900
03-03-21,27.0,26.85,27.35,26.75,1704800
04-03-21,26.9,25.8,27.0,25.3,1984900
05-03-21,25.3,25.8,25.85,24.95,2030900
08-03-21,26.0,25.75,26.2,25.65,1040700
09-03-21,25.75,25.75,26.4,25.3,967900
10-03-21,25.8,25.75,26.0,25.6,913800
11-03-21,25.65,25.85,25.95,25.65,896200
12-03-21,25.85,26.0,26.45,25.85,1070700
15-03-21,25.0,25.1,25.45,24.9,2378200
16-03-21,25.0,24.5,25.1,24.1,1559400
17-03-21,24.0,23.8,24.35,23.7,2132700
18-03-21,23.8,24.1,24.2,23.8,1225100
19-03-21,24.1,24.7,24.95,24.1,1065300
22-03-21,24.7,24.15,24.7,24.05,679300
23-03-21,24.05,23.75,24.1,23.65,1098700
24-03-21,23.2,22.65,23.6,22.6,1080000
25-03-21,22.7,22.45,22.9,22.3,1235100
26-03-21,22.3,21.95,22.45,21.35,938200
29-03-21,22.3,22.5,22.5,21.95,944300
30-03-21,22.5,22.7,22.8,22.4,555100
31-03-21,22.7,22.2,22.7,22.0,871900
01-04-21,22.3,22.5,22.8,22.1,656200
02-04-21,23.0,22.75,23.0,22.6,666700
05-04-21,22.95,22.65,23.0,22.5,497000
06-04-21,22.6,22.35,22.65,22.3,523300
07-04-21,22.3,22.3,22.5,22.05,645100
08-04-21,22.3,22.2,22.35,22.1,571500
09-04-21,22.2,22.3,22.45,22.2,598200
12-04-21,22.4,22.2,22.4,22.15,783100
13-04-21,22.2,22.1,22.3,22.0,913000
14-04-21,21.9,21.85,21.95,21.65,761700
15-04-21,21.85,21.4,21.9,21.35,1010600
16-04-21,21.1,20.4,21.3,20.0,1032900
19-04-21,20.2,20.5,20.5,19.6,1730700
20-04-21,20.5,20.75,21.0,20.4,817100
22-04-21,20.75,19.8,20.75,19.5,432000
23-04-21,19.5,20.0,20.1,19.5,751800
26-04-21,20.0,19.1,20.0,19.1,564600
27-04-21,18.8,18.85,19.1,18.8,469200
28-04-21,18.85,18.75,19.0,18.7,399200
29-04-21,18.75,18.3,18.75,18.15,769300
04-05-21,17.5,17.1,18.0,17.1,1079200
05-05-21,17.1,18.25,18.25,17.1,769300
06-05-21,18.7,18.2,18.7,18.15,537400
07-05-21,17.7,17.55,18.4,17.4,487600
10-05-21,17.25,18.55,18.55,17.0,803500
11-05-21,18.7,18.2,18.75,18.05,448900
12-05-21,18.1,18.25,18.35,17.95,444100
13-05-21,18.15,17.9,18.2,17.9,582400
14-05-21,17.9,17.7,18.1,17.7,468400
17-05-21,17.7,17.4,17.8,17.15,659000
18-05-21,17.5,17.3,17.5,17.2,506500
19-05-21,17.2,17.0,17.3,16.95,622200
20-05-21,17.0,16.65,17.1,16.6,770300
21-05-21,16.65,17.2,17.35,16.6,476900
24-05-21,17.3,17.9,18.0,17.3,597800
25-05-21,17.9,17.5,17.9,17.4,441400
26-05-21,17.35,17.3,17.6,17.1,568100
27-05-21,17.2,16.95,17.3,16.95,516700
28-05-21,17.0,16.95,17.1,16.9,538700
31-05-21,16.95,16.85,17.0,16.7,464900
01-06-21,16.65,16.65,16.85,16.6,539200
02-06-21,17.1,17.8,17.8,17.1,860200
03-06-21,19.0,19.0,19.0,18.8,679600
04-06-21,20.3,19.85,20.3,19.5,3040000
07-06-21,19.2,19.3,19.9,18.8,956200
08-06-21,19.0,19.05,19.85,19.0,671000
09-06-21,19.0,18.55,19.0,18.2,764800
10-06-21,18.9,19.3,19.5,18.1,825300
11-06-21,19.3,19.15,19.45,19.0,403400
14-06-21,19.05,18.85,19.15,18.8,448100
15-06-21,18.75,18.65,18.9,18.4,344400
16-06-21,18.55,18.8,19.2,18.5,597600
17-06-21,18.65,18.85,18.95,18.55,391100
18-06-21,18.85,19.15,19.4,18.8,851100
21-06-21,19.15,19.2,19.6,19.1,524700
22-06-21,19.45,19.0,19.45,18.9,455600
23-06-21,18.9,18.75,19.0,18.65,320800
24-06-21,18.75,18.5,19.0,18.5,260900
25-06-21,18.5,18.65,18.75,18.5,245500
28-06-21,18.6,18.6,18.85,18.55,197400
29-06-21,18.55,18.65,18.95,18.55,341500
30-06-21,18.65,18.55,18.75,18.5,173900
01-07-21,18.55,18.55,18.65,18.5,318400
02-07-21,18.55,18.2,18.7,18.2,559300
05-07-21,18.2,17.7,18.2,17.6,657900
06-07-21,17.9,17.5,18.1,17.5,358400
07-07-21,17.1,17.4,17.5,16.9,510600
08-07-21,17.4,17.1,17.45,17.05,347900
09-07-21,17.0,16.85,17.2,16.8,384600
12-07-21,16.85,16.05,16.85,15.7,468400
13-07-21,16.05,16.3,16.5,16.05,198800
14-07-21,16.4,16.25,16.5,16.2,199900
15-07-21,16.0,16.5,16.6,16.0,285200
16-07-21,16.6,16.5,16.75,16.4,185900
19-07-21,15.5,15.65,16.3,15.5,343000
20-07-21,15.65,15.8,15.85,15.3,267200
21-07-21,16.0,15.95,16.3,15.9,150300
22-07-21,16.1,16.5,16.6,15.95,236700
23-07-21,16.4,16.35,16.75,16.2,255300
26-07-21,16.8,16.75,16.9,16.35,592600
27-07-21,16.9,16.8,17.05,16.7,210300
28-07-21,16.8,16.45,16.8,16.45,131600
29-07-21,16.4,16.5,16.65,16.4,214100
30-07-21,16.5,16.5,16.6,16.35,253000
02-08-21,16.45,16.55,16.75,16.4,258300
03-08-21,16.5,16.55,16.65,16.35,158000
04-08-21,16.35,16.45,16.55,16.35,216800
05-08-21,16.4,16.55,16.75,16.25,563700
06-08-21,16.8,17.7,17.7,16.55,1770600
09-08-21,18.1,18.9,18.9,18.1,1829200
10-08-21,18.9,18.55,19.3,18.55,881400
11-08-21,18.35,18.05,18.4,18.0,980800
12-08-21,18.05,18.4,19.0,18.05,1138500
13-08-21,18.4,18.45,18.6,18.0,561300
16-08-21,18.5,18.75,18.9,18.3,1016700
17-08-21,18.7,19.0,19.55,18.7,1640700
18-08-21,19.1,19.0,19.3,19.0,883100
19-08-21,19.0,18.5,19.0,18.45,775900
20-08-21,18.35,17.7,18.8,17.5,1519200
23-08-21,17.35,17.4,17.7,17.3,605800
24-08-21,17.75,17.25,17.75,17.05,367900
25-08-21,17.2,17.5,17.5,17.05,188500
26-08-21,17.6,17.4,17.6,17.4,304700
27-08-21,17.3,17.55,17.65,17.2,261500
30-08-21,17.6,18.15,18.2,17.5,1000000
31-08-21,18.55,18.2,18.7,18.15,821700
01-09-21,18.1,18.15,18.35,18.1,601300
06-09-21,18.45,19.2,19.35,18.1,2077400
07-09-21,19.3,18.95,19.7,18.85,2910400
08-09-21,18.85,18.7,19.0,18.5,671600
09-09-21,18.7,18.55,18.7,18.3,746100
10-09-21,18.55,19.15,19.4,18.55,1303300
13-09-21,19.15,19.95,20.2,19.15,3564200
14-09-21,20.35,19.7,20.35,19.5,1346000
15-09-21,19.6,20.0,20.35,19.3,1802500
16-09-21,20.0,19.7,20.15,19.6,773900
17-09-21,19.7,20.05,20.5,19.6,1788900
20-09-21,20.1,19.75,20.15,19.65,1344600
21-09-21,19.5,19.5,19.6,18.9,1284400
22-09-21,19.4,19.8,20.0,19.0,1226500
23-09-21,20.0,19.2,20.0,19.2,1118700
24-09-21,19.15,18.95,19.4,18.95,835800
27-09-21,18.95,18.15,18.95,18.15,1471600
28-09-21,17.9,18.5,18.75,17.8,1217000
29-09-21,18.5,18.45,18.5,18.2,431700
30-09-21,18.3,18.45,18.75,18.3,325900
01-10-21,18.5,18.35,18.65,18.2,422300
04-10-21,18.6,18.95,19.2,18.4,711000
05-10-21,19.2,18.8,19.2,18.75,436500
06-10-21,18.9,18.8,19.1,18.7,349100
07-10-21,18.85,19.35,19.5,18.75,1160600
08-10-21,19.5,19.2,19.55,19.2,543300
11-10-21,19.35,19.05,19.4,19.0,482800
12-10-21,19.05,19.2,19.35,18.9,650600
13-10-21,19.3,19.0,19.5,18.95,690100
14-10-21,19.0,19.05,19.2,19.0,765900
15-10-21,19.15,18.75,19.15,18.7,907600
18-10-21,18.75,18.55,18.95,18.45,959200
19-10-21,18.5,18.55,18.6,18.35,459500
20-10-21,18.55,18.5,19.05,18.4,375600
21-10-21,18.5,18.5,18.6,18.4,317500
22-10-21,18.5,18.8,18.9,18.5,592500
25-10-21,19.0,19.6,19.65,18.85,2205000
26-10-21,19.9,19.7,19.9,19.45,1223100
27-10-21,19.7,19.5,19.75,19.4,1093300
28-10-21,19.5,20.0,20.25,19.15,3013800
29-10-21,20.2,20.9,20.95,20.15,2979800
01-11-21,21.05,21.0,21.6,20.75,2065600
02-11-21,20.9,21.25,21.5,20.65,2340400
03-11-21,21.4,20.1,21.4,20.1,2819700
04-11-21,20.1,20.7,21.05,20.0,1731000
05-11-21,20.75,20.75,21.0,20.65,965000
08-11-21,20.85,21.9,22.0,20.85,3525700
09-11-21,22.0,21.75,22.2,21.5,2233400
10-11-21,21.75,22.65,22.8,21.55,2137100
11-11-21,22.45,22.1,22.85,21.8,1802700
12-11-21,22.1,21.95,22.2,21.6,1304000
15-11-21,21.95,22.5,23.0,21.7,2987700
16-11-21,22.6,21.8,22.6,21.75,1533400
17-11-21,21.9,21.8,22.15,21.7,1171100
18-11-21,22.1,21.9,22.15,21.6,1390900
19-11-21,22.15,20.7,22.15,20.4,2975500
22-11-21,20.7,19.5,20.95,19.5,1755600
23-11-21,19.3,20.3,20.3,19.3,765800
24-11-21,20.4,20.2,20.75,20.1,830900
25-11-21,20.5,20.45,20.75,20.15,848000
26-11-21,20.5,20.15,20.55,20.0,761000
29-11-21,19.4,19.9,20.2,19.4,782800
30-11-21,20.5,20.8,21.0,20.5,1427100
01-12-21,20.8,21.55,21.55,20.8,1580800
02-12-21,21.55,21.55,21.75,21.25,1006700
03-12-21,21.4,20.5,21.4,20.5,946500
06-12-21,20.0,19.6,20.5,19.2,907800
07-12-21,19.75,20.25,20.25,19.7,494700
08-12-21,20.3,20.25,20.45,20.1,427000
09-12-21,20.2,20.55,20.6,20.05,442300
10-12-21,20.15,20.15,20.5,20.0,563300
13-12-21,20.45,20.3,20.5,20.05,550400
14-12-21,20.2,20.2,20.35,20.15,660500
15-12-21,20.15,20.6,21.1,20.15,922500
16-12-21,20.65,20.8,20.95,20.6,786800
17-12-21,21.0,20.75,21.0,20.7,941100
20-12-21,20.75,21.35,21.45,20.7,1823900
21-12-21,21.45,21.65,21.75,21.3,1436800
22-12-21,21.8,21.5,21.85,21.15,1544300
23-12-21,21.2,20.6,21.4,20.2,1402800
24-12-21,21.0,20.35,21.0,20.2,789200
27-12-21,20.4,20.4,20.6,20.25,493900
28-12-21,20.6,20.0,20.6,20.0,1086000
29-12-21,19.8,20.3,20.5,19.8,994100
30-12-21,20.15,20.1,20.5,20.05,486000
31-12-21,20.1,20.0,20.25,19.95,576900
04-01-22,20.2,20.2,20.4,20.1,555600
05-01-22,20.3,20.1,20.4,19.95,944200
06-01-22,20.2,20.1,20.25,19.95,1182300
07-01-22,20.15,20.0,20.2,19.95,747400
10-01-22,20.0,19.4,20.0,19.4,1551200
11-01-22,19.4,19.5,19.8,19.35,859800
12-01-22,19.3,19.4,19.4,18.8,858100
13-01-22,19.4,19.0,19.6,18.9,703400
14-01-22,18.85,19.2,19.2,18.6,562900
17-01-22,19.15,18.0,19.15,18.0,695300
18-01-22,17.8,18.0,18.5,17.8,522800
19-01-22,18.0,17.85,18.2,17.8,312700
20-01-22,17.8,18.6,18.75,17.8,328100
21-01-22,18.5,18.45,18.5,18.2,331600
24-01-22,18.45,17.5,18.45,17.5,482300
25-01-22,17.5,17.7,17.95,17.35,265900
26-01-22,17.7,17.7,18.0,17.4,402900
27-01-22,18.0,17.9,18.2,17.7,267000
28-01-22,17.9,18.0,18.0,17.8,162400
07-02-22,18.5,18.45,18.6,18.3,219900
08-02-22,18.45,18.4,18.5,18.25,198900
09-02-22,18.4,18.45,18.5,18.3,408300
10-02-22,18.5,18.35,18.5,18.25,270700
11-02-22,18.4,18.2,18.5,18.15,430200
14-02-22,18.0,18.35,18.35,18.0,285900
15-02-22,18.3,18.35,18.5,18.2,271000
16-02-22,18.35,18.7,19.0,18.25,405600
17-02-22,19.2,18.9,19.2,18.55,492700
18-02-22,18.9,18.9,18.95,18.65,542800
21-02-22,18.9,18.65,18.95,18.6,400000
22-02-22,18.5,18.4,18.6,18.25,691100
23-02-22,18.85,18.6,18.85,18.4,461600
24-02-22,18.5,18.15,18.6,17.8,524300
25-02-22,18.3,18.3,18.4,18.2,307700
28-02-22,18.4,18.2,18.45,18.1,488100
