Date,Open,Close,High,Low,Volume
16-11-20,16.95,16.75,16.95,16.45,6529880
17-11-20,16.9,17.9,17.9,16.6,6667140
18-11-20,17.9,19.0,19.0,17.85,5218420
19-11-20,19.0,19.3,19.3,18.5,5577100
20-11-20,19.3,19.0,19.35,18.65,2787350
23-11-20,18.65,18.5,18.9,18.35,4154160
24-11-20,18.5,18.3,18.65,17.8,5685550
25-11-20,18.7,18.9,19.0,18.4,3225870
26-11-20,19.1,19.4,19.5,18.95,5644050
27-11-20,19.3,19.05,19.4,19.05,2977160
30-11-20,19.2,18.6,19.2,18.6,3181380
01-12-20,18.1,18.65,18.75,18.1,3758590
02-12-20,18.7,18.8,19.1,18.5,3181530
03-12-20,18.8,18.75,18.95,18.6,2618260
04-12-20,19.0,20.05,20.05,18.75,6208970
07-12-20,20.5,20.3,21.05,20.3,4335970
08-12-20,20.45,20.3,20.65,20.1,3509780
09-12-20,20.1,20.45,21.3,20.1,5111400
10-12-20,20.4,19.95,20.8,19.9,3775710
11-12-20,20.1,20.9,21.0,19.9,4719070
14-12-20,21.0,22.35,22.35,21.0,5534040
15-12-20,22.5,23.25,23.75,22.15,4905500
16-12-20,23.25,23.3,23.75,23.1,3528920
17-12-20,23.0,24.0,24.65,22.8,4909320
18-12-20,24.9,25.35,25.35,24.3,3881450
21-12-20,26.2,27.1,27.1,26.1,3351680
22-12-20,28.95,28.95,28.95,28.6,1853210
23-12-20,30.95,27.6,30.95,26.95,3522880
24-12-20,29.0,27.2,29.0,25.7,9525620
25-12-20,28.0,29.1,29.1,27.55,5589590
28-12-20,30.45,30.45,31.1,29.2,4610970
29-12-20,29.9,29.5,30.8,28.9,7712850
30-12-20,29.4,28.5,30.1,28.1,5020230
31-12-20,28.8,29.95,30.0,28.0,4707730
04-01-21,30.05,29.45,31.55,29.45,7353500
05-01-21,29.8,29.5,30.25,29.1,5766300
06-01-21,29.7,28.75,29.75,28.5,6482500
07-01-21,28.9,28.3,29.0,28.1,6324200
08-01-21,28.5,29.0,30.0,27.9,6681900
11-01-21,29.65,29.35,29.95,28.5,5430200
12-01-21,29.4,29.8,29.85,29.0,3876400
13-01-21,30.5,31.85,31.85,30.5,15851200
14-01-21,32.5,32.65,33.9,32.4,7396400
15-01-21,32.5,32.4,32.95,31.9,5477800
18-01-21,32.2,33.3,34.2,31.85,7199300
19-01-21,33.3,31.7,33.95,31.0,5926700
20-01-21,32.0,31.0,32.0,29.5,5355900
21-01-21,31.45,31.85,31.9,30.3,5031100
22-01-21,31.9,32.1,33.2,31.2,6470800
25-01-21,31.55,32.45,32.95,31.55,4896700
26-01-21,32.45,30.2,32.45,30.2,5595300
27-01-21,28.8,28.1,29.8,28.1,5670400
28-01-21,26.15,26.15,26.15,26.15,501600
29-01-21,24.35,24.4,26.15,24.35,12775800
01-02-21,24.0,22.7,25.8,22.7,5967800
02-02-21,22.8,23.4,23.85,21.6,6277200
03-02-21,24.1,25.0,25.0,23.4,3765800
04-02-21,25.3,25.45,26.3,24.9,4257800
05-02-21,25.45,25.7,26.0,25.05,3434800
08-02-21,25.7,23.95,25.9,23.95,5368300
09-02-21,23.9,24.05,24.8,23.2,3756400
17-02-21,25.05,25.7,25.7,25.0,1392600
18-02-21,27.45,27.45,27.45,27.45,3278500
19-02-21,28.1,28.1,29.0,27.55,8269200
22-02-21,28.2,27.95,28.45,27.5,4211000
23-02-21,27.85,29.9,29.9,27.1,8396300
24-02-21,30.2,28.8,30.7,28.5,4418300
25-02-21,29.2,28.9,29.2,28.3,3505700
26-02-21,27.8,28.85,29.0,27.8,4192500
01-03-21,29.6,29.5,30.1,29.1,3977200
02-03-21,29.9,29.9,30.7,29.25,5624500
03-03-21,29.8,29.6,30.1,29.5,2908600
04-03-21,29.6,28.75,29.7,28.1,4337000
05-03-21,28.3,29.05,29.5,28.0,3738100
08-03-21,29.5,29.4,30.0,28.8,3627300
09-03-21,28.2,28.7,29.3,28.2,2056200
10-03-21,28.8,29.0,29.3,28.5,2563700
11-03-21,29.5,29.5,29.95,29.25,5317600
12-03-21,29.8,30.9,31.4,29.6,8710200
15-03-21,30.9,30.3,31.0,30.25,2472900
16-03-21,30.15,29.45,30.3,29.2,4671800
17-03-21,29.6,29.7,29.8,29.1,2819700
18-03-21,30.0,30.7,30.9,29.7,3849200
19-03-21,30.3,30.0,30.6,29.9,3339800
22-03-21,30.5,29.7,30.5,29.6,3121400
23-03-21,29.7,29.35,30.0,29.0,4188700
24-03-21,28.55,28.15,29.25,27.95,3693600
25-03-21,28.25,27.6,28.6,27.35,4806600
26-03-21,27.0,27.3,27.5,25.7,5217700
29-03-21,27.7,27.85,27.9,27.4,1674300
30-03-21,27.85,28.2,28.35,27.7,2115700
31-03-21,28.2,27.8,28.3,27.75,2056900
01-04-21,27.8,28.45,28.5,27.75,2484100
02-04-21,28.7,28.3,29.0,28.15,2241800
05-04-21,28.4,28.3,28.5,28.1,2056700
06-04-21,28.1,27.9,28.3,27.9,2365500
07-04-21,27.7,28.0,28.0,27.45,2634700
08-04-21,28.3,28.4,28.7,27.9,3152300
09-04-21,28.4,28.5,28.95,28.4,2944000
12-04-21,28.6,28.4,28.7,28.35,2902600
13-04-21,28.4,27.55,28.4,27.45,4556700
14-04-21,27.1,27.35,27.55,26.9,3282300
15-04-21,27.35,26.65,27.5,26.6,3301600
16-04-21,26.5,25.5,26.5,24.9,5099800
19-04-21,25.1,26.0,26.2,25.1,2739500
20-04-21,26.1,25.2,26.25,25.0,2655600
22-04-21,25.05,23.45,25.2,23.45,4710300
23-04-21,23.3,24.25,24.25,22.8,3554300
26-04-21,24.25,23.7,25.35,23.65,2796700
27-04-21,23.7,23.4,24.05,22.7,1511800
28-04-21,24.1,25.0,25.0,24.1,3108300
29-04-21,26.0,25.75,26.3,25.2,3166900
04-05-21,24.8,25.25,25.45,24.1,2156600
05-05-21,25.0,25.25,25.55,25.0,3182300
06-05-21,25.2,25.3,25.9,25.0,2554200
07-05-21,25.3,24.8,25.55,24.7,2869700
10-05-21,24.5,24.65,24.95,24.05,2429700
11-05-21,25.0,25.25,25.7,24.8,2824000
12-05-21,25.5,27.0,27.0,25.4,6321300
13-05-21,27.0,26.5,27.85,26.5,5598900
14-05-21,26.5,26.3,27.0,26.05,2819600
17-05-21,26.3,25.35,26.3,25.3,3533900
18-05-21,25.3,24.8,25.5,24.7,3064400
19-05-21,24.8,25.35,25.7,24.8,2813000
20-05-21,25.3,24.7,25.3,24.4,4030800
21-05-21,24.7,25.35,26.0,24.5,3409100
24-05-21,26.15,27.1,27.1,26.15,6726600
25-05-21,27.9,27.0,27.9,26.7,5599400
26-05-21,26.8,27.45,27.8,26.6,6327300
27-05-21,27.55,27.85,28.9,27.2,6625100
28-05-21,28.0,28.75,28.8,28.0,5541400
31-05-21,28.8,28.6,29.0,28.1,4910100
01-06-21,28.45,28.35,28.7,28.0,5077400
02-06-21,28.0,27.85,28.1,27.0,5018100
03-06-21,28.3,28.5,28.8,27.55,6501800
04-06-21,28.9,29.9,30.1,28.8,9284000
07-06-21,30.7,31.4,31.6,30.3,10302900
08-06-21,30.6,29.25,31.4,29.25,5410600
09-06-21,29.0,29.3,29.9,28.0,5540700
10-06-21,28.5,28.5,29.3,28.0,4218400
11-06-21,28.8,29.15,29.55,28.4,4200500
14-06-21,29.4,29.75,30.2,29.0,5243000
15-06-21,30.0,31.8,31.8,29.8,9611200
16-06-21,32.5,32.05,32.9,31.9,7694800
17-06-21,31.35,33.95,34.0,31.2,9882200
18-06-21,33.95,34.5,35.9,33.4,8776800
21-06-21,34.2,34.5,35.3,33.9,6685400
22-06-21,35.0,34.35,35.25,34.3,5910700
23-06-21,34.2,33.5,34.5,33.1,7695500
24-06-21,33.25,34.8,35.45,33.25,5819900
25-06-21,34.8,34.95,35.2,34.5,3659300
28-06-21,35.1,36.3,36.5,34.6,6792600
29-06-21,36.0,35.7,36.95,35.6,4640000
30-06-21,35.5,35.0,35.85,35.0,3729600
01-07-21,35.1,36.4,36.85,35.0,6757400
02-07-21,36.4,36.2,36.75,36.0,3962500
05-07-21,36.1,36.3,36.6,35.6,4525200
