Date,Open,Close,High,Low,Volume
16-11-20,13.7,13.95,14.1,13.6,504350
17-11-20,13.95,14.3,14.35,13.9,1064000
18-11-20,14.3,14.25,14.3,14.15,538470
19-11-20,14.25,14.5,15.05,14.25,1052040
20-11-20,14.55,14.35,14.55,14.15,430940
23-11-20,14.35,14.2,14.35,14.05,264360
24-11-20,14.1,14.15,14.3,13.95,604520
25-11-20,14.2,14.0,14.25,13.95,474560
26-11-20,13.95,14.2,14.25,13.9,271960
27-11-20,14.25,14.9,14.95,14.25,1508580
30-11-20,15.0,15.75,15.8,15.0,2142910
01-12-20,15.5,16.6,16.6,15.45,1885930
02-12-20,16.6,16.9,17.3,16.4,1872390
03-12-20,16.8,16.6,17.0,16.5,1310520
04-12-20,16.6,17.0,17.6,16.35,1290500
07-12-20,17.0,17.0,17.25,16.65,756620
08-12-20,17.0,17.6,17.65,16.75,1394480
09-12-20,17.8,17.45,17.9,17.2,913500
10-12-20,17.65,16.9,17.65,16.8,1453980
11-12-20,16.9,17.2,17.2,16.6,990840
14-12-20,17.3,17.1,17.4,16.95,860200
15-12-20,17.1,17.1,17.2,16.9,960920
16-12-20,17.2,18.25,18.25,17.2,2800110
17-12-20,18.0,18.15,18.7,17.95,1071720
18-12-20,18.3,18.8,18.9,17.8,1008440
21-12-20,18.8,18.85,19.0,18.15,1565330
22-12-20,18.85,18.3,18.85,18.2,1144810
23-12-20,18.3,18.25,18.95,18.15,1091340
24-12-20,18.25,17.5,18.35,17.0,1437470
25-12-20,17.5,17.85,17.95,17.3,576470
28-12-20,18.1,17.9,18.2,17.4,1102650
29-12-20,18.0,17.75,18.0,17.5,667630
30-12-20,17.6,17.75,18.1,17.6,720580
31-12-20,17.8,17.9,18.0,17.6,541230
04-01-21,18.0,18.55,18.8,17.9,1504800
05-01-21,18.6,18.45,18.8,18.25,1179900
06-01-21,18.4,18.15,18.5,18.1,893700
07-01-21,18.3,19.4,19.4,18.15,2385500
08-01-21,19.9,19.5,19.9,18.9,1115800
11-01-21,19.4,19.6,20.05,19.0,1377100
12-01-21,19.6,20.15,20.2,19.15,1460300
13-01-21,20.3,20.4,21.2,20.15,1956200
14-01-21,20.8,20.5,20.8,20.1,814900
15-01-21,20.7,20.65,21.2,20.55,1015300
18-01-21,20.8,20.25,20.85,20.0,1192700
19-01-21,20.25,18.85,20.25,18.85,1566100
20-01-21,18.6,18.5,18.7,17.55,1524300
21-01-21,18.3,18.5,19.0,17.8,1320500
22-01-21,18.5,18.45,18.8,18.3,1109100
25-01-21,18.45,18.45,18.9,18.0,808300
26-01-21,18.45,17.7,18.45,17.3,729300
27-01-21,17.4,16.6,17.75,16.5,1248100
28-01-21,15.5,15.45,15.5,15.45,1090900
29-01-21,14.4,15.5,15.95,14.4,945400
01-02-21,15.8,16.0,16.55,15.7,1449300
02-02-21,16.05,16.1,16.25,15.6,490800
03-02-21,16.3,17.2,17.2,16.25,1204300
04-02-21,18.0,17.25,18.0,17.2,1033800
05-02-21,17.55,17.8,17.85,17.35,513100
08-02-21,17.7,16.9,17.8,16.75,880700
09-02-21,16.8,17.55,17.75,16.7,825000
17-02-21,17.9,18.65,18.7,17.75,1097100
18-02-21,18.8,18.45,18.8,18.3,793100
19-02-21,18.3,18.8,18.95,18.0,1623600
22-02-21,19.0,19.5,19.9,19.0,1855900
23-02-21,19.8,19.6,19.8,19.4,1089000
24-02-21,19.6,19.0,19.8,18.8,1428500
25-02-21,19.1,20.3,20.3,18.75,3641700
26-02-21,20.45,21.7,21.7,20.4,2220000
01-03-21,23.1,22.5,23.1,22.25,2345500
02-03-21,22.5,23.95,24.0,21.8,3269200
03-03-21,23.95,25.6,25.6,23.6,3065500
04-03-21,25.6,24.8,26.8,24.5,2534400
05-03-21,24.4,25.3,25.5,23.8,2295700
08-03-21,25.6,25.35,25.9,25.0,1731900
09-03-21,25.0,24.55,25.05,24.4,1274600
10-03-21,24.4,24.2,24.9,23.85,1393800
11-03-21,25.0,24.9,25.2,24.5,850200
12-03-21,25.2,24.9,25.5,24.7,1256900
15-03-21,24.8,24.6,24.95,24.5,783400
16-03-21,24.7,25.1,25.7,24.2,1318800
17-03-21,25.4,26.2,26.4,25.35,2847600
18-03-21,26.5,26.25,26.75,25.7,899000
19-03-21,26.0,26.15,26.3,25.5,1121000
22-03-21,26.15,25.25,26.15,25.0,1769300
23-03-21,25.3,25.0,25.6,24.5,1296500
24-03-21,24.5,23.8,24.9,23.4,875200
25-03-21,23.9,23.2,24.1,23.0,1104800
26-03-21,22.8,24.1,24.1,22.1,1134900
29-03-21,24.5,24.75,25.2,24.35,859800
30-03-21,24.8,25.0,25.35,24.6,806600
31-03-21,25.0,24.9,25.0,24.45,723100
01-04-21,24.7,24.7,24.8,24.4,534900
02-04-21,24.9,24.65,25.1,24.3,1139800
05-04-21,24.7,24.3,24.8,24.3,663000
06-04-21,24.3,23.8,24.3,23.5,866500
07-04-21,23.6,24.75,24.85,23.6,1541200
08-04-21,24.75,24.55,24.9,24.3,571100
09-04-21,24.5,24.35,24.55,24.1,547400
12-04-21,24.25,25.45,25.65,24.0,2800500
13-04-21,25.5,24.5,25.6,24.4,894900
14-04-21,24.5,24.5,24.6,24.0,627800
15-04-21,24.3,24.0,24.6,24.0,711600
16-04-21,23.6,23.1,24.0,22.9,1059200
19-04-21,23.5,23.75,23.8,22.55,653900
20-04-21,23.8,23.75,24.55,23.6,886200
22-04-21,23.8,23.05,24.1,23.05,934200
23-04-21,23.05,23.55,23.65,22.7,880900
26-04-21,23.55,23.05,23.6,23.0,478900
27-04-21,23.05,23.9,23.9,22.85,634000
28-04-21,24.55,25.55,25.55,24.3,1926900
29-04-21,26.1,26.0,26.95,25.9,1916100
04-05-21,25.5,26.25,26.35,25.3,1827500
05-05-21,26.3,26.9,27.2,26.0,2806300
06-05-21,26.9,26.2,26.9,26.2,1714400
07-05-21,26.0,25.75,26.15,25.3,1631600
10-05-21,25.7,27.55,27.55,25.2,2661600
11-05-21,27.55,27.8,28.9,27.5,1591100
12-05-21,27.1,28.0,28.25,27.1,1374900
13-05-21,27.7,27.6,28.3,27.5,1103900
14-05-21,27.85,27.3,27.85,27.3,1234200
17-05-21,27.5,27.9,28.5,26.5,1747200
18-05-21,27.5,27.9,28.5,27.5,1486600
19-05-21,27.9,28.0,28.0,27.4,755700
20-05-21,28.0,28.8,28.8,27.9,1980400
21-05-21,29.0,28.6,30.0,28.45,1765900
24-05-21,28.6,28.2,29.2,28.1,1064500
25-05-21,28.2,28.2,28.7,28.05,1073400
26-05-21,28.0,26.9,28.6,26.25,4012400
27-05-21,26.65,26.45,27.5,25.7,2219600
28-05-21,26.45,27.0,27.25,26.35,843300
31-05-21,26.9,26.6,26.9,26.5,1434600
01-06-21,26.6,26.15,26.7,26.0,1351700
02-06-21,26.15,27.3,27.5,26.0,997000
03-06-21,27.5,27.6,27.95,27.5,892800
04-06-21,27.6,27.1,27.7,26.85,1032400
07-06-21,27.2,27.45,27.8,26.8,1127000
08-06-21,27.5,27.6,28.25,27.45,1620700
09-06-21,27.6,28.1,28.25,26.6,1578800
10-06-21,28.55,29.2,29.9,28.5,2822200
11-06-21,29.3,30.5,30.85,29.2,2300600
14-06-21,30.55,30.2,30.8,30.0,2291200
15-06-21,30.2,30.0,30.35,29.1,2186000
16-06-21,30.2,29.95,30.5,29.6,1551400
17-06-21,29.8,31.0,31.6,29.6,1589300
18-06-21,31.5,31.1,31.7,30.6,1865900
21-06-21,30.6,30.5,31.3,30.5,1503100
22-06-21,30.6,30.3,30.95,30.25,1479400
23-06-21,30.3,29.7,30.35,29.35,1951900
24-06-21,29.7,29.65,30.1,29.5,769700
25-06-21,29.65,30.95,31.35,29.65,1450100
28-06-21,31.0,30.7,31.1,30.4,1014800
29-06-21,30.7,30.4,30.7,29.75,797300
30-06-21,30.5,30.5,31.4,30.5,1036200
01-07-21,30.4,32.1,32.25,30.4,1967400
02-07-21,32.5,33.5,33.5,32.2,1711900
05-07-21,33.5,35.25,35.8,32.0,2107700
06-07-21,34.9,33.5,36.75,33.5,2451300
07-07-21,33.5,34.15,34.3,32.5,1800500
08-07-21,34.15,34.6,35.75,34.0,1180400
09-07-21,34.7,35.9,36.6,34.2,1457600
12-07-21,36.0,35.5,36.3,33.4,2077100
13-07-21,35.9,35.5,36.0,34.25,1143200
14-07-21,35.4,34.8,35.7,33.8,1149800
15-07-21,34.5,35.9,35.9,34.5,907400
16-07-21,36.1,38.4,38.4,36.1,2596200
19-07-21,38.0,38.8,40.0,37.5,1790100
20-07-21,39.45,38.55,39.5,37.5,1487400
21-07-21,38.2,39.5,39.5,38.15,1275400
22-07-21,39.45,39.55,40.8,39.1,1561500
23-07-21,39.4,39.4,40.1,39.0,1251700
26-07-21,39.0,41.55,41.85,38.8,2173600
27-07-21,41.85,41.65,42.45,41.4,1342900
28-07-21,41.2,41.5,42.1,41.1,796400
29-07-21,42.45,42.15,42.5,41.7,1603100
30-07-21,42.3,44.15,44.5,42.3,1804900
02-08-21,44.3,47.2,47.2,44.25,2497600
03-08-21,47.8,49.0,49.9,47.5,2425000
04-08-21,49.7,48.8,50.5,48.05,2221200
05-08-21,48.0,48.75,49.5,48.0,1410600
06-08-21,48.55,52.0,52.1,48.45,2966300
09-08-21,51.6,55.6,55.6,51.6,1825900
10-08-21,56.6,59.4,59.4,55.6,2622000
11-08-21,60.2,63.5,63.5,59.8,2670400
12-08-21,63.5,59.1,63.5,59.1,3314400
13-08-21,55.0,55.5,59.0,55.0,3912700
16-08-21,58.0,57.7,59.3,57.0,2193600
17-08-21,59.0,54.8,59.5,54.0,2408500
18-08-21,54.0,53.6,56.0,51.7,2474100
19-08-21,53.1,53.3,54.4,53.0,1401500
20-08-21,53.8,55.9,56.1,53.5,2151300
23-08-21,56.0,56.0,58.0,56.0,1904100
24-08-21,56.0,54.2,56.0,53.0,1557800
25-08-21,54.2,55.4,55.5,53.2,1091900
26-08-21,56.3,59.2,59.2,55.9,4301500
27-08-21,59.8,59.1,61.6,58.2,2061400
30-08-21,59.2,59.7,61.1,58.5,1741700
31-08-21,59.7,60.0,61.7,58.9,2192000
01-09-21,60.0,64.2,64.2,59.8,4091800
06-09-21,66.0,67.2,68.6,66.0,2797000
07-09-21,67.2,67.3,68.5,66.5,2040300
08-09-21,66.0,65.6,67.0,64.1,2571300
09-09-21,65.5,68.8,70.0,65.5,1783800
10-09-21,69.7,68.4,70.0,67.7,1042400
13-09-21,68.0,71.5,72.5,66.8,2022100
14-09-21,71.5,72.3,74.2,70.9,1375700
15-09-21,71.5,70.0,72.5,69.8,1927800
16-09-21,69.4,69.3,71.9,67.5,2105000
17-09-21,68.7,69.8,71.2,67.9,1319700
20-09-21,69.9,66.7,70.7,65.4,2729700
21-09-21,64.5,68.5,68.5,64.5,2257000
22-09-21,69.0,68.2,69.0,67.0,852900
23-09-21,67.8,65.4,68.0,65.4,1831500
24-09-21,64.5,61.1,65.1,61.0,4143000
27-09-21,61.1,61.9,63.5,61.0,1734400
28-09-21,62.1,61.9,63.4,61.0,1391800
29-09-21,61.3,60.6,61.6,59.5,1727200
30-09-21,60.4,63.3,63.7,60.4,1667300
01-10-21,62.9,64.0,65.0,62.9,1176400
04-10-21,63.5,64.6,65.0,62.1,1752000
05-10-21,63.1,62.0,63.6,61.9,2230900
06-10-21,61.9,62.6,63.3,61.8,918100
07-10-21,62.7,66.3,66.4,62.7,2377900
08-10-21,68.0,70.0,70.9,67.0,3822800
11-10-21,70.5,68.5,71.5,68.0,2500600
12-10-21,68.2,70.5,71.0,67.1,2253800
13-10-21,71.0,73.0,73.3,70.5,3238700
14-10-21,73.2,72.8,73.4,71.6,1156800
15-10-21,72.6,73.0,73.3,71.5,1547400
18-10-21,72.9,73.5,75.5,72.6,1854400
19-10-21,74.1,73.5,74.3,72.1,869900
20-10-21,73.5,70.0,73.5,70.0,2601400
21-10-21,70.0,70.0,71.5,69.0,1318200
22-10-21,70.0,69.9,70.5,68.1,1203500
25-10-21,70.8,68.0,70.8,68.0,1497900
26-10-21,67.6,71.0,71.2,66.2,1679000
27-10-21,72.0,70.0,72.0,69.8,1874800
28-10-21,71.0,71.5,71.8,69.9,2030700
29-10-21,71.8,70.7,72.4,70.0,1855700
01-11-21,71.5,69.1,71.5,68.9,1645400
02-11-21,68.3,70.0,70.9,68.0,1257400
03-11-21,70.0,67.0,70.5,67.0,1617300
04-11-21,66.7,67.8,68.5,66.7,778200
05-11-21,67.4,67.9,68.9,66.5,1796100
08-11-21,69.0,70.2,70.8,68.6,1344800
09-11-21,71.0,72.5,72.8,70.5,2231100
10-11-21,73.0,71.6,73.0,71.5,1394200
11-11-21,71.5,70.7,73.0,70.0,1511600
12-11-21,70.7,69.6,70.8,69.2,1353000
15-11-21,69.5,70.6,71.5,69.5,1714000
16-11-21,70.5,75.5,75.5,69.7,4262400
17-11-21,76.9,75.7,78.6,75.6,1765600
18-11-21,76.0,75.2,76.0,74.5,1422600
19-11-21,75.0,71.0,75.7,70.0,3175700
22-11-21,70.0,67.5,70.5,67.2,2499000
23-11-21,66.8,69.3,69.6,66.8,979900
24-11-21,69.5,69.0,70.8,68.9,1329100
25-11-21,69.1,68.5,69.6,68.0,1182200
26-11-21,68.4,69.0,69.9,67.6,1294800
29-11-21,68.0,72.4,72.8,67.9,1793100
30-11-21,72.6,71.9,73.3,70.9,1039800
01-12-21,71.4,70.4,71.9,70.0,993300
02-12-21,70.0,70.3,71.8,69.8,842000
03-12-21,70.9,68.6,70.9,68.5,979600
06-12-21,68.1,65.9,68.8,65.5,1131800
07-12-21,67.0,67.8,68.3,66.2,679700
08-12-21,68.0,67.0,68.2,66.7,603600
09-12-21,67.0,69.2,69.3,67.0,926900
10-12-21,69.0,69.2,71.0,68.8,676900
13-12-21,69.9,69.2,70.4,68.2,596000
14-12-21,69.2,68.9,69.7,68.5,629900
15-12-21,69.6,72.2,73.7,69.6,3295600
16-12-21,73.0,71.8,73.4,71.0,771200
17-12-21,71.7,70.6,72.2,70.4,597300
20-12-21,70.1,68.7,70.4,68.5,1845900
21-12-21,68.0,69.4,70.3,68.0,792400
22-12-21,70.4,68.9,70.4,68.4,833200
23-12-21,69.8,67.1,69.8,66.4,1113900
24-12-21,68.5,68.4,68.8,66.7,721200
27-12-21,69.1,69.1,69.5,68.2,518900
28-12-21,69.1,68.3,69.5,68.2,462100
29-12-21,68.3,68.1,69.5,67.6,677000
30-12-21,68.0,68.5,69.0,67.5,507400
31-12-21,68.5,67.8,68.8,67.8,381900
04-01-22,68.0,67.9,68.5,67.7,580100
05-01-22,68.1,67.5,68.8,67.2,1240900
06-01-22,67.2,66.5,67.5,66.5,970100
07-01-22,66.1,69.0,69.9,64.4,1983300
10-01-22,68.9,67.0,69.0,67.0,548900
11-01-22,67.0,66.2,67.2,65.5,389700
12-01-22,66.0,64.5,67.0,64.0,746400
13-01-22,66.2,64.4,66.2,64.4,501000
14-01-22,63.2,64.4,64.4,62.7,602800
