Date,Open,Close,High,Low,Volume
16-11-20,2.79,2.74,2.82,2.74,2224620
17-11-20,2.76,2.74,2.77,2.74,1174740
18-11-20,2.76,2.76,2.77,2.73,1559610
19-11-20,2.74,2.78,2.78,2.73,1678670
20-11-20,2.76,2.76,2.79,2.75,1761580
23-11-20,2.75,2.75,2.8,2.75,1430200
24-11-20,2.78,2.73,2.78,2.71,2011050
25-11-20,2.72,2.71,2.75,2.71,1172680
26-11-20,2.73,2.7,2.73,2.7,1249850
27-11-20,2.69,2.72,2.77,2.69,2158120
30-11-20,2.74,2.71,2.74,2.7,946370
01-12-20,2.68,2.68,2.71,2.65,2088210
02-12-20,2.69,2.69,2.71,2.67,1314780
03-12-20,2.7,2.71,2.73,2.67,1509710
04-12-20,2.71,2.69,2.74,2.69,1414150
07-12-20,2.71,2.71,2.72,2.69,906180
08-12-20,2.72,2.73,2.78,2.72,2695680
09-12-20,2.73,2.75,2.79,2.73,2247040
10-12-20,2.77,2.72,2.82,2.71,3404370
11-12-20,2.65,2.67,2.7,2.64,4912070
14-12-20,2.68,2.7,2.71,2.66,2462350
15-12-20,2.7,2.68,2.75,2.66,2326440
16-12-20,2.69,2.71,2.74,2.69,2091720
17-12-20,2.71,2.7,2.71,2.68,1716300
18-12-20,2.7,2.68,2.7,2.68,1433640
21-12-20,2.68,2.68,2.71,2.68,2646850
22-12-20,2.68,2.84,2.86,2.68,6521050
23-12-20,2.89,2.83,2.93,2.81,5413130
24-12-20,2.83,2.72,2.84,2.66,2522370
25-12-20,2.72,2.74,2.8,2.68,3384730
28-12-20,2.8,2.74,2.8,2.73,2658740
29-12-20,2.74,2.8,2.81,2.74,4010060
30-12-20,2.8,2.88,2.93,2.79,6440380
31-12-20,2.88,2.92,2.98,2.88,4541480
04-01-21,3.0,2.92,3.0,2.92,3427800
05-01-21,2.9,2.86,2.9,2.85,3765400
06-01-21,2.86,2.83,2.88,2.8,3408300
07-01-21,2.83,2.9,2.96,2.8,3962000
08-01-21,2.91,2.99,3.05,2.9,4661300
11-01-21,3.07,3.19,3.19,3.03,6520200
12-01-21,3.3,3.3,3.4,3.15,5272500
13-01-21,3.28,3.2,3.39,3.18,5686500
14-01-21,3.19,3.28,3.3,3.13,4750100
15-01-21,3.29,3.46,3.47,3.29,5137100
18-01-21,3.7,3.7,3.7,3.22,4745000
19-01-21,3.7,3.45,3.77,3.45,6057000
20-01-21,3.38,3.26,3.45,3.21,8232100
21-01-21,3.33,3.47,3.48,3.2,6622700
22-01-21,3.5,3.37,3.66,3.35,5331600
25-01-21,3.3,3.46,3.55,3.18,5744800
26-01-21,3.38,3.33,3.44,3.22,4722700
27-01-21,3.23,3.12,3.3,3.1,4499000
28-01-21,2.91,2.91,2.98,2.91,3321500
29-01-21,2.71,2.82,2.95,2.71,4708800
01-02-21,3.01,2.83,3.01,2.82,5676500
02-02-21,2.88,2.97,2.97,2.83,2298600
03-02-21,3.0,2.99,3.03,2.95,3274600
04-02-21,2.99,3.0,3.15,2.91,2186100
05-02-21,2.99,3.0,3.1,2.95,2790500
08-02-21,2.99,2.87,3.07,2.85,3125400
09-02-21,2.87,2.96,2.96,2.85,2134700
17-02-21,3.0,3.1,3.14,2.97,2590400
18-02-21,3.08,3.06,3.13,3.01,3535600
19-02-21,3.04,3.04,3.07,3.0,2246700
22-02-21,3.04,3.08,3.11,3.03,2655900
23-02-21,3.1,3.28,3.29,3.07,5182000
24-02-21,3.3,3.16,3.35,3.13,3130600
25-02-21,3.2,3.12,3.22,3.05,2218500
26-02-21,3.05,3.15,3.16,3.02,2576000
01-03-21,3.14,3.15,3.18,3.12,1651100
02-03-21,3.2,3.15,3.2,3.06,1696700
03-03-21,3.15,3.16,3.2,3.11,2672300
04-03-21,3.22,3.15,3.27,3.1,2568200
05-03-21,3.15,3.17,3.17,3.08,1723800
08-03-21,3.2,3.22,3.24,3.17,2483700
09-03-21,3.22,3.34,3.35,3.1,3369000
10-03-21,3.36,3.4,3.42,3.3,3143900
11-03-21,3.35,3.31,3.38,3.25,3156100
12-03-21,3.32,3.3,3.34,3.26,2451500
