Date,Open,Close,High,Low,Volume
16-11-20,5.17,5.1,5.18,5.07,193690
17-11-20,5.1,5.1,5.14,5.05,225870
18-11-20,5.08,5.45,5.45,5.07,1367280
19-11-20,5.83,5.83,5.83,5.83,490300
20-11-20,6.23,6.23,6.23,6.05,3018450
23-11-20,6.03,6.0,6.2,5.89,1363270
24-11-20,6.0,5.95,6.0,5.8,564360
25-11-20,5.81,5.69,5.85,5.66,663650
26-11-20,5.61,6.06,6.08,5.54,1134600
27-11-20,6.06,5.81,6.19,5.81,563810
30-11-20,5.8,5.89,5.91,5.8,364260
01-12-20,5.64,5.8,5.85,5.64,399810
02-12-20,5.79,5.81,6.0,5.72,571590
03-12-20,5.82,5.81,5.83,5.65,285240
04-12-20,5.77,5.88,6.1,5.77,1026560
07-12-20,5.95,6.0,6.08,5.89,604190
08-12-20,6.0,5.94,6.04,5.9,433440
09-12-20,5.93,5.99,6.01,5.91,512870
10-12-20,5.97,5.9,6.04,5.9,347160
11-12-20,5.89,5.9,5.95,5.86,230090
14-12-20,5.9,5.9,5.95,5.86,391340
15-12-20,5.86,5.82,6.0,5.82,556080
16-12-20,5.96,5.87,5.98,5.86,543830
17-12-20,5.87,5.96,5.99,5.86,459630
18-12-20,5.91,5.95,5.96,5.9,217460
21-12-20,5.95,5.94,5.99,5.9,427540
22-12-20,5.9,5.9,5.94,5.86,648570
23-12-20,6.0,6.31,6.31,6.0,1815120
24-12-20,6.5,6.3,6.6,6.0,1026660
25-12-20,6.3,6.24,6.3,6.15,718780
28-12-20,6.26,6.37,6.44,6.2,1758210
29-12-20,6.4,6.81,6.81,6.39,2510120
30-12-20,7.27,7.06,7.27,6.88,1348710
31-12-20,7.0,6.87,7.0,6.81,847430
04-01-21,6.9,7.12,7.3,6.87,1414800
05-01-21,7.12,7.22,7.59,7.0,604600
06-01-21,7.25,7.1,7.25,7.0,831600
07-01-21,7.04,7.03,7.3,6.61,1368300
08-01-21,7.09,6.99,7.16,6.98,1076400
11-01-21,7.0,6.94,7.09,6.73,736100
12-01-21,6.97,7.04,7.04,6.6,950000
13-01-21,7.1,7.36,7.5,7.04,2055400
14-01-21,7.4,7.43,7.46,7.3,932100
15-01-21,7.43,7.4,7.5,7.32,762400
18-01-21,7.33,7.28,7.35,7.25,1231400
19-01-21,7.3,6.79,7.3,6.78,1193800
20-01-21,6.79,6.82,6.95,6.32,737500
21-01-21,7.0,7.29,7.29,6.79,1472500
22-01-21,7.39,7.22,7.4,7.2,805600
25-01-21,7.1,7.22,7.37,6.95,806500
26-01-21,7.07,6.9,7.12,6.8,567200
27-01-21,6.52,6.5,6.87,6.45,967100
28-01-21,6.08,6.05,6.2,6.05,1005700
