Date,Open,Close,High,Low,Volume
16-11-20,11.25,10.9,11.25,10.9,5205440
17-11-20,10.95,11.3,11.3,10.85,6814700
18-11-20,11.3,12.05,12.05,11.3,17441730
19-11-20,12.4,12.1,12.55,12.0,11301850
20-11-20,12.15,12.25,12.4,12.05,7361110
23-11-20,12.3,12.3,12.45,12.05,8108420
24-11-20,12.3,12.75,12.95,12.2,14680090
25-11-20,12.8,12.5,12.9,12.5,6828620
26-11-20,12.4,12.45,12.5,12.15,5585500
27-11-20,12.45,12.7,12.7,12.4,6731980
30-11-20,12.85,13.2,13.5,12.65,13065360
01-12-20,13.0,13.85,13.95,12.9,14895610
02-12-20,13.85,13.55,14.15,13.45,10473790
03-12-20,13.55,13.6,13.8,13.5,6801670
04-12-20,13.6,13.95,14.25,13.5,10328580
07-12-20,14.0,14.3,14.6,13.85,10518300
08-12-20,14.35,14.3,14.5,13.95,9616610
09-12-20,14.3,13.95,14.4,13.95,9077600
10-12-20,14.0,13.4,14.1,13.4,11205690
11-12-20,13.5,14.25,14.3,13.4,14336680
14-12-20,14.25,14.35,14.55,14.2,8428180
15-12-20,14.15,14.25,14.65,14.1,8187660
16-12-20,14.3,14.35,14.45,14.15,8708350
17-12-20,14.35,14.45,14.85,14.25,9646800
18-12-20,14.65,15.1,15.3,14.35,12783950
21-12-20,15.1,15.2,15.45,15.0,8913510
22-12-20,15.2,15.35,15.5,15.0,6738520
23-12-20,15.35,15.7,16.4,15.35,12596490
24-12-20,15.8,15.65,16.3,14.7,12074580
25-12-20,15.65,16.35,16.4,15.25,9845220
28-12-20,16.6,16.55,17.0,16.25,7714680
29-12-20,16.35,16.4,16.85,16.3,7833060
30-12-20,16.45,15.9,16.55,15.85,8156110
31-12-20,16.0,16.05,16.1,15.6,7312750
04-01-21,16.15,16.75,16.95,16.15,9011700
05-01-21,16.6,16.65,16.85,16.4,6337900
06-01-21,16.65,16.75,17.25,16.55,11056500
07-01-21,16.7,17.15,17.2,16.5,8242700
08-01-21,17.2,17.0,17.4,16.85,6452800
11-01-21,17.0,16.7,17.15,16.65,9200600
12-01-21,16.75,17.3,17.55,16.5,10515200
13-01-21,17.5,17.2,17.5,17.05,5982200
14-01-21,17.1,17.0,17.25,16.85,4899500
15-01-21,17.2,17.1,17.45,17.0,6902100
18-01-21,17.15,16.95,17.25,16.95,6578600
19-01-21,16.95,15.8,16.95,15.8,5946600
20-01-21,16.0,15.0,16.0,14.7,6927500
21-01-21,15.4,16.05,16.05,15.0,5469500
22-01-21,16.45,16.7,17.15,16.4,7836400
25-01-21,16.5,17.85,17.85,16.5,16095900
26-01-21,18.3,18.9,19.05,17.7,16070900
27-01-21,18.5,18.9,19.95,18.3,11943000
28-01-21,17.6,17.6,18.4,17.6,7056200
29-01-21,16.4,16.9,18.0,16.4,11369600
01-02-21,16.75,15.75,16.75,15.75,10699400
02-02-21,14.65,15.5,16.2,14.65,14056800
03-02-21,15.9,16.2,16.4,15.1,7616000
04-02-21,16.0,15.8,16.55,15.8,6395600
05-02-21,15.8,16.15,16.45,15.7,8906500
08-02-21,16.15,15.35,16.7,15.1,7216700
09-02-21,15.5,15.75,15.95,15.25,4504600
17-02-21,16.1,16.85,16.85,15.8,6730800
18-02-21,16.85,16.85,17.35,16.6,6725900
19-02-21,16.7,17.05,17.5,16.7,5886400
22-02-21,17.1,18.0,18.2,17.0,13709700
23-02-21,18.1,17.9,18.5,17.85,7537100
24-02-21,17.9,17.3,18.0,17.1,8674000
25-02-21,17.4,17.35,17.7,17.2,8023000
26-02-21,16.85,17.7,17.9,16.7,6757500
01-03-21,17.8,18.35,18.55,17.7,8435900
02-03-21,18.5,18.0,18.5,17.8,6174200
03-03-21,18.05,18.75,18.95,17.85,10388400
04-03-21,18.9,17.7,19.0,17.5,8285000
05-03-21,17.7,17.95,18.2,17.4,6015400
08-03-21,18.25,18.45,18.85,18.05,11852300
09-03-21,18.25,18.8,19.25,18.0,12542300
10-03-21,19.0,18.7,19.15,18.6,6929600
11-03-21,19.1,18.85,19.3,18.75,7452500
12-03-21,18.75,18.4,18.95,18.3,8552800
15-03-21,18.4,18.35,18.6,18.15,7296300
16-03-21,18.3,18.1,18.55,18.05,5256600
17-03-21,18.2,18.2,18.45,18.05,3972800
18-03-21,18.5,18.3,18.6,18.2,5474300
19-03-21,18.15,18.2,18.5,18.15,4570800
22-03-21,18.25,18.35,18.6,18.1,5814100
23-03-21,18.5,18.55,19.05,18.35,8297800
24-03-21,18.45,18.2,18.9,18.15,7352000
25-03-21,18.3,17.9,18.55,17.9,4670800
26-03-21,17.7,17.3,18.0,16.65,9008300
29-03-21,17.3,17.65,17.8,17.3,4024900
30-03-21,17.7,17.7,17.8,17.55,3631700
31-03-21,17.7,17.75,18.3,17.7,5261800
01-04-21,17.95,18.1,18.2,17.9,3769300
02-04-21,18.4,18.2,18.45,18.1,3786800
05-04-21,18.4,18.1,18.65,18.1,5818000
06-04-21,18.1,18.0,18.45,18.0,4357600
07-04-21,18.45,19.25,19.25,18.2,16673900
08-04-21,19.55,19.0,19.7,19.0,6237900
09-04-21,19.0,19.0,19.4,19.0,4941200
12-04-21,19.05,19.2,19.45,18.8,8944800
13-04-21,19.2,18.4,19.35,18.4,8590600
14-04-21,18.3,18.5,18.5,17.9,5885900
15-04-21,18.6,17.95,18.6,17.9,7389400
