Date,Open,Close,High,Low,Volume
16-11-20,26.0,25.2,26.0,25.2,6750870
17-11-20,25.8,25.7,25.8,25.55,8312310
18-11-20,25.8,25.65,25.8,25.45,5909160
19-11-20,25.45,25.45,25.6,25.4,4863700
20-11-20,25.45,25.8,26.0,25.45,3751000
23-11-20,26.0,25.75,26.2,25.7,4563820
24-11-20,25.85,25.55,25.85,25.3,5290640
25-11-20,25.55,25.4,25.6,25.2,4575840
26-11-20,25.5,25.5,25.65,25.25,4176820
27-11-20,20.85,21.45,21.45,20.5,10500540
30-11-20,21.8,22.0,22.95,21.75,7093650
01-12-20,21.55,22.3,22.35,21.5,5994270
02-12-20,22.0,22.05,22.25,21.95,5158140
03-12-20,22.0,21.8,22.2,21.8,4923230
04-12-20,21.8,21.7,21.9,21.7,3959250
07-12-20,21.7,21.85,21.9,21.7,2691150
08-12-20,21.9,22.2,22.2,21.85,2911860
09-12-20,22.5,22.65,22.8,22.35,5148570
10-12-20,22.7,22.25,22.7,22.25,4914350
11-12-20,22.3,22.25,22.5,22.2,3316850
14-12-20,22.3,22.35,22.5,22.2,3219050
15-12-20,22.35,22.25,22.4,22.0,4717840
16-12-20,22.2,22.4,22.5,22.1,4559460
17-12-20,22.4,22.75,23.05,22.1,6299430
18-12-20,22.75,23.7,23.7,22.7,9509510
21-12-20,24.0,24.95,25.0,24.0,6290050
22-12-20,25.0,24.6,25.0,24.3,4163730
23-12-20,24.5,24.0,24.6,24.0,6361130
24-12-20,24.0,23.2,24.05,22.5,6630420
25-12-20,23.25,24.0,24.1,23.15,5078510
28-12-20,24.2,23.85,24.45,23.55,5670670
29-12-20,23.85,23.65,23.9,23.55,3524870
30-12-20,23.65,23.6,23.9,23.6,3005990
31-12-20,23.7,23.75,23.95,23.6,2587530
04-01-21,24.15,24.1,24.2,23.9,6829000
05-01-21,24.1,24.75,24.9,24.1,7231800
06-01-21,24.8,25.65,26.1,24.8,11331100
07-01-21,26.0,26.8,26.95,25.95,8328800
08-01-21,27.2,27.1,27.5,26.8,6924700
11-01-21,27.2,26.85,27.45,26.5,6768300
12-01-21,26.7,26.75,26.9,26.3,5101900
13-01-21,26.75,26.85,27.0,26.7,6388800
14-01-21,27.0,26.8,27.0,26.5,3675000
15-01-21,27.0,27.9,28.0,26.95,7103500
18-01-21,27.9,27.25,27.9,27.0,5150200
19-01-21,27.0,25.35,27.0,25.35,5782200
20-01-21,25.35,25.5,25.85,24.0,6660300
21-01-21,25.7,25.8,26.3,25.0,4714900
22-01-21,25.8,26.1,26.45,25.7,2937200
25-01-21,26.1,25.65,26.1,25.5,2373100
26-01-21,25.4,24.5,25.4,24.0,3770100
27-01-21,24.05,23.3,24.75,23.0,4373100
28-01-21,21.7,21.7,22.3,21.7,4508900
29-01-21,20.2,22.3,23.2,20.2,5395400
01-02-21,22.4,22.2,23.15,21.8,3380300
02-02-21,22.2,23.2,23.5,21.95,3057100
03-02-21,23.4,24.0,24.1,23.2,4470000
04-02-21,24.0,23.55,24.15,23.35,3323600
05-02-21,23.6,24.1,24.1,23.55,3084000
08-02-21,24.05,23.45,24.1,22.85,3918400
09-02-21,23.6,24.1,24.1,23.3,3156000
17-02-21,24.3,25.4,25.4,24.1,4203900
18-02-21,25.4,25.5,25.8,25.0,4632300
19-02-21,25.1,25.55,25.75,24.9,4034000
22-02-21,25.55,25.8,26.2,25.55,6535800
23-02-21,25.6,25.95,26.25,25.5,4611000
24-02-21,26.0,25.45,26.15,25.2,4438700
25-02-21,25.65,25.5,25.7,24.8,4931000
26-02-21,25.0,25.15,25.4,24.95,4328500
01-03-21,25.3,25.8,25.8,25.3,3271800
02-03-21,26.1,26.7,27.0,25.9,8274900
03-03-21,26.75,26.95,27.3,26.5,5701400
04-03-21,26.9,26.2,27.0,25.8,4433800
05-03-21,26.2,25.85,26.3,25.6,5045400
08-03-21,26.2,25.95,26.3,25.85,2950800
09-03-21,25.85,25.95,26.1,25.25,2548600
10-03-21,25.95,26.1,26.2,25.6,2806700
11-03-21,26.5,26.4,26.6,26.1,3621700
12-03-21,26.5,26.65,26.85,26.45,4051500
15-03-21,26.65,26.65,26.8,26.55,2840700
16-03-21,26.8,26.8,26.9,26.5,4549400
17-03-21,26.9,27.5,27.6,26.9,7798100
18-03-21,27.8,27.5,27.8,27.0,7237000
19-03-21,27.3,27.15,27.4,26.95,4935200
22-03-21,27.15,26.95,27.15,26.7,3963200
23-03-21,26.95,26.5,26.95,26.3,3947000
24-03-21,26.1,25.5,26.3,25.0,5338200
25-03-21,25.5,25.6,25.9,25.4,4130500
26-03-21,25.5,25.75,25.95,24.8,4007600
29-03-21,26.0,26.0,26.2,25.7,3149300
30-03-21,26.1,26.2,26.35,25.85,4092000
31-03-21,26.6,26.4,26.8,26.3,3883700
01-04-21,26.6,26.8,26.9,26.4,3531500
02-04-21,27.05,27.25,27.4,27.0,6221100
05-04-21,28.3,27.65,28.3,27.55,5898700
06-04-21,27.65,27.6,27.8,27.2,5343500
07-04-21,27.65,27.75,27.8,27.4,4333600
08-04-21,28.0,28.05,28.2,27.9,5669400
09-04-21,28.15,28.0,28.15,27.9,3890400
12-04-21,28.1,27.9,28.1,27.0,9500100
13-04-21,28.3,27.65,28.3,27.5,5844900
14-04-21,27.65,27.9,27.9,27.35,2954300
15-04-21,27.9,27.35,27.9,27.35,4656800
16-04-21,27.2,26.65,27.4,26.5,4639500
19-04-21,27.3,27.3,27.3,26.65,3695000
20-04-21,27.55,27.2,27.6,27.05,3470400
22-04-21,27.2,26.3,27.2,26.3,4280300
23-04-21,26.3,26.9,26.95,26.0,4256300
26-04-21,26.9,26.5,27.1,26.1,3955800
27-04-21,26.5,26.8,26.95,26.0,3175700
28-04-21,26.8,26.85,26.95,26.7,2933300
29-04-21,26.85,27.25,27.45,26.85,4836700
04-05-21,26.65,27.2,27.3,26.6,4476200
05-05-21,27.3,29.05,29.1,27.3,17394400
06-05-21,29.3,28.8,29.45,28.6,5442700
07-05-21,28.4,30.0,30.5,28.4,15743900
10-05-21,29.8,30.8,31.25,29.8,9105400
11-05-21,30.8,30.0,31.0,30.0,5377400
12-05-21,29.8,30.2,30.3,29.5,9313400
13-05-21,30.2,30.3,31.05,30.1,9057200
14-05-21,30.8,31.2,31.5,30.5,7556800
17-05-21,31.45,31.15,31.9,30.8,8422100
18-05-21,31.15,30.6,31.2,30.5,7207100
19-05-21,30.6,31.45,31.55,30.55,7076700
20-05-21,31.45,32.0,32.3,31.0,9768400
21-05-21,32.0,31.9,32.6,31.7,5745200
24-05-21,31.9,31.75,32.1,31.6,5478200
25-05-21,31.5,32.5,32.5,31.5,5954400
26-05-21,32.8,32.8,33.05,32.4,4418200
27-05-21,33.0,32.0,33.4,31.9,6586700
28-05-21,32.2,32.85,33.0,31.9,6061000
31-05-21,33.0,33.8,33.9,32.4,10124400
01-06-21,34.0,34.3,35.0,34.0,5188000
02-06-21,34.0,34.0,34.4,33.5,4972900
03-06-21,34.55,35.8,36.2,34.3,8524500
04-06-21,35.9,35.45,36.0,35.0,9321600
07-06-21,35.7,34.65,35.9,34.0,6948800
