Date,Open,Close,High,Low,Volume
16-11-20,24.95,25.0,25.45,24.75,881970
17-11-20,25.05,25.85,25.95,25.0,854840
18-11-20,25.8,25.85,26.2,25.5,547090
19-11-20,25.85,25.75,25.85,25.6,417720
20-11-20,25.75,26.0,26.0,25.55,636900
23-11-20,26.3,26.5,26.9,26.0,702830
24-11-20,26.3,26.55,26.75,26.1,840610
25-11-20,26.6,26.05,26.7,26.0,683950
26-11-20,26.0,25.5,26.1,25.4,1268800
27-11-20,25.55,26.0,26.0,25.55,661770
30-11-20,26.2,26.0,26.5,26.0,640420
01-12-20,25.45,26.2,26.45,25.45,595840
02-12-20,26.3,27.15,27.55,26.0,1492360
03-12-20,27.2,27.65,27.7,27.15,799380
04-12-20,27.9,28.45,28.6,27.65,1332280
07-12-20,28.3,29.7,30.0,28.3,1396280
08-12-20,29.7,31.1,31.6,29.5,1174090
09-12-20,31.3,30.7,31.35,30.6,1005850
10-12-20,30.5,30.7,31.45,30.5,722890
11-12-20,30.6,31.6,31.9,30.5,597950
14-12-20,32.25,32.2,33.0,32.0,554080
15-12-20,31.9,31.8,32.3,31.65,651500
16-12-20,32.0,32.8,33.1,32.0,344190
17-12-20,32.3,32.2,32.75,31.7,1493090
18-12-20,32.3,34.45,34.45,32.3,1540250
21-12-20,35.2,36.85,36.85,35.2,495140
22-12-20,38.8,38.45,38.85,37.25,901230
23-12-20,38.1,37.2,38.65,37.05,913160
24-12-20,37.2,36.15,37.25,34.6,2778290
25-12-20,35.8,36.65,36.95,35.6,1112030
28-12-20,36.6,37.7,38.5,36.5,939950
29-12-20,38.2,37.9,38.6,37.5,665650
30-12-20,37.7,37.2,38.5,36.7,723090
31-12-20,37.3,36.95,37.3,36.0,1314310
04-01-21,36.8,38.0,38.95,36.8,1113900
05-01-21,38.0,40.35,40.65,38.0,1455600
06-01-21,41.9,40.2,41.9,40.05,934900
07-01-21,40.15,40.0,40.25,39.1,1116700
08-01-21,40.0,39.5,40.25,39.35,1021300
11-01-21,40.0,38.0,40.0,37.8,1677600
12-01-21,38.0,39.15,39.4,37.0,1297600
13-01-21,39.2,38.8,39.5,38.05,851000
14-01-21,38.8,38.7,39.0,38.05,613600
15-01-21,39.0,38.7,39.5,38.55,1078600
18-01-21,39.1,39.7,40.5,38.5,1624900
19-01-21,39.7,37.1,40.0,36.95,967500
20-01-21,37.1,36.9,37.8,34.55,1080200
21-01-21,37.7,39.45,39.45,37.0,1251900
22-01-21,41.1,40.85,41.6,40.05,1587900
25-01-21,40.85,40.65,41.8,40.55,1203900
26-01-21,40.4,39.8,40.7,38.0,1055400
27-01-21,39.15,38.2,39.35,37.5,1616800
28-01-21,35.7,35.55,36.95,35.55,1201500
29-01-21,33.1,35.55,36.75,33.1,1020400
01-02-21,35.0,34.6,36.45,34.2,876200
02-02-21,35.0,36.7,36.7,34.0,808400
03-02-21,37.0,38.8,39.0,37.0,496900
04-02-21,38.35,39.2,39.9,38.3,498300
05-02-21,39.0,39.9,40.0,39.0,788900
08-02-21,40.0,39.4,41.45,38.5,820100
09-02-21,39.4,40.0,40.3,39.0,633800
17-02-21,40.8,42.8,42.8,40.5,1525800
18-02-21,43.5,44.3,45.0,42.9,893000
19-02-21,44.3,43.55,44.55,43.35,1197700
22-02-21,43.55,42.9,44.1,41.8,1191400
23-02-21,42.7,42.6,43.0,41.95,1286800
24-02-21,42.6,42.0,43.4,41.5,1192200
25-02-21,42.5,41.6,42.9,41.35,1388900
26-02-21,41.0,41.2,41.6,40.75,1753700
01-03-21,41.2,42.2,42.3,41.0,1049600
02-03-21,42.9,42.1,42.9,41.7,736100
03-03-21,42.2,42.45,42.6,42.0,925600
04-03-21,42.55,43.0,44.2,42.5,1591200
05-03-21,42.8,43.15,43.6,42.35,733700
08-03-21,44.5,43.8,44.6,43.3,955700
09-03-21,43.8,45.0,45.8,42.8,1563900
10-03-21,45.5,45.6,47.0,45.5,1183500
11-03-21,45.6,45.6,46.2,45.1,1052500
12-03-21,46.0,45.5,46.1,45.2,997800
15-03-21,45.2,44.4,45.8,44.25,2146900
16-03-21,44.5,44.15,44.8,43.65,1461500
17-03-21,44.4,45.4,45.5,44.2,1426600
18-03-21,46.8,45.5,46.8,45.5,792500
19-03-21,45.9,45.35,45.9,45.25,672200
22-03-21,45.35,45.7,46.8,45.3,1019900
23-03-21,45.7,44.55,45.9,44.1,706500
24-03-21,44.0,43.5,44.8,43.0,1123200
25-03-21,43.6,43.5,44.0,42.95,1276100
26-03-21,43.5,43.45,43.7,42.5,893500
29-03-21,43.5,42.8,43.6,42.1,1295400
30-03-21,42.8,43.1,43.7,42.7,420500
31-03-21,43.5,43.1,43.5,42.0,401100
01-04-21,43.4,44.2,44.2,43.1,588300
02-04-21,44.4,45.1,46.0,44.4,727100
05-04-21,45.5,44.7,45.6,44.3,334900
06-04-21,44.5,44.4,44.7,44.2,284700
07-04-21,44.5,44.8,45.7,44.3,584500
08-04-21,45.2,44.6,45.2,44.3,416800
09-04-21,44.7,44.2,44.7,44.05,641100
12-04-21,44.6,43.8,44.6,43.5,745700
13-04-21,44.0,42.95,44.0,42.4,720700
14-04-21,42.9,43.8,44.55,42.5,547000
15-04-21,43.55,42.95,44.0,42.6,381000
16-04-21,42.7,42.1,43.45,41.5,576900
19-04-21,42.5,42.5,43.0,41.1,734000
20-04-21,42.5,42.0,42.8,41.85,417500
22-04-21,42.0,41.0,43.5,41.0,648100
23-04-21,41.0,41.2,41.55,40.1,393000
26-04-21,41.2,39.2,41.2,38.35,620700
27-04-21,39.1,38.3,39.6,38.2,349400
28-04-21,38.5,38.4,38.8,38.2,362700
29-04-21,38.4,39.5,39.5,38.4,793200
04-05-21,39.2,40.3,40.6,38.8,439700
05-05-21,40.4,41.0,41.25,40.4,359400
06-05-21,41.0,40.35,41.0,40.2,342500
07-05-21,40.5,40.0,40.8,39.5,538200
10-05-21,39.2,38.9,39.65,38.5,696800
11-05-21,39.1,40.3,41.3,38.0,1075100
12-05-21,40.3,40.1,41.2,40.0,494900
13-05-21,40.0,39.7,40.3,39.65,362100
14-05-21,39.5,39.1,39.7,39.05,556500
17-05-21,39.0,38.5,39.1,38.4,400900
18-05-21,38.5,38.2,38.5,37.8,560600
19-05-21,38.85,40.85,40.85,38.8,1096100
20-05-21,43.0,43.4,43.5,42.0,2211000
21-05-21,43.8,45.3,45.6,43.8,1546000
24-05-21,46.0,46.0,46.8,45.85,1151800
25-05-21,45.8,48.9,49.2,45.6,2973500
26-05-21,50.4,49.95,51.0,48.9,1540900
27-05-21,51.0,50.0,51.9,49.5,1190900
28-05-21,50.0,50.9,51.5,49.2,1373200
31-05-21,50.9,52.4,52.6,49.9,1660200
01-06-21,52.8,52.5,53.4,52.5,575500
02-06-21,51.4,52.4,53.0,51.4,649100
03-06-21,52.6,53.1,53.4,52.0,1166400
04-06-21,53.4,53.1,53.5,52.2,780900
07-06-21,53.0,52.8,54.0,51.0,1110900
08-06-21,53.0,51.4,53.4,51.1,1159200
09-06-21,51.3,52.5,53.5,50.5,1107800
10-06-21,53.0,56.1,56.1,53.0,1716500
11-06-21,57.8,58.5,59.7,57.8,966100
14-06-21,59.5,61.6,62.0,59.0,979100
15-06-21,61.8,62.9,64.0,61.2,1101600
16-06-21,63.7,63.0,64.3,62.5,1014600
17-06-21,62.8,62.9,63.4,62.2,812300
18-06-21,62.9,63.0,63.7,62.8,839200
21-06-21,63.0,64.3,66.0,62.8,1075500
22-06-21,65.0,64.4,65.4,63.8,618700
23-06-21,64.8,64.4,65.2,64.0,781300
24-06-21,64.4,64.4,64.6,63.9,1384900
25-06-21,64.7,64.8,65.0,64.4,1339400
28-06-21,55.0,53.1,55.0,51.9,889300
29-06-21,53.1,50.5,53.1,50.0,1262100
30-06-21,50.4,51.9,52.0,50.0,1122200
01-07-21,52.6,53.2,53.5,52.1,862500
02-07-21,53.2,52.2,53.2,52.2,690700
05-07-21,52.0,50.6,52.0,50.5,1015700
06-07-21,50.2,47.1,51.4,47.1,831600
07-07-21,48.5,49.55,50.1,47.1,1118900
08-07-21,50.5,50.3,52.2,49.7,641100
09-07-21,50.5,50.5,51.8,49.8,873000
12-07-21,51.2,50.0,51.2,48.0,1342200
13-07-21,49.9,50.0,50.5,49.0,395700
14-07-21,50.0,49.0,50.5,48.6,508100
15-07-21,48.9,49.55,49.9,48.9,354400
16-07-21,49.7,53.0,53.0,49.7,1497700
19-07-21,52.6,55.9,56.7,52.6,1874400
20-07-21,56.5,57.2,59.1,56.2,709000
21-07-21,56.8,57.2,58.3,56.1,585200
22-07-21,57.0,58.5,58.7,56.9,772400
23-07-21,58.5,58.1,59.5,58.1,691400
26-07-21,58.0,58.6,59.5,57.8,1058100
27-07-21,59.3,58.0,59.4,57.5,989400
28-07-21,57.7,56.1,58.3,55.5,1660000
29-07-21,56.2,60.0,60.0,54.6,1711700
30-07-21,61.0,59.6,61.9,59.4,843000
02-08-21,59.0,59.8,61.2,59.0,970700
03-08-21,59.8,61.3,63.0,59.5,1275700
04-08-21,62.0,60.8,62.2,60.5,863700
05-08-21,60.7,62.0,62.0,60.5,731400
06-08-21,62.0,62.0,64.0,61.0,1377200
09-08-21,62.0,63.7,63.9,61.9,1361300
10-08-21,64.0,64.2,65.5,63.7,1115500
11-08-21,64.5,63.0,64.9,63.0,947300
12-08-21,62.9,62.6,64.3,62.6,711600
13-08-21,62.1,66.5,66.5,60.8,2486700
16-08-21,67.0,66.3,67.3,66.2,612900
17-08-21,66.0,65.0,66.8,64.6,663200
18-08-21,64.5,64.9,66.0,64.2,559200
19-08-21,65.0,65.3,66.0,64.8,445400
20-08-21,65.3,64.0,65.9,62.0,993000
23-08-21,63.7,62.5,64.0,62.2,1085300
24-08-21,62.5,62.0,65.2,61.6,1048100
25-08-21,63.5,64.0,64.0,62.0,524000
26-08-21,64.2,63.5,64.5,63.5,384200
27-08-21,62.7,64.5,64.8,62.7,900300
