Date,Open,Close,High,Low,Volume
16-11-20,25.3,24.95,25.3,24.95,2410140
17-11-20,24.95,25.6,25.6,24.85,2343130
18-11-20,25.6,27.0,27.0,25.55,3477540
19-11-20,27.1,27.15,27.25,26.7,1988860
20-11-20,27.15,27.65,27.75,27.0,2286790
23-11-20,27.7,27.6,27.85,27.3,1804330
24-11-20,27.5,27.1,27.7,26.65,2141930
25-11-20,27.1,26.8,27.3,26.7,1533420
26-11-20,26.6,27.35,27.35,26.45,2215250
27-11-20,27.55,29.25,29.25,27.3,3960830
30-11-20,29.75,29.35,30.5,29.3,1987610
01-12-20,29.0,30.5,30.75,28.7,2505610
02-12-20,30.5,29.95,30.6,29.8,2330000
03-12-20,30.0,31.1,31.35,29.85,1799750
04-12-20,30.95,31.3,31.6,30.75,1305240
07-12-20,31.3,31.0,31.75,30.75,2566100
08-12-20,31.0,30.65,31.15,30.2,1982910
09-12-20,30.8,31.15,31.35,30.75,2161500
10-12-20,31.2,31.55,32.3,30.9,2606050
11-12-20,31.55,31.55,31.7,31.1,2256630
14-12-20,32.0,33.45,33.55,32.0,1964080
15-12-20,33.5,34.45,34.5,33.05,2240950
16-12-20,34.5,34.4,35.0,34.1,1244140
17-12-20,34.0,33.4,34.3,33.3,1753830
18-12-20,33.85,34.8,34.8,33.2,2150800
21-12-20,34.8,35.0,35.9,34.8,1267210
22-12-20,34.95,35.15,35.25,34.5,1332530
23-12-20,35.45,34.9,35.7,34.5,1512020
24-12-20,34.8,34.5,35.0,32.8,1910880
25-12-20,34.9,34.8,34.95,34.5,1028110
28-12-20,35.0,36.25,36.45,34.9,2857790
29-12-20,36.1,37.45,37.55,36.0,1915690
30-12-20,37.55,38.8,39.35,37.45,1636710
31-12-20,38.55,39.1,39.3,38.45,1840860
04-01-21,40.4,41.5,41.8,39.6,1698700
05-01-21,41.5,44.35,44.4,40.8,1770900
06-01-21,44.35,43.3,45.5,43.0,2359500
07-01-21,43.25,43.3,43.7,42.3,1726400
08-01-21,43.5,43.2,44.2,42.6,1321100
11-01-21,43.55,42.9,43.9,42.6,1795000
12-01-21,43.2,42.9,43.25,42.3,1300800
13-01-21,43.0,42.15,43.1,42.1,1687400
14-01-21,42.15,41.75,42.15,40.2,1926600
15-01-21,42.3,42.9,43.3,42.3,1792800
18-01-21,43.5,44.5,45.5,42.8,2561300
19-01-21,44.5,41.8,44.5,41.4,1756900
20-01-21,42.05,42.5,42.7,39.6,1603600
21-01-21,43.3,43.25,43.3,42.0,1221800
22-01-21,43.25,45.55,46.25,43.1,4196400
25-01-21,45.35,44.9,45.55,44.0,1628200
26-01-21,44.15,42.4,44.7,41.8,1773200
27-01-21,41.5,39.45,42.0,39.45,3134000
28-01-21,36.7,36.7,38.6,36.7,3128200
29-01-21,34.3,37.85,38.3,34.3,1602900
01-02-21,37.85,35.25,38.0,35.25,1570700
02-02-21,35.25,37.45,37.45,34.5,1953400
03-02-21,38.0,38.45,38.8,37.3,1640200
04-02-21,38.75,38.9,38.95,37.7,1233800
05-02-21,38.9,40.3,40.9,38.25,916400
08-02-21,40.7,38.6,40.75,37.7,1539700
09-02-21,38.7,39.4,39.6,37.3,1769900
17-02-21,39.5,41.5,42.0,39.5,952500
18-02-21,41.8,41.45,41.95,41.0,943000
19-02-21,41.45,42.3,43.5,41.0,1742400
22-02-21,42.2,42.0,42.45,41.65,978300
23-02-21,41.4,41.8,42.55,41.4,1136200
24-02-21,41.85,40.7,42.5,40.3,1526900
25-02-21,40.7,40.95,41.45,40.5,1547700
26-02-21,40.0,41.6,41.7,40.0,1218800
01-03-21,42.0,42.05,42.5,41.8,2086700
02-03-21,42.5,42.8,43.25,42.15,2610200
03-03-21,43.2,44.3,44.5,43.2,2941100
04-03-21,44.5,44.4,45.55,43.0,3012500
