Date,Open,Close,High,Low,Volume
16-11-20,15.3,14.8,15.3,14.8,166070
17-11-20,14.5,14.9,14.9,14.5,145220
18-11-20,14.9,15.1,15.5,14.9,221540
19-11-20,15.0,16.15,16.15,14.9,420080
20-11-20,16.3,16.15,16.8,16.15,215110
23-11-20,15.7,15.65,16.0,15.5,154280
24-11-20,15.6,15.2,15.65,15.0,203500
25-11-20,15.2,15.15,15.6,15.1,171180
26-11-20,15.1,15.15,15.2,15.0,194280
27-11-20,15.15,15.2,15.3,15.1,213760
30-11-20,15.2,15.3,15.5,15.2,243090
01-12-20,15.0,15.2,15.25,15.0,185720
02-12-20,15.2,15.7,15.75,15.1,439840
03-12-20,15.8,15.6,16.0,15.45,209260
04-12-20,15.5,15.6,16.1,15.5,347550
07-12-20,15.55,15.5,15.7,15.45,177240
08-12-20,15.5,15.55,15.65,15.4,258170
09-12-20,15.5,15.8,16.0,15.4,269200
10-12-20,15.8,15.3,16.0,15.3,227740
11-12-20,15.4,15.5,15.5,15.1,251470
14-12-20,15.4,15.4,15.6,15.3,176570
15-12-20,15.4,15.0,15.6,14.7,239490
16-12-20,15.0,15.2,15.2,14.9,243190
17-12-20,15.2,15.1,15.3,15.0,136360
18-12-20,15.0,14.8,15.2,14.5,186980
21-12-20,14.8,15.2,15.3,14.7,311740
22-12-20,15.2,15.2,15.3,15.1,207070
23-12-20,15.1,15.1,15.3,15.0,187170
24-12-20,15.1,14.8,15.3,14.7,209430
25-12-20,14.8,15.1,15.1,14.6,206700
28-12-20,15.2,15.2,15.35,14.9,217720
29-12-20,15.2,16.1,16.25,15.1,663900
30-12-20,16.3,17.2,17.2,16.25,952940
31-12-20,17.4,17.4,18.0,17.2,568030
04-01-21,17.4,18.6,18.6,17.3,844900
05-01-21,18.6,18.15,18.9,17.7,517900
06-01-21,18.2,18.7,18.7,18.2,534500
07-01-21,19.0,19.8,20.0,19.0,1129400
08-01-21,19.8,19.6,20.45,18.9,660400
11-01-21,19.5,19.2,19.7,19.0,435600
12-01-21,19.2,19.95,20.0,18.9,726300
13-01-21,20.0,21.0,21.3,20.0,855300
14-01-21,21.1,20.8,22.0,20.7,805200
15-01-21,20.8,20.3,21.0,20.1,545800
18-01-21,20.3,20.5,20.55,19.65,468000
19-01-21,20.4,21.1,21.1,19.1,696100
20-01-21,21.0,20.9,21.2,19.7,376700
21-01-21,21.0,21.3,21.3,20.9,502800
22-01-21,21.3,21.4,21.6,20.85,525400
25-01-21,21.3,21.1,21.4,20.7,487800
26-01-21,21.1,21.2,21.3,20.65,319300
27-01-21,21.0,20.9,21.0,20.5,316000
28-01-21,20.5,19.45,20.5,19.45,315000
29-01-21,18.5,20.5,20.8,18.5,406300
01-02-21,20.5,20.1,21.4,19.7,416300
02-02-21,20.0,21.2,21.5,20.0,586700
03-02-21,21.4,22.65,22.65,21.2,876600
04-02-21,22.9,22.95,23.75,22.7,798300
05-02-21,22.85,23.3,24.15,22.75,687800
08-02-21,23.2,23.35,23.35,21.7,514200
09-02-21,23.2,23.75,23.75,23.1,575600
17-02-21,24.0,23.45,24.05,23.0,611800
18-02-21,23.1,22.9,23.4,22.6,511300
19-02-21,22.6,22.3,23.1,22.05,528400
22-02-21,22.1,22.2,22.55,21.8,394300
23-02-21,22.3,21.35,22.4,21.05,474600
24-02-21,21.2,20.3,21.2,20.15,501300
25-02-21,20.2,21.0,21.1,19.8,574900
26-02-21,21.0,21.55,21.6,20.8,440400
01-03-21,21.4,21.85,22.1,21.2,397500
02-03-21,21.7,21.55,21.7,21.0,343200
03-03-21,21.4,21.75,22.0,21.1,542800
04-03-21,21.8,21.2,22.15,20.4,381900
05-03-21,21.0,21.05,21.05,20.2,685600
08-03-21,21.05,20.8,21.3,20.7,456600
09-03-21,20.8,20.8,20.8,20.55,324200
10-03-21,20.8,22.25,22.25,20.7,782500
11-03-21,23.0,22.6,23.2,22.15,472000
12-03-21,22.6,22.25,22.6,22.1,342300
15-03-21,22.1,22.8,23.1,22.1,472000
16-03-21,22.9,22.6,23.0,22.3,406900
17-03-21,22.5,22.4,22.7,22.35,418400
18-03-21,22.2,22.75,22.8,22.1,479800
19-03-21,22.55,22.0,22.6,21.65,403500
22-03-21,21.9,21.8,22.0,21.5,355000
23-03-21,21.8,21.45,21.8,21.0,451300
24-03-21,21.2,20.7,21.2,20.6,328500
25-03-21,20.7,20.95,21.1,20.6,435200
26-03-21,20.8,20.4,20.8,20.1,486500
29-03-21,20.5,21.8,21.8,20.5,481000
30-03-21,21.95,21.9,22.3,21.0,465400
31-03-21,21.9,21.55,21.9,21.45,371200
01-04-21,21.6,21.35,21.65,21.2,314000
02-04-21,21.4,21.2,21.5,21.0,403700
05-04-21,21.2,20.8,21.2,20.5,313100
06-04-21,20.5,21.2,21.3,20.4,435200
07-04-21,21.2,21.6,21.6,21.0,418400
08-04-21,21.6,21.45,21.65,21.4,305000
09-04-21,21.45,21.35,21.45,21.2,384500
12-04-21,21.35,20.9,21.4,20.85,384200
13-04-21,20.7,20.75,20.8,20.5,371600
14-04-21,20.85,21.55,21.9,20.3,611200
15-04-21,21.6,21.65,21.85,21.3,322100
16-04-21,21.5,21.1,21.5,20.8,280800
19-04-21,21.2,20.8,21.2,20.7,314900
20-04-21,20.7,21.5,21.9,20.6,694400
22-04-21,21.5,22.0,22.6,21.5,767100
23-04-21,22.15,22.6,23.0,21.9,473500
26-04-21,22.7,23.2,23.5,22.45,840200
27-04-21,23.0,22.95,23.0,22.55,511600
28-04-21,22.8,24.0,24.45,22.8,739700
29-04-21,24.05,23.0,24.5,23.0,724000
04-05-21,22.5,22.8,23.3,22.3,578400
05-05-21,22.75,21.95,23.1,21.7,422600
06-05-21,21.7,21.8,21.8,21.35,393300
07-05-21,21.7,22.55,22.6,21.5,592900
10-05-21,22.4,22.4,22.4,22.0,331200
11-05-21,22.35,22.55,22.8,22.05,401200
12-05-21,22.5,23.3,23.45,22.5,564700
13-05-21,23.2,22.9,24.0,22.9,461800
14-05-21,22.7,21.9,22.8,21.7,445300
17-05-21,21.65,21.2,21.8,20.7,492700
18-05-21,21.15,21.3,21.7,21.05,376300
19-05-21,21.15,20.5,21.15,20.45,335900
20-05-21,20.4,19.8,20.4,19.25,501100
21-05-21,19.7,20.2,20.2,19.6,400800
24-05-21,20.2,20.25,20.3,20.05,397600
25-05-21,20.25,20.6,20.6,20.2,454600
26-05-21,20.5,20.3,20.5,20.2,351700
27-05-21,20.3,20.05,20.3,20.0,274800
28-05-21,20.05,20.4,20.5,19.6,434100
31-05-21,20.4,20.1,20.4,19.9,314200
01-06-21,20.0,19.8,20.0,19.8,79000
02-06-21,19.8,20.0,20.0,19.4,420000
03-06-21,20.0,20.3,20.3,19.9,378200
04-06-21,20.3,20.25,20.4,20.1,261700
07-06-21,20.25,20.15,20.3,20.0,305600
08-06-21,20.1,19.95,20.1,19.9,269300
09-06-21,19.95,19.75,19.95,19.6,246500
10-06-21,19.4,20.05,20.2,19.4,458300
11-06-21,20.05,20.05,20.2,20.0,314700
14-06-21,20.05,20.05,20.1,19.8,321900
15-06-21,20.05,20.0,20.05,19.95,284700
16-06-21,20.05,20.5,20.8,20.05,314700
17-06-21,20.5,21.75,21.75,20.4,504300
18-06-21,21.8,21.45,22.5,21.4,278300
21-06-21,21.2,21.4,21.45,20.7,439600
22-06-21,21.4,21.8,22.2,20.7,750200
23-06-21,22.0,22.25,22.8,21.8,690400
24-06-21,22.25,21.7,22.25,21.3,382300
25-06-21,21.7,21.8,21.9,21.2,348300
28-06-21,21.75,21.6,21.9,21.4,405100
29-06-21,21.6,22.2,22.9,21.6,828000
30-06-21,22.3,21.7,23.0,21.7,523600
01-07-21,21.75,21.7,22.2,21.4,487600
02-07-21,21.7,20.9,21.7,20.6,432700
05-07-21,20.8,20.8,21.2,20.1,534500
06-07-21,20.6,19.7,21.1,19.7,500600
07-07-21,19.6,19.8,20.1,18.7,362600
08-07-21,19.8,19.0,20.0,18.7,459600
09-07-21,18.7,18.45,19.0,18.1,403300
12-07-21,18.4,17.75,18.4,17.2,578200
13-07-21,17.85,17.8,18.2,17.1,450700
14-07-21,17.8,17.3,18.2,17.1,366900
15-07-21,17.2,17.85,17.9,17.1,541400
16-07-21,17.85,17.8,18.35,17.6,434100
19-07-21,17.5,17.1,17.5,16.75,343200
20-07-21,16.8,17.25,17.3,16.7,393100
21-07-21,17.25,17.3,17.8,17.25,423500
22-07-21,17.3,17.75,17.9,17.3,534300
23-07-21,15.7,15.9,16.5,15.7,681300
26-07-21,15.8,15.8,16.25,15.35,397100
27-07-21,15.9,15.55,16.25,15.15,445600
28-07-21,15.5,15.2,15.5,14.9,649200
29-07-21,15.3,15.3,15.45,14.8,418200
30-07-21,15.3,15.3,15.6,15.1,537500
02-08-21,15.65,15.6,16.0,15.4,981000
03-08-21,15.65,15.85,16.2,15.5,903400
04-08-21,15.9,15.75,16.0,15.6,817200
05-08-21,15.7,15.7,15.9,15.5,616100
06-08-21,15.7,15.8,16.1,15.7,751300
09-08-21,15.8,16.0,16.1,15.75,809100
10-08-21,16.15,16.15,16.9,16.05,946900
11-08-21,16.3,16.3,16.9,16.2,995400
12-08-21,16.3,16.25,16.5,16.1,560800
13-08-21,16.25,16.05,16.25,15.7,527500
16-08-21,16.0,16.1,16.35,15.6,726800
17-08-21,16.15,16.4,16.5,16.0,818600
18-08-21,16.4,16.35,16.8,16.25,495800
19-08-21,16.35,16.3,16.45,16.05,635800
20-08-21,16.3,15.8,16.45,15.4,859900
23-08-21,15.6,15.5,16.0,15.3,506600
24-08-21,15.4,15.25,15.8,15.15,437500
25-08-21,15.25,15.5,15.5,15.0,345100
26-08-21,15.5,15.5,15.6,15.3,346700
27-08-21,15.4,15.75,15.75,15.4,331500
30-08-21,15.8,16.4,16.4,15.8,587400
31-08-21,16.5,17.2,17.4,16.45,1473000
01-09-21,17.2,17.35,17.75,17.2,636900
06-09-21,17.8,17.5,17.9,17.4,373000
07-09-21,17.4,16.75,17.45,16.75,779900
08-09-21,16.7,17.05,17.4,16.3,1007200
09-09-21,17.05,17.2,17.5,17.0,936900
10-09-21,17.35,17.2,17.45,16.9,1067000
13-09-21,17.2,17.05,17.45,16.8,736700
14-09-21,17.05,16.7,17.05,16.5,965100
15-09-21,16.7,16.9,17.1,16.5,1136200
16-09-21,16.9,16.9,17.0,16.7,858900
17-09-21,17.0,18.05,18.05,17.0,2036700
20-09-21,19.25,18.4,19.25,18.0,1507700
21-09-21,17.9,18.0,18.05,17.4,994200
22-09-21,18.2,18.3,18.95,17.9,1676300
23-09-21,18.5,18.3,18.85,18.05,1438200
24-09-21,18.3,18.0,18.4,17.85,523200
27-09-21,18.0,17.2,18.2,17.2,1079200
28-09-21,17.2,17.6,17.8,16.8,912700
29-09-21,17.5,17.7,17.85,17.35,434600
30-09-21,17.7,17.85,18.1,17.7,571700
01-10-21,17.8,17.6,18.1,17.55,533800
