Date,Open,Close,High,Low,Volume
16-11-20,15.0,14.5,15.0,14.5,2080
17-11-20,14.5,14.4,15.0,14.4,12780
18-11-20,14.4,14.4,14.4,14.4,0
19-11-20,14.4,14.4,14.4,14.4,0
20-11-20,14.6,14.5,15.0,14.5,3280
23-11-20,14.75,14.5,14.75,14.5,8530
24-11-20,15.0,14.7,15.0,14.6,12770
25-11-20,15.0,15.0,15.0,15.0,240
26-11-20,15.0,14.9,15.0,14.5,12020
27-11-20,15.0,14.9,15.0,14.6,3020
30-11-20,14.65,14.9,14.9,14.6,6010
01-12-20,14.6,14.65,14.9,14.6,18510
02-12-20,15.0,14.65,15.0,14.65,2880
03-12-20,14.8,15.2,15.65,14.8,8520
04-12-20,14.9,14.9,14.9,14.9,6000
07-12-20,15.1,14.9,15.1,14.9,29860
08-12-20,15.5,14.9,15.5,14.5,33130
09-12-20,14.9,14.9,14.9,14.9,26410
10-12-20,14.9,14.9,14.95,14.9,92200
11-12-20,14.9,14.9,14.9,14.8,10050
14-12-20,15.25,14.9,15.25,14.7,18450
15-12-20,14.9,14.9,14.9,14.8,5500
16-12-20,14.9,14.9,15.0,14.9,49300
17-12-20,14.7,14.8,14.9,14.7,5510
18-12-20,14.7,14.85,14.9,13.85,13240
21-12-20,14.85,14.85,14.9,14.8,32750
22-12-20,15.0,14.9,15.0,14.7,1090
23-12-20,14.7,15.0,15.0,14.7,19630
24-12-20,15.5,14.65,15.5,14.65,11030
25-12-20,15.0,15.0,15.0,14.65,9930
28-12-20,15.0,14.65,15.0,14.65,2420
29-12-20,14.9,14.6,15.0,14.6,13610
30-12-20,14.6,14.5,14.6,14.5,6790
31-12-20,14.5,14.6,15.0,14.5,6850
04-01-21,14.5,15.25,15.3,14.5,35500
05-01-21,15.0,15.0,15.2,15.0,1900
06-01-21,15.0,15.0,15.1,15.0,1100
07-01-21,14.55,14.6,14.6,14.55,1000
08-01-21,14.6,14.7,14.7,14.6,600
11-01-21,14.7,14.8,15.05,14.7,32700
12-01-21,15.0,15.15,15.2,15.0,1700
13-01-21,15.1,15.05,15.2,15.05,5600
14-01-21,15.0,15.05,15.05,15.0,18500
15-01-21,15.15,15.5,15.85,15.0,57200
18-01-21,15.5,15.6,15.6,15.2,50400
19-01-21,16.0,15.4,16.0,15.4,43500
20-01-21,15.4,15.9,16.0,15.2,47600
21-01-21,16.0,16.95,16.95,15.5,69000
22-01-21,17.0,16.7,17.3,16.3,51000
25-01-21,16.7,17.45,17.5,16.4,113700
26-01-21,17.2,16.8,17.2,16.7,35600
27-01-21,16.6,16.45,16.8,16.15,48100
28-01-21,16.0,16.0,16.8,15.3,37900
29-01-21,16.8,16.4,16.8,15.9,27400
01-02-21,16.1,16.3,16.4,16.0,8500
02-02-21,16.1,16.0,16.2,15.25,39300
03-02-21,16.0,16.3,16.3,15.5,37200
04-02-21,16.0,15.95,16.0,15.5,15000
05-02-21,15.6,15.7,15.8,15.4,97300
08-02-21,15.7,15.4,16.0,15.4,23300
09-02-21,15.85,16.0,16.0,15.5,18700
17-02-21,15.8,16.5,16.9,15.8,22900
18-02-21,16.0,16.0,16.0,16.0,11000
19-02-21,16.1,16.0,16.2,15.6,24900
22-02-21,16.0,16.0,16.15,15.7,65900
23-02-21,16.0,16.0,16.0,15.8,24400
24-02-21,16.0,15.75,16.25,15.75,25400
25-02-21,15.75,15.95,16.1,15.75,26500
26-02-21,16.05,16.0,16.05,15.8,30200
01-03-21,16.2,16.1,16.5,16.1,73900
02-03-21,17.0,16.7,17.0,16.5,78900
03-03-21,16.75,17.0,17.1,16.75,65700
04-03-21,17.0,17.2,17.6,16.65,136800
05-03-21,17.5,17.2,17.5,16.7,111200
08-03-21,17.0,18.4,18.4,16.7,335300
09-03-21,18.4,18.9,19.3,18.1,249300
10-03-21,18.9,18.9,18.9,18.15,77500
11-03-21,18.4,18.4,18.5,17.9,148600
12-03-21,18.4,17.85,18.4,17.85,134200
15-03-21,18.0,18.5,18.9,17.9,189000
16-03-21,18.5,18.1,18.5,17.9,59600
17-03-21,18.1,18.15,18.2,17.9,32800
18-03-21,18.15,18.1,18.25,18.1,33200
19-03-21,18.1,18.0,18.25,17.5,175900
22-03-21,18.0,18.1,18.1,17.8,51100
23-03-21,18.2,18.1,18.3,17.9,45400
24-03-21,17.9,18.0,18.0,17.6,44600
25-03-21,18.0,17.8,18.0,17.55,25400
26-03-21,17.8,17.6,17.8,17.0,73800
29-03-21,17.85,17.9,17.95,17.6,63800
30-03-21,17.9,18.0,18.2,17.8,52100
31-03-21,18.0,18.1,18.3,17.9,95000
01-04-21,18.1,18.6,18.8,18.1,182100
02-04-21,18.8,18.55,18.8,18.0,70900
05-04-21,18.1,18.2,18.5,18.0,68500
06-04-21,18.0,17.9,18.1,17.6,111600
07-04-21,17.8,17.8,17.8,17.45,93500
08-04-21,18.1,18.15,18.15,17.75,58000
09-04-21,18.0,18.0,18.15,17.9,54200
12-04-21,18.0,18.1,18.1,17.8,74200
13-04-21,18.0,17.8,18.1,17.8,101100
14-04-21,17.8,18.35,18.4,17.7,172600
15-04-21,18.35,18.3,18.5,18.2,366300
16-04-21,19.55,19.55,19.55,19.55,198800
19-04-21,20.9,20.9,20.9,20.9,75200
20-04-21,22.35,22.35,22.35,22.35,282100
22-04-21,23.9,22.9,23.9,22.4,1045800
23-04-21,22.8,24.5,24.5,22.5,451500
26-04-21,25.7,25.0,25.8,24.5,370700
27-04-21,24.1,25.9,25.9,23.95,358400
28-04-21,25.2,24.1,26.0,24.1,412600
29-04-21,24.5,24.35,24.9,24.0,166700
04-05-21,24.15,24.15,25.0,23.0,260300
05-05-21,23.9,23.4,24.4,23.05,250700
06-05-21,23.4,23.4,24.0,23.1,236700
07-05-21,23.4,24.7,25.0,23.4,350300
10-05-21,24.8,25.95,26.1,24.7,527700
11-05-21,25.8,25.15,25.95,25.0,322900
12-05-21,24.5,25.5,25.5,24.1,259900
13-05-21,25.0,24.8,25.5,24.7,259900
14-05-21,24.8,24.5,25.1,24.3,191800
17-05-21,23.6,23.6,24.25,23.3,219300
18-05-21,23.8,23.95,24.6,23.55,115600
19-05-21,23.95,24.0,24.7,23.6,131000
20-05-21,23.7,23.6,23.7,23.0,145100
21-05-21,24.0,24.1,24.6,23.6,192900
24-05-21,24.5,24.5,24.95,24.2,109500
25-05-21,24.5,24.7,25.2,24.0,231200
26-05-21,24.7,24.2,24.7,24.05,112000
27-05-21,24.2,23.3,24.2,23.2,128100
28-05-21,23.3,23.8,23.95,23.05,125200
31-05-21,24.3,24.2,24.6,23.7,182700
01-06-21,24.2,23.9,24.3,23.9,110400
02-06-21,23.7,23.95,24.3,23.7,145900
03-06-21,23.9,24.5,25.0,23.9,180500
04-06-21,24.6,25.5,25.7,24.6,184400
07-06-21,26.0,26.3,26.9,25.6,377400
