Date,Open,Close,High,Low,Volume
16-11-20,32.3,32.25,32.75,31.9,25538500
17-11-20,32.5,33.35,33.35,32.4,16228900
18-11-20,33.6,34.6,34.6,33.35,22115200
19-11-20,34.7,35.2,35.5,34.45,26533130
20-11-20,35.3,35.7,35.7,34.95,18141040
23-11-20,35.7,37.5,37.85,35.5,23681540
24-11-20,37.75,37.5,38.5,36.3,48936510
25-11-20,36.8,35.6,36.9,35.2,55697460
26-11-20,35.1,35.1,35.4,34.3,33163400
27-11-20,35.0,36.25,36.4,35.0,16027210
30-11-20,36.25,35.5,36.4,35.5,17459270
01-12-20,34.9,35.6,35.6,34.55,21802760
02-12-20,35.6,35.3,35.65,35.1,14643640
03-12-20,35.55,36.85,36.85,35.3,22511210
04-12-20,37.05,36.95,37.25,36.7,17767110
07-12-20,37.05,38.2,38.4,36.85,24400300
08-12-20,38.2,38.4,38.8,38.0,20333880
09-12-20,38.5,38.5,38.6,38.1,15264400
10-12-20,38.5,37.6,38.6,37.2,30402770
11-12-20,38.0,38.8,38.8,37.7,16641080
14-12-20,39.4,39.25,39.5,38.95,14483540
15-12-20,39.05,38.6,39.15,38.5,19581910
16-12-20,38.8,38.8,39.35,38.5,17322370
17-12-20,38.4,37.65,38.65,37.65,30645570
18-12-20,38.1,38.6,38.75,37.9,19956910
21-12-20,39.0,38.55,39.05,38.35,15789770
22-12-20,38.55,39.35,39.45,38.3,26050910
23-12-20,39.45,40.0,41.2,39.4,28097610
24-12-20,40.6,39.95,40.8,38.6,18507480
25-12-20,40.0,40.75,40.85,39.5,22667520
28-12-20,41.8,41.55,41.95,41.0,21024800
29-12-20,41.25,41.6,41.85,41.05,13443950
30-12-20,41.6,40.9,41.6,40.75,21907500
31-12-20,40.9,41.45,41.75,40.7,11867640
04-01-21,42.0,42.3,43.0,41.65,15832600
05-01-21,41.8,42.35,42.8,41.7,18634100
06-01-21,42.5,42.8,43.3,42.3,17948600
07-01-21,43.15,42.8,43.2,42.25,21780700
08-01-21,42.9,42.75,43.3,42.6,19978500
11-01-21,43.1,43.05,43.3,42.6,16645100
12-01-21,43.2,44.9,44.9,42.9,22738800
13-01-21,45.2,44.7,45.45,44.4,16131800
14-01-21,44.7,44.45,44.7,43.85,17527000
15-01-21,44.3,44.5,45.05,44.3,14788300
18-01-21,44.5,44.6,44.85,44.25,18112900
19-01-21,44.6,41.6,44.6,41.5,25778200
20-01-21,42.0,41.7,42.95,40.0,37915600
21-01-21,42.85,44.2,44.2,41.8,20829700
22-01-21,44.3,43.65,44.7,43.55,14798600
25-01-21,43.25,43.7,45.45,43.1,33091200
26-01-21,43.6,42.3,43.6,41.6,24099500
27-01-21,41.4,40.3,42.4,39.5,28056100
28-01-21,37.6,37.5,39.05,37.5,49934800
29-01-21,37.0,39.15,39.95,37.0,40248000
01-02-21,39.0,38.35,39.85,38.2,21323900
02-02-21,38.5,40.5,40.5,38.25,28541100
03-02-21,41.2,42.0,42.35,41.0,34839600
04-02-21,42.0,41.8,42.2,41.55,22252900
05-02-21,41.95,42.5,42.7,41.7,23371200
08-02-21,42.5,40.9,42.6,40.0,32918400
09-02-21,40.9,41.8,41.9,40.45,26164800
17-02-21,42.45,43.45,43.45,42.3,24253200
18-02-21,43.4,43.85,44.0,42.95,21343800
19-02-21,43.3,43.45,43.9,43.1,17007500
22-02-21,43.45,43.4,44.4,43.0,21362500
23-02-21,43.2,43.3,43.75,42.95,17921700
24-02-21,43.65,43.6,44.4,43.3,27282600
