Date,Open,Close,High,Low,Volume
16-11-20,16.5,16.45,16.85,16.4,1264660
17-11-20,16.45,16.75,16.75,16.45,982250
18-11-20,16.95,17.0,17.0,16.8,1335270
19-11-20,17.0,17.35,17.4,17.0,1752170
20-11-20,17.45,17.35,17.5,17.25,1343830
23-11-20,17.5,17.25,17.5,17.2,1052360
24-11-20,17.15,17.0,17.3,16.9,1651050
25-11-20,17.0,17.1,17.1,16.85,1069120
26-11-20,17.1,17.05,17.2,17.0,728770
27-11-20,16.2,16.0,16.2,15.7,1064590
30-11-20,16.0,15.65,16.05,15.65,840700
01-12-20,15.3,16.0,16.0,15.3,1399290
02-12-20,15.95,15.8,16.0,15.75,759910
03-12-20,15.9,15.8,16.0,15.7,665990
04-12-20,15.7,15.85,15.9,15.7,889400
07-12-20,15.9,16.95,16.95,15.9,3380870
08-12-20,17.4,17.1,17.4,16.8,1502960
09-12-20,17.0,17.0,17.1,16.8,1060430
10-12-20,16.95,16.5,16.95,16.5,1807670
11-12-20,16.45,16.95,16.95,16.4,1284190
14-12-20,17.1,16.9,17.15,16.85,1031090
15-12-20,16.8,16.7,16.9,16.6,909760
16-12-20,16.8,16.65,16.85,16.5,1554020
17-12-20,16.6,16.65,16.95,16.45,1267060
18-12-20,16.7,17.15,17.35,16.6,1920970
21-12-20,17.05,16.95,17.2,16.85,1530960
22-12-20,17.0,17.9,18.1,16.8,2848710
23-12-20,17.9,17.6,18.0,17.5,1192140
24-12-20,17.6,16.85,17.6,16.4,1204840
25-12-20,16.8,17.0,17.4,16.5,1592820
28-12-20,17.4,17.4,17.85,17.0,1294730
29-12-20,17.45,17.65,17.8,17.15,1663170
30-12-20,17.65,17.35,17.75,17.3,1105660
31-12-20,17.35,17.45,17.5,17.25,790460
04-01-21,17.8,18.15,18.4,17.45,2349500
05-01-21,18.15,18.8,19.1,18.0,2513100
06-01-21,18.8,18.9,19.2,18.7,1590000
07-01-21,18.9,19.0,19.1,18.55,1556700
08-01-21,19.05,19.0,19.4,18.9,1631200
11-01-21,19.15,18.9,19.15,18.6,1104100
12-01-21,18.7,18.85,18.95,18.65,818800
13-01-21,19.0,19.0,19.3,18.8,1528200
14-01-21,19.2,18.85,19.2,18.7,840400
15-01-21,18.85,18.85,19.1,18.75,1236100
18-01-21,18.9,18.7,18.9,18.55,1058900
19-01-21,18.7,17.5,18.7,17.4,2054700
20-01-21,17.2,17.3,17.7,16.5,1173600
21-01-21,17.7,17.65,17.85,17.3,1061100
22-01-21,17.75,17.75,18.15,17.65,659900
25-01-21,17.75,17.9,18.3,17.6,766600
26-01-21,17.9,17.35,18.0,17.0,522900
27-01-21,17.5,17.2,17.55,17.0,876200
28-01-21,16.2,16.0,16.6,16.0,2577900
29-01-21,15.4,16.75,17.0,15.4,284100
01-02-21,16.75,16.0,16.75,15.9,411900
02-02-21,16.0,16.4,16.5,15.8,318500
03-02-21,16.6,17.0,17.0,16.5,344700
04-02-21,17.1,16.8,17.1,16.65,278300
05-02-21,16.8,17.05,17.25,16.8,432400
08-02-21,17.0,16.65,17.3,16.5,590700
09-02-21,16.85,17.0,17.3,16.55,463100
17-02-21,17.3,17.5,17.5,16.95,1315100
18-02-21,17.8,17.4,17.8,17.3,693100
19-02-21,17.2,17.4,17.4,17.2,968600
22-02-21,17.45,17.65,17.8,17.3,1672000
23-02-21,17.65,18.0,18.5,17.25,2010800
24-02-21,18.0,17.6,18.3,17.3,1496700
25-02-21,17.6,17.4,17.65,17.15,1319300
26-02-21,17.2,17.5,17.65,16.9,1010400
01-03-21,17.6,17.7,17.7,17.4,943400
02-03-21,17.8,17.7,18.0,17.45,1700000
03-03-21,17.75,17.95,18.2,17.5,1521600
04-03-21,18.0,17.4,18.05,17.1,1140800
05-03-21,17.3,17.3,17.45,16.95,1524500
08-03-21,17.6,17.3,17.65,17.15,1878600
09-03-21,17.3,18.5,18.5,17.25,5542800
10-03-21,18.7,18.25,18.85,18.25,1705400
11-03-21,18.3,18.4,18.8,18.1,2506700
12-03-21,18.6,18.6,18.95,18.3,2693600
15-03-21,18.6,18.65,18.95,18.55,1389400
16-03-21,18.7,18.55,18.75,18.4,1663600
17-03-21,18.5,18.35,18.55,18.25,1548700
18-03-21,18.5,18.45,18.6,18.3,800000
19-03-21,18.5,18.7,18.75,18.3,1134700
22-03-21,18.8,18.6,18.9,18.55,1090800
23-03-21,18.85,19.25,19.55,18.85,4132000
24-03-21,18.9,18.7,19.25,18.4,1608100
25-03-21,18.65,18.5,18.85,18.25,1072000
26-03-21,18.0,18.0,18.4,17.25,2142200
29-03-21,18.2,18.4,18.4,17.95,1078600
30-03-21,18.4,18.4,18.5,18.2,707500
31-03-21,18.35,18.35,18.4,18.1,939500
01-04-21,18.4,18.5,18.7,18.1,1372100
02-04-21,19.0,18.6,19.0,18.5,949600
05-04-21,18.6,18.5,18.7,18.35,1029500
06-04-21,18.4,18.4,18.55,18.35,948900
07-04-21,18.3,18.7,18.8,18.15,1449500
08-04-21,18.75,18.65,18.85,18.5,842900
09-04-21,18.6,18.55,18.65,18.3,838600
12-04-21,18.5,18.6,18.75,18.4,1239300
13-04-21,18.65,18.25,18.7,18.2,948600
14-04-21,18.25,18.25,18.4,18.0,880900
15-04-21,18.25,18.0,18.3,18.0,869100
16-04-21,17.9,17.5,18.05,17.15,1193200
19-04-21,17.5,17.5,17.6,17.3,655200
20-04-21,17.6,17.25,17.8,17.0,1006300
22-04-21,17.15,16.1,17.15,16.1,1783100
23-04-21,16.1,16.9,16.9,15.85,1200100
26-04-21,17.1,16.35,17.1,16.2,669400
27-04-21,16.3,16.3,16.5,16.0,306300
28-04-21,16.35,16.3,16.45,16.2,765800
29-04-21,16.3,16.35,16.55,16.3,575800
04-05-21,16.0,16.2,16.35,16.0,546100
05-05-21,16.5,16.5,16.7,16.3,596600
06-05-21,16.5,16.35,16.7,16.35,722800
07-05-21,16.25,16.05,16.4,15.95,949400
10-05-21,16.05,16.65,16.75,15.9,1686400
11-05-21,16.7,16.3,16.75,16.05,1055700
12-05-21,16.4,16.45,16.5,16.15,617200
13-05-21,16.35,16.2,16.5,16.15,1301400
14-05-21,16.2,16.15,16.45,16.15,872900
17-05-21,16.15,15.5,16.25,15.5,1593300
18-05-21,15.5,15.35,15.6,15.1,1039400
19-05-21,15.35,14.95,15.35,14.95,1557500
20-05-21,14.8,15.1,15.1,14.75,693500
21-05-21,15.0,15.35,15.6,14.8,560800
24-05-21,15.5,15.7,15.75,15.3,726300
25-05-21,15.85,15.65,15.85,15.6,494600
26-05-21,15.6,15.55,15.6,15.4,599600
27-05-21,15.5,15.3,15.55,15.2,667600
28-05-21,15.3,15.25,15.4,15.1,443500
31-05-21,15.5,15.3,15.5,15.15,465200
01-06-21,15.3,15.6,15.75,15.3,508800
02-06-21,15.4,15.8,15.85,15.35,656300
03-06-21,16.2,16.1,16.2,15.8,944800
04-06-21,16.1,15.9,16.15,15.8,642700
07-06-21,15.9,15.9,16.2,15.8,901600
08-06-21,15.85,15.8,16.1,15.8,747600
09-06-21,15.75,15.7,15.9,15.6,486200
10-06-21,15.8,15.7,15.8,15.55,372400
11-06-21,15.8,15.85,16.0,15.6,573500
14-06-21,16.0,16.2,16.5,15.95,1251700
15-06-21,16.25,16.2,16.45,16.0,724100
16-06-21,16.2,16.85,17.1,16.2,1637900
17-06-21,16.6,16.8,16.85,16.45,1148600
18-06-21,16.8,16.8,16.85,16.6,913700
21-06-21,16.6,17.1,17.5,16.6,1539400
22-06-21,17.1,16.85,17.2,16.85,850900
23-06-21,16.85,16.5,16.85,16.35,871500
24-06-21,16.5,16.25,16.6,16.25,785800
25-06-21,16.3,16.3,16.35,16.05,521600
28-06-21,16.6,16.3,16.6,16.15,414700
29-06-21,16.35,16.0,16.35,15.95,767100
30-06-21,16.0,16.0,16.2,15.95,359000
01-07-21,16.1,16.0,16.15,15.85,445200
02-07-21,16.2,16.2,16.2,16.0,606200
05-07-21,16.25,16.0,16.3,15.85,449000
06-07-21,16.0,15.5,16.0,15.5,318000
07-07-21,15.5,15.45,15.5,15.05,742900
08-07-21,15.3,15.2,15.45,15.2,356300
09-07-21,15.2,15.15,15.4,15.0,429100
12-07-21,15.05,14.15,15.05,14.1,1681800
13-07-21,14.4,14.4,14.5,14.2,321700
