Date,Open,Close,High,Low,Volume
16-11-20,15.25,15.2,15.25,14.3,4560
17-11-20,15.2,15.0,15.2,15.0,1720
18-11-20,15.4,15.4,15.4,14.15,1620
19-11-20,15.4,14.4,15.4,14.4,70
20-11-20,14.95,14.1,14.95,14.1,3480
23-11-20,14.4,14.45,14.45,13.2,1470
24-11-20,14.45,14.45,14.45,14.3,2950
25-11-20,14.85,15.0,15.0,14.85,5120
26-11-20,16.0,14.9,16.0,14.9,2050
27-11-20,14.9,15.2,15.2,14.4,1870
30-11-20,16.2,15.5,16.2,15.5,1540
01-12-20,15.5,16.0,16.5,15.5,11840
02-12-20,16.7,15.55,16.7,15.55,580
03-12-20,16.6,15.0,16.6,15.0,300
04-12-20,14.85,15.5,15.5,14.85,310
07-12-20,16.0,16.55,16.55,16.0,15540
08-12-20,17.7,17.0,17.7,16.5,5810
09-12-20,16.55,17.2,17.2,16.55,1500
10-12-20,16.0,17.2,17.2,16.0,1020
11-12-20,16.55,16.55,16.55,16.55,1390
14-12-20,16.55,16.5,16.55,16.1,5030
15-12-20,16.3,16.3,16.3,16.3,1100
16-12-20,16.25,16.0,16.25,16.0,1660
17-12-20,15.5,16.0,16.0,15.5,4280
18-12-20,15.4,17.1,17.1,15.4,410
21-12-20,17.1,17.0,17.1,16.0,940
22-12-20,16.0,16.3,16.3,16.0,3750
23-12-20,16.3,16.25,16.3,16.25,160
24-12-20,16.25,16.25,16.25,16.25,0
25-12-20,16.2,16.2,16.2,15.25,510
28-12-20,15.2,15.3,15.3,15.2,1050
29-12-20,15.45,16.0,16.0,15.0,1710
30-12-20,16.3,16.0,16.3,15.5,310
31-12-20,15.5,15.6,17.0,15.5,550
04-01-21,16.4,16.4,16.4,16.4,3100
05-01-21,16.4,16.4,16.4,16.4,100
06-01-21,16.4,15.6,16.4,15.6,1200
07-01-21,16.5,16.4,16.5,14.6,3700
08-01-21,16.4,16.4,16.4,16.4,1700
11-01-21,17.0,16.0,17.0,16.0,4300
12-01-21,16.8,16.0,16.8,16.0,2500
13-01-21,16.2,17.0,17.0,16.0,14600
14-01-21,18.0,18.15,18.15,17.0,17400
15-01-21,18.8,19.0,19.0,18.0,30900
18-01-21,20.3,19.9,20.3,19.9,26100
19-01-21,19.5,18.8,19.6,18.8,12900
20-01-21,18.8,18.7,18.8,18.6,4500
21-01-21,18.5,19.0,19.0,18.2,800
22-01-21,18.3,17.7,18.3,17.7,1300
25-01-21,17.0,18.5,18.8,16.5,13000
26-01-21,17.6,17.5,17.6,17.5,600
27-01-21,17.6,17.5,17.6,17.5,1900
28-01-21,16.4,16.3,16.5,16.3,36500
29-01-21,15.2,16.95,16.95,15.2,3000
01-02-21,17.0,17.0,17.0,17.0,1200
02-02-21,17.8,17.8,17.8,17.8,100
03-02-21,17.7,18.4,18.55,16.6,7900
04-02-21,18.8,18.9,19.0,18.8,5100
05-02-21,18.9,18.9,18.9,18.9,0
08-02-21,18.9,17.6,18.9,17.6,1400
09-02-21,17.6,17.6,17.6,17.6,100
17-02-21,18.4,17.9,18.4,17.9,4000
18-02-21,17.9,17.85,17.9,17.8,3200
19-02-21,17.85,17.85,17.85,17.85,0
22-02-21,17.1,17.2,17.9,17.1,1200
23-02-21,17.0,17.85,17.85,17.0,1100
24-02-21,17.85,17.85,17.85,17.85,100
25-02-21,17.6,17.8,17.9,17.6,700
26-02-21,17.8,17.8,17.8,17.8,0
01-03-21,17.9,17.0,18.0,17.0,7900
02-03-21,16.85,16.8,16.85,16.8,7000
03-03-21,17.85,17.95,17.95,17.85,26400
04-03-21,17.95,17.5,17.95,17.5,5100
05-03-21,17.5,17.9,17.9,17.5,500
08-03-21,16.8,17.5,17.5,16.8,10800
09-03-21,17.5,18.1,18.1,17.5,7300
10-03-21,18.1,18.4,18.4,17.9,16900
11-03-21,18.85,18.05,18.85,18.0,34400
12-03-21,18.0,17.8,18.0,17.2,4300
15-03-21,18.2,19.0,19.0,18.2,3500
16-03-21,18.9,18.4,18.9,18.4,200
17-03-21,18.4,19.65,19.65,18.35,9900
18-03-21,19.65,19.65,19.65,19.65,0
19-03-21,19.8,19.8,19.8,19.8,500
22-03-21,19.75,19.7,19.75,18.45,2000
23-03-21,19.7,19.7,19.7,19.7,0
24-03-21,18.5,18.4,18.55,18.4,4600
