Date,Open,Close,High,Low,Volume
16-11-20,37.3,37.3,38.0,36.9,181230
17-11-20,37.5,37.5,38.0,36.7,144450
18-11-20,37.15,37.4,38.0,36.75,138750
19-11-20,36.8,38.4,40.0,36.8,248580
20-11-20,40.5,39.4,40.5,39.0,126480
23-11-20,39.5,38.0,39.6,37.85,172950
24-11-20,38.0,38.2,38.5,37.0,85510
25-11-20,38.0,38.2,38.3,37.4,81160
26-11-20,38.5,38.4,38.6,37.7,110780
27-11-20,38.4,38.65,38.7,37.9,158900
30-11-20,41.0,41.35,41.35,40.5,306850
01-12-20,44.0,44.0,44.2,43.15,480610
02-12-20,42.0,45.0,45.7,42.0,131560
03-12-20,44.6,45.0,45.95,43.0,181400
04-12-20,45.0,44.1,45.0,42.6,234160
07-12-20,44.1,44.0,44.5,42.9,104780
08-12-20,44.4,45.0,45.0,43.15,98790
09-12-20,45.0,44.75,45.0,43.8,108590
10-12-20,43.65,43.0,44.8,42.8,235720
11-12-20,43.0,43.25,43.9,42.5,94570
14-12-20,43.3,43.45,43.7,42.95,123930
15-12-20,43.45,43.6,43.7,43.0,141120
16-12-20,44.4,44.15,45.0,43.2,111090
17-12-20,43.55,42.2,44.3,41.1,111250
18-12-20,42.0,42.9,43.8,41.45,155010
21-12-20,43.4,42.05,43.4,42.0,94430
22-12-20,42.0,39.45,42.0,39.15,351200
23-12-20,39.1,41.0,41.0,38.8,122060
24-12-20,40.8,38.3,40.8,38.15,196410
25-12-20,38.4,39.8,40.0,38.3,173790
28-12-20,40.0,39.0,40.4,39.0,181110
29-12-20,39.5,38.4,39.5,37.65,124550
30-12-20,41.05,41.05,41.05,41.05,80790
31-12-20,43.9,43.2,43.9,42.2,334110
04-01-21,43.2,41.8,43.2,41.0,258300
05-01-21,41.2,40.6,41.8,40.3,194700
06-01-21,40.7,41.4,42.0,39.3,232800
07-01-21,41.0,41.0,41.7,40.35,100200
08-01-21,41.0,41.0,41.95,40.3,112500
11-01-21,41.0,41.85,41.85,40.65,195000
12-01-21,42.05,43.6,43.6,41.95,261500
13-01-21,43.95,46.65,46.65,43.95,304600
14-01-21,47.0,46.5,49.0,46.45,147900
15-01-21,46.0,45.5,46.5,44.0,258800
18-01-21,46.0,45.3,46.45,45.0,118200
19-01-21,48.45,42.25,48.45,42.15,196200
20-01-21,44.95,44.7,44.95,42.3,108000
21-01-21,45.0,46.95,47.0,45.0,109200
22-01-21,46.95,47.2,48.0,46.3,110900
25-01-21,47.3,49.0,49.1,47.25,229200
26-01-21,49.0,48.0,49.1,47.2,73900
27-01-21,47.5,46.85,48.5,45.2,145300
28-01-21,43.7,43.6,44.0,43.6,149700
29-01-21,32.35,36.0,36.75,32.35,130600
01-02-21,35.1,33.5,35.2,33.5,205200
02-02-21,31.2,34.5,34.55,31.2,343100
03-02-21,35.2,33.3,35.2,32.1,251600
04-02-21,32.0,33.65,34.4,32.0,185300
05-02-21,33.75,33.9,34.5,33.6,134000
08-02-21,34.4,32.8,34.4,32.5,107800
09-02-21,32.8,34.0,34.0,32.0,194800
17-02-21,34.1,36.35,36.35,34.1,168800
18-02-21,37.3,38.85,38.85,36.95,176100
19-02-21,40.0,41.5,41.55,40.0,373800
22-02-21,42.0,42.1,43.5,41.2,298200
23-02-21,41.2,41.6,42.0,41.2,135300
24-02-21,41.2,40.9,41.95,39.7,270400
25-02-21,40.7,40.9,41.0,40.1,138600
26-02-21,40.0,42.6,43.0,39.5,281000
01-03-21,42.75,45.3,45.55,42.75,366200
02-03-21,46.4,45.4,46.4,44.3,163200
03-03-21,45.0,44.7,45.4,44.5,230000
04-03-21,44.7,43.4,44.7,42.5,224000
05-03-21,43.0,43.0,43.0,41.5,134500
08-03-21,43.0,43.8,44.15,43.0,177800
09-03-21,43.95,44.6,45.4,43.4,162100
10-03-21,44.6,44.55,44.9,43.7,84300
11-03-21,45.0,44.25,45.0,44.0,73100
12-03-21,44.5,43.75,44.7,43.5,112000
15-03-21,43.75,43.95,44.1,43.4,110100
16-03-21,43.95,46.5,46.5,43.95,406400
17-03-21,46.5,47.5,49.0,46.0,208600
18-03-21,48.1,47.0,48.25,46.5,78400
19-03-21,46.4,47.0,47.7,46.0,127700
22-03-21,47.5,46.9,47.5,46.45,138200
23-03-21,46.9,45.5,46.9,44.8,143900
24-03-21,44.6,44.0,45.0,44.0,226200
25-03-21,44.0,44.2,44.3,43.0,198500
26-03-21,43.0,43.9,45.0,42.8,146700
29-03-21,43.9,44.8,44.9,43.9,80900
30-03-21,44.8,44.8,44.85,44.2,37800
31-03-21,44.8,44.4,45.0,44.2,88200
01-04-21,44.9,44.8,44.9,44.2,65700
02-04-21,45.0,44.7,45.2,44.5,53000
05-04-21,44.7,45.0,45.0,44.7,127800
06-04-21,44.9,44.45,44.9,44.3,70600
07-04-21,44.2,45.0,45.0,44.0,85700
08-04-21,45.0,45.0,45.1,44.8,117800
09-04-21,45.0,44.95,45.0,44.6,28100
12-04-21,45.0,46.9,47.2,44.7,356100
13-04-21,47.0,45.6,47.1,45.1,69500
14-04-21,44.9,45.6,45.9,44.9,53800
15-04-21,45.3,45.0,45.55,44.5,143400
16-04-21,44.5,43.85,45.0,43.7,91200
19-04-21,43.5,43.85,45.2,43.0,135200
20-04-21,43.5,44.6,44.95,43.5,96200
22-04-21,44.95,43.5,44.95,43.0,66100
23-04-21,43.0,43.9,43.9,42.3,139400
26-04-21,44.0,43.0,44.0,42.85,105800
27-04-21,43.0,42.5,43.75,42.3,117900
28-04-21,42.5,42.25,42.7,42.2,83900
29-04-21,42.0,40.5,42.0,40.15,480000
04-05-21,38.9,40.0,40.0,38.5,179900
05-05-21,41.55,40.9,41.55,40.0,63300
06-05-21,40.1,39.9,40.7,39.8,172700
07-05-21,39.9,40.7,40.7,38.5,213700
10-05-21,40.7,39.2,40.7,39.0,140000
11-05-21,38.55,39.7,39.8,38.55,120200
12-05-21,39.7,39.6,39.9,39.3,61800
13-05-21,39.3,39.1,39.8,39.1,100000
14-05-21,39.0,39.3,39.3,38.9,105000
17-05-21,39.5,38.8,39.5,38.7,69900
18-05-21,38.6,37.8,38.8,37.8,141800
19-05-21,37.8,36.8,37.8,36.4,125700
20-05-21,36.8,34.55,36.8,34.3,262200
21-05-21,34.3,36.6,36.95,34.25,212700
24-05-21,37.5,37.5,39.15,37.5,167600
25-05-21,38.9,37.5,38.9,37.3,104900
26-05-21,37.6,36.75,37.6,36.6,116900
27-05-21,36.75,35.95,36.75,35.85,159900
28-05-21,35.5,35.75,35.95,35.4,156700
31-05-21,35.75,35.9,36.0,35.5,62700
01-06-21,35.9,36.15,36.8,35.9,53700
02-06-21,36.8,36.1,36.8,35.5,102400
03-06-21,36.0,36.2,36.2,35.9,144900
04-06-21,36.7,37.0,37.25,36.25,195200
07-06-21,38.0,37.95,38.7,37.6,102200
08-06-21,38.1,37.5,40.0,35.3,171700
09-06-21,38.0,37.2,38.0,36.1,40900
10-06-21,37.7,36.8,37.7,36.7,39300
11-06-21,37.1,36.4,37.1,36.4,69400
14-06-21,36.4,35.6,36.6,35.6,227700
15-06-21,36.0,36.1,36.5,35.8,88400
16-06-21,36.0,37.0,37.5,35.5,130800
17-06-21,36.5,36.7,37.0,35.85,81400
18-06-21,36.8,36.9,36.95,36.5,143300
21-06-21,38.0,39.45,39.45,37.8,585200
22-06-21,42.2,41.9,42.2,41.0,411500
23-06-21,40.6,39.0,41.4,39.0,254900
24-06-21,37.6,37.55,38.5,37.5,238800
25-06-21,37.2,38.0,38.1,37.2,121900
28-06-21,39.0,37.55,39.0,37.5,203700
29-06-21,37.9,37.95,38.9,37.3,149800
30-06-21,38.4,38.0,38.4,37.7,80100
01-07-21,38.0,37.7,38.15,37.6,120500
02-07-21,37.6,37.55,37.9,37.5,135900
05-07-21,37.6,36.65,37.6,36.6,135700
06-07-21,37.0,36.0,37.4,36.0,90000
07-07-21,35.8,35.45,35.9,34.3,229700
08-07-21,35.45,35.5,36.7,35.3,74100
09-07-21,36.1,35.1,36.1,34.7,81100
12-07-21,35.05,33.5,35.05,32.65,174400
13-07-21,34.0,33.45,34.0,33.0,79000
14-07-21,33.15,33.2,33.5,32.4,97200
15-07-21,33.2,33.5,33.5,32.9,81700
16-07-21,33.2,33.75,34.3,33.2,33700
19-07-21,32.55,32.6,33.4,32.0,94600
20-07-21,32.6,33.0,33.0,32.2,39500
21-07-21,33.0,33.0,33.85,32.0,88000
22-07-21,32.2,33.6,33.75,32.2,70700
23-07-21,33.6,33.4,34.0,33.15,26500
26-07-21,33.4,33.5,33.6,33.0,63500
27-07-21,33.9,33.25,33.9,33.1,61300
28-07-21,33.8,33.3,33.8,33.15,27900
29-07-21,33.3,33.5,33.75,33.3,72800
30-07-21,33.5,34.6,35.2,33.5,93300
02-08-21,36.0,36.7,36.9,36.0,295600
03-08-21,36.6,36.3,36.85,36.15,100600
04-08-21,36.0,35.6,36.3,35.0,122200
