Date,Open,Close,High,Low,Volume
16-11-20,12.9,12.9,12.9,12.5,330
17-11-20,12.8,12.8,12.8,12.65,8430
18-11-20,12.8,12.8,12.8,12.8,0
19-11-20,12.8,12.8,12.8,12.8,0
20-11-20,12.8,12.8,12.8,12.8,0
23-11-20,12.5,12.8,12.8,12.5,1140
24-11-20,12.8,12.8,12.8,12.8,0
25-11-20,12.7,12.6,12.7,12.6,3490
26-11-20,12.6,12.6,12.6,12.6,960
27-11-20,12.6,12.8,12.8,12.6,530
30-11-20,12.5,12.8,12.8,12.5,30
01-12-20,12.8,12.8,12.8,12.8,0
02-12-20,12.6,12.6,12.6,12.5,2540
03-12-20,12.6,12.7,12.7,12.5,12830
04-12-20,12.6,12.6,12.6,12.5,21500
07-12-20,12.6,12.6,12.6,12.6,4170
08-12-20,12.6,12.6,12.6,12.6,130
09-12-20,12.6,12.6,12.8,12.6,410
10-12-20,12.7,12.75,12.8,12.6,2400
11-12-20,12.7,12.75,12.75,12.7,2310
14-12-20,12.65,12.7,12.7,12.65,670
15-12-20,12.6,12.7,12.7,12.6,13770
16-12-20,12.7,12.7,12.7,12.7,1440
17-12-20,12.5,12.9,12.9,12.5,8950
18-12-20,12.8,12.9,12.9,12.8,130
21-12-20,12.9,12.9,13.0,12.9,2100
22-12-20,12.9,13.7,13.7,12.9,2710
23-12-20,12.9,13.9,13.9,12.9,3470
24-12-20,13.05,13.0,13.05,13.0,2130
25-12-20,13.0,13.5,13.5,13.0,60
28-12-20,13.5,14.4,14.4,13.5,13150
29-12-20,14.8,14.5,14.85,14.5,2500
30-12-20,14.85,13.6,14.85,13.6,1520
31-12-20,14.5,13.7,14.5,13.7,1080
04-01-21,13.7,13.6,13.7,13.6,15900
05-01-21,13.7,13.9,14.1,13.7,2300
06-01-21,13.9,14.1,14.1,13.9,1500
07-01-21,14.0,14.0,14.0,14.0,300
08-01-21,14.0,14.0,14.0,14.0,2000
11-01-21,14.0,14.0,14.0,14.0,800
12-01-21,14.0,14.5,14.5,14.0,8200
13-01-21,14.5,14.5,14.5,14.5,0
14-01-21,14.75,14.8,14.8,14.5,4800
15-01-21,15.4,15.2,15.4,15.2,1300
18-01-21,14.6,15.2,15.2,14.6,6900
19-01-21,15.65,14.7,15.8,14.7,3800
20-01-21,14.5,14.5,14.5,14.5,6700
21-01-21,14.8,14.7,14.8,14.7,1400
22-01-21,14.7,14.7,14.7,14.7,500
25-01-21,14.9,14.9,14.9,14.9,5000
26-01-21,14.9,14.9,14.9,14.9,0
27-01-21,14.4,14.3,14.4,14.3,7100
28-01-21,14.2,13.3,14.2,13.3,9700
29-01-21,13.3,13.3,13.3,13.3,0
01-02-21,13.3,13.3,13.3,13.3,0
02-02-21,13.3,13.3,13.3,13.3,0
03-02-21,13.3,13.3,13.3,13.3,0
04-02-21,13.3,13.3,13.3,13.3,0
05-02-21,14.2,14.2,14.2,14.2,1100
08-02-21,14.2,14.2,14.2,14.2,0
09-02-21,14.5,14.5,14.5,14.5,900
17-02-21,14.5,14.5,14.5,14.5,0
18-02-21,14.5,14.5,14.5,14.5,0
19-02-21,15.0,15.0,15.0,15.0,900
22-02-21,14.9,15.1,15.5,14.9,16900
23-02-21,14.2,15.2,15.2,14.2,500
24-02-21,15.2,15.2,15.2,15.2,0
25-02-21,15.3,15.2,15.3,15.2,500
26-02-21,14.25,14.25,14.25,14.25,900
01-03-21,14.25,14.25,14.4,14.25,3400
02-03-21,14.25,14.1,14.25,14.1,1600
03-03-21,14.8,14.8,14.8,14.8,100
04-03-21,14.55,14.5,14.55,14.5,1600
05-03-21,14.5,14.5,14.5,14.5,1900
08-03-21,14.5,14.55,14.55,14.5,200
09-03-21,14.65,14.65,14.65,14.65,100
10-03-21,14.7,14.6,14.7,14.6,500
11-03-21,14.5,14.5,14.5,14.5,300
12-03-21,14.5,14.6,14.6,14.5,2300
15-03-21,14.7,14.75,14.75,14.7,300
16-03-21,14.75,14.7,14.75,14.7,300
17-03-21,14.7,14.8,14.8,14.7,800
18-03-21,14.8,14.75,14.8,14.75,2000
19-03-21,14.7,14.8,14.8,14.7,600
22-03-21,14.7,14.9,14.9,14.0,11500
23-03-21,14.9,14.9,14.9,14.9,100
24-03-21,14.9,14.9,14.9,14.9,0
25-03-21,14.05,14.85,14.85,14.0,3800
26-03-21,14.85,14.85,14.85,14.85,0
29-03-21,14.8,14.8,14.8,14.5,3100
30-03-21,14.6,14.0,14.7,14.0,14400
31-03-21,14.8,14.8,14.8,14.5,4800
01-04-21,15.0,14.8,15.0,14.8,2600
02-04-21,15.8,15.5,15.8,14.8,6400
05-04-21,15.5,15.7,15.7,15.5,5700
06-04-21,15.7,15.7,15.75,15.7,2000
07-04-21,15.75,15.7,15.8,15.7,3900
08-04-21,15.95,15.7,15.95,15.7,2800
09-04-21,15.7,15.8,15.8,15.7,1000
12-04-21,14.8,15.75,15.75,14.8,16100
13-04-21,15.7,15.7,15.8,15.7,3600
14-04-21,15.8,15.75,15.8,15.75,600
15-04-21,15.65,15.75,15.75,15.2,2200
16-04-21,15.05,14.7,15.8,14.65,10500
19-04-21,14.7,15.65,15.7,14.7,4900
20-04-21,15.6,15.6,15.6,15.6,900
22-04-21,15.45,15.35,15.45,15.35,2100
23-04-21,14.7,15.5,15.5,14.7,1900
26-04-21,14.7,14.5,14.7,14.5,8700
27-04-21,14.65,14.65,14.65,14.65,300
28-04-21,14.65,14.65,14.65,14.65,0
29-04-21,15.35,15.35,15.35,15.35,900
04-05-21,14.7,14.7,14.7,14.65,1800
05-05-21,14.5,14.5,14.5,14.4,4400
06-05-21,14.05,14.8,14.8,14.0,3100
07-05-21,15.35,15.35,15.35,15.35,100
10-05-21,14.85,14.85,14.85,14.5,4100
11-05-21,14.85,14.2,14.85,14.2,700
12-05-21,14.5,14.3,14.5,14.3,400
13-05-21,14.0,14.5,14.7,14.0,9700
14-05-21,14.65,14.6,14.85,14.6,1800
17-05-21,14.6,14.6,14.6,14.6,0
18-05-21,14.4,14.55,14.55,14.2,1600
19-05-21,13.85,14.65,14.65,13.85,2100
20-05-21,14.25,14.2,14.25,14.2,300
21-05-21,14.3,14.3,14.3,14.3,4600
24-05-21,14.2,14.2,14.3,14.2,7000
25-05-21,14.9,15.1,15.1,14.8,5200
26-05-21,14.2,15.05,15.05,14.2,400
27-05-21,14.25,15.15,15.15,14.25,300
28-05-21,15.15,15.15,15.15,15.15,0
31-05-21,14.35,14.25,14.35,14.1,6200
