Date,Open,Close,High,Low,Volume
16-11-20,7.73,7.73,7.73,7.73,10
17-11-20,7.8,7.8,7.8,7.8,1150
18-11-20,7.26,8.34,8.34,7.26,12200
19-11-20,8.34,8.34,8.34,8.34,0
20-11-20,7.76,7.76,7.76,7.76,10
23-11-20,7.76,7.76,7.76,7.76,0
24-11-20,8.3,7.51,8.3,7.51,12880
25-11-20,8.0,7.52,8.03,7.52,2140
26-11-20,7.52,7.52,7.52,7.52,0
27-11-20,7.52,7.52,7.52,7.52,10
30-11-20,7.52,7.52,7.52,7.52,0
01-12-20,7.01,8.04,8.04,7.01,20020
02-12-20,8.04,8.04,8.04,8.04,0
03-12-20,8.04,7.48,8.04,7.48,210
04-12-20,8.0,8.0,8.0,7.7,40850
07-12-20,8.0,8.0,8.0,8.0,0
08-12-20,8.0,8.0,8.0,8.0,0
09-12-20,7.9,7.88,7.9,7.88,30
10-12-20,7.88,7.88,7.88,7.88,0
11-12-20,7.33,7.34,7.34,7.33,250
14-12-20,7.5,7.85,7.85,7.5,4400
15-12-20,7.85,7.85,7.85,7.85,0
16-12-20,7.79,7.79,7.79,7.79,300
17-12-20,7.79,7.79,7.79,7.79,0
18-12-20,8.3,8.3,8.3,8.29,10630
21-12-20,8.0,8.0,8.0,8.0,500
22-12-20,7.5,8.56,8.56,7.5,7040
23-12-20,8.6,8.22,9.15,8.0,20570
24-12-20,8.03,8.03,8.03,8.03,140
25-12-20,7.7,7.7,7.7,7.7,1000
28-12-20,8.23,8.23,8.23,8.1,5110
29-12-20,8.1,8.8,8.8,8.1,12340
30-12-20,8.8,8.21,9.2,8.21,30550
31-12-20,8.78,8.68,8.78,8.68,160
04-01-21,8.68,8.68,8.68,8.68,0
05-01-21,8.78,8.78,8.78,8.78,600
06-01-21,8.78,8.78,8.78,8.78,100
07-01-21,8.78,8.78,8.78,8.75,3800
08-01-21,8.78,8.78,8.78,8.78,2100
11-01-21,8.78,8.78,8.78,8.78,2000
12-01-21,8.78,8.78,8.78,8.78,2500
13-01-21,8.78,8.78,8.78,8.78,1100
14-01-21,8.78,8.18,8.18,8.18,0
15-01-21,8.75,8.75,8.75,8.2,30900
18-01-21,9.35,8.84,9.35,8.84,3100
19-01-21,9.45,9.45,9.45,8.9,34400
20-01-21,9.45,8.79,9.45,8.79,1300
21-01-21,8.3,8.3,8.3,8.3,100
22-01-21,8.3,8.3,8.3,8.3,0
25-01-21,8.3,8.3,8.3,8.3,0
26-01-21,8.88,8.88,8.88,8.88,9900
27-01-21,8.88,8.88,8.88,8.88,0
28-01-21,9.4,8.27,9.4,8.27,20200
29-01-21,8.27,8.84,8.84,8.27,1200
01-02-21,9.45,8.23,9.45,8.23,800
02-02-21,8.7,8.7,8.7,8.7,1300
03-02-21,8.3,8.3,8.3,8.3,4100
04-02-21,8.3,8.3,8.3,8.3,0
05-02-21,8.3,8.3,8.3,8.3,0
08-02-21,8.3,8.3,8.3,8.3,2000
09-02-21,8.3,8.3,8.3,8.3,0
17-02-21,8.3,8.3,8.3,8.3,0
18-02-21,8.8,8.88,8.88,8.8,6400
19-02-21,8.32,8.32,8.32,8.32,100
22-02-21,8.82,8.9,8.9,8.8,3900
23-02-21,8.9,9.4,9.52,8.9,34800
24-02-21,10.0,8.91,10.05,8.91,3100
25-02-21,9.0,9.53,9.53,9.0,15300
26-02-21,9.95,10.0,10.05,9.0,9500
01-03-21,9.52,9.52,10.0,9.51,9500
02-03-21,9.7,10.0,10.15,9.7,6700
03-03-21,10.0,9.6,10.5,9.53,2000
04-03-21,9.61,9.61,9.61,9.61,600
05-03-21,10.25,10.25,10.25,10.1,6000
08-03-21,10.25,10.95,10.95,10.25,34600
09-03-21,10.95,10.95,10.95,10.95,4600
10-03-21,11.6,11.0,11.6,11.0,2600
11-03-21,10.5,10.5,10.5,10.5,100
12-03-21,10.65,10.65,10.8,10.6,5500
15-03-21,10.5,10.5,10.5,10.5,5000
16-03-21,10.5,10.0,10.5,9.8,7700
17-03-21,9.9,9.8,9.9,9.74,14400
18-03-21,10.0,9.75,10.0,9.75,26400
19-03-21,9.75,9.99,10.0,9.6,24300
22-03-21,10.0,9.75,10.6,9.75,22500
23-03-21,9.76,10.0,10.4,9.76,15600
24-03-21,10.0,10.1,10.2,10.0,700
25-03-21,10.2,10.2,10.2,9.75,21700
26-03-21,9.52,9.9,9.9,9.52,7700
29-03-21,9.51,9.6,10.15,9.51,10100
30-03-21,9.6,9.62,10.1,9.6,5900
31-03-21,9.62,9.99,10.15,9.62,6000
01-04-21,10.05,10.2,10.55,10.05,12300
02-04-21,10.3,9.76,10.5,9.65,19700
05-04-21,9.78,10.35,10.4,9.78,40400
06-04-21,9.8,10.1,10.45,9.8,700
07-04-21,9.81,9.84,10.4,9.81,3200
08-04-21,9.99,9.84,10.0,9.84,8900
09-04-21,9.41,9.99,10.1,9.41,3400
12-04-21,9.98,9.9,9.98,9.72,6300
13-04-21,10.15,9.72,10.15,9.72,1100
14-04-21,9.51,9.61,9.99,9.51,2100
15-04-21,9.62,9.66,9.99,9.62,4900
16-04-21,9.6,9.89,9.89,9.6,1200
19-04-21,9.5,9.6,10.0,9.5,4400
20-04-21,9.8,9.6,10.05,9.6,1800
22-04-21,9.6,9.6,9.6,9.6,0
23-04-21,9.98,9.8,9.98,9.8,200
26-04-21,10.05,9.46,10.05,9.36,2800
27-04-21,9.6,9.5,9.6,9.4,2800
28-04-21,9.5,9.55,9.55,9.5,1100
29-04-21,9.55,9.4,9.55,9.4,3200
04-05-21,8.81,9.5,9.96,8.81,4900
05-05-21,9.5,9.4,10.0,9.32,11400
06-05-21,9.5,9.5,10.0,9.5,1600
07-05-21,9.21,9.21,9.22,9.21,3900
10-05-21,9.16,9.21,9.48,9.16,4100
11-05-21,9.35,9.39,9.84,9.0,14300
12-05-21,9.99,9.38,9.99,9.01,5200
13-05-21,9.0,9.95,9.95,9.0,300
14-05-21,9.26,9.43,9.43,9.26,11000
17-05-21,9.43,9.43,9.43,9.43,2000
18-05-21,9.01,9.12,9.49,9.01,3200
19-05-21,9.1,9.1,9.1,9.1,200
20-05-21,9.05,9.1,9.59,9.05,5500
21-05-21,9.68,9.68,9.68,9.68,100
24-05-21,9.2,9.24,9.25,9.02,3700
25-05-21,9.22,9.43,9.43,9.22,5800
26-05-21,9.28,9.0,9.3,9.0,1900
27-05-21,9.25,9.2,9.34,9.15,12500
28-05-21,9.02,9.02,9.02,9.02,500
31-05-21,9.29,9.4,9.4,9.1,17600
01-06-21,9.4,9.4,9.4,9.4,0
02-06-21,9.02,9.2,9.2,9.02,1700
03-06-21,9.3,9.3,9.3,9.3,1100
04-06-21,9.16,9.15,9.16,9.15,2600
07-06-21,9.39,9.39,9.39,9.39,100
08-06-21,9.3,9.3,9.3,9.3,800
09-06-21,9.1,9.28,9.28,9.1,6500
10-06-21,9.28,9.28,9.28,9.28,1000
11-06-21,9.91,9.6,9.91,9.6,200
14-06-21,9.56,9.5,9.56,9.5,1500
15-06-21,9.03,9.03,9.03,9.03,2000
16-06-21,9.03,9.03,9.03,9.03,100
17-06-21,9.03,9.3,9.3,9.02,4700
18-06-21,9.89,9.06,9.89,9.06,1100
21-06-21,9.06,9.0,9.29,8.99,20300
22-06-21,9.34,9.29,9.34,9.03,3800
23-06-21,9.28,9.28,9.29,9.0,14100
24-06-21,9.27,9.0,9.27,9.0,11800
25-06-21,9.49,9.35,9.49,9.0,9800
28-06-21,9.2,9.0,9.2,9.0,9700
29-06-21,9.0,9.19,9.19,9.0,4300
30-06-21,9.0,9.18,9.18,9.0,3700
01-07-21,8.8,9.0,9.0,8.7,3300
02-07-21,8.9,8.89,9.11,8.6,5700
05-07-21,8.8,8.27,8.8,8.27,1100
06-07-21,8.21,8.26,8.79,8.0,6400
07-07-21,8.58,8.25,8.58,7.9,4100
08-07-21,8.24,8.23,8.24,8.23,1100
09-07-21,8.29,8.29,8.29,8.29,400
12-07-21,8.0,7.99,8.0,7.99,1100
13-07-21,8.4,7.71,8.4,7.71,4400
14-07-21,7.99,7.99,7.99,7.71,1100
15-07-21,8.47,8.3,8.47,8.3,500
16-07-21,8.29,8.6,8.6,8.29,26900
19-07-21,8.59,8.89,9.0,8.3,38200
20-07-21,8.9,8.8,8.9,8.79,39100
21-07-21,8.7,8.9,8.9,8.7,123400
22-07-21,8.9,8.9,8.9,8.9,0
23-07-21,8.29,8.29,8.29,8.29,600
26-07-21,8.6,8.5,8.6,8.5,1100
27-07-21,8.5,8.5,8.8,8.5,6400
28-07-21,8.5,8.5,8.5,8.5,300
29-07-21,8.5,8.5,8.5,8.5,0
30-07-21,9.06,8.9,9.06,8.9,300
02-08-21,8.6,8.7,8.7,8.6,600
03-08-21,8.5,8.3,8.5,8.3,4500
04-08-21,8.3,8.2,8.3,8.2,1500
05-08-21,8.2,8.2,8.2,8.2,0
06-08-21,8.2,8.2,8.2,8.2,0
09-08-21,8.2,8.2,8.2,8.2,0
10-08-21,8.0,8.0,8.0,8.0,400
11-08-21,8.5,8.5,8.5,8.5,100
12-08-21,8.5,8.5,8.5,8.5,300
13-08-21,8.49,9.05,9.09,8.49,42600
16-08-21,9.05,9.05,9.05,9.05,0
17-08-21,9.05,9.05,9.05,9.05,0
18-08-21,8.9,8.9,8.9,8.9,400
19-08-21,8.8,8.8,8.8,8.8,7600
20-08-21,9.1,8.6,9.1,8.6,3700
23-08-21,8.11,8.1,8.11,8.1,5500
24-08-21,8.3,8.3,8.3,8.3,100
25-08-21,8.3,8.3,8.3,8.3,0
26-08-21,8.3,8.88,8.88,8.3,25300
27-08-21,9.0,9.0,9.5,9.0,5800
30-08-21,9.0,9.5,9.63,9.0,33900
31-08-21,10.15,10.15,10.15,9.5,33700
01-09-21,10.85,10.85,10.85,10.8,21400
06-09-21,11.0,11.0,11.2,11.0,30600
07-09-21,11.0,11.2,11.3,11.0,18600
08-09-21,11.3,11.2,11.3,10.45,36800
09-09-21,10.9,10.45,10.9,10.45,23000
10-09-21,9.9,10.6,10.6,9.9,22900
13-09-21,11.15,10.95,11.2,10.95,21800
14-09-21,11.0,11.0,11.3,10.95,9000
15-09-21,10.6,11.0,11.0,10.6,13900
16-09-21,11.0,11.1,11.3,11.0,71100
17-09-21,10.6,10.7,10.7,10.6,3100
20-09-21,10.75,11.0,11.2,10.7,6200
21-09-21,11.0,11.0,11.2,11.0,20000
22-09-21,11.0,11.6,11.75,11.0,10000
23-09-21,11.6,11.0,11.6,11.0,3300
24-09-21,11.1,11.5,11.75,11.1,12200
27-09-21,11.0,10.9,11.3,10.9,3700
28-09-21,11.0,10.9,11.0,10.9,1700
29-09-21,10.9,11.65,11.65,10.9,4300
30-09-21,11.6,11.6,11.6,11.6,100
01-10-21,11.0,11.05,11.05,11.0,1200
04-10-21,10.4,10.5,10.6,10.4,4400
05-10-21,11.1,11.0,11.2,11.0,11600
06-10-21,10.5,10.7,11.4,10.5,6700
07-10-21,10.7,10.7,10.7,10.7,0
08-10-21,10.6,10.6,10.6,10.6,10000
11-10-21,10.4,10.6,10.6,10.4,10300
12-10-21,10.7,11.3,11.3,10.7,11400
13-10-21,11.9,11.3,11.9,10.8,12500
14-10-21,11.2,11.3,11.3,11.2,1800
15-10-21,11.2,11.4,12.0,11.2,30500
18-10-21,11.75,11.6,11.75,11.4,9800
19-10-21,11.1,11.3,11.3,11.1,9500
20-10-21,11.2,11.3,11.3,11.2,300
21-10-21,11.5,11.4,11.5,11.3,2400
22-10-21,12.15,12.15,12.15,11.45,118400
25-10-21,13.0,13.0,13.0,12.5,59500
26-10-21,13.05,13.1,13.1,13.05,2000
27-10-21,12.3,13.0,13.3,12.3,13600
28-10-21,13.0,13.9,13.9,13.0,124200
29-10-21,14.0,14.2,14.85,14.0,37900
01-11-21,14.0,14.6,14.6,14.0,34300
02-11-21,14.2,14.0,14.8,14.0,23700
03-11-21,13.9,13.9,14.4,13.9,32100
04-11-21,13.6,13.1,14.0,13.1,6700
05-11-21,14.0,13.8,14.0,13.1,49300
08-11-21,14.7,14.2,14.7,13.8,45200
09-11-21,14.1,14.1,14.3,14.0,41700
10-11-21,13.3,14.1,14.4,13.2,2400
11-11-21,13.2,14.1,14.2,13.2,34600
12-11-21,14.0,14.05,14.1,13.9,8900
15-11-21,14.2,14.8,15.0,14.05,115900
16-11-21,15.0,14.9,15.0,14.3,40900
17-11-21,14.1,14.3,14.7,14.1,2700
18-11-21,14.2,14.5,14.5,13.3,61300
19-11-21,13.6,13.8,14.4,13.6,34600
22-11-21,14.6,13.15,14.65,13.15,20500
23-11-21,13.2,14.0,14.0,13.2,44000
24-11-21,13.1,14.95,14.95,13.1,71100
25-11-21,14.9,14.2,14.9,14.2,3000
26-11-21,14.0,14.5,14.9,14.0,18900
29-11-21,13.5,14.2,14.5,13.5,60900
30-11-21,14.2,14.5,14.5,13.9,5300
01-12-21,14.4,13.9,14.4,13.8,6600
02-12-21,13.2,13.95,13.95,13.2,27400
03-12-21,13.55,14.4,14.4,13.55,2200
06-12-21,14.4,13.5,14.4,13.5,10700
07-12-21,14.1,14.2,14.4,14.0,33400
08-12-21,14.0,14.0,14.1,13.9,13700
09-12-21,14.0,13.8,14.0,13.8,4300
10-12-21,14.05,13.8,14.05,13.8,45500
13-12-21,13.25,13.8,13.95,13.25,39000
14-12-21,13.8,13.5,13.8,13.0,18700
15-12-21,13.4,13.3,13.5,12.9,22600
16-12-21,13.55,13.5,13.55,13.3,42100
17-12-21,13.5,13.0,13.85,13.0,24200
20-12-21,13.1,13.1,13.1,13.1,3000
