Date,Open,Close,High,Low,Volume
16-11-20,27.4,26.8,27.4,26.7,921370
17-11-20,27.1,27.1,27.2,27.0,821070
18-11-20,27.9,27.3,27.9,27.2,2813620
19-11-20,27.3,27.0,27.3,26.9,763200
20-11-20,26.9,27.2,27.35,26.7,977970
23-11-20,27.3,27.0,27.35,26.85,673760
24-11-20,27.0,26.75,27.15,26.75,982590
25-11-20,26.8,26.85,27.0,26.8,657860
26-11-20,26.85,26.7,26.9,26.6,449000
27-11-20,26.7,26.75,26.8,26.7,334760
30-11-20,26.75,26.7,27.2,26.7,806660
01-12-20,25.6,26.45,26.45,25.6,790900
02-12-20,26.05,26.2,26.3,26.05,807120
03-12-20,26.15,26.15,26.2,26.05,587680
04-12-20,26.15,26.4,26.5,26.15,483950
07-12-20,26.5,26.6,26.65,26.45,563080
08-12-20,26.8,26.65,26.8,26.55,539900
09-12-20,26.7,26.85,27.05,26.7,793890
10-12-20,27.0,26.55,27.0,26.5,683250
11-12-20,26.7,27.45,27.5,26.6,2357600
14-12-20,27.85,27.7,27.85,27.5,1550880
15-12-20,27.5,27.7,27.9,27.4,1228820
16-12-20,27.6,28.5,28.85,27.5,1920380
17-12-20,28.35,28.0,28.7,27.9,1586160
18-12-20,28.05,28.15,28.4,28.05,942350
21-12-20,28.2,28.25,28.3,28.05,1802010
22-12-20,28.0,28.05,28.2,27.8,1207330
23-12-20,28.1,27.75,28.15,27.7,1552100
24-12-20,27.75,27.35,27.9,25.9,1157430
25-12-20,27.8,28.15,28.4,27.25,1618240
28-12-20,29.0,28.15,29.0,28.0,1556300
29-12-20,28.15,28.3,28.4,27.85,1277340
30-12-20,28.3,28.35,28.9,28.3,1104710
31-12-20,28.35,28.3,28.55,28.25,742640
04-01-21,28.5,28.55,28.9,28.3,1966600
05-01-21,28.3,28.3,28.5,28.25,1310800
06-01-21,28.3,28.15,28.3,28.0,1150000
07-01-21,28.5,28.6,28.95,28.15,1668700
08-01-21,28.8,29.2,29.4,28.8,2478600
11-01-21,31.2,31.2,31.2,30.6,2407600
12-01-21,32.4,32.0,32.4,31.95,2311500
13-01-21,32.0,31.1,32.0,31.1,2170500
14-01-21,31.15,30.8,31.2,30.45,1864700
15-01-21,30.9,30.85,31.4,30.8,1423200
18-01-21,30.85,30.65,30.9,30.6,1523800
19-01-21,30.55,28.6,30.55,28.55,1713800
20-01-21,28.6,28.7,29.2,27.05,1204200
21-01-21,29.0,29.45,29.5,29.0,1008300
22-01-21,29.5,29.2,29.7,29.0,1001700
25-01-21,29.0,29.1,29.5,29.0,651900
26-01-21,29.1,28.1,29.2,27.8,905900
27-01-21,28.0,27.25,28.0,27.05,1005700
28-01-21,25.4,25.35,25.8,25.35,1638500
29-01-21,23.7,25.85,27.1,23.7,1063900
01-02-21,25.9,25.1,26.0,25.1,748100
02-02-21,25.2,25.3,25.3,24.5,570500
03-02-21,25.45,26.15,26.25,25.45,530100
04-02-21,26.0,26.1,26.6,26.0,529900
05-02-21,26.2,26.5,26.6,26.2,433300
08-02-21,26.5,25.55,26.5,24.7,820100
09-02-21,25.55,26.35,26.35,25.5,446800
17-02-21,26.4,27.25,27.25,26.4,680200
18-02-21,27.3,27.25,27.3,26.95,837900
19-02-21,27.0,26.9,27.2,26.65,1482400
22-02-21,27.35,27.5,27.6,27.1,1278800
23-02-21,27.5,28.6,28.8,27.5,1423300
24-02-21,29.0,28.8,29.3,28.3,1925300
25-02-21,29.3,29.0,29.5,28.8,1601700
