Date,Open,Close,High,Low,Volume
16-11-20,14.35,14.15,14.5,14.1,910430
17-11-20,14.2,14.4,14.45,14.2,899960
18-11-20,14.5,14.75,14.85,14.45,2502040
19-11-20,14.8,14.95,15.2,14.8,2753090
20-11-20,15.0,15.5,15.5,14.95,2535040
23-11-20,15.45,15.3,15.45,15.15,1569620
24-11-20,15.3,14.9,15.4,14.85,2748620
25-11-20,14.9,15.2,15.3,14.9,2123120
26-11-20,15.1,15.7,15.8,15.1,3139450
27-11-20,15.6,15.65,15.75,15.4,1677000
30-11-20,15.65,15.85,15.85,15.65,2432140
01-12-20,15.3,15.8,15.85,15.3,4558860
02-12-20,15.8,15.65,15.9,15.55,2882060
03-12-20,15.65,16.25,16.5,15.5,5379660
04-12-20,16.3,16.2,16.5,16.1,2649350
07-12-20,16.1,16.15,16.25,16.0,2131490
08-12-20,16.1,16.05,16.2,15.9,3003960
09-12-20,16.05,16.2,16.5,16.05,2854520
10-12-20,16.25,15.75,16.4,15.6,3356410
11-12-20,15.8,15.85,15.85,15.5,3805330
14-12-20,15.85,16.05,16.1,15.85,2185130
15-12-20,16.0,16.45,16.65,15.95,4945370
16-12-20,16.5,16.5,16.6,16.3,2402530
17-12-20,17.2,17.65,17.65,16.8,7312560
18-12-20,18.0,17.8,18.0,17.55,5110620
21-12-20,17.9,19.0,19.0,17.7,10021310
22-12-20,19.0,20.3,20.3,18.7,10194230
23-12-20,21.45,19.3,21.45,19.1,8239570
24-12-20,20.35,20.65,20.65,19.2,13937880
25-12-20,21.85,22.05,22.05,21.5,8868760
28-12-20,23.5,23.55,23.55,23.3,9439470
29-12-20,23.0,23.35,25.0,22.55,11973090
30-12-20,23.05,23.0,24.35,22.5,9832560
31-12-20,23.2,24.4,24.4,22.65,8521050
04-01-21,26.0,26.1,26.1,25.3,6590800
05-01-21,26.5,27.0,27.9,26.5,11967600
06-01-21,27.1,26.2,27.7,26.0,10553700
07-01-21,26.5,27.0,27.2,26.2,8000200
08-01-21,27.0,27.5,28.8,26.5,9368600
11-01-21,28.5,28.2,28.5,27.1,7499500
12-01-21,28.4,29.85,29.95,28.35,7369000
13-01-21,30.05,31.2,31.45,29.2,8616000
14-01-21,31.5,33.35,33.35,31.5,9666300
15-01-21,35.3,34.4,35.65,34.05,10564200
18-01-21,34.85,36.8,36.8,33.7,8757000
19-01-21,38.4,36.8,39.3,34.25,11627500
20-01-21,38.0,37.2,38.8,34.5,11972000
21-01-21,38.0,39.8,39.8,37.6,12757300
22-01-21,41.8,42.55,42.55,41.1,7671300
25-01-21,45.0,45.5,45.5,44.0,8166500
26-01-21,42.35,42.55,47.0,42.35,17746000
27-01-21,41.1,39.6,42.5,39.6,13479100
28-01-21,36.85,36.85,36.85,36.85,938200
29-01-21,34.3,36.85,38.5,34.3,23684100
01-02-21,34.3,34.3,36.95,34.3,13514100
02-02-21,32.0,36.7,36.7,31.9,14295200
03-02-21,37.5,39.25,39.25,37.2,7049500
04-02-21,39.5,40.15,41.0,38.5,9628700
05-02-21,40.2,40.0,40.8,39.5,6679400
08-02-21,39.5,37.2,40.1,37.2,10802200
09-02-21,37.2,38.6,39.45,35.0,6590100
17-02-21,40.1,41.3,41.3,39.0,4650600
18-02-21,42.0,43.0,43.35,41.7,6804800
19-02-21,41.8,41.6,43.0,41.2,7407900
22-02-21,41.6,40.9,42.0,39.6,6066600
23-02-21,40.9,40.0,40.9,39.8,4975600
24-02-21,40.4,39.0,40.7,38.8,4728700
25-02-21,39.6,39.1,39.6,38.05,5575700
26-02-21,38.4,39.0,39.2,38.2,2735100
01-03-21,39.4,39.3,39.95,38.9,3284300
02-03-21,40.0,39.25,40.0,39.25,4149800
03-03-21,39.25,38.85,39.6,38.7,3621700
04-03-21,38.85,37.45,39.0,37.0,5142500
05-03-21,36.9,37.4,37.95,36.0,4065100
08-03-21,37.5,39.7,40.0,36.9,7643700
09-03-21,39.5,39.1,39.6,38.8,2884700
10-03-21,38.85,38.4,39.05,38.0,1996100
11-03-21,39.4,39.0,39.5,38.8,3388100
12-03-21,39.0,39.8,40.5,39.0,11436000
15-03-21,40.95,40.3,40.95,40.2,4751400
16-03-21,40.3,40.15,40.5,39.7,2859100
17-03-21,40.0,39.7,40.1,39.5,4973900
18-03-21,40.25,39.9,40.4,39.7,4613600
19-03-21,40.0,41.5,42.0,39.85,9384700
22-03-21,42.3,41.4,42.5,41.1,6047700
23-03-21,41.4,40.5,41.8,40.0,4909700
24-03-21,39.7,38.8,40.4,37.9,5343700
25-03-21,39.0,38.2,39.3,38.0,4854200
26-03-21,37.9,38.2,38.7,35.85,8709600
29-03-21,38.4,37.45,38.85,37.3,5662300
30-03-21,38.0,38.6,39.15,37.0,4767300
31-03-21,38.4,38.15,39.0,38.1,2563500
01-04-21,38.15,38.75,39.0,38.1,3146400
