Date,Open,Close,High,Low,Volume
19-08-22,10.15,10.2,10.4,9.96,1442100
22-08-22,10.15,9.58,10.15,9.54,2237300
23-08-22,9.4,10.1,10.1,9.4,2138300
24-08-22,10.0,9.99,10.15,9.91,1402300
25-08-22,9.99,10.0,10.2,9.97,1619900
26-08-22,10.0,9.99,10.1,9.7,1718500
29-08-22,9.81,9.55,9.81,9.3,2093300
30-08-22,9.53,9.55,9.75,9.35,1329600
31-08-22,9.35,9.53,9.63,9.35,997300
05-09-22,9.49,9.25,9.52,9.18,1589500
06-09-22,9.27,9.33,9.52,9.23,1632900
07-09-22,9.3,9.0,9.3,8.9,1781900
08-09-22,9.0,8.61,9.15,8.61,1511000
09-09-22,8.86,8.8,8.89,8.56,1719600
12-09-22,8.86,8.96,9.13,8.85,1315300
13-09-22,9.0,8.96,9.03,8.85,1055600
14-09-22,8.86,8.98,9.0,8.7,1326600
15-09-22,9.1,9.0,9.13,8.86,1870500
16-09-22,9.05,8.8,9.06,8.77,1126700
19-09-22,8.67,8.19,8.8,8.19,2094300
20-09-22,8.14,8.24,8.24,7.93,1653900
21-09-22,7.98,8.1,8.35,7.98,914500
22-09-22,7.96,8.2,8.3,7.96,920000
23-09-22,8.11,8.2,8.3,8.11,866700
26-09-22,8.1,7.8,8.1,7.65,1588200
27-09-22,7.76,7.8,7.9,7.7,783200
28-09-22,7.71,7.78,8.1,7.68,798900
29-09-22,7.86,7.75,8.08,7.74,697800
30-09-22,7.65,7.72,7.75,7.21,1480800
03-10-22,7.65,7.18,7.69,7.18,1271700
04-10-22,7.1,7.14,7.27,6.98,907000
05-10-22,7.34,7.6,7.6,7.18,1110200
06-10-22,7.58,7.3,7.58,7.16,877200
07-10-22,7.11,6.99,7.15,6.79,1869900
10-10-22,6.75,6.94,7.05,6.6,943700
11-10-22,6.71,6.46,6.85,6.46,1076600
12-10-22,6.46,6.6,6.6,6.26,1130000
13-10-22,6.69,6.8,6.89,6.54,1201900
14-10-22,6.83,7.14,7.15,6.83,1104900
17-10-22,7.0,7.05,7.1,6.79,887700
18-10-22,7.2,7.08,7.29,7.03,850700
19-10-22,7.08,7.08,7.1,6.95,452100
20-10-22,7.05,6.99,7.05,6.72,779500
