Date,Open,Close,High,Low,Volume
16-11-20,5.68,5.69,5.69,5.66,16820
17-11-20,5.61,5.68,5.69,5.61,250
18-11-20,5.69,5.68,5.75,5.68,30220
19-11-20,5.7,5.7,5.72,5.7,37100
20-11-20,5.7,5.7,5.7,5.7,10890
23-11-20,5.7,6.09,6.09,5.32,105330
24-11-20,6.09,6.49,6.51,6.0,277870
25-11-20,6.49,6.52,6.54,6.4,167300
26-11-20,6.52,6.37,6.52,6.3,53200
27-11-20,6.3,6.3,6.42,6.26,351950
30-11-20,6.3,6.25,6.3,6.2,322010
01-12-20,6.21,6.27,6.27,6.0,45800
02-12-20,6.21,6.19,6.27,6.06,56150
03-12-20,6.1,6.49,6.49,6.05,173860
04-12-20,6.4,6.46,6.47,6.39,32550
07-12-20,6.4,6.4,6.4,6.36,11610
08-12-20,6.4,6.41,6.54,6.35,154920
09-12-20,6.46,6.46,6.47,6.4,40030
10-12-20,6.45,6.02,6.47,6.02,386210
11-12-20,6.02,6.3,6.4,6.0,1880930
14-12-20,6.3,6.74,6.74,6.3,975170
15-12-20,6.74,7.1,7.21,6.74,509050
16-12-20,7.1,7.1,7.3,6.86,94590
17-12-20,6.91,6.83,7.0,6.8,200460
18-12-20,7.2,6.83,7.2,6.7,317440
21-12-20,6.9,7.0,7.0,6.7,242660
22-12-20,7.0,6.97,7.0,6.79,137740
23-12-20,6.9,7.01,7.09,6.9,256790
24-12-20,7.01,6.9,7.17,6.8,132380
25-12-20,6.81,6.95,6.99,6.81,57540
28-12-20,7.0,6.85,7.0,6.82,112920
29-12-20,6.98,6.95,6.98,6.8,31960
30-12-20,6.95,6.78,7.0,6.78,348340
31-12-20,6.9,6.92,6.97,6.71,107530
04-01-21,6.92,6.93,6.95,6.9,94700
05-01-21,6.82,6.9,6.92,6.8,59900
06-01-21,6.93,6.83,6.93,6.83,70500
07-01-21,6.83,6.83,6.85,6.8,71200
08-01-21,6.84,7.01,7.1,6.84,311600
11-01-21,7.17,7.25,7.3,7.1,162100
12-01-21,7.25,7.24,7.25,7.2,168700
13-01-21,7.24,7.05,7.26,7.0,188000
14-01-21,7.07,7.0,7.15,6.91,115700
15-01-21,7.09,7.0,7.09,7.0,78200
18-01-21,7.0,7.2,7.2,6.94,135100
19-01-21,7.2,6.9,7.22,6.8,174900
20-01-21,6.8,6.9,7.0,6.75,123500
21-01-21,7.0,7.3,7.38,6.92,505600
22-01-21,7.3,7.81,7.81,7.22,1241200
25-01-21,8.09,7.95,8.11,7.81,926000
26-01-21,7.9,7.62,7.95,7.51,466200
27-01-21,7.55,7.39,7.69,7.3,449300
28-01-21,7.0,6.88,7.3,6.88,498800
29-01-21,6.54,7.1,7.35,6.54,181600
01-02-21,7.28,6.99,7.28,6.8,108700
02-02-21,7.08,7.07,7.08,6.76,36400
03-02-21,7.09,7.07,7.09,6.9,85400
04-02-21,7.1,7.06,7.1,6.91,93900
05-02-21,7.1,7.0,7.1,7.0,17500
08-02-21,7.0,6.75,7.0,6.75,94600
09-02-21,6.75,7.04,7.04,6.75,31800
17-02-21,7.04,7.0,7.15,7.0,98600
18-02-21,7.0,7.04,7.12,7.0,95100
19-02-21,7.06,7.05,7.06,7.0,75100
22-02-21,7.05,7.05,7.1,7.0,133700
23-02-21,7.05,6.99,7.05,6.9,113000
24-02-21,7.0,6.9,7.0,6.9,50700
25-02-21,6.98,7.0,7.0,6.91,46300
26-02-21,6.9,6.95,7.0,6.89,69600
01-03-21,7.08,7.08,7.1,6.9,191400
02-03-21,7.12,7.0,7.12,6.9,108200
03-03-21,7.0,7.0,7.07,6.91,96800
04-03-21,7.0,6.95,7.0,6.9,71400
05-03-21,6.9,7.0,7.0,6.87,134100
08-03-21,7.0,7.02,7.03,6.94,56300
09-03-21,7.0,7.04,7.08,6.94,236300
10-03-21,7.09,7.53,7.53,7.05,511000
11-03-21,7.95,7.75,8.0,7.53,201400
12-03-21,7.7,7.5,7.7,7.4,279200
15-03-21,7.5,7.46,7.5,7.3,278800
16-03-21,7.42,7.5,7.7,7.42,169600
17-03-21,7.5,7.44,7.5,7.41,185700
18-03-21,7.58,7.49,7.58,7.46,117300
19-03-21,7.43,7.5,7.58,7.43,170400
22-03-21,7.6,7.64,7.7,7.5,219000
23-03-21,7.6,7.52,7.6,7.5,96000
24-03-21,7.46,7.27,7.46,7.27,208300
25-03-21,7.16,7.21,7.36,7.16,76100
26-03-21,7.21,7.23,7.34,7.18,164900
29-03-21,7.23,7.37,7.42,7.2,62700
30-03-21,7.3,7.28,7.3,7.23,64200
31-03-21,7.29,7.24,7.3,7.2,117500
01-04-21,7.24,7.35,7.38,7.24,170100
02-04-21,7.35,7.4,7.5,7.35,196300
05-04-21,7.4,7.36,7.4,7.3,106900
06-04-21,7.4,7.38,7.4,7.33,174300
07-04-21,7.4,7.38,7.44,7.36,268400
08-04-21,7.4,7.4,7.5,7.38,298900
09-04-21,7.4,7.7,7.84,7.4,250000
12-04-21,7.7,7.7,7.78,7.5,419100
13-04-21,7.7,7.46,7.7,7.46,231300
14-04-21,7.4,7.7,7.8,7.36,841500
15-04-21,7.75,7.58,7.75,7.54,218200
16-04-21,7.56,7.51,7.64,7.44,108900
19-04-21,7.11,7.06,7.26,7.0,605200
20-04-21,7.06,6.87,7.06,6.87,271600
22-04-21,6.86,6.88,6.98,6.8,107500
23-04-21,6.78,6.85,6.89,6.78,121800
26-04-21,6.85,6.74,6.85,6.68,250900
27-04-21,6.98,6.71,6.98,6.7,65700
28-04-21,6.78,6.75,6.78,6.7,34200
29-04-21,6.9,6.7,6.9,6.69,113800
04-05-21,6.6,6.55,6.65,6.41,195400
05-05-21,6.69,6.68,6.69,6.6,100400
06-05-21,6.68,6.6,6.68,6.55,173600
07-05-21,6.6,6.48,6.6,6.47,86800
10-05-21,6.43,6.45,6.47,6.4,89500
11-05-21,6.45,6.53,6.58,6.32,111800
12-05-21,6.53,6.57,6.64,6.5,96900
13-05-21,6.57,6.69,6.74,6.57,107100
14-05-21,6.6,6.8,6.9,6.6,104200
17-05-21,6.8,6.73,6.8,6.7,34900
18-05-21,6.64,6.74,6.79,6.64,24100
19-05-21,6.72,6.63,6.73,6.61,45900
20-05-21,6.62,6.7,6.7,6.61,23100
21-05-21,6.79,6.75,6.79,6.7,76700
24-05-21,6.72,6.73,6.76,6.69,79100
25-05-21,6.7,6.73,6.79,6.7,50200
26-05-21,6.72,6.65,6.72,6.61,113400
27-05-21,6.74,6.73,6.74,6.65,56000
28-05-21,6.7,6.68,6.74,6.67,49600
31-05-21,6.7,6.67,6.7,6.66,70500
01-06-21,6.67,6.66,6.68,6.66,36600
02-06-21,6.65,6.7,6.74,6.63,69500
03-06-21,6.7,6.7,6.75,6.7,80900
04-06-21,6.74,6.75,6.78,6.74,29000
07-06-21,6.75,6.75,6.8,6.75,39700
08-06-21,6.74,6.73,6.79,6.72,42700
09-06-21,6.71,6.73,6.73,6.65,19300
10-06-21,6.72,6.72,6.73,6.66,17100
11-06-21,6.72,6.75,6.75,6.6,176300
14-06-21,6.75,6.72,6.75,6.66,83000
15-06-21,6.72,6.65,6.72,6.65,86300
