Date,Open,Close,High,Low,Volume
16-11-20,6.85,6.6,6.88,6.6,4839840
17-11-20,6.6,6.62,6.68,6.56,3459610
18-11-20,6.65,6.57,6.65,6.5,3821360
19-11-20,6.57,6.66,6.75,6.55,4181500
20-11-20,6.73,6.95,6.99,6.65,8906400
23-11-20,7.09,6.93,7.13,6.92,6854630
24-11-20,6.93,6.79,6.98,6.67,5041570
25-11-20,6.81,6.69,6.83,6.69,4435150
26-11-20,6.64,6.7,6.71,6.58,3881250
27-11-20,6.7,6.69,6.8,6.67,3139790
30-11-20,6.67,6.56,6.69,6.51,6891150
01-12-20,6.4,6.57,6.58,6.35,4795250
02-12-20,6.57,6.66,6.81,6.55,3959080
03-12-20,6.71,6.66,6.74,6.62,4410640
04-12-20,6.67,6.82,6.9,6.66,7971670
07-12-20,6.86,6.9,7.05,6.86,6333920
08-12-20,6.9,6.8,6.92,6.79,4233860
09-12-20,6.8,6.77,6.85,6.77,6271380
10-12-20,6.8,6.79,7.0,6.77,8866410
11-12-20,6.8,6.8,6.89,6.77,3581820
14-12-20,6.85,6.92,6.97,6.82,5172450
15-12-20,6.9,7.4,7.4,6.86,24606180
16-12-20,7.6,7.41,7.6,7.4,8617810
17-12-20,7.4,7.5,7.75,7.31,9721640
18-12-20,7.5,7.77,7.86,7.42,11851720
21-12-20,8.05,7.8,8.05,7.77,12558940
22-12-20,7.75,8.02,8.1,7.7,10338550
23-12-20,7.98,7.8,8.21,7.79,14491110
24-12-20,7.8,7.52,7.88,7.26,11397520
25-12-20,7.52,7.77,7.8,7.2,12058070
28-12-20,7.8,7.7,7.98,7.68,14342130
29-12-20,7.7,8.07,8.2,7.6,15346150
30-12-20,8.15,8.01,8.3,8.01,9734500
31-12-20,7.8,7.85,7.98,7.78,8932190
04-01-21,7.98,7.78,7.98,7.7,11973800
05-01-21,7.7,7.91,8.09,7.5,12201400
06-01-21,8.0,7.88,8.0,7.78,6493100
07-01-21,7.88,8.43,8.43,7.84,19301600
08-01-21,8.6,8.4,8.67,8.3,10392400
11-01-21,8.52,8.62,8.79,8.27,10712000
12-01-21,8.63,8.7,8.72,8.45,9200700
13-01-21,8.72,8.55,8.75,8.45,9241900
14-01-21,8.56,8.55,8.57,8.4,7350200
15-01-21,8.68,8.4,8.69,8.21,15089300
18-01-21,8.4,8.45,8.65,8.25,8366700
19-01-21,8.48,7.86,8.5,7.86,8146800
20-01-21,7.65,7.68,7.86,7.31,8513100
21-01-21,7.68,7.93,7.96,7.45,9398700
22-01-21,7.83,7.83,8.13,7.76,7940900
25-01-21,7.76,8.37,8.37,7.75,10069200
26-01-21,8.8,8.59,8.89,8.2,16369100
27-01-21,8.35,7.99,8.67,7.99,9174100
28-01-21,7.44,7.44,7.58,7.44,6159000
29-01-21,6.92,7.21,7.6,6.92,9239800
01-02-21,7.05,6.71,7.3,6.71,8580700
02-02-21,6.71,6.78,6.8,6.25,6252700
03-02-21,6.81,7.07,7.24,6.78,4920200
04-02-21,7.07,7.11,7.35,7.01,4381000
05-02-21,7.15,7.1,7.32,7.0,6746800
08-02-21,7.1,6.66,7.13,6.65,5837700
09-02-21,6.66,6.75,6.8,6.5,5854100
17-02-21,6.95,7.22,7.22,6.85,5248100
18-02-21,7.25,7.35,7.5,7.2,7204300
19-02-21,7.15,7.29,7.39,7.15,4532400
22-02-21,7.3,7.6,7.77,7.29,10329900
23-02-21,7.67,7.6,7.7,7.52,5166300
24-02-21,7.61,7.39,7.65,7.31,5910700
25-02-21,7.4,7.27,7.44,7.2,7519600
26-02-21,7.1,7.23,7.27,7.1,4377700
01-03-21,7.25,7.45,7.49,7.25,3928000
02-03-21,7.5,7.4,7.55,7.31,4552300
03-03-21,7.35,7.69,7.7,7.34,6966100
04-03-21,7.69,7.42,7.75,7.3,4362100
05-03-21,7.33,7.42,7.42,7.2,3999900
08-03-21,7.5,7.52,7.61,7.44,5583300
09-03-21,7.52,7.72,7.89,7.42,8816400
10-03-21,7.83,7.8,7.87,7.72,4651400
11-03-21,7.85,7.7,7.85,7.67,5139900
12-03-21,7.7,7.71,7.74,7.63,8286000
15-03-21,7.72,8.0,8.13,7.72,14782400
16-03-21,8.05,7.93,8.07,7.79,6901900
17-03-21,7.9,7.88,7.91,7.8,5019800
18-03-21,7.9,7.83,7.9,7.8,5863700
19-03-21,7.8,8.0,8.0,7.65,7785800
22-03-21,8.0,8.0,8.1,7.91,10236900
23-03-21,8.0,7.95,8.0,7.8,5403500
24-03-21,7.81,7.75,7.89,7.63,5373600
25-03-21,7.92,7.8,8.01,7.78,13679000
26-03-21,7.8,7.72,7.88,7.45,6646700
29-03-21,7.8,8.0,8.19,7.75,12735600
30-03-21,8.1,7.94,8.12,7.9,8189200
31-03-21,7.94,8.49,8.49,7.85,22637100
01-04-21,8.63,8.53,8.7,8.51,11166600
02-04-21,8.55,8.48,8.62,8.45,8044200
05-04-21,8.44,8.45,8.48,8.31,10698700
06-04-21,8.46,8.65,8.8,8.46,8943300
07-04-21,8.67,8.55,8.7,8.51,5706500
08-04-21,8.6,8.42,8.63,8.4,8680800
09-04-21,8.42,8.48,8.54,8.38,6259200
12-04-21,8.69,9.07,9.07,8.6,21672300
13-04-21,9.09,8.79,9.2,8.7,14093000
14-04-21,8.65,8.91,8.94,8.6,10084300
15-04-21,8.99,9.08,9.4,8.8,15138300
16-04-21,8.8,8.47,9.04,8.45,16621900
19-04-21,8.5,8.28,8.52,8.0,8772300
20-04-21,8.3,8.28,8.45,8.0,9213200
22-04-21,8.2,7.8,8.24,7.8,9554400
23-04-21,7.7,7.97,8.0,7.61,7673400
26-04-21,7.97,7.52,7.98,7.51,5605900
27-04-21,7.53,7.52,7.67,7.4,3898800
28-04-21,7.51,7.61,7.72,7.51,3919700
29-04-21,7.69,7.59,7.7,7.55,3304300
04-05-21,7.21,7.32,7.42,7.21,5210500
05-05-21,7.34,7.5,7.69,7.32,5122700
06-05-21,7.55,7.51,7.71,7.5,4062700
07-05-21,7.45,7.16,7.5,7.15,5862000
10-05-21,7.08,7.09,7.16,6.91,8725600
11-05-21,7.05,7.22,7.33,7.05,5490300
12-05-21,7.15,7.38,7.41,7.15,3170800
13-05-21,7.38,7.19,7.4,7.18,4807100
14-05-21,7.2,7.2,7.3,7.15,4315200
17-05-21,7.23,7.16,7.31,7.15,3504100
18-05-21,7.16,7.06,7.2,7.01,3420200
19-05-21,7.0,6.93,7.07,6.89,6407100
20-05-21,6.93,6.64,6.95,6.63,7077500
21-05-21,6.64,7.1,7.1,6.55,6288600
24-05-21,7.22,7.21,7.5,7.05,4937600
25-05-21,7.17,7.18,7.3,7.14,4002500
26-05-21,7.1,7.05,7.18,7.05,4433200
27-05-21,7.04,7.06,7.2,6.91,4955300
