Date,Open,Close,High,Low,Volume
16-11-20,14.0,14.95,15.25,13.95,460
17-11-20,14.0,14.0,14.0,14.0,100
18-11-20,13.05,14.7,14.7,13.05,1880
19-11-20,13.7,13.75,14.7,13.7,210
20-11-20,13.7,14.0,14.0,13.7,1150
23-11-20,13.05,14.0,14.6,13.05,280
24-11-20,13.05,14.0,14.0,13.05,260
25-11-20,14.25,13.9,14.3,13.1,3150
26-11-20,14.0,13.4,14.0,13.4,20
27-11-20,13.4,14.0,14.0,13.4,370
30-11-20,14.0,13.5,14.0,13.05,970
01-12-20,13.5,13.5,13.5,13.1,530
02-12-20,13.5,13.95,13.95,12.6,2680
03-12-20,13.0,13.9,13.9,13.0,1230
04-12-20,13.45,13.45,13.45,13.45,10
07-12-20,12.55,13.2,13.2,12.55,2600
08-12-20,12.7,13.8,13.85,12.3,560
09-12-20,12.85,13.85,13.85,12.85,2630
10-12-20,13.0,13.8,13.85,13.0,690
11-12-20,13.7,13.8,13.8,13.7,520
14-12-20,13.4,13.4,13.8,13.4,10
15-12-20,13.9,13.8,13.9,12.8,500
16-12-20,12.9,13.75,13.75,12.9,870
17-12-20,13.95,13.15,13.95,13.15,150
18-12-20,13.9,13.85,13.9,13.05,480
21-12-20,13.05,13.95,13.95,13.05,230
22-12-20,13.0,13.75,13.75,13.0,2360
23-12-20,12.9,13.55,13.55,12.9,210
24-12-20,12.9,12.9,12.9,12.9,10
25-12-20,13.35,13.35,13.35,12.9,300
28-12-20,13.35,13.15,13.35,12.5,2990
29-12-20,12.5,13.35,13.35,12.35,6020
30-12-20,12.45,12.9,13.0,12.45,1210
31-12-20,12.05,13.0,13.35,12.05,3360
04-01-21,13.65,13.3,13.65,12.15,1300
05-01-21,12.45,13.0,13.25,12.45,400
06-01-21,13.3,12.9,13.3,12.9,2900
07-01-21,12.4,12.9,12.9,12.3,2300
08-01-21,12.95,13.15,13.15,12.0,4100
11-01-21,12.3,12.95,12.95,12.3,200
12-01-21,12.95,12.2,12.95,12.15,300
13-01-21,12.2,12.1,12.8,12.1,5400
14-01-21,12.65,12.6,12.65,12.2,3100
15-01-21,12.1,13.0,13.35,12.1,5200
18-01-21,13.5,13.0,13.5,12.25,700
19-01-21,13.0,12.3,13.0,12.25,1500
20-01-21,12.85,12.85,12.85,12.8,1200
21-01-21,13.1,12.85,13.2,12.85,1200
22-01-21,13.45,13.15,13.45,12.85,700
25-01-21,13.15,13.15,13.15,13.15,0
26-01-21,13.15,13.15,13.15,13.15,0
27-01-21,12.95,12.35,12.95,12.3,900
28-01-21,12.0,12.75,13.15,12.0,900
29-01-21,12.0,12.7,12.7,12.0,700
01-02-21,13.1,12.0,13.1,12.0,400
02-02-21,12.8,12.8,12.8,12.8,1100
03-02-21,12.1,12.5,12.5,12.0,2600
04-02-21,12.95,12.95,12.95,12.4,1800
05-02-21,13.15,13.15,13.15,13.15,100
08-02-21,13.0,13.05,13.2,12.35,700
09-02-21,12.95,13.0,13.0,12.95,200
17-02-21,13.0,13.0,13.0,13.0,0
18-02-21,13.4,13.4,13.4,13.4,100
19-02-21,13.7,12.8,13.7,12.8,800
22-02-21,12.5,12.95,13.2,12.5,1500
23-02-21,12.95,12.9,13.8,12.9,1500
24-02-21,13.7,13.55,13.7,12.4,3500
25-02-21,12.65,13.45,13.5,12.65,2000
26-02-21,13.45,13.45,13.45,13.45,300
01-03-21,12.55,12.75,12.75,12.55,200
02-03-21,13.0,12.75,13.0,12.05,1100
03-03-21,12.4,13.15,13.15,12.4,300
04-03-21,13.9,13.35,13.9,12.3,300
05-03-21,13.35,13.35,13.35,13.35,0
08-03-21,12.45,12.95,13.2,12.45,2400
09-03-21,13.75,12.2,13.75,12.2,1200
10-03-21,12.2,12.45,13.0,12.2,1200
11-03-21,12.95,13.0,13.25,12.95,2000
12-03-21,13.8,13.65,13.8,12.25,1100
15-03-21,13.85,13.5,13.85,12.85,2100
16-03-21,13.9,13.9,13.9,13.9,100
17-03-21,13.0,12.95,13.0,12.95,1500
18-03-21,13.6,12.8,13.6,12.3,700
19-03-21,12.8,13.1,13.4,12.8,2300
22-03-21,13.7,13.45,13.7,13.4,3100
23-03-21,13.4,13.5,13.5,13.4,800
24-03-21,13.55,13.5,13.55,13.5,1500
25-03-21,13.55,13.55,13.55,13.5,400
26-03-21,13.55,13.55,13.55,13.55,100
29-03-21,13.55,13.55,13.55,13.55,0
30-03-21,12.8,13.5,13.55,12.8,800
31-03-21,13.55,13.55,13.55,13.55,200
01-04-21,12.8,12.8,12.8,12.8,300
02-04-21,13.0,12.2,13.5,12.2,900
05-04-21,13.05,13.05,13.05,13.0,5700
06-04-21,13.05,13.75,13.9,13.05,2800
07-04-21,13.0,13.5,13.5,13.0,400
08-04-21,13.9,13.7,13.9,13.7,300
09-04-21,13.7,13.7,13.7,13.5,1600
12-04-21,12.8,13.6,13.7,12.8,2600
13-04-21,12.85,13.6,13.8,12.85,1300
14-04-21,12.85,13.6,13.6,12.85,4000
15-04-21,12.9,14.0,14.0,12.9,6800
16-04-21,13.5,14.1,14.3,13.5,6700
19-04-21,14.1,14.0,14.1,14.0,500
20-04-21,14.1,14.1,14.1,14.0,800
22-04-21,13.5,13.5,13.5,13.2,300
23-04-21,13.95,13.85,13.95,12.8,6000
26-04-21,12.95,13.8,13.8,12.9,900
27-04-21,12.95,13.8,14.1,12.95,1400
28-04-21,13.0,13.55,13.55,13.0,300
29-04-21,12.8,13.25,13.25,12.8,1300
04-05-21,13.0,13.7,13.7,13.0,900
05-05-21,12.8,13.5,13.5,12.8,700
06-05-21,12.65,13.4,13.45,12.65,1000
07-05-21,13.4,13.4,13.4,13.4,100
10-05-21,13.0,13.3,13.3,13.0,200
11-05-21,13.4,13.3,13.4,12.5,2500
12-05-21,13.25,13.25,13.25,13.25,600
13-05-21,12.45,13.15,13.15,12.45,300
14-05-21,12.55,13.0,13.0,12.35,4500
17-05-21,12.25,13.1,13.1,12.25,1100
18-05-21,13.1,13.1,13.1,13.1,100
19-05-21,12.35,12.5,12.5,12.35,500
20-05-21,12.5,12.35,12.5,12.35,300
21-05-21,13.1,13.1,13.1,13.1,100
24-05-21,12.95,12.25,12.95,12.25,1500
25-05-21,12.9,11.9,12.9,11.9,2000
26-05-21,12.0,12.65,12.65,11.9,2900
27-05-21,11.85,12.85,12.85,11.8,1300
28-05-21,12.85,12.85,12.85,12.85,0
31-05-21,13.65,12.0,13.65,12.0,2100
01-06-21,12.4,12.4,12.4,12.4,100
02-06-21,11.75,12.0,12.5,11.75,1000
03-06-21,12.45,12.2,12.45,11.25,2000
04-06-21,11.35,12.25,12.25,11.35,1100
07-06-21,12.0,12.4,12.45,12.0,700
08-06-21,11.9,11.9,11.9,11.7,700
09-06-21,12.15,12.0,12.15,12.0,300
10-06-21,12.0,12.05,12.3,11.2,1300
11-06-21,12.05,11.45,12.05,11.35,1000
14-06-21,11.5,11.95,11.95,11.5,6900
15-06-21,11.95,11.95,11.95,11.95,300
16-06-21,11.5,11.8,11.8,11.5,2200
17-06-21,11.05,11.6,11.6,11.05,7500
18-06-21,11.95,11.8,11.95,11.45,1400
21-06-21,11.5,12.0,12.0,11.5,900
22-06-21,11.25,11.6,11.6,11.25,1200
23-06-21,11.9,12.0,12.0,11.7,3700
24-06-21,12.0,12.0,12.0,12.0,0
25-06-21,12.0,12.0,12.0,12.0,0
28-06-21,11.9,11.9,11.9,11.9,300
29-06-21,11.9,11.9,11.9,11.9,0
30-06-21,11.2,11.65,11.65,11.1,3700
01-07-21,11.65,11.65,11.65,11.6,400
02-07-21,11.45,11.8,11.8,11.45,2200
05-07-21,11.75,11.05,11.75,11.05,1100
06-07-21,11.45,11.45,11.45,11.05,1400
07-07-21,11.05,11.45,11.45,11.05,400
08-07-21,10.7,10.7,10.8,10.7,1000
09-07-21,11.25,10.75,11.25,10.75,1100
12-07-21,10.5,10.9,10.9,10.0,3100
13-07-21,10.9,10.9,10.9,10.9,0
14-07-21,10.15,10.85,10.85,10.15,300
15-07-21,10.75,10.8,10.8,10.75,1200
16-07-21,10.75,11.25,11.25,10.75,1100
19-07-21,10.5,10.5,10.5,10.5,100
20-07-21,10.45,10.45,10.45,10.45,100
21-07-21,10.4,10.4,10.4,10.4,100
22-07-21,9.68,11.0,11.0,9.68,800
23-07-21,10.5,11.15,11.15,10.5,900
26-07-21,10.4,11.0,11.0,10.4,4400
27-07-21,11.3,10.3,11.3,10.3,300
28-07-21,10.3,10.85,10.9,10.3,600
29-07-21,10.85,10.85,10.85,10.85,0
30-07-21,11.35,10.25,11.35,10.25,900
02-08-21,10.3,10.3,10.3,10.2,1200
03-08-21,9.6,10.6,10.8,9.6,2200
04-08-21,10.7,10.7,10.7,10.65,400
05-08-21,10.9,10.6,10.9,10.6,2100
06-08-21,10.6,10.5,10.6,10.5,2100
09-08-21,10.4,10.5,10.5,10.4,1800
10-08-21,10.5,11.2,11.2,10.5,3700
11-08-21,11.75,11.5,11.8,11.0,1400
12-08-21,11.5,11.5,11.5,11.5,0
13-08-21,11.0,11.5,11.5,11.0,300
16-08-21,11.5,11.5,11.5,11.5,0
17-08-21,11.5,11.5,11.5,11.5,1200
18-08-21,10.7,10.8,11.6,10.7,1800
19-08-21,11.55,10.25,11.55,10.25,200
20-08-21,10.3,10.95,10.95,10.3,900
23-08-21,11.7,11.7,11.7,11.7,3100
24-08-21,12.5,12.5,12.5,12.5,8300
25-08-21,13.35,13.35,13.35,13.35,3400
26-08-21,14.25,14.25,14.25,14.25,2500
27-08-21,15.2,15.2,15.2,15.2,7000
30-08-21,16.25,16.25,16.25,16.25,4600
31-08-21,17.35,15.2,17.35,15.15,16800
01-09-21,14.95,14.15,14.95,14.15,11100
06-09-21,13.4,13.4,13.4,13.2,5400
07-09-21,13.5,14.0,14.0,12.5,9800
08-09-21,14.85,14.3,14.85,14.0,2200
09-09-21,13.8,13.9,14.6,13.8,1400
10-09-21,13.9,13.0,13.9,13.0,6600
13-09-21,13.0,13.5,13.5,13.0,900
14-09-21,13.7,14.2,14.2,13.7,2400
15-09-21,14.0,14.0,14.0,13.5,6300
16-09-21,14.4,13.05,14.5,13.05,2400
17-09-21,13.5,13.95,13.95,13.5,3200
20-09-21,14.9,14.9,14.9,14.9,8000
21-09-21,15.0,13.9,15.0,13.9,2300
22-09-21,14.0,14.1,14.1,14.0,1600
23-09-21,14.1,14.1,14.1,14.1,2500
24-09-21,13.5,13.8,13.8,13.5,4500
27-09-21,13.9,13.0,13.9,13.0,500
28-09-21,13.0,13.0,13.0,13.0,700
29-09-21,12.2,12.2,12.2,12.2,100
30-09-21,12.2,12.2,12.2,12.2,0
01-10-21,12.2,12.2,12.2,12.2,0
04-10-21,11.35,13.0,13.0,11.35,400
05-10-21,13.6,13.6,13.6,13.6,500
06-10-21,13.0,13.0,13.0,13.0,100
07-10-21,13.0,12.1,13.0,12.1,1300
08-10-21,12.2,12.2,12.8,12.2,600
11-10-21,13.05,13.05,13.05,13.05,500
12-10-21,13.1,13.1,13.1,13.1,1100
13-10-21,13.1,13.1,13.1,13.1,0
14-10-21,13.0,13.1,13.1,13.0,1400
15-10-21,13.0,13.0,13.0,13.0,200
18-10-21,13.0,13.0,13.0,13.0,300
19-10-21,13.0,13.0,13.0,13.0,0
20-10-21,13.0,13.0,13.0,13.0,0
21-10-21,13.85,13.5,13.85,13.5,1500
22-10-21,12.6,12.6,12.6,12.6,100
25-10-21,12.6,12.65,12.65,12.6,300
26-10-21,12.6,12.6,12.6,12.6,500
27-10-21,13.4,13.4,13.4,13.4,100
28-10-21,13.4,14.2,14.3,13.3,1200
29-10-21,13.55,13.25,13.55,13.25,9000
01-11-21,13.2,13.25,13.25,13.2,1200
02-11-21,13.25,13.25,13.25,13.25,0
03-11-21,13.3,13.4,14.15,13.25,2200
04-11-21,13.4,13.05,13.45,13.05,1700
05-11-21,12.6,12.6,12.6,12.6,300
08-11-21,13.0,13.0,13.0,13.0,500
09-11-21,13.85,13.7,13.9,13.7,10200
10-11-21,14.65,14.5,14.65,13.7,3900
11-11-21,15.5,15.5,15.5,14.55,3500
12-11-21,15.5,15.6,15.65,15.2,13300
15-11-21,15.6,15.6,15.6,15.0,23800
16-11-21,15.5,15.1,15.5,14.6,6900
17-11-21,15.0,15.0,15.0,15.0,2100
18-11-21,15.0,15.1,15.1,15.0,300
19-11-21,15.1,15.5,15.5,14.05,1000
22-11-21,15.35,14.45,15.35,14.45,400
23-11-21,13.45,13.45,13.45,13.45,100
24-11-21,13.3,14.0,14.0,13.3,1600
25-11-21,14.9,14.95,14.95,14.9,2000
26-11-21,15.8,14.25,15.8,14.25,7000
29-11-21,14.25,15.2,15.2,13.55,1700
30-11-21,15.5,15.7,15.75,15.5,5600
01-12-21,15.2,15.7,15.8,15.2,3800
02-12-21,15.5,14.7,15.5,14.65,1600
03-12-21,14.7,14.7,15.5,14.7,1100
06-12-21,14.7,14.7,14.7,14.7,500
07-12-21,14.5,14.5,14.7,14.5,1400
08-12-21,14.05,14.5,14.5,14.05,1000
09-12-21,14.5,14.05,15.5,14.05,1000
10-12-21,14.0,13.9,14.0,13.9,2400
13-12-21,13.9,14.0,14.0,13.9,1300
14-12-21,14.0,14.05,14.95,14.0,5600
