Date,Open,Close,High,Low,Volume
16-11-20,4.34,4.32,4.35,4.32,26070
17-11-20,4.27,4.27,4.37,4.27,12200
18-11-20,4.31,4.2,4.31,4.2,72910
19-11-20,4.22,4.19,4.22,4.18,38770
20-11-20,4.19,4.32,4.33,4.18,40040
23-11-20,4.4,4.27,4.4,4.27,15590
24-11-20,4.3,4.26,4.3,4.24,4570
25-11-20,4.26,4.24,4.29,4.24,17870
26-11-20,4.3,4.53,4.53,4.28,45110
27-11-20,4.84,4.84,4.84,4.84,70510
30-11-20,5.17,5.17,5.17,5.17,112740
01-12-20,5.18,5.35,5.45,5.0,524970
02-12-20,5.43,5.19,5.43,5.1,90890
03-12-20,4.92,5.19,5.21,4.92,135890
04-12-20,5.19,4.97,5.19,4.96,101920
07-12-20,4.96,5.0,5.12,4.96,59610
08-12-20,5.0,4.95,5.0,4.83,47390
09-12-20,4.95,4.97,4.98,4.86,61390
10-12-20,4.9,4.84,4.94,4.84,95850
11-12-20,4.78,4.76,4.83,4.75,39020
14-12-20,4.76,4.97,4.97,4.76,57000
15-12-20,4.97,4.89,5.0,4.87,20840
16-12-20,4.89,4.9,4.91,4.82,12380
17-12-20,4.94,4.9,4.94,4.86,33890
18-12-20,4.9,5.0,5.24,4.87,102660
21-12-20,5.0,5.1,5.17,5.0,86290
22-12-20,5.1,5.2,5.25,5.1,185060
23-12-20,5.3,5.49,5.56,5.2,309940
24-12-20,5.49,5.53,5.64,5.4,157450
25-12-20,5.5,5.91,5.91,5.4,201870
28-12-20,5.91,6.32,6.32,5.75,308540
29-12-20,6.68,6.7,6.74,6.5,239120
30-12-20,6.65,7.0,7.0,6.5,382780
31-12-20,6.6,6.51,6.75,6.51,340700
04-01-21,6.06,6.06,6.29,6.06,442000
05-01-21,6.0,6.28,6.28,5.75,101600
06-01-21,6.28,6.27,6.28,6.1,53700
07-01-21,6.0,6.0,6.15,5.85,123400
08-01-21,5.97,6.15,6.2,5.97,171800
11-01-21,6.19,6.2,6.2,6.0,77300
12-01-21,6.2,6.18,6.22,6.01,59200
13-01-21,6.15,6.28,6.3,6.05,237200
14-01-21,6.15,6.4,6.65,6.15,301600
15-01-21,6.68,6.42,6.68,6.4,169100
18-01-21,6.42,6.43,6.5,6.32,102900
19-01-21,6.11,5.98,6.4,5.98,124200
20-01-21,5.58,5.72,5.72,5.57,158200
21-01-21,5.72,6.04,6.08,5.71,78400
22-01-21,6.02,5.94,6.03,5.86,76700
25-01-21,5.91,6.0,6.18,5.8,110800
26-01-21,6.16,5.85,6.16,5.85,68500
27-01-21,6.08,5.8,6.08,5.56,73000
28-01-21,5.43,5.4,5.44,5.4,68800
29-01-21,5.04,5.4,5.76,5.04,50500
01-02-21,5.1,5.03,5.36,5.03,113300
02-02-21,5.35,5.24,5.35,5.0,49000
03-02-21,5.6,5.6,5.6,5.6,67500
04-02-21,5.99,5.93,5.99,5.7,112500
05-02-21,5.93,5.97,6.0,5.85,34000
08-02-21,6.0,5.6,6.0,5.56,142800
09-02-21,5.3,5.86,5.88,5.24,36300
17-02-21,5.59,5.97,5.98,5.59,25100
18-02-21,5.97,5.9,5.97,5.77,43500
19-02-21,5.83,5.8,5.88,5.77,66200
22-02-21,5.8,5.77,5.96,5.77,59900
23-02-21,5.77,5.85,5.85,5.77,8600
24-02-21,5.85,5.78,5.9,5.76,40300
25-02-21,5.79,5.84,5.9,5.79,17000
26-02-21,5.65,5.84,5.86,5.65,15600
01-03-21,5.84,5.82,5.84,5.8,32000
02-03-21,5.85,5.93,6.09,5.85,47900
03-03-21,5.9,6.21,6.33,5.9,150700
04-03-21,6.3,6.0,6.35,5.95,143900
05-03-21,6.17,6.29,6.3,5.85,68500
08-03-21,6.26,6.29,6.3,6.2,129600
09-03-21,6.02,6.2,6.28,6.02,92700
10-03-21,6.2,6.21,6.22,6.15,58500
11-03-21,6.2,6.28,6.31,6.2,71200
