Date,Open,Close,High,Low,Volume
16-11-20,27.0,26.3,27.0,26.3,253470
17-11-20,26.25,26.3,26.4,26.15,202470
18-11-20,26.3,28.1,28.1,26.25,570790
19-11-20,29.0,28.0,29.0,27.6,359760
20-11-20,27.8,28.8,29.25,27.8,466370
23-11-20,28.8,28.5,28.8,28.2,434400
24-11-20,28.4,28.9,29.35,28.3,480900
25-11-20,28.9,30.9,30.9,28.9,1180680
26-11-20,30.9,32.7,33.05,30.9,431850
27-11-20,32.9,32.3,33.3,31.9,365060
30-11-20,32.3,32.25,33.4,31.95,428130
01-12-20,32.1,34.5,34.5,32.0,677220
02-12-20,34.5,34.2,35.95,34.0,349390
03-12-20,34.2,34.0,34.6,33.85,407450
04-12-20,34.0,33.95,36.0,33.8,417300
07-12-20,33.9,32.5,34.15,32.5,611660
08-12-20,32.4,32.05,33.3,32.0,532590
09-12-20,32.0,32.7,33.0,32.0,410480
10-12-20,33.0,32.9,33.95,32.7,316770
11-12-20,33.3,32.6,33.3,32.6,179890
14-12-20,32.6,33.2,33.4,32.45,255340
15-12-20,33.2,34.45,35.3,32.9,542320
16-12-20,35.2,34.2,35.2,33.9,200640
17-12-20,33.95,33.6,34.35,33.0,271430
18-12-20,33.4,33.3,33.8,32.75,371640
21-12-20,33.3,34.2,34.55,33.3,284110
22-12-20,34.2,36.55,36.55,34.1,871770
23-12-20,36.45,35.45,36.65,35.45,239870
24-12-20,35.45,34.3,35.85,33.0,294390
25-12-20,34.1,34.9,34.9,33.3,342290
28-12-20,35.4,34.75,35.5,34.55,230620
29-12-20,34.75,34.0,34.75,33.5,335040
30-12-20,34.0,33.8,34.0,32.65,812370
31-12-20,33.8,34.3,34.95,33.8,264040
04-01-21,34.4,35.3,36.0,34.4,293500
05-01-21,34.8,35.2,35.4,34.7,412000
06-01-21,35.5,37.15,37.65,35.25,927400
07-01-21,37.15,37.6,37.6,37.0,480500
08-01-21,37.65,37.6,37.95,37.2,439000
11-01-21,37.9,37.7,38.1,37.05,718900
12-01-21,37.75,37.95,38.3,37.4,447600
13-01-21,38.0,37.75,38.0,37.7,468500
14-01-21,37.4,37.6,37.9,37.3,292900
15-01-21,37.6,39.0,39.8,37.6,775900
18-01-21,39.0,38.35,39.5,38.35,296900
19-01-21,38.0,36.0,38.1,35.7,448700
20-01-21,36.0,34.9,36.45,33.5,326100
21-01-21,34.9,35.5,35.9,34.5,362000
22-01-21,37.7,36.9,37.7,36.0,589900
25-01-21,37.0,36.35,37.05,36.2,268200
26-01-21,36.0,35.15,36.3,33.9,250800
27-01-21,35.5,33.0,35.5,33.0,351000
28-01-21,30.7,30.7,32.05,30.7,493100
29-01-21,28.6,31.5,32.1,28.6,242100
01-02-21,31.5,29.8,31.85,29.35,246000
02-02-21,29.9,30.6,30.7,28.8,170500
03-02-21,30.6,31.8,32.0,29.5,226800
04-02-21,31.8,32.9,33.0,31.0,213100
05-02-21,32.8,33.2,33.2,32.0,117000
08-02-21,33.2,32.8,33.2,31.0,205300
09-02-21,32.8,32.2,32.8,31.05,126100
17-02-21,32.2,33.5,34.0,32.2,157300
18-02-21,33.9,33.55,33.9,33.35,163800
19-02-21,33.3,34.0,34.25,33.05,257800
22-02-21,34.0,34.0,35.0,33.8,163500
23-02-21,33.95,35.0,35.0,33.8,260600
24-02-21,35.0,34.2,35.0,33.55,213500
25-02-21,34.1,34.0,34.45,33.8,176400
26-02-21,33.5,33.7,33.85,33.3,169000
01-03-21,33.7,34.3,34.5,33.7,130900
02-03-21,34.8,35.6,35.7,34.3,361200
03-03-21,35.6,36.8,37.3,35.3,413200
04-03-21,36.5,35.6,36.8,35.35,140700
05-03-21,35.0,35.9,35.9,34.0,261100
08-03-21,35.9,35.85,36.2,35.35,196500
09-03-21,35.85,35.3,35.85,34.7,96900
10-03-21,35.3,35.7,35.85,35.2,191200
11-03-21,36.0,36.7,36.95,35.5,499000
12-03-21,36.7,36.7,37.35,36.4,575300
15-03-21,36.7,36.65,37.1,36.5,257400
16-03-21,36.5,35.85,36.5,35.45,203700
17-03-21,35.85,35.2,35.85,35.0,296100
18-03-21,35.2,35.4,35.8,35.1,269200
19-03-21,35.3,34.85,35.35,34.6,216300
22-03-21,34.8,34.3,34.8,33.55,468400
23-03-21,34.2,34.4,34.95,33.9,192600
24-03-21,34.0,33.45,34.0,33.0,269000
25-03-21,32.6,33.3,33.4,32.6,237100
26-03-21,33.1,33.35,33.35,31.4,246300
29-03-21,33.35,33.4,33.7,32.85,131800
30-03-21,33.4,33.2,33.4,32.75,178600
31-03-21,33.2,33.2,33.3,32.5,169000
01-04-21,33.35,33.3,33.35,32.8,126300
02-04-21,33.3,33.7,33.9,33.3,263600
05-04-21,33.7,33.8,34.2,33.6,165500
06-04-21,33.9,33.5,33.9,33.3,142700
07-04-21,33.3,33.6,33.6,33.1,83200
08-04-21,33.6,34.9,35.5,33.6,441100
09-04-21,34.55,34.5,34.9,34.35,137800
12-04-21,34.55,35.15,35.35,34.4,252100
13-04-21,35.35,34.1,35.35,34.0,301500
14-04-21,34.0,34.5,34.5,33.4,236900
15-04-21,34.5,34.0,34.5,33.7,206400
16-04-21,33.8,34.5,34.5,33.45,439400
19-04-21,34.6,34.4,34.8,34.05,118200
20-04-21,34.4,33.75,34.5,33.6,160600
22-04-21,33.3,34.0,34.4,33.0,501900
23-04-21,33.1,36.0,36.0,33.1,658000
26-04-21,36.2,36.9,38.0,36.0,1046400
27-04-21,36.1,36.0,36.8,36.0,248100
28-04-21,35.8,34.95,35.85,34.95,362300
29-04-21,34.95,35.95,36.5,33.5,643000
04-05-21,35.7,37.35,37.9,35.0,727500
05-05-21,37.5,37.55,37.9,37.4,460700
06-05-21,37.35,36.2,37.5,36.15,525000
07-05-21,36.0,37.45,37.45,36.0,765800
10-05-21,37.45,38.55,39.5,37.4,666400
11-05-21,38.2,38.9,40.5,37.8,616800
12-05-21,38.2,39.4,39.8,38.2,495400
13-05-21,39.0,38.55,39.8,38.55,397300
14-05-21,38.5,38.65,39.9,38.05,479600
17-05-21,38.9,38.7,39.0,38.05,328200
18-05-21,38.6,39.5,40.5,38.0,576400
19-05-21,39.0,39.3,39.5,39.0,162700
20-05-21,39.1,39.3,39.6,38.7,422400
21-05-21,39.0,41.0,42.05,38.75,721700
24-05-21,41.5,40.6,41.5,40.5,395000
25-05-21,40.9,40.7,41.7,40.65,297000
26-05-21,40.7,41.2,41.4,40.1,369700
27-05-21,41.2,41.0,41.6,40.65,437100
28-05-21,41.5,41.1,41.5,40.65,199500
31-05-21,41.1,42.35,42.5,40.5,410900
01-06-21,42.4,41.6,42.45,41.0,202300
02-06-21,41.1,41.05,41.2,39.5,422900
03-06-21,40.85,40.5,41.05,39.7,664800
04-06-21,40.2,40.6,41.0,40.0,335000
07-06-21,40.6,39.9,40.6,39.4,203500
08-06-21,39.9,37.9,39.9,37.5,296800
09-06-21,37.0,38.2,38.5,37.0,266800
10-06-21,38.3,38.8,38.9,37.5,218200
11-06-21,38.8,38.65,39.3,38.5,184600
14-06-21,38.4,38.65,38.9,38.15,164000
15-06-21,38.7,41.0,41.0,38.7,452400
16-06-21,41.15,41.7,42.25,41.0,553300
17-06-21,40.5,41.65,41.8,40.2,212600
18-06-21,42.05,43.9,44.0,42.05,630500
21-06-21,44.05,43.5,45.5,43.0,287800
22-06-21,43.5,43.2,43.6,43.0,198400
23-06-21,43.0,42.2,43.0,41.0,329700
24-06-21,41.75,42.5,43.3,41.0,296800
25-06-21,42.05,42.15,42.6,42.05,117900
28-06-21,43.5,43.2,43.9,42.55,226800
29-06-21,44.0,45.5,45.95,43.2,688300
30-06-21,46.0,45.35,46.8,45.35,208400
01-07-21,45.2,45.2,45.3,43.8,266100
02-07-21,45.2,45.0,45.25,44.2,202500
05-07-21,44.7,44.45,45.05,43.0,366100
06-07-21,44.2,45.4,47.55,44.1,518600
07-07-21,44.7,46.0,46.0,43.0,273700
08-07-21,46.4,47.0,48.5,46.3,373600
09-07-21,46.1,45.0,47.0,44.0,282400
12-07-21,44.0,42.1,44.5,41.85,442000
13-07-21,42.1,45.0,45.0,42.1,352200
14-07-21,45.1,46.2,47.1,44.0,385900
15-07-21,46.0,46.75,46.95,44.0,160900
16-07-21,46.75,47.95,48.5,46.4,537300
19-07-21,46.5,47.0,48.2,46.0,488600
20-07-21,47.1,47.35,48.2,47.1,284800
21-07-21,47.6,49.2,50.0,47.5,1084000
22-07-21,49.2,48.9,50.9,48.85,987900
23-07-21,48.7,48.4,49.1,48.0,664700
26-07-21,48.0,51.0,51.5,47.0,917100
27-07-21,51.3,49.85,51.3,49.6,513600
28-07-21,49.3,49.45,50.1,49.0,323700
29-07-21,49.45,49.9,49.9,48.5,592400
30-07-21,49.9,50.8,51.4,49.5,588400
02-08-21,50.8,51.2,52.0,50.5,418500
03-08-21,51.2,51.7,51.9,50.1,479400
04-08-21,52.0,51.3,52.0,51.0,398500
05-08-21,51.1,51.3,51.6,50.8,255200
06-08-21,51.2,52.0,53.3,51.0,673700
09-08-21,51.8,52.5,52.9,51.8,256800
10-08-21,52.4,52.6,53.0,52.0,363500
11-08-21,52.9,52.3,53.6,52.3,420500
12-08-21,52.5,52.6,53.5,51.5,591900
13-08-21,52.1,52.2,52.6,51.0,488800
16-08-21,51.9,53.4,54.0,51.9,497500
17-08-21,53.4,53.6,53.7,53.0,498100
18-08-21,53.6,53.4,53.6,53.1,300800
19-08-21,53.3,53.0,53.3,52.6,246600
20-08-21,53.0,50.3,53.0,49.5,792800
23-08-21,48.3,45.1,49.0,45.1,509100
24-08-21,44.25,44.1,45.3,43.0,342400
25-08-21,43.8,44.4,44.4,43.1,289300
26-08-21,44.5,46.1,47.0,44.5,410700
27-08-21,45.8,47.15,47.15,45.6,329100
30-08-21,47.2,50.0,50.4,47.2,672800
