Date,Open,Close,High,Low,Volume
16-11-20,58.1,57.8,58.2,57.2,124270
17-11-20,57.8,58.0,58.0,57.6,47970
18-11-20,58.0,58.0,58.3,57.5,56750
19-11-20,58.3,59.0,59.0,58.0,145290
20-11-20,59.0,58.5,59.0,58.2,82180
23-11-20,57.0,56.1,57.0,56.0,88350
24-11-20,55.9,55.0,56.1,54.9,103720
25-11-20,55.1,54.8,55.2,54.6,27100
26-11-20,54.8,54.7,54.9,54.0,33560
27-11-20,54.7,54.5,54.7,54.2,40330
30-11-20,54.7,54.5,54.9,54.4,33180
01-12-20,54.5,54.2,54.5,53.7,70220
02-12-20,54.0,54.4,54.4,54.0,115920
03-12-20,54.4,54.4,54.5,54.0,65930
04-12-20,54.5,54.5,54.8,54.4,42060
07-12-20,54.5,54.8,54.9,54.5,47430
08-12-20,54.8,54.5,54.9,54.5,33500
09-12-20,54.8,54.4,54.8,54.1,44670
10-12-20,54.4,53.9,54.4,53.8,135040
11-12-20,53.7,53.9,54.1,53.7,34910
14-12-20,53.7,53.8,54.1,53.7,55240
15-12-20,53.9,53.8,54.4,53.8,94470
16-12-20,54.3,54.3,54.5,54.2,52740
17-12-20,54.2,54.0,54.2,53.7,43690
18-12-20,54.0,53.8,54.0,53.7,44630
21-12-20,53.9,54.4,54.5,53.6,73470
22-12-20,54.4,54.1,54.5,54.0,31560
23-12-20,53.9,54.1,54.4,53.7,27280
24-12-20,54.0,53.7,54.1,53.2,54630
25-12-20,53.7,53.8,53.9,53.5,41530
28-12-20,53.8,53.5,53.9,53.3,39580
29-12-20,53.5,53.5,53.7,53.1,52970
30-12-20,53.5,53.5,53.5,53.3,69090
31-12-20,53.5,54.0,54.4,53.5,110770
04-01-21,54.0,54.0,54.1,53.8,63100
05-01-21,54.0,54.0,54.0,53.5,48000
06-01-21,53.9,53.8,53.9,53.4,59000
07-01-21,53.8,53.7,53.8,53.5,39300
08-01-21,53.6,53.5,53.7,53.4,84500
11-01-21,53.5,53.4,53.7,53.0,175800
12-01-21,53.4,56.3,56.8,53.2,339000
13-01-21,56.4,55.8,56.4,55.7,175200
14-01-21,55.9,55.2,56.0,55.0,133000
15-01-21,55.1,55.4,55.8,54.9,109900
18-01-21,55.4,54.9,55.4,54.7,145000
19-01-21,55.0,51.8,55.0,51.7,91700
20-01-21,51.8,51.9,52.5,51.0,130300
21-01-21,53.0,53.0,53.8,52.6,117900
22-01-21,53.4,53.2,53.9,53.1,85200
25-01-21,53.5,55.0,55.0,53.2,169300
26-01-21,55.0,53.2,55.0,53.1,59100
27-01-21,53.2,51.6,53.4,51.2,78500
28-01-21,49.6,48.0,51.2,48.0,205100
29-01-21,48.0,51.1,51.1,48.0,72200
01-02-21,50.8,50.4,51.0,49.6,47600
02-02-21,50.7,50.4,50.7,49.0,26000
03-02-21,50.0,51.1,51.5,50.0,37600
04-02-21,50.1,50.1,51.2,50.0,61500
05-02-21,50.7,51.0,51.0,50.2,31600
08-02-21,51.0,51.0,51.3,49.85,69900
09-02-21,50.5,52.0,52.2,50.0,127800
17-02-21,52.1,52.8,52.8,52.0,36900
18-02-21,52.8,53.2,53.2,52.8,44600
19-02-21,53.2,53.1,53.4,53.0,67100
22-02-21,53.3,53.0,53.3,53.0,39100
23-02-21,53.2,53.8,53.8,53.0,70500
24-02-21,53.5,54.0,54.6,53.5,136000
25-02-21,54.5,56.6,56.6,54.4,322600
26-02-21,56.5,56.7,57.4,56.0,193900
01-03-21,56.7,58.3,58.5,56.7,330100
02-03-21,58.3,57.4,58.3,57.3,73700
03-03-21,57.4,56.6,57.4,56.0,68300
04-03-21,56.1,54.9,56.3,54.7,96700
05-03-21,54.6,55.5,55.6,54.6,64800
08-03-21,55.6,57.6,58.7,55.6,217300
09-03-21,56.5,57.7,58.0,56.5,68600
10-03-21,58.4,61.7,61.7,58.4,899300
11-03-21,63.0,63.0,64.0,62.2,211400
12-03-21,63.0,62.5,63.5,61.9,81800
15-03-21,62.5,63.5,64.0,61.6,276900
16-03-21,63.5,63.0,63.5,61.7,216800
17-03-21,63.4,62.8,63.5,62.5,105500
18-03-21,62.8,62.2,63.2,62.2,174800
19-03-21,62.0,61.5,62.2,60.7,183500
22-03-21,61.5,60.5,61.6,59.5,176000
23-03-21,60.5,60.0,61.0,59.3,106100
24-03-21,59.5,60.0,62.1,58.3,145200
25-03-21,60.0,60.3,61.7,59.5,123500
26-03-21,60.1,60.0,61.0,58.5,106300
29-03-21,61.4,61.3,61.4,60.2,85700
30-03-21,61.8,61.3,61.8,61.0,53800
31-03-21,61.3,61.4,61.5,60.4,61400
01-04-21,61.4,60.2,61.7,59.5,137100
02-04-21,61.0,59.8,61.0,58.6,158400
05-04-21,59.8,59.1,59.9,58.8,57700
06-04-21,59.1,58.7,59.1,58.4,94400
07-04-21,58.7,60.5,61.0,57.2,133700
08-04-21,60.0,59.5,60.0,57.5,99300
09-04-21,58.6,58.8,59.5,58.4,61700
12-04-21,58.8,60.2,60.6,58.1,184500
13-04-21,60.2,58.6,60.5,58.5,76800
14-04-21,59.0,59.2,59.2,58.0,60000
15-04-21,59.2,58.2,59.2,58.2,82200
16-04-21,58.2,57.5,58.2,57.5,142700
19-04-21,57.9,59.2,59.2,57.6,160900
20-04-21,59.2,58.9,59.2,58.8,80900
22-04-21,58.9,57.7,58.9,57.5,114900
23-04-21,57.5,58.1,58.4,57.2,159000
26-04-21,58.2,57.1,58.2,57.1,78000
27-04-21,57.0,57.3,58.6,57.0,25800
28-04-21,57.9,57.3,57.9,57.2,19800
29-04-21,57.2,57.7,57.8,57.2,58500
04-05-21,56.2,57.6,58.0,56.2,40600
05-05-21,57.0,57.6,58.8,57.0,51700
06-05-21,57.6,57.6,57.6,57.1,51000
07-05-21,57.6,57.2,58.0,57.0,70800
10-05-21,57.6,58.3,58.5,57.2,104400
11-05-21,58.2,58.2,58.5,58.2,43000
12-05-21,58.2,58.5,58.5,58.1,78500
13-05-21,58.0,57.9,58.5,57.9,55900
14-05-21,57.6,57.8,58.2,57.6,54700
17-05-21,57.9,57.8,58.0,57.8,38700
18-05-21,57.8,57.5,58.9,57.5,39100
19-05-21,57.0,57.4,57.5,57.0,36800
20-05-21,57.4,57.3,57.4,57.2,49200
21-05-21,56.8,57.1,58.5,56.8,73600
24-05-21,57.1,57.6,58.0,57.1,10600
25-05-21,57.2,57.4,57.6,57.2,23100
26-05-21,58.3,57.7,58.3,57.5,32400
27-05-21,57.5,57.6,58.5,57.2,43500
28-05-21,58.5,57.7,58.5,57.6,8100
31-05-21,57.7,57.7,57.8,57.7,41500
01-06-21,57.7,58.1,58.1,57.7,32800
02-06-21,58.3,58.1,58.3,58.0,264200
03-06-21,58.2,58.1,58.2,57.9,42600
04-06-21,57.1,57.8,58.0,57.1,35200
07-06-21,57.8,57.0,57.8,56.9,276700
08-06-21,57.0,57.0,58.0,56.9,69300
09-06-21,57.0,56.5,57.4,56.1,66900
10-06-21,56.5,56.9,57.8,56.5,16300
11-06-21,56.5,57.7,58.0,56.5,40400
14-06-21,57.7,58.0,58.0,57.7,81300
15-06-21,58.3,58.4,58.6,58.0,194000
16-06-21,57.7,57.4,57.9,57.4,66000
17-06-21,56.9,57.0,57.0,55.7,36600
18-06-21,57.7,56.5,57.7,56.5,22900
21-06-21,56.0,56.5,57.5,56.0,35000
22-06-21,57.5,56.8,57.5,56.5,14800
23-06-21,56.8,56.8,56.8,56.5,30600
24-06-21,56.8,56.5,56.8,56.5,45200
25-06-21,56.5,56.5,56.5,56.5,56200
28-06-21,57.0,56.5,57.0,56.1,7500
29-06-21,56.2,56.7,56.7,56.2,24400
30-06-21,56.6,56.7,56.9,56.5,18400
01-07-21,56.7,56.4,56.7,56.4,8200
02-07-21,56.4,56.8,57.0,56.4,37900
05-07-21,56.8,56.6,56.8,56.5,14100
06-07-21,56.6,56.2,57.6,54.9,51600
07-07-21,55.1,56.2,56.6,55.1,128300
08-07-21,56.5,56.5,56.6,56.2,155200
09-07-21,56.4,56.1,56.7,55.0,72300
12-07-21,55.5,55.4,56.5,54.5,258400
13-07-21,56.3,55.5,56.3,55.0,62900
14-07-21,55.9,56.0,56.2,54.8,89200
15-07-21,55.5,56.0,56.2,55.5,70300
16-07-21,56.0,56.4,56.6,56.0,16400
19-07-21,55.0,58.2,58.6,55.0,337500
20-07-21,58.0,59.1,59.1,58.0,248700
21-07-21,59.2,57.8,59.2,57.6,6800
22-07-21,58.0,57.3,58.2,57.0,112700
23-07-21,56.7,57.1,59.0,56.7,42500
26-07-21,57.1,57.2,57.3,56.7,19200
27-07-21,56.7,57.0,57.1,56.7,32000
28-07-21,56.7,57.4,57.4,56.7,15700
29-07-21,58.0,57.2,58.0,57.0,59800
30-07-21,57.2,58.7,58.8,57.2,87100
02-08-21,58.7,58.9,59.2,57.7,61000
03-08-21,58.6,59.2,59.3,58.0,147600
04-08-21,59.3,59.2,59.3,59.0,127900
05-08-21,58.9,58.3,59.0,58.1,51800
06-08-21,58.0,58.4,58.5,58.0,62200
09-08-21,58.3,58.1,58.4,58.0,23700
10-08-21,58.1,59.2,59.2,58.1,69600
11-08-21,58.7,58.2,58.7,58.1,24500
12-08-21,58.2,58.6,58.6,58.1,3600
13-08-21,58.6,58.0,58.7,58.0,7800
16-08-21,58.0,58.1,58.7,57.0,65900
17-08-21,58.3,58.3,58.3,58.1,45600
18-08-21,58.3,58.1,58.3,58.1,12300
19-08-21,58.1,57.2,58.1,57.0,46900
20-08-21,57.2,57.0,57.5,56.8,46200
23-08-21,56.8,56.8,57.0,56.7,26500
24-08-21,56.8,56.4,56.8,56.4,18700
25-08-21,56.4,56.4,56.5,56.2,5800
26-08-21,56.4,56.0,56.4,55.0,7500
27-08-21,56.0,56.1,56.3,56.0,10600
30-08-21,56.1,56.7,56.9,56.1,32200
31-08-21,56.7,56.7,56.7,56.6,30000
01-09-21,56.7,56.7,56.7,56.5,22300
06-09-21,56.7,56.7,56.7,56.3,67100
07-09-21,56.6,56.6,56.7,56.5,29900
08-09-21,56.7,56.7,56.8,56.7,9200
09-09-21,57.1,57.2,57.3,57.1,7700
10-09-21,57.2,57.0,57.2,57.0,900
13-09-21,56.6,56.5,56.6,56.4,15400
14-09-21,56.5,56.5,56.8,56.5,5000
15-09-21,57.2,56.4,57.3,56.0,47100
16-09-21,56.1,56.3,56.4,56.1,13400
17-09-21,57.0,56.7,57.0,56.1,17300
20-09-21,56.7,56.7,56.8,56.7,12700
21-09-21,56.7,56.5,56.7,56.4,12200
22-09-21,56.6,57.0,57.1,56.2,26600
23-09-21,57.1,57.0,57.4,57.0,21500
24-09-21,57.2,57.1,57.2,57.0,10900
27-09-21,56.2,56.4,56.5,56.2,7500
28-09-21,56.3,56.9,56.9,56.1,3800
29-09-21,56.0,56.0,56.1,55.2,1900
30-09-21,56.5,56.9,57.0,56.5,12900
01-10-21,56.8,57.0,57.0,56.7,30900
04-10-21,57.0,56.9,57.0,56.5,15800
05-10-21,56.7,56.9,56.9,56.3,4000
06-10-21,57.0,56.9,57.1,56.4,7200
07-10-21,56.9,56.4,56.9,56.4,4400
08-10-21,56.4,56.3,56.4,56.2,13400
11-10-21,56.3,56.2,56.5,56.2,6700
12-10-21,56.0,56.2,57.2,56.0,5000
13-10-21,57.5,56.3,57.5,56.3,7300
14-10-21,56.3,56.0,56.4,56.0,35900
15-10-21,56.6,56.0,56.8,56.0,3200
18-10-21,56.2,56.2,56.3,56.2,1300
19-10-21,56.2,56.2,56.5,56.1,8700
20-10-21,56.2,56.2,56.3,56.1,3000
21-10-21,56.2,56.2,56.2,56.2,3300
22-10-21,56.2,55.6,56.2,52.5,21800
25-10-21,55.6,55.7,56.2,55.6,7300
26-10-21,55.6,55.3,55.6,55.3,26000
27-10-21,56.3,55.5,56.5,55.4,13100
28-10-21,56.3,55.5,56.3,55.4,13400
29-10-21,55.6,55.5,55.6,55.3,11800
01-11-21,55.5,55.2,55.5,55.0,10300
02-11-21,55.3,55.3,55.9,55.2,7800
03-11-21,55.3,55.2,55.3,55.1,18300
04-11-21,55.2,55.3,55.3,55.0,5400
05-11-21,55.4,54.9,55.4,54.9,11100
08-11-21,55.4,55.1,55.4,54.9,21200
09-11-21,56.0,55.0,56.0,54.9,13800
10-11-21,55.1,54.5,55.2,54.3,39300
11-11-21,54.5,54.7,55.0,54.5,2400
12-11-21,54.4,54.6,54.7,54.4,25100
15-11-21,54.7,54.5,55.0,54.5,20000
16-11-21,54.5,53.9,54.6,53.9,36900
17-11-21,54.0,53.8,54.0,53.6,27400
18-11-21,54.0,53.4,54.0,52.8,27100
19-11-21,53.4,53.0,53.4,52.9,24600
22-11-21,53.5,52.9,53.5,52.9,7400
23-11-21,53.6,52.6,53.6,52.6,6400
24-11-21,52.7,53.0,53.0,52.6,8700
25-11-21,53.2,52.6,53.5,52.5,18000
26-11-21,52.6,52.0,52.6,52.0,29200
29-11-21,51.9,52.0,52.5,51.5,5600
30-11-21,51.9,51.8,51.9,50.8,45900
01-12-21,51.2,51.5,52.1,51.2,3500
02-12-21,51.3,51.4,51.5,51.3,11800
03-12-21,51.5,51.3,51.5,50.8,16900
06-12-21,50.7,49.75,51.0,49.7,16000
07-12-21,50.1,50.0,50.5,49.8,12600
08-12-21,50.8,50.0,50.8,49.75,2900
09-12-21,50.0,50.0,50.3,50.0,8500
10-12-21,50.0,50.0,50.3,49.9,10500
13-12-21,49.95,50.4,51.7,49.95,8100
14-12-21,51.4,51.0,51.4,50.6,3100
15-12-21,51.0,50.6,51.0,50.6,9000
16-12-21,50.7,51.0,51.0,50.3,13000
17-12-21,50.5,51.0,51.5,50.5,8900
20-12-21,51.0,51.0,51.2,50.7,9300
21-12-21,50.6,51.0,51.5,50.6,8800
22-12-21,50.9,51.0,51.5,50.9,9300
23-12-21,50.7,50.2,51.0,50.1,4200
24-12-21,50.2,50.2,50.2,50.2,100
27-12-21,50.2,50.6,51.2,50.0,5300
28-12-21,50.2,50.2,50.6,50.2,9800
29-12-21,50.9,50.2,50.9,50.1,4700
30-12-21,50.2,50.7,50.7,50.2,5600
31-12-21,50.7,50.3,50.7,50.0,11600
04-01-22,50.9,51.7,51.7,50.9,17000
05-01-22,51.7,51.6,52.0,51.0,16000
06-01-22,51.6,51.7,52.0,51.6,12000
