Date,Open,Close,High,Low,Volume
16-11-20,12.25,11.85,12.3,11.85,7407110
17-11-20,11.95,11.9,12.0,11.85,4317120
18-11-20,11.9,11.95,11.95,11.8,5542510
19-11-20,11.95,11.95,12.1,11.9,5461410
20-11-20,12.0,12.2,12.3,11.9,6447420
23-11-20,12.2,12.1,12.2,12.05,4513270
24-11-20,12.2,12.1,12.25,12.0,6562520
25-11-20,12.25,12.3,12.3,12.1,8214750
26-11-20,12.3,12.25,12.3,12.15,3867500
27-11-20,12.3,12.25,12.3,12.15,7737230
30-11-20,12.25,12.45,12.6,12.2,13267960
01-12-20,12.3,12.6,12.6,12.25,10367050
02-12-20,12.8,12.7,12.9,12.7,13659030
03-12-20,11.9,11.85,12.1,11.8,13241160
04-12-20,11.8,11.65,11.85,11.6,8481830
07-12-20,11.65,11.7,11.7,11.55,7669350
08-12-20,11.7,11.65,11.75,11.6,6677910
09-12-20,11.65,11.85,11.95,11.65,10123510
10-12-20,11.9,11.7,11.9,11.65,9261130
11-12-20,11.7,11.8,11.8,11.6,4937270
14-12-20,11.85,11.85,11.95,11.75,8880680
15-12-20,11.8,11.7,11.85,11.7,7906930
16-12-20,11.75,12.05,12.2,11.7,18583680
17-12-20,12.1,11.95,12.1,11.9,6939090
18-12-20,12.0,12.05,12.05,11.9,8621850
21-12-20,12.1,12.35,12.4,12.05,13474080
22-12-20,12.35,12.9,13.0,12.25,14620100
23-12-20,13.0,12.6,13.0,12.5,8754160
24-12-20,12.65,12.3,12.7,11.85,10547250
25-12-20,12.15,12.4,12.5,12.05,9593780
28-12-20,12.7,12.4,12.7,12.3,7639610
29-12-20,12.35,12.35,12.5,12.3,6375260
30-12-20,12.35,12.35,12.5,12.3,5619740
31-12-20,12.35,12.4,12.5,12.3,6396760
04-01-21,12.55,12.65,12.7,12.5,8814700
05-01-21,12.6,13.5,13.5,12.55,24349300
06-01-21,14.0,14.0,14.2,13.65,16644800
07-01-21,14.0,13.9,14.05,13.6,9246000
08-01-21,13.9,14.05,14.25,13.75,19580100
11-01-21,14.1,13.9,14.2,13.7,23446200
12-01-21,13.8,13.7,13.85,13.55,13021500
13-01-21,13.75,13.9,14.15,13.75,14249500
14-01-21,14.0,14.4,14.4,13.85,14964800
15-01-21,14.5,14.95,15.15,14.5,16530300
18-01-21,15.1,14.75,15.2,14.75,13224100
19-01-21,14.6,13.8,14.7,13.75,17853400
20-01-21,13.8,13.8,13.95,12.85,15018300
21-01-21,14.25,14.2,14.25,13.85,8957600
22-01-21,14.25,14.35,14.45,14.15,15290300
25-01-21,14.3,14.3,14.45,14.15,9574400
26-01-21,14.2,13.85,14.2,13.5,10126700
27-01-21,13.8,13.5,14.05,13.4,9796200
28-01-21,12.6,12.6,12.95,12.6,12732500
29-01-21,11.8,12.65,13.15,11.8,11086300
01-02-21,12.45,12.0,12.75,11.95,8298100
02-02-21,11.8,12.4,12.5,11.6,7866100
03-02-21,12.7,13.25,13.25,12.4,9285600
04-02-21,13.25,13.35,13.5,13.05,6158100
05-02-21,13.3,14.0,14.0,13.3,8748700
08-02-21,14.0,14.15,14.9,14.0,17862700
09-02-21,14.25,14.7,14.8,14.25,11482300
17-02-21,14.9,14.85,15.2,14.7,11925100
18-02-21,14.85,14.65,14.95,14.6,8353900
19-02-21,14.5,14.7,15.1,14.45,12657400
22-02-21,14.75,14.7,14.9,14.55,15463000
23-02-21,14.7,14.6,14.75,14.45,14798200
24-02-21,14.6,14.3,14.75,14.3,13175700
25-02-21,14.4,14.6,14.65,14.3,10131400
26-02-21,14.4,14.7,14.8,14.3,9315300
01-03-21,14.9,15.7,15.7,14.9,36421300
02-03-21,16.2,16.1,16.4,15.75,13665000
03-03-21,16.0,15.95,16.2,15.85,9087400
04-03-21,15.95,15.5,16.1,15.1,17022800
05-03-21,15.25,15.75,15.9,15.15,11077600
08-03-21,16.0,15.7,16.0,15.6,8146600
09-03-21,15.5,15.7,15.95,15.35,8925400
10-03-21,15.7,15.95,16.25,15.65,12470100
11-03-21,16.05,16.05,16.2,15.9,8092200
12-03-21,16.1,16.5,16.6,16.05,19801800
15-03-21,16.5,16.35,16.55,16.25,7894300
16-03-21,16.35,16.15,16.4,15.95,9225100
17-03-21,16.15,16.25,16.35,16.05,8451500
18-03-21,16.5,16.3,16.5,16.25,8065800
19-03-21,16.2,16.3,16.45,16.2,5349800
22-03-21,16.4,16.3,16.9,16.25,13718400
23-03-21,16.35,16.25,16.5,16.2,12019100
24-03-21,16.0,16.0,16.3,15.95,9246200
25-03-21,16.1,15.95,16.2,15.85,9473900
26-03-21,15.9,15.75,15.95,15.0,9285000
29-03-21,15.95,16.4,16.4,15.85,12544700
30-03-21,16.5,17.3,17.3,16.35,21012600
31-03-21,17.4,17.35,17.6,17.0,11121800
01-04-21,17.35,17.4,17.5,17.25,6056600
02-04-21,17.4,17.6,17.8,17.4,13331100
05-04-21,17.65,17.65,17.9,17.35,11177200
06-04-21,17.65,17.45,17.7,17.45,9843200
07-04-21,17.55,17.45,17.55,17.3,8942700
08-04-21,17.5,17.5,17.6,17.3,10415900
09-04-21,17.5,18.15,18.4,17.4,18480900
12-04-21,18.25,18.85,18.9,18.2,13377800
13-04-21,19.05,18.4,19.1,18.3,12538900
14-04-21,18.05,18.45,18.6,17.8,16924100
15-04-21,18.5,18.55,18.8,18.4,13424200
16-04-21,18.65,18.95,19.5,18.55,21676500
19-04-21,19.2,19.4,19.5,18.95,13640800
20-04-21,19.8,19.85,20.15,19.6,22268200
22-04-21,19.7,18.8,20.15,18.8,13664200
23-04-21,19.0,20.1,20.1,18.8,21139500
26-04-21,20.5,20.7,21.2,20.1,15801900
27-04-21,20.7,20.55,20.95,20.4,11327000
28-04-21,20.4,20.45,20.75,20.0,11756400
29-04-21,20.75,21.5,21.5,20.7,23814400
04-05-21,20.8,21.5,21.5,20.7,13765800
05-05-21,21.4,21.3,21.9,21.15,19201000
06-05-21,21.3,20.8,21.35,20.75,17204800
07-05-21,20.8,21.6,21.8,20.5,19607200
10-05-21,21.6,21.8,22.1,21.6,16359500
11-05-21,22.05,21.65,22.2,21.65,20851300
12-05-21,21.45,22.2,22.2,21.3,15978100
13-05-21,22.2,22.9,23.35,21.85,22137800
14-05-21,23.25,23.35,23.7,22.9,17542000
17-05-21,23.4,22.8,23.45,22.6,21240000
18-05-21,22.5,23.0,23.35,22.35,20104900
19-05-21,23.0,23.55,23.7,23.0,14538700
20-05-21,23.6,23.5,23.65,23.3,13817500
21-05-21,23.55,23.5,23.9,23.35,14550800
24-05-21,23.5,23.4,23.75,23.35,13869000
25-05-21,23.5,23.9,24.2,23.3,17869400
26-05-21,23.95,25.4,25.4,23.95,27082700
27-05-21,25.9,26.2,26.8,25.4,31002700
28-05-21,26.8,28.0,28.0,26.35,35668800
31-05-21,29.0,29.95,29.95,28.5,24242200
01-06-21,31.9,29.6,31.9,29.0,21800700
02-06-21,29.0,31.65,31.65,28.8,30704200
03-06-21,33.85,33.85,33.85,32.5,20623800
04-06-21,33.7,33.4,34.0,33.0,13580700
07-06-21,32.0,31.4,32.5,31.1,27208600
08-06-21,31.6,29.25,32.3,29.25,21449200
09-06-21,29.25,31.25,31.25,27.5,23183200
10-06-21,31.1,31.2,32.0,30.75,10240000
11-06-21,31.1,31.25,31.95,30.4,17122800
14-06-21,31.25,30.7,31.35,30.5,9392700
15-06-21,30.5,29.0,30.5,29.0,16885200
16-06-21,29.1,28.0,29.9,27.75,14709500
17-06-21,27.2,29.5,29.5,27.2,11374400
18-06-21,30.0,29.6,30.2,28.6,6928000
21-06-21,29.0,28.8,29.5,28.5,8147000
22-06-21,29.1,29.4,29.6,28.6,7632900
23-06-21,29.4,28.8,29.5,28.8,4347400
24-06-21,29.5,29.45,30.3,29.2,8013900
25-06-21,29.85,29.5,29.85,29.2,4316100
28-06-21,29.8,30.15,30.3,29.5,9861000
29-06-21,30.25,30.5,31.0,30.2,8845100
30-06-21,30.4,29.95,30.5,29.7,5620300
01-07-21,29.95,29.9,30.2,29.4,5910700
02-07-21,30.2,29.8,30.4,29.8,8429500
05-07-21,30.15,30.1,30.2,29.3,8235200
06-07-21,30.8,28.0,31.7,28.0,11447200
07-07-21,29.0,29.95,29.95,27.9,10109100
08-07-21,30.5,29.9,30.5,29.4,8467100
09-07-21,29.5,28.9,30.4,28.0,6966600
12-07-21,28.3,28.0,28.6,26.9,16189900
13-07-21,28.0,27.5,28.3,26.7,7378500
14-07-21,27.5,27.1,27.5,26.0,7974500
15-07-21,27.0,27.7,27.7,26.6,4560300
16-07-21,27.8,27.45,27.85,27.25,5247000
19-07-21,26.0,25.55,27.0,25.55,9224000
20-07-21,25.6,25.6,25.75,24.05,10192000
21-07-21,24.0,23.4,24.4,23.25,6078300
22-07-21,23.75,23.5,23.75,23.2,3985000
23-07-21,23.1,23.6,24.6,23.1,7177800
26-07-21,23.15,22.9,23.55,22.55,4138300
27-07-21,23.15,23.45,23.45,23.05,4485600
28-07-21,23.2,23.5,23.5,23.0,4263100
29-07-21,23.5,24.0,24.0,23.45,5115200
30-07-21,24.15,25.5,25.5,24.15,15222800
02-08-21,25.3,25.0,25.5,24.5,6934200
03-08-21,25.0,25.05,25.4,24.5,7998600
04-08-21,25.15,25.15,25.45,24.85,11329300
05-08-21,25.2,26.0,26.0,25.0,11393500
06-08-21,26.1,25.65,26.1,25.4,8117500
09-08-21,25.2,25.65,25.75,25.05,10024900
10-08-21,26.0,25.6,26.0,25.25,11609500
11-08-21,25.65,25.2,25.9,25.2,11208400
12-08-21,25.2,24.75,25.35,24.75,9802900
13-08-21,24.75,25.0,25.0,24.05,9822000
16-08-21,25.1,25.2,25.45,24.8,13133400
17-08-21,25.5,26.2,26.5,25.35,24026000
18-08-21,26.1,25.9,26.15,25.6,10159800
19-08-21,26.0,25.5,26.0,25.4,8124200
20-08-21,25.2,24.0,25.45,23.8,19237900
23-08-21,23.6,22.6,23.9,22.6,13607000
24-08-21,22.7,23.05,23.2,22.6,7413200
25-08-21,23.3,23.25,23.3,22.8,3359100
26-08-21,23.3,22.75,23.35,22.6,5066300
27-08-21,22.5,21.8,22.65,21.7,8801100
30-08-21,22.3,23.3,23.3,22.0,6599100
31-08-21,23.65,23.05,23.75,23.05,4951900
01-09-21,22.7,22.75,23.2,22.65,5679300
06-09-21,22.8,22.85,23.1,22.5,7047100
07-09-21,23.0,23.1,23.5,22.9,7120200
08-09-21,23.35,23.3,23.5,22.95,4878800
09-09-21,23.25,23.3,23.35,23.0,4274400
10-09-21,23.3,23.1,23.35,22.9,5163100
13-09-21,22.8,22.6,23.0,22.4,4340400
14-09-21,22.5,22.05,22.55,22.05,5261300
15-09-21,22.0,22.1,22.55,21.8,3810300
16-09-21,22.15,22.1,22.4,22.05,2924100
17-09-21,22.1,22.4,22.6,22.1,5029300
20-09-21,22.75,23.45,23.7,22.75,10883800
21-09-21,22.95,22.85,23.2,22.65,5310000
22-09-21,22.85,22.6,22.9,22.55,3634000
23-09-21,22.6,22.4,22.9,22.3,5548900
24-09-21,22.65,22.45,22.8,22.4,3007700
27-09-21,22.8,22.05,22.8,22.0,3611300
28-09-21,22.0,22.1,22.2,21.5,3875200
29-09-21,21.9,21.7,21.95,21.6,3268200
30-09-21,21.75,21.65,21.85,21.65,2708800
01-10-21,21.6,20.9,21.6,20.9,7772300
04-10-21,20.5,20.55,21.35,20.15,7818500
05-10-21,20.6,21.0,21.15,20.55,4286900
06-10-21,21.2,21.2,21.4,21.05,2776300
07-10-21,21.05,21.0,21.3,20.95,4126200
08-10-21,21.0,21.0,21.2,20.9,2544300
11-10-21,21.1,21.75,21.75,21.1,7261000
12-10-21,21.9,21.75,22.15,21.7,5343000
13-10-21,21.75,21.8,21.9,21.5,3627900
14-10-21,21.85,21.65,21.85,21.65,3313400
15-10-21,21.65,22.0,22.35,21.6,6073500
18-10-21,22.0,21.6,22.25,21.5,4875000
19-10-21,21.45,21.3,21.6,21.2,3879000
20-10-21,21.1,21.15,21.3,20.9,3761900
21-10-21,21.2,21.0,21.45,21.0,3715000
22-10-21,21.1,20.85,21.15,20.8,3726900
25-10-21,20.85,20.65,20.95,20.65,3607000
26-10-21,20.65,20.8,21.4,20.6,4357100
27-10-21,21.1,21.0,21.15,20.85,5841300
28-10-21,21.3,21.1,21.3,21.0,4692600
29-10-21,21.1,20.8,21.5,20.8,10945500
01-11-21,21.4,21.15,21.75,21.1,10691400
02-11-21,21.0,21.4,21.5,21.0,10662300
03-11-21,21.6,22.85,22.85,21.5,21593500
04-11-21,23.2,23.0,23.8,22.7,15048200
05-11-21,23.0,23.05,23.4,22.55,9898800
