Date,Open,Close,High,Low,Volume
16-11-20,19.5,19.05,19.6,19.0,20068100
17-11-20,19.15,19.55,19.55,19.1,9945750
18-11-20,19.65,19.65,20.0,19.45,11311450
19-11-20,19.75,19.5,19.8,19.4,13407160
20-11-20,19.45,19.3,19.5,19.25,7118600
23-11-20,19.3,19.2,19.4,19.05,9013500
24-11-20,19.4,19.35,19.5,19.2,8564990
25-11-20,19.6,19.45,19.6,19.3,6517830
26-11-20,19.25,19.5,19.5,19.2,12419270
27-11-20,19.5,20.0,20.0,19.4,15975030
30-11-20,20.4,20.35,20.6,20.2,18510250
01-12-20,20.05,20.85,20.85,20.05,20421100
02-12-20,20.9,21.35,21.4,20.85,18071190
03-12-20,21.55,21.0,21.55,20.85,22447130
04-12-20,21.0,20.95,21.15,20.85,18416060
07-12-20,20.95,20.9,21.05,20.8,8253270
08-12-20,20.9,21.35,21.55,20.8,16402560
09-12-20,21.5,21.4,21.75,21.35,12895210
10-12-20,21.45,21.05,21.55,21.0,13602560
11-12-20,21.15,21.5,21.5,20.85,8637130
14-12-20,21.6,21.85,21.9,21.6,14023310
15-12-20,21.85,21.5,21.85,21.4,13083510
16-12-20,21.65,22.25,22.4,21.5,19503010
17-12-20,22.1,22.1,22.3,21.8,16719990
18-12-20,22.5,23.1,23.1,22.15,17502170
21-12-20,23.3,23.25,23.7,23.05,26924800
22-12-20,23.4,23.2,23.7,23.0,22805050
23-12-20,23.3,22.9,23.35,22.9,13833600
24-12-20,23.05,22.8,23.15,22.1,16011380
25-12-20,22.8,23.1,23.15,22.6,12807670
28-12-20,23.5,23.05,23.5,22.85,16589830
29-12-20,23.05,22.95,23.05,22.85,10912210
30-12-20,22.9,22.9,23.15,22.9,12801190
31-12-20,23.05,23.0,23.1,22.95,14034660
04-01-21,23.4,23.95,24.35,23.1,42370800
05-01-21,24.15,25.15,25.15,23.95,34044900
06-01-21,25.5,25.3,26.0,25.0,22063300
07-01-21,25.5,25.9,25.95,25.25,18918200
08-01-21,26.2,26.6,27.35,26.0,25861800
11-01-21,27.0,26.35,27.2,26.2,23381600
12-01-21,26.35,26.15,26.5,25.7,16552100
13-01-21,26.15,26.0,26.6,25.9,18649800
14-01-21,26.3,26.4,26.4,25.85,20138800
15-01-21,26.9,26.75,27.2,26.55,19922700
18-01-21,26.75,26.2,26.85,26.2,13838300
19-01-21,26.2,24.4,26.2,24.4,22184900
20-01-21,24.4,24.4,24.75,22.9,23198100
21-01-21,25.0,25.8,25.8,24.4,14714600
22-01-21,25.7,25.6,25.95,25.3,12400500
25-01-21,25.4,25.2,25.8,25.15,10924900
26-01-21,25.15,25.6,25.6,23.75,19797100
27-01-21,24.8,24.0,25.25,23.85,22798000
