Date,Open,Close,High,Low,Volume
16-11-20,25.1,26.4,26.4,23.55,290
17-11-20,27.4,25.1,27.4,25.1,20
18-11-20,26.75,26.65,26.75,26.65,4100
19-11-20,26.8,27.4,27.4,26.65,3000
20-11-20,26.65,26.65,26.65,26.65,70
23-11-20,26.65,24.85,26.65,24.85,1910
24-11-20,26.55,26.55,26.55,26.55,10
25-11-20,27.2,27.2,27.2,27.2,500
26-11-20,28.4,28.4,28.4,28.4,10
27-11-20,28.4,28.1,28.4,27.0,1090
30-11-20,26.7,26.7,26.7,26.7,500
01-12-20,26.0,26.0,26.0,26.0,10
02-12-20,26.0,26.0,26.0,26.0,0
03-12-20,25.0,26.0,26.0,25.0,2140
04-12-20,27.8,27.8,27.8,26.5,1510
07-12-20,27.5,27.5,27.5,27.5,60
08-12-20,25.6,28.9,28.9,25.6,610
09-12-20,28.8,28.4,28.9,28.4,220
10-12-20,28.4,28.4,28.4,27.0,3310
11-12-20,28.4,28.4,28.4,28.4,60
14-12-20,28.4,28.4,28.4,28.4,0
15-12-20,26.45,28.4,28.4,26.45,1240
16-12-20,28.25,28.3,28.3,26.5,80
17-12-20,28.3,28.3,28.3,28.3,0
18-12-20,28.3,26.35,29.4,26.35,380
21-12-20,26.35,26.2,26.35,26.2,110
22-12-20,25.0,26.0,26.0,25.0,20
23-12-20,27.3,27.3,27.3,27.3,10
24-12-20,27.2,27.2,27.2,27.2,20
25-12-20,25.3,26.0,26.0,25.3,460
28-12-20,26.0,26.0,26.0,26.0,0
29-12-20,24.2,24.5,26.6,24.2,130
30-12-20,23.15,24.0,25.95,23.15,40
31-12-20,24.0,24.0,24.9,22.35,530
04-01-21,25.2,25.3,25.3,25.2,500
05-01-21,25.4,25.4,25.4,25.4,600
06-01-21,25.0,25.0,25.0,25.0,300
07-01-21,25.0,25.0,25.0,25.0,0
08-01-21,25.0,25.0,25.0,25.0,0
11-01-21,26.75,26.6,26.75,23.25,2300
12-01-21,26.6,26.6,26.6,26.6,0
13-01-21,26.6,26.6,26.6,26.6,0
14-01-21,26.6,26.6,26.6,26.6,0
15-01-21,26.6,25.0,26.6,25.0,2800
18-01-21,25.0,25.0,25.0,25.0,0
19-01-21,25.0,25.0,25.0,25.0,0
20-01-21,25.0,25.0,25.0,25.0,0
21-01-21,26.45,26.45,26.45,26.45,100
22-01-21,26.45,26.45,26.45,26.45,0
25-01-21,27.45,27.45,27.45,27.45,100
26-01-21,27.45,27.45,27.45,27.45,0
27-01-21,27.45,27.45,27.45,27.45,100
28-01-21,27.45,27.45,27.45,27.45,0
29-01-21,27.45,27.45,27.45,27.45,0
01-02-21,27.45,27.45,27.45,27.45,0
02-02-21,27.45,27.45,27.45,27.45,0
03-02-21,27.45,27.45,27.45,27.45,0
04-02-21,27.45,27.45,27.45,27.45,0
05-02-21,28.2,28.2,28.2,28.2,100
08-02-21,28.2,28.2,28.2,28.2,0
09-02-21,28.2,28.2,28.2,28.2,0
17-02-21,28.2,28.2,28.2,28.2,0
18-02-21,28.2,28.2,28.2,28.2,0
19-02-21,28.2,28.2,28.2,28.2,0
22-02-21,28.2,28.2,28.2,28.2,0
23-02-21,28.2,28.2,28.2,28.2,0
24-02-21,28.2,28.2,28.2,28.2,0
25-02-21,28.2,28.2,28.2,28.2,0
26-02-21,28.2,28.2,28.2,28.2,0
01-03-21,28.2,28.2,28.2,28.2,0
02-03-21,29.45,29.45,29.45,29.45,1000
03-03-21,29.45,29.45,29.45,29.45,0
04-03-21,29.45,29.45,29.45,29.45,100
05-03-21,29.45,29.45,29.45,29.45,0
08-03-21,29.45,29.45,29.45,29.45,0
09-03-21,27.5,29.4,29.4,27.4,300
10-03-21,29.4,29.4,29.4,29.4,0
11-03-21,27.35,29.45,29.45,27.35,1100
12-03-21,27.4,27.5,29.4,27.4,900
15-03-21,26.8,26.8,26.8,26.8,700
16-03-21,26.0,28.45,28.45,24.95,700
17-03-21,28.45,26.6,28.45,26.6,1600
18-03-21,26.6,26.6,26.6,26.5,300
19-03-21,26.6,25.0,26.6,25.0,600
22-03-21,25.0,25.0,25.0,25.0,100
23-03-21,26.4,26.4,26.4,26.4,100
24-03-21,26.4,26.4,26.4,26.4,0
25-03-21,26.4,26.4,26.4,26.4,0
26-03-21,26.4,26.4,26.4,26.4,100
29-03-21,27.35,27.35,27.35,27.35,100
30-03-21,27.35,27.35,27.35,27.35,0
31-03-21,27.35,27.35,27.35,27.35,0
01-04-21,27.25,29.0,29.0,27.25,1300
02-04-21,29.0,29.0,29.0,29.0,0
05-04-21,29.0,31.0,31.0,29.0,7000
06-04-21,30.9,32.0,32.0,29.0,8800
07-04-21,31.0,34.2,34.2,29.8,4900
08-04-21,34.0,31.85,34.0,31.85,300
09-04-21,31.85,31.85,31.85,31.85,0
12-04-21,31.0,31.0,31.0,31.0,200
13-04-21,33.0,33.0,33.0,33.0,100
14-04-21,33.0,33.0,33.0,30.7,1200
15-04-21,30.7,30.75,33.0,30.7,600
16-04-21,31.0,31.0,31.0,31.0,200
19-04-21,32.9,33.0,33.0,31.1,4100
20-04-21,31.0,32.95,32.95,31.0,10000
22-04-21,32.0,32.0,32.0,32.0,6000
23-04-21,32.0,32.0,32.0,32.0,3800
26-04-21,31.5,31.8,31.8,31.5,7600
27-04-21,29.6,30.05,30.05,29.6,200
28-04-21,30.05,30.05,30.05,30.05,0
29-04-21,30.05,30.05,30.05,30.05,0
04-05-21,30.05,30.05,30.05,30.05,0
05-05-21,30.05,30.05,30.05,30.05,0
06-05-21,30.05,30.05,30.05,30.05,0
07-05-21,30.05,30.05,30.05,30.05,0
10-05-21,30.05,30.05,30.05,30.05,0
11-05-21,30.05,30.05,30.05,30.05,0
12-05-21,30.05,30.05,30.05,30.05,0
13-05-21,30.05,30.05,30.05,30.05,0
14-05-21,30.05,30.05,30.05,30.05,0
17-05-21,28.0,28.0,28.0,28.0,8400
18-05-21,28.0,28.0,28.0,28.0,0
19-05-21,27.95,26.8,27.95,26.8,13000
20-05-21,26.8,26.8,26.8,26.8,0
21-05-21,25.5,25.5,25.5,25.5,25000
24-05-21,25.6,25.6,25.6,25.6,20000
25-05-21,25.6,25.6,25.6,25.6,23100
26-05-21,25.6,25.6,25.6,25.6,5400
27-05-21,25.5,25.5,25.5,25.5,1500
28-05-21,25.5,25.5,25.5,25.5,3000
31-05-21,25.5,25.5,25.5,25.5,0
01-06-21,25.5,25.5,25.5,25.5,0
02-06-21,25.5,25.5,25.5,25.5,0
03-06-21,25.5,25.5,25.5,25.5,0
04-06-21,25.0,23.75,25.0,23.75,1300
07-06-21,23.75,23.75,23.75,23.75,0
08-06-21,23.75,23.75,23.75,23.75,0
09-06-21,23.75,23.75,23.75,23.75,0
10-06-21,23.75,23.75,23.75,23.75,0
11-06-21,23.75,23.75,23.75,23.75,0
14-06-21,23.75,23.75,23.75,23.75,0
15-06-21,23.75,23.75,23.75,23.75,0
16-06-21,23.75,23.75,23.75,23.75,0
17-06-21,23.8,23.8,23.8,23.8,500
18-06-21,23.8,23.8,23.8,23.8,0
21-06-21,25.4,25.4,25.4,25.4,500
22-06-21,25.4,25.4,25.4,25.4,0
23-06-21,25.4,23.65,27.0,23.65,7800
24-06-21,23.65,23.65,23.65,23.65,0
25-06-21,23.7,23.8,23.8,23.7,5600
28-06-21,23.8,23.8,23.8,23.8,0
29-06-21,23.0,22.15,23.0,22.15,1300
30-06-21,22.15,22.15,22.15,22.15,0
01-07-21,22.2,22.2,22.2,22.2,2000
02-07-21,23.4,23.4,23.4,23.4,1000
05-07-21,23.4,23.4,23.4,23.4,0
06-07-21,23.4,23.4,23.4,23.4,0
07-07-21,23.4,23.4,23.4,23.4,0
08-07-21,23.4,23.4,23.4,23.4,0
09-07-21,23.4,23.4,23.4,23.4,0
12-07-21,23.4,23.4,23.4,23.4,0
13-07-21,23.4,23.4,23.4,23.4,0
14-07-21,23.4,23.4,23.4,23.4,0
15-07-21,23.4,23.4,23.4,23.4,0
16-07-21,23.9,23.9,23.9,23.9,3000
19-07-21,23.9,23.9,23.9,23.9,0
20-07-21,23.9,23.9,23.9,23.9,0
21-07-21,23.9,23.9,23.9,23.9,200
22-07-21,23.9,23.9,23.9,23.9,0
23-07-21,24.5,24.5,24.5,24.5,200
26-07-21,24.5,24.5,24.5,24.5,0
27-07-21,24.5,24.5,24.5,24.5,0
28-07-21,24.0,24.0,24.0,24.0,2000
29-07-21,24.0,24.0,24.0,24.0,0
30-07-21,24.0,24.0,24.0,24.0,0
02-08-21,24.0,24.0,24.0,24.0,0
03-08-21,24.0,24.0,24.0,24.0,0
04-08-21,24.0,24.0,24.0,24.0,0
05-08-21,24.0,24.0,24.0,24.0,0
06-08-21,25.5,25.5,25.5,25.5,200
09-08-21,26.5,26.5,26.5,26.5,100
