Date,Open,Close,High,Low,Volume
16-11-20,5.43,5.38,5.43,5.37,28450
17-11-20,5.38,5.31,5.38,5.3,88680
18-11-20,5.35,5.34,5.36,5.2,87790
19-11-20,5.26,5.71,5.71,5.26,170640
20-11-20,6.1,6.1,6.1,6.0,518550
23-11-20,5.81,5.85,6.07,5.81,221840
24-11-20,5.8,5.83,5.85,5.72,116740
25-11-20,5.8,5.61,5.82,5.59,110810
26-11-20,5.45,5.52,5.6,5.45,110210
27-11-20,5.55,5.75,5.8,5.55,71050
30-11-20,5.75,5.66,6.0,5.5,55900
01-12-20,5.63,5.66,5.66,5.4,60300
02-12-20,5.6,5.55,5.81,5.43,60100
03-12-20,5.53,5.65,5.75,5.52,60640
04-12-20,5.87,5.7,5.87,5.6,89100
07-12-20,5.7,5.7,5.71,5.6,47800
08-12-20,5.7,5.8,5.9,5.5,103550
09-12-20,5.8,5.72,5.8,5.62,71210
10-12-20,5.8,5.64,5.8,5.61,24330
11-12-20,5.64,5.71,5.71,5.6,74270
14-12-20,5.72,5.66,5.72,5.66,63650
15-12-20,5.66,5.7,5.72,5.61,59420
16-12-20,5.71,5.88,6.0,5.7,132450
17-12-20,5.98,5.7,5.98,5.6,86320
18-12-20,5.62,5.79,5.79,5.58,136120
21-12-20,5.79,5.77,5.8,5.65,82380
22-12-20,5.72,6.07,6.16,5.63,392320
23-12-20,6.49,6.49,6.49,6.36,520130
24-12-20,6.94,6.61,6.94,6.1,666360
25-12-20,6.27,7.0,7.05,6.25,1373480
28-12-20,7.09,7.49,7.49,7.09,2403660
29-12-20,7.53,8.01,8.01,7.49,1869480
30-12-20,8.05,8.05,8.57,7.71,3197660
31-12-20,8.08,8.05,8.15,7.8,1871860
04-01-21,8.06,8.61,8.61,8.0,3565100
05-01-21,8.61,8.66,8.68,8.4,1562200
06-01-21,8.67,8.58,8.7,8.4,2031700
07-01-21,8.6,8.7,8.9,8.55,3069000
08-01-21,8.71,8.6,8.72,8.38,1564200
11-01-21,8.6,8.6,8.6,8.4,1435200
12-01-21,8.61,8.54,8.61,8.4,1207300
13-01-21,8.56,8.49,8.56,8.36,1288700
14-01-21,8.49,8.49,8.5,8.29,1570100
15-01-21,8.49,8.5,8.51,8.4,948000
18-01-21,8.5,8.62,8.65,8.5,1032900
19-01-21,8.63,8.03,8.63,8.03,1172300
20-01-21,8.1,8.0,8.12,7.47,330700
21-01-21,8.03,8.56,8.56,7.6,1363500
22-01-21,8.7,8.78,9.03,8.68,1542300
25-01-21,8.8,9.39,9.39,8.79,1940600
26-01-21,9.5,9.23,9.55,8.9,1402700
