Date,Open,Close,High,Low,Volume
16-11-20,111.8,109.7,113.2,108.8,1692540
17-11-20,109.7,112.0,112.0,109.4,966390
18-11-20,111.7,110.6,112.4,110.4,778050
19-11-20,111.5,112.0,112.0,109.6,1434630
20-11-20,112.1,110.8,112.3,110.8,599730
23-11-20,110.8,113.2,114.0,110.6,1506160
24-11-20,113.9,112.0,113.9,111.0,1303450
25-11-20,113.6,112.0,113.6,111.2,824020
26-11-20,112.0,112.8,113.2,112.0,826280
27-11-20,113.0,115.5,115.8,112.8,1680140
30-11-20,117.5,116.0,117.5,115.7,1427120
01-12-20,113.2,116.0,116.0,113.2,1358430
02-12-20,115.1,114.0,115.1,113.3,1707050
03-12-20,113.9,114.7,114.7,112.8,1224080
04-12-20,114.4,113.9,114.8,113.5,768070
07-12-20,113.4,114.3,115.4,113.4,671610
08-12-20,114.1,114.5,115.6,113.8,959210
09-12-20,114.2,115.0,115.1,113.9,984430
10-12-20,115.0,113.8,115.5,113.8,1122020
11-12-20,113.8,114.3,114.6,113.0,813340
14-12-20,115.3,115.7,115.9,114.7,989600
15-12-20,115.2,115.3,117.3,115.0,1455570
16-12-20,116.0,115.5,116.0,115.2,910670
17-12-20,115.5,113.5,115.6,113.5,1496400
18-12-20,113.5,115.0,115.0,113.0,1086810
21-12-20,115.0,116.2,116.8,114.7,1158010
22-12-20,116.2,119.9,120.0,115.4,2236430
23-12-20,120.1,118.1,121.3,118.1,995990
24-12-20,118.1,116.7,119.5,115.0,1132960
25-12-20,116.0,118.5,119.0,115.8,1008790
28-12-20,118.6,117.3,119.6,117.0,933380
29-12-20,117.3,117.2,118.0,117.1,702300
30-12-20,117.2,117.3,118.9,117.0,860030
31-12-20,117.3,118.9,119.5,117.3,891550
04-01-21,119.5,120.6,120.6,119.3,1147400
05-01-21,120.0,121.9,122.6,119.6,967500
06-01-21,123.0,121.3,123.0,120.7,995500
07-01-21,120.5,120.8,121.2,119.7,1118100
08-01-21,120.8,121.8,122.9,120.8,1277600
11-01-21,122.0,126.2,126.4,122.0,1504500
12-01-21,126.2,126.2,126.4,124.9,1352600
13-01-21,126.2,126.2,127.6,126.1,1101300
14-01-21,126.2,127.9,128.3,126.0,1433000
15-01-21,128.0,127.8,128.3,127.3,845000
18-01-21,127.8,126.4,128.0,126.2,768800
19-01-21,125.7,120.0,126.4,118.0,1659900
20-01-21,121.0,122.8,122.8,116.0,1682900
21-01-21,124.5,125.0,125.9,122.8,1034000
22-01-21,125.0,127.2,127.4,124.8,1422700
25-01-21,127.3,132.0,132.4,127.2,2134100
26-01-21,132.9,132.0,133.5,130.1,1356200
27-01-21,131.5,133.5,134.9,131.1,2106900
28-01-21,125.5,124.2,130.2,124.2,1843300
