Date,Open,Close,High,Low,Volume
16-11-20,21.4,21.0,21.6,21.0,33140
17-11-20,21.0,21.0,21.2,20.8,63490
18-11-20,21.0,21.1,21.15,20.8,55550
19-11-20,21.0,20.3,21.1,20.3,90250
20-11-20,20.5,19.9,20.7,19.9,59030
23-11-20,19.9,19.2,20.0,19.2,95480
24-11-20,19.2,19.2,19.4,18.95,57640
25-11-20,19.2,19.0,19.2,19.0,33260
26-11-20,19.0,18.95,19.3,18.95,48250
27-11-20,18.95,18.5,19.0,18.5,77410
30-11-20,18.5,18.45,18.5,17.95,65990
01-12-20,18.25,18.45,18.45,18.2,58720
02-12-20,18.4,18.05,18.45,18.0,39400
03-12-20,18.1,17.9,18.2,17.9,139530
04-12-20,18.1,17.85,18.1,17.8,127800
07-12-20,18.0,17.85,18.1,17.8,187850
08-12-20,18.0,18.0,18.05,17.9,66860
09-12-20,18.05,19.2,19.25,18.05,363770
10-12-20,19.3,20.0,20.0,19.0,472610
11-12-20,20.0,19.7,20.2,19.6,190770
14-12-20,19.55,20.8,20.9,19.1,519580
15-12-20,20.8,20.5,21.4,20.45,390950
16-12-20,20.5,20.5,20.8,20.45,158420
17-12-20,20.5,20.05,20.5,20.05,218480
18-12-20,20.05,20.0,20.1,19.7,269750
21-12-20,20.0,20.2,20.5,20.0,260660
22-12-20,20.1,20.1,20.2,18.95,294850
23-12-20,20.3,20.55,20.6,20.2,596530
24-12-20,20.75,20.8,21.4,20.4,322600
25-12-20,21.3,22.25,22.25,21.3,352900
28-12-20,23.6,23.0,23.6,22.3,309630
29-12-20,22.8,22.85,22.9,22.5,133910
30-12-20,22.85,22.85,22.85,22.15,236780
31-12-20,22.6,23.1,23.1,22.3,124740
04-01-21,23.5,23.6,24.3,23.5,307200
05-01-21,23.55,24.0,24.1,23.1,115500
06-01-21,24.0,24.3,24.8,24.0,223900
07-01-21,24.4,24.35,24.9,24.3,154500
08-01-21,24.5,23.9,24.8,23.65,144200
11-01-21,24.5,23.55,24.6,23.5,132600
12-01-21,23.25,23.0,23.55,22.8,203900
13-01-21,23.5,23.1,23.5,22.6,65800
14-01-21,22.8,22.7,23.0,22.0,155800
15-01-21,22.7,23.4,24.0,22.7,141000
18-01-21,23.8,23.85,23.85,23.05,104000
19-01-21,24.0,22.6,24.0,22.2,194700
20-01-21,22.1,22.6,22.6,21.5,74800
21-01-21,21.75,22.6,22.6,21.7,84700
22-01-21,22.45,23.3,23.75,21.05,222400
25-01-21,23.3,23.8,24.0,23.3,325300
26-01-21,24.0,23.75,24.0,22.8,157500
27-01-21,23.0,22.5,23.7,22.3,225100
28-01-21,20.95,20.95,22.35,20.95,165900
29-01-21,19.6,21.5,21.95,19.6,246500
01-02-21,21.5,21.3,21.5,20.1,207600
02-02-21,21.3,22.5,22.6,20.3,376700
03-02-21,22.5,22.4,22.7,20.95,218700
04-02-21,22.1,23.2,23.4,21.4,523100
05-02-21,21.6,23.2,23.2,21.6,368600
08-02-21,22.5,22.3,23.0,21.6,289100
09-02-21,20.85,21.95,22.0,20.85,168000
17-02-21,22.9,21.95,22.9,21.8,213300
18-02-21,21.95,22.45,22.45,21.4,357800
19-02-21,22.45,23.2,23.2,22.3,358100
22-02-21,23.2,22.85,23.2,22.4,97900
23-02-21,22.85,22.85,22.85,22.1,333500
24-02-21,22.85,22.5,22.85,22.15,332900
25-02-21,22.4,22.2,22.4,21.5,312800
26-02-21,21.7,21.9,21.9,21.1,230300
01-03-21,21.9,21.4,21.9,21.0,179600
02-03-21,21.7,21.3,21.7,20.05,188200
03-03-21,21.25,21.9,21.9,20.8,354400
04-03-21,21.95,21.6,21.95,21.15,247100
05-03-21,21.7,21.2,21.7,20.8,130800
08-03-21,21.2,21.7,21.8,20.65,525800
09-03-21,20.8,20.6,21.6,20.5,357300
10-03-21,21.35,21.6,21.6,20.6,186400
11-03-21,21.0,21.45,21.5,20.5,190500
12-03-21,21.45,21.3,21.5,20.6,183400
15-03-21,20.8,21.0,21.0,20.4,649700
16-03-21,20.5,21.35,21.35,20.3,310500
17-03-21,21.0,21.0,21.0,20.4,94000
18-03-21,20.6,21.0,21.0,20.2,382200
19-03-21,20.6,20.6,20.8,20.0,549300
22-03-21,20.6,20.6,20.65,20.4,168500
23-03-21,20.65,20.4,20.65,20.05,190200
24-03-21,20.35,20.7,20.7,19.85,150300
25-03-21,20.1,20.6,20.6,20.0,94100
26-03-21,20.6,20.5,20.6,19.2,312500
29-03-21,20.45,20.35,20.45,20.2,30000
30-03-21,20.35,20.0,20.35,20.0,53300
31-03-21,20.2,19.9,20.2,19.8,80100
01-04-21,19.9,20.1,20.1,19.75,50300
02-04-21,20.5,20.1,20.6,20.05,56700
05-04-21,20.1,20.05,20.3,19.95,23100
06-04-21,19.8,20.1,20.1,19.8,73600
07-04-21,20.0,20.1,20.1,19.8,60200
08-04-21,20.2,19.95,20.2,19.8,154700
09-04-21,20.0,20.4,20.4,19.85,46600
12-04-21,20.4,20.4,20.45,19.9,324200
13-04-21,20.5,21.4,21.6,20.3,391700
14-04-21,21.2,21.55,21.6,21.05,207800
15-04-21,21.6,21.3,21.6,20.85,556600
16-04-21,21.25,20.5,21.25,20.4,156000
19-04-21,20.4,20.7,20.75,20.1,68800
20-04-21,20.8,20.7,20.8,20.2,82400
22-04-21,20.5,21.3,21.6,20.05,405200
23-04-21,21.0,20.6,21.0,20.55,31100
26-04-21,20.6,20.8,20.8,20.2,65400
27-04-21,20.7,20.9,21.1,20.7,301700
28-04-21,20.85,20.55,20.85,20.55,12700
29-04-21,20.2,20.7,20.9,20.2,85900
04-05-21,20.3,21.0,21.0,20.2,114600
05-05-21,21.5,22.45,22.45,21.5,496500
06-05-21,22.8,23.8,23.8,22.6,443300
07-05-21,23.8,24.0,24.2,23.5,463000
10-05-21,23.8,24.3,24.5,23.65,518000
11-05-21,24.2,24.5,24.5,23.65,703400
12-05-21,24.8,24.55,24.8,24.0,698900
13-05-21,24.5,25.0,25.2,22.85,1143900
14-05-21,25.0,25.4,25.45,24.65,954500
17-05-21,25.65,25.4,25.65,24.7,655300
18-05-21,25.4,25.1,25.4,24.7,764600
19-05-21,25.2,26.8,26.8,25.2,990400
20-05-21,26.45,27.3,27.35,26.45,965700
21-05-21,27.3,27.25,28.8,27.0,1270100
24-05-21,27.0,27.6,27.7,26.75,779900
25-05-21,27.9,28.05,28.45,27.8,701100
26-05-21,28.2,29.25,29.25,28.0,853600
27-05-21,29.1,29.9,29.9,29.0,652100
28-05-21,29.9,30.6,30.6,29.7,706800
31-05-21,30.6,30.05,30.7,30.0,709100
01-06-21,30.15,29.5,30.15,28.45,640600
02-06-21,29.0,29.5,29.5,28.6,741900
03-06-21,29.5,29.5,29.6,29.0,661500
04-06-21,29.5,29.35,29.5,28.6,428200
07-06-21,29.35,29.0,29.5,28.8,413200
08-06-21,29.0,28.6,29.0,27.0,527700
09-06-21,28.4,28.5,28.7,27.0,528500
10-06-21,28.5,28.5,28.5,27.75,627200
11-06-21,28.5,29.4,29.45,28.3,698200
14-06-21,29.45,29.15,29.5,28.8,453900
15-06-21,29.15,28.9,29.25,28.6,170500
16-06-21,29.0,28.8,29.0,27.1,549700
17-06-21,28.7,28.6,28.7,27.8,285800
18-06-21,28.6,28.2,28.6,27.5,306200
21-06-21,27.6,28.8,28.9,27.6,801000
22-06-21,29.0,29.7,29.75,28.6,1485000
23-06-21,29.7,29.95,29.95,29.7,1063100
24-06-21,29.9,29.75,29.95,29.0,844400
25-06-21,29.75,29.6,29.9,29.2,548700
28-06-21,29.5,29.5,29.6,28.6,1042900
29-06-21,29.3,29.1,29.5,27.6,1148200
30-06-21,29.1,29.3,29.3,28.5,878900
01-07-21,29.3,29.35,29.5,28.7,1020400
02-07-21,29.65,29.3,29.65,29.0,743600
05-07-21,29.3,28.5,29.3,28.45,879400
06-07-21,28.5,28.35,28.75,28.0,632200
07-07-21,28.0,28.3,28.3,27.2,674700
08-07-21,28.2,28.3,28.5,28.1,262000
09-07-21,28.3,28.1,28.3,26.45,757600
12-07-21,27.5,27.8,28.4,26.8,688400
13-07-21,27.4,27.9,27.9,27.4,744500
14-07-21,27.7,27.6,28.0,26.95,503100
15-07-21,27.4,28.4,28.45,26.1,1871000
16-07-21,28.4,28.05,28.5,27.9,840400
19-07-21,27.8,27.4,27.9,26.5,984400
20-07-21,27.3,27.0,27.4,26.05,1595100
21-07-21,26.6,27.5,27.6,26.0,1099300
22-07-21,27.5,28.5,28.7,26.5,1111300
23-07-21,28.2,28.8,29.0,27.8,1171900
26-07-21,28.6,29.8,29.9,27.9,1636700
27-07-21,29.9,31.5,31.5,29.9,1829800
28-07-21,31.6,32.0,32.55,31.6,1827300
29-07-21,31.9,32.15,32.55,30.85,2358900
30-07-21,31.9,32.6,33.2,31.3,1554500
02-08-21,32.5,32.0,32.6,31.25,1406000
03-08-21,31.7,31.75,32.0,31.0,1409100
04-08-21,31.75,32.4,32.6,31.0,2321100
05-08-21,32.0,32.8,32.9,31.3,1706800
06-08-21,32.8,32.8,32.9,32.3,1212600
09-08-21,32.8,32.4,32.8,31.95,1631200
10-08-21,31.6,31.2,32.0,31.2,1617900
11-08-21,31.0,31.4,31.4,30.6,807100
12-08-21,31.4,31.65,31.75,31.1,1344800
13-08-21,31.65,32.0,32.45,31.4,1614100
16-08-21,32.0,33.95,34.0,32.0,2053800
17-08-21,34.2,33.7,34.3,33.4,1051600
