Date,Open,Close,High,Low,Volume
16-11-20,52.0,50.8,52.0,49.5,143410
17-11-20,51.9,51.1,51.9,50.5,131590
18-11-20,51.9,50.5,51.9,50.1,178470
19-11-20,51.4,48.7,51.4,48.5,150960
20-11-20,48.7,51.4,51.4,48.7,136990
23-11-20,52.0,51.5,52.8,51.0,156330
24-11-20,51.5,51.4,51.9,49.0,156110
25-11-20,51.4,50.4,51.8,48.8,161470
26-11-20,49.5,50.9,51.4,49.0,169390
27-11-20,50.9,49.6,51.9,48.95,167210
30-11-20,50.0,49.65,50.0,48.7,209800
01-12-20,49.0,49.75,49.75,48.0,202600
02-12-20,49.5,49.75,50.1,49.0,155400
03-12-20,49.75,49.6,49.95,49.5,163840
04-12-20,49.0,49.25,49.75,49.0,220810
07-12-20,49.25,49.25,49.45,49.2,144500
08-12-20,49.0,49.0,49.6,48.65,205260
09-12-20,49.0,48.9,49.4,48.65,208300
10-12-20,48.9,48.9,49.5,48.8,199800
11-12-20,47.8,49.0,50.0,47.8,276610
14-12-20,49.5,48.65,49.7,48.5,207450
15-12-20,49.0,47.5,49.0,45.95,202200
16-12-20,48.0,48.0,48.8,47.8,200080
17-12-20,48.0,47.75,48.2,47.6,181440
18-12-20,47.5,48.0,48.2,47.4,197260
21-12-20,48.5,48.7,48.7,47.95,242080
22-12-20,48.75,48.4,49.4,48.2,185890
23-12-20,48.4,48.4,48.7,48.15,269870
24-12-20,48.1,47.7,48.45,46.8,211660
25-12-20,47.7,48.15,49.5,47.0,217810
28-12-20,48.5,48.5,49.2,48.5,226990
29-12-20,48.8,50.5,51.0,48.5,473710
30-12-20,50.8,54.0,54.0,50.7,319270
31-12-20,54.0,56.8,57.7,53.0,489610
04-01-21,57.5,58.4,59.5,56.9,520700
05-01-21,58.5,58.0,58.7,57.0,349300
06-01-21,59.0,59.8,62.0,59.0,481600
07-01-21,60.5,62.7,62.9,60.5,543300
08-01-21,63.0,63.4,65.3,63.0,380600
11-01-21,63.4,64.0,65.0,61.9,456800
12-01-21,63.5,64.5,64.5,62.0,432300
13-01-21,64.7,68.5,69.0,64.5,440900
14-01-21,68.8,67.3,69.3,66.9,366900
15-01-21,67.5,65.5,68.5,64.5,445500
18-01-21,65.8,67.3,67.9,64.4,405600
19-01-21,67.3,68.0,68.0,65.0,231600
20-01-21,67.5,67.7,68.0,66.0,282500
21-01-21,68.0,66.1,68.7,64.2,329400
22-01-21,64.5,67.4,68.5,64.5,416600
25-01-21,68.0,67.0,68.5,66.6,326200
26-01-21,67.2,66.0,67.6,66.0,194400
27-01-21,67.0,64.0,67.2,63.0,255100
28-01-21,63.5,60.0,63.7,59.6,298800
29-01-21,59.0,64.0,64.2,56.5,384600
01-02-21,64.0,63.8,64.0,62.0,333600
02-02-21,64.0,67.0,68.2,62.0,427500
