Date,Open,Close,High,Low,Volume
16-11-20,7.55,7.39,7.69,7.38,732220
17-11-20,7.39,7.5,7.6,7.39,397380
18-11-20,7.5,7.39,7.5,7.39,753680
19-11-20,7.31,7.39,7.5,7.31,687520
20-11-20,7.39,7.39,7.45,7.36,471030
23-11-20,7.35,7.62,7.69,7.35,691550
24-11-20,7.62,7.4,7.62,7.38,400720
25-11-20,7.4,7.39,7.5,7.31,417710
26-11-20,7.8,7.7,7.85,7.5,1600500
27-11-20,7.78,7.5,7.8,7.5,298890
30-11-20,7.5,7.38,7.54,7.38,409420
01-12-20,7.3,7.48,7.54,7.28,737980
02-12-20,7.5,7.3,7.5,7.3,956080
03-12-20,7.3,7.27,7.34,7.2,652340
04-12-20,7.27,7.45,7.5,7.15,773310
07-12-20,7.46,7.4,7.46,7.29,769990
08-12-20,7.4,7.3,7.44,7.26,598470
09-12-20,7.3,7.25,7.4,7.25,685910
10-12-20,7.2,7.15,7.25,7.15,811990
11-12-20,7.06,7.12,7.15,7.05,529520
14-12-20,7.2,7.4,7.59,7.06,767680
15-12-20,7.38,7.29,7.38,7.19,512940
16-12-20,7.3,7.25,7.32,7.2,411860
17-12-20,7.2,7.17,7.25,7.07,633960
18-12-20,7.17,7.09,7.19,7.09,540800
21-12-20,7.09,7.05,7.1,7.0,589110
22-12-20,7.01,7.27,7.39,7.01,797330
23-12-20,7.28,7.77,7.77,7.25,2745290
24-12-20,7.8,7.5,7.8,7.24,782550
25-12-20,7.5,7.58,7.7,7.36,916360
28-12-20,7.59,8.11,8.11,7.59,3200500
29-12-20,8.39,8.0,8.42,7.99,1526910
30-12-20,8.0,8.11,8.28,7.85,1775250
31-12-20,8.1,8.0,8.19,7.99,1321210
04-01-21,8.15,8.0,8.15,7.9,1147700
05-01-21,7.85,8.4,8.54,7.8,1947800
06-01-21,8.45,8.98,8.98,8.35,2298100
07-01-21,9.3,9.35,9.5,9.0,1938000
08-01-21,9.35,9.05,9.39,8.8,1446400
11-01-21,9.01,8.95,9.06,8.75,990900
12-01-21,8.95,8.78,8.99,8.65,1074900
13-01-21,8.7,9.0,9.3,8.65,1537800
14-01-21,8.9,8.82,9.06,8.75,817600
15-01-21,8.89,8.9,9.0,8.72,680300
18-01-21,9.0,9.17,9.35,8.9,1280700
19-01-21,9.17,8.53,9.19,8.53,836500
20-01-21,8.0,8.18,8.5,7.94,1223100
21-01-21,8.01,8.4,8.43,8.0,898400
22-01-21,8.4,8.02,8.5,8.0,622300
25-01-21,7.85,7.8,8.02,7.8,743000
26-01-21,7.55,7.3,7.63,7.26,1299800
27-01-21,7.15,6.85,7.3,6.79,718700
28-01-21,6.4,6.38,6.44,6.38,670900
29-01-21,5.94,6.37,6.58,5.94,531100
01-02-21,6.47,5.93,6.47,5.93,596500
02-02-21,5.55,5.56,5.75,5.52,942500
03-02-21,5.69,5.76,5.78,5.56,739100
04-02-21,5.78,6.15,6.15,5.77,348100
05-02-21,6.15,6.11,6.45,6.1,765500
08-02-21,6.14,5.72,6.18,5.69,624900
09-02-21,5.36,5.96,5.98,5.36,523200
17-02-21,6.0,6.37,6.37,6.0,434000
18-02-21,6.4,6.44,6.6,6.37,812700
19-02-21,6.3,6.41,6.45,6.25,368300
22-02-21,6.41,6.6,6.75,6.41,564300
23-02-21,6.6,6.9,7.0,6.6,573400
24-02-21,7.09,6.72,7.09,6.61,393900
