Date,Open,Close,High,Low,Volume
16-11-20,56.7,57.1,57.1,56.7,3950
17-11-20,57.1,58.0,58.0,57.1,6220
18-11-20,58.0,58.0,58.0,58.0,0
19-11-20,58.0,57.9,58.0,57.9,110
20-11-20,57.9,57.9,57.9,57.9,0
23-11-20,57.9,57.9,57.9,57.9,1190
24-11-20,55.5,57.5,58.0,55.5,5100
25-11-20,58.0,58.0,58.0,58.0,2170
26-11-20,57.9,58.0,58.0,57.9,1210
27-11-20,58.0,58.0,58.0,58.0,4010
30-11-20,58.0,58.0,58.0,58.0,2900
01-12-20,58.0,59.0,59.0,58.0,3280
02-12-20,58.5,58.4,59.0,58.4,520
03-12-20,57.5,57.5,57.5,57.5,310
04-12-20,56.0,57.0,57.0,56.0,2580
07-12-20,57.0,56.5,57.0,56.5,4460
08-12-20,56.6,56.5,56.6,56.5,1010
09-12-20,56.5,56.5,56.5,56.5,0
10-12-20,56.6,56.0,56.6,56.0,1560
11-12-20,57.0,59.0,59.0,57.0,4060
14-12-20,59.0,57.5,59.0,57.5,14830
15-12-20,57.5,57.5,57.5,57.5,0
16-12-20,57.5,57.0,57.5,56.1,2700
17-12-20,57.0,57.0,57.0,56.0,13000
18-12-20,57.0,57.0,57.0,57.0,2960
21-12-20,57.0,58.0,58.5,57.0,12510
22-12-20,58.0,58.0,58.5,57.8,13640
23-12-20,57.0,58.5,58.5,56.7,8540
24-12-20,58.5,59.0,59.0,58.5,270
25-12-20,59.0,62.9,62.9,59.0,17200
28-12-20,62.9,63.5,64.0,60.5,1160
29-12-20,63.5,63.4,63.7,63.4,17210
30-12-20,62.1,63.0,63.0,59.2,5160
31-12-20,58.6,59.5,63.0,58.6,6770
04-01-21,60.0,57.6,62.0,57.6,1600
05-01-21,61.6,61.6,61.6,61.6,1500
06-01-21,62.9,62.9,62.9,62.9,3800
07-01-21,62.8,62.8,62.8,62.8,1900
08-01-21,62.7,62.5,62.9,62.5,3500
11-01-21,62.5,62.5,62.5,62.5,2000
12-01-21,62.1,62.5,62.8,62.1,7300
13-01-21,62.5,62.5,62.5,62.5,0
14-01-21,62.6,62.8,62.8,62.6,3700
