Date,Open,Close,High,Low,Volume
16-11-20,8.9,8.8,8.9,8.8,21500
17-11-20,8.9,8.8,8.9,8.8,24500
18-11-20,8.8,9.1,9.1,8.8,35300
19-11-20,9.0,8.9,9.0,8.9,23400
20-11-20,9.0,9.0,9.0,8.9,42039
23-11-20,9.3,9.2,9.4,9.1,63410
24-11-20,9.3,9.2,9.3,9.1,26904
25-11-20,9.2,9.2,9.3,9.1,34700
26-11-20,9.0,9.2,9.3,9.0,36300
27-11-20,9.2,9.2,9.2,9.1,15561
30-11-20,9.2,9.1,9.3,9.1,20100
01-12-20,9.0,9.3,9.4,9.0,46800
02-12-20,9.3,9.3,9.5,9.2,64000
03-12-20,9.3,9.5,9.5,9.3,18200
04-12-20,9.4,10.1,10.1,9.4,155120
07-12-20,10.0,10.2,10.3,10.0,73410
08-12-20,10.1,10.3,10.3,10.0,90710
09-12-20,10.0,10.3,10.4,10.0,430700
10-12-20,10.3,10.7,11.0,10.3,620400
11-12-20,11.0,11.6,11.6,10.5,572840
14-12-20,11.6,12.3,12.3,11.4,669834
15-12-20,12.2,11.9,12.5,11.8,687145
16-12-20,11.9,12.2,12.2,11.6,573784
17-12-20,12.0,11.9,12.2,11.7,534800
18-12-20,11.9,13.0,13.1,11.9,641400
21-12-20,12.7,12.9,13.0,12.5,708413
22-12-20,13.0,12.9,13.0,12.6,643086
23-12-20,12.8,12.1,12.8,11.4,193300
24-12-20,12.2,11.3,12.2,11.1,195200
25-12-20,11.5,11.9,11.9,11.4,233740
28-12-20,12.4,11.8,12.4,11.6,110580
29-12-20,11.9,11.6,11.9,11.5,90709
30-12-20,11.6,11.5,11.6,11.2,139300
31-12-20,11.6,12.0,12.2,11.3,116000
04-01-21,12.0,12.5,12.7,12.0,248733
05-01-21,12.5,12.4,12.7,12.4,196340
06-01-21,12.4,13.5,13.7,12.4,381961
07-01-21,13.7,14.3,14.6,13.7,247850
08-01-21,14.3,13.9,14.3,13.5,161491
11-01-21,13.9,14.0,14.0,13.3,229041
12-01-21,14.0,14.1,14.1,13.4,165547
13-01-21,13.8,13.9,14.0,13.4,188350
14-01-21,13.6,14.9,15.2,13.6,651964
15-01-21,15.2,14.9,15.4,14.8,291730
