Date,Open,Close,High,Low,Volume
16-11-20,24.95,24.5,25.3,24.5,527570
17-11-20,24.5,24.9,24.9,24.5,228320
18-11-20,25.0,25.05,25.1,24.8,513610
19-11-20,25.2,25.7,26.3,25.2,416120
20-11-20,26.0,25.8,26.0,25.3,239020
23-11-20,25.5,25.75,25.9,25.4,266080
24-11-20,25.8,26.5,26.5,25.5,684850
25-11-20,26.5,26.5,26.75,26.0,198960
26-11-20,26.3,25.65,26.8,25.5,806210
27-11-20,25.4,25.75,25.75,25.4,291160
30-11-20,26.0,25.7,26.35,25.7,364880
01-12-20,21.45,22.2,22.4,21.35,252760
02-12-20,22.45,22.15,22.5,22.1,191410
03-12-20,22.15,21.65,22.25,21.65,397940
04-12-20,21.9,21.3,21.9,21.3,407120
07-12-20,21.1,21.4,21.5,21.0,283080
08-12-20,21.3,21.35,21.6,21.0,645240
09-12-20,21.45,21.65,21.7,21.35,475870
10-12-20,21.65,21.65,21.75,21.5,343120
11-12-20,21.55,21.6,21.65,21.5,227170
14-12-20,21.75,21.65,21.8,21.5,445980
15-12-20,21.65,22.5,22.7,21.65,993440
16-12-20,22.6,22.4,22.75,22.25,272610
17-12-20,22.4,21.85,22.4,21.7,456510
18-12-20,21.35,21.9,22.0,21.35,308450
21-12-20,21.95,21.9,22.1,21.8,255790
22-12-20,21.9,22.5,22.6,21.7,405690
23-12-20,22.6,23.1,23.7,22.55,736690
24-12-20,23.1,22.45,23.25,21.6,410100
25-12-20,22.05,22.5,22.7,22.05,208810
28-12-20,22.5,22.15,22.9,22.15,400800
29-12-20,22.05,22.2,22.45,22.05,269900
30-12-20,22.3,22.05,22.3,21.9,270270
31-12-20,22.1,22.25,22.3,22.0,217260
04-01-21,22.25,22.7,22.9,22.25,329400
05-01-21,22.65,23.45,23.6,22.55,515900
06-01-21,23.5,23.45,23.6,23.3,361500
07-01-21,23.45,23.3,23.5,22.95,312100
08-01-21,23.5,23.2,23.65,23.0,697300
11-01-21,23.3,23.15,23.6,23.05,443400
12-01-21,23.15,24.05,24.3,23.1,759200
13-01-21,24.2,24.0,24.5,23.9,788600
14-01-21,23.8,23.65,23.9,23.25,547800
15-01-21,23.55,23.55,23.65,23.25,478300
18-01-21,23.4,23.3,23.6,23.15,566400
19-01-21,23.15,21.7,23.15,21.7,814900
20-01-21,22.0,22.3,22.3,21.45,587900
21-01-21,22.5,22.25,23.0,21.75,462300
22-01-21,22.8,22.95,23.3,22.7,518200
25-01-21,23.25,23.0,23.25,22.8,213300
26-01-21,23.0,23.1,24.05,22.0,979200
27-01-21,23.0,23.0,23.75,22.75,716900
28-01-21,21.7,21.4,22.2,21.4,2056700
29-01-21,19.95,22.85,22.85,19.95,2033900
01-02-21,23.0,22.85,23.4,22.35,1215200
02-02-21,23.0,24.4,24.4,22.5,2232900
03-02-21,25.2,25.4,25.8,25.0,1556900
04-02-21,25.7,26.35,26.6,25.5,1261300
05-02-21,26.35,26.0,26.4,25.85,716000
08-02-21,26.0,25.6,27.0,25.1,1124100
09-02-21,26.0,25.45,26.0,25.2,852100
17-02-21,26.0,27.0,27.1,25.3,1443900
18-02-21,27.4,26.7,27.4,26.7,883400
19-02-21,26.5,26.7,27.2,26.2,689500
22-02-21,26.6,25.9,26.7,25.85,1009000
23-02-21,25.6,26.1,26.25,25.6,473300
24-02-21,25.9,25.5,26.1,25.2,777500
25-02-21,25.8,26.1,26.1,25.6,616600
26-02-21,25.8,27.9,27.9,25.7,2667200
01-03-21,29.8,28.4,29.85,28.3,1069600
02-03-21,28.25,28.7,29.1,28.0,1236100
03-03-21,28.2,28.1,28.8,28.05,961600
04-03-21,28.3,27.15,28.6,26.15,1178100
05-03-21,26.4,27.6,28.8,26.4,1100300
08-03-21,27.6,27.4,28.4,27.15,730000
09-03-21,26.8,28.4,29.0,26.8,1974500
10-03-21,28.6,28.5,28.7,28.2,1004900
11-03-21,28.2,29.65,29.7,28.2,1486800
12-03-21,29.65,29.3,29.75,29.0,444000
15-03-21,29.3,28.8,29.3,28.7,617900
16-03-21,28.55,28.65,28.65,28.0,799900
17-03-21,28.3,28.8,29.4,28.2,618200
18-03-21,29.0,28.8,29.0,28.6,321600
19-03-21,28.9,30.5,30.8,28.9,2646000
22-03-21,30.4,30.1,30.6,29.8,532600
23-03-21,29.7,29.2,30.2,29.0,1049800
24-03-21,28.75,28.45,29.5,27.95,1070700
25-03-21,28.5,27.7,28.7,27.5,1272900
26-03-21,27.3,27.65,27.7,26.2,1204100
29-03-21,27.7,28.3,28.35,27.7,434000
30-03-21,28.55,28.2,28.55,27.8,432800
31-03-21,28.2,28.0,28.2,27.8,324600
01-04-21,28.2,28.6,29.1,28.05,359800
02-04-21,29.1,27.9,29.1,27.9,625000
05-04-21,28.0,28.0,28.35,27.7,505500
06-04-21,28.2,27.6,28.2,27.55,680000
07-04-21,27.75,27.8,28.2,27.25,877100
08-04-21,27.8,27.6,27.8,27.3,389100
09-04-21,27.5,27.45,27.9,27.35,388300
12-04-21,27.45,27.9,28.4,27.25,796900
13-04-21,27.9,27.2,28.0,27.1,701800
14-04-21,27.0,26.8,27.0,26.5,1421200
15-04-21,26.8,26.05,26.8,25.9,1181300
16-04-21,26.05,25.4,26.05,25.0,1210000
19-04-21,25.4,25.9,26.0,25.4,610000
20-04-21,26.5,25.8,26.5,25.5,485300
22-04-21,25.45,24.55,25.6,24.5,617000
23-04-21,24.1,25.2,25.4,24.1,600300
26-04-21,25.2,25.3,25.7,24.9,583500
27-04-21,24.0,25.25,25.5,24.0,307900
28-04-21,25.8,26.2,26.55,25.25,479400
29-04-21,26.75,26.0,26.75,25.5,501000
04-05-21,24.6,25.5,26.0,24.6,345200
05-05-21,25.5,26.15,26.4,25.5,982700
06-05-21,26.15,26.2,26.6,26.0,590600
07-05-21,26.2,26.15,26.2,25.1,596700
10-05-21,25.1,25.2,26.0,25.0,382600
11-05-21,25.2,25.2,25.8,24.9,545400
12-05-21,25.7,25.4,25.7,24.8,519100
13-05-21,25.3,25.0,25.8,25.0,597500
14-05-21,25.0,25.0,25.3,25.0,184200
17-05-21,25.0,25.05,25.35,24.95,252600
18-05-21,24.85,25.0,25.1,24.65,278300
19-05-21,24.6,24.7,25.0,24.6,319700
20-05-21,24.6,24.45,24.6,23.8,596500
21-05-21,24.1,25.2,26.0,24.0,744200
24-05-21,25.5,25.3,25.8,24.8,259700
25-05-21,25.0,25.35,25.5,25.0,684600
26-05-21,25.3,25.55,25.75,25.0,471300
27-05-21,25.3,25.35,25.75,25.1,347600
28-05-21,25.75,26.3,26.3,25.45,804500
31-05-21,26.3,27.6,27.9,26.3,922800
01-06-21,28.45,27.45,28.5,27.45,466200
02-06-21,27.4,27.3,27.4,27.1,551500
03-06-21,27.1,27.35,27.5,27.0,616700
04-06-21,27.15,26.95,27.45,26.85,577400
07-06-21,27.1,26.8,27.25,26.6,234600
08-06-21,26.4,25.3,27.0,25.25,456700
09-06-21,25.3,25.6,25.8,24.8,482100
10-06-21,25.6,27.35,27.35,25.5,1378800
11-06-21,27.35,27.05,28.0,26.9,384100
14-06-21,27.0,26.75,27.45,26.55,201100
15-06-21,26.55,26.85,27.05,26.35,391100
16-06-21,26.85,28.4,28.5,26.85,1872600
17-06-21,28.0,28.2,28.3,27.6,487400
18-06-21,28.5,28.3,28.9,28.2,971100
21-06-21,27.9,28.4,28.85,27.7,891000
22-06-21,28.5,28.35,28.7,28.25,482100
23-06-21,28.1,27.3,28.25,27.15,877300
24-06-21,27.0,26.7,27.3,26.5,459300
25-06-21,26.55,26.6,26.9,26.15,433800
28-06-21,26.6,26.8,27.0,26.25,719900
29-06-21,27.0,26.85,27.5,26.7,426500
30-06-21,26.7,26.5,26.85,26.4,344100
01-07-21,26.3,26.45,26.7,26.2,282300
02-07-21,26.45,26.5,26.5,26.3,368800
05-07-21,26.5,26.9,27.5,26.25,602000
06-07-21,26.8,26.3,27.85,26.1,864200
07-07-21,26.0,26.0,26.85,25.3,553600
08-07-21,26.0,25.6,26.3,25.55,216700
09-07-21,25.0,25.6,25.7,25.0,1130300
12-07-21,25.5,23.9,25.55,23.85,643000
13-07-21,24.3,24.55,24.6,23.9,649400
14-07-21,24.55,24.55,25.0,23.8,253700
15-07-21,24.3,26.0,26.0,24.3,909900
16-07-21,26.1,25.0,26.25,25.0,512900
19-07-21,24.5,24.2,25.0,24.0,336900
20-07-21,24.2,24.7,24.7,24.1,141400
21-07-21,24.8,24.7,25.0,24.5,138900
22-07-21,24.75,25.3,25.6,24.3,548500
23-07-21,25.3,24.9,25.5,24.9,209500
26-07-21,24.4,25.2,25.25,24.4,267400
27-07-21,25.4,26.25,26.4,25.4,1202000
28-07-21,26.25,26.15,26.25,25.8,444600
29-07-21,26.2,26.9,27.0,25.9,535400
30-07-21,27.0,26.85,27.1,26.2,609100
02-08-21,26.8,26.6,26.85,26.2,502400
03-08-21,26.5,26.3,26.55,26.15,773300
04-08-21,26.6,26.8,27.5,26.3,812700
05-08-21,26.8,27.3,27.3,26.5,1093200
06-08-21,27.3,27.1,27.5,27.1,1061800
09-08-21,27.05,28.95,28.95,27.05,3666800
10-08-21,29.9,29.55,30.3,29.0,3118300
11-08-21,29.55,29.2,29.85,29.2,1541700
12-08-21,28.9,30.3,31.2,28.9,6620600
13-08-21,31.0,31.75,32.0,30.4,3274200
16-08-21,33.1,32.05,33.7,31.65,3045400
17-08-21,31.65,31.9,32.8,31.2,2651800
18-08-21,31.9,32.05,32.7,31.7,2573500
19-08-21,32.05,32.7,33.3,31.9,1596000
20-08-21,32.9,30.45,32.9,30.45,4341100
23-08-21,30.45,29.0,30.9,28.85,3042700
24-08-21,29.2,30.15,30.4,28.9,2415600
25-08-21,30.25,30.6,30.65,30.0,1158000
26-08-21,30.9,31.85,32.1,30.55,3078900
27-08-21,31.5,34.05,34.05,31.5,5656900
30-08-21,35.0,34.6,35.55,34.3,2928300
31-08-21,34.5,34.7,35.5,34.0,3111100
01-09-21,36.0,35.8,36.0,35.0,2812100
06-09-21,35.9,35.25,37.0,35.2,2941700
07-09-21,35.2,33.85,35.35,33.5,3849300
08-09-21,33.6,34.35,35.0,33.6,2287700
09-09-21,34.35,36.1,36.5,34.35,2069200
10-09-21,36.3,35.6,36.4,35.6,1572500
13-09-21,35.6,34.9,35.6,34.6,1685100
14-09-21,34.7,35.25,36.1,34.5,1817700
15-09-21,35.0,37.1,37.45,35.0,3421600
16-09-21,37.2,36.95,37.2,36.5,1324400
17-09-21,37.15,36.95,37.7,36.75,2220500
20-09-21,37.0,36.25,37.1,35.6,2258400
21-09-21,35.3,36.0,36.0,34.6,2846800
22-09-21,36.1,36.4,36.6,35.3,1680200
23-09-21,36.5,35.85,37.0,35.8,1477400
24-09-21,35.5,35.35,36.0,35.2,1223100
27-09-21,35.1,35.1,36.0,35.05,1335100
28-09-21,34.6,35.2,35.5,34.0,1146400
29-09-21,35.65,37.6,37.65,35.1,4059200
30-09-21,38.0,38.7,38.95,37.6,2903800
01-10-21,38.8,38.7,39.5,37.5,2047000
04-10-21,38.6,39.35,40.0,38.5,1971700
05-10-21,39.8,38.2,39.8,38.05,2202400
06-10-21,38.2,39.8,39.8,38.1,2403000
07-10-21,40.0,39.25,40.0,39.1,1597100
08-10-21,39.3,39.0,39.95,38.85,1613800
11-10-21,39.2,38.85,39.5,38.4,1527300
12-10-21,38.85,39.1,39.45,38.5,2289400
13-10-21,39.3,39.6,40.4,39.1,2055200
14-10-21,39.6,39.5,40.9,39.5,1933700
15-10-21,39.9,39.7,40.5,39.15,1638500
18-10-21,39.6,38.5,39.7,38.5,3892200
19-10-21,38.5,38.9,39.3,38.0,1262800
20-10-21,39.2,38.7,39.2,38.3,1934800
21-10-21,38.7,41.4,41.4,38.45,3361200
22-10-21,41.5,40.8,42.45,40.5,1981000
25-10-21,41.45,39.7,41.95,39.6,3329600
26-10-21,39.7,41.3,41.7,39.5,2559600
27-10-21,41.5,41.7,41.95,41.4,1761400
28-10-21,41.85,42.3,42.9,41.3,2673800
29-10-21,42.3,41.75,42.55,41.4,2187000
01-11-21,42.5,42.15,43.0,42.0,3036200
02-11-21,42.15,42.6,42.95,41.45,2809100
03-11-21,42.6,41.0,42.9,40.1,2899500
04-11-21,35.4,36.1,36.5,34.5,1677400
05-11-21,36.1,37.35,37.9,35.5,1748800
08-11-21,38.4,37.6,38.4,37.35,1816800
09-11-21,37.6,37.2,37.95,37.0,1237100
10-11-21,37.2,37.4,38.15,36.6,1486300
11-11-21,37.5,37.35,37.8,36.5,1959200
12-11-21,37.35,37.35,38.0,36.8,1435000
15-11-21,37.6,38.2,39.0,37.1,2752400
16-11-21,38.2,37.55,38.3,37.2,1150600
17-11-21,37.3,38.65,39.0,37.0,1697000
18-11-21,38.7,37.9,38.7,37.9,1124100
19-11-21,38.1,36.5,38.1,35.25,2141800
22-11-21,36.6,34.0,37.0,34.0,2247500
23-11-21,34.0,34.85,34.95,33.5,1411600
24-11-21,35.5,34.5,35.5,34.3,1424000
25-11-21,34.1,35.75,35.9,34.1,979000
26-11-21,35.85,36.55,36.85,34.65,1515100
29-11-21,36.3,38.3,38.5,35.15,3067400
30-11-21,38.95,37.9,39.5,37.85,2225800
01-12-21,37.6,37.8,38.0,37.2,940500
02-12-21,38.0,38.1,38.8,37.2,1900900
03-12-21,38.15,37.05,38.9,37.05,1940500
06-12-21,36.9,35.3,37.25,35.0,1360200
07-12-21,36.2,36.3,36.8,35.3,1039900
08-12-21,36.6,36.6,37.3,36.1,875300
09-12-21,36.3,37.6,37.6,36.3,1189500
10-12-21,38.1,40.0,40.0,37.9,5809000
13-12-21,40.9,40.4,40.9,40.0,2118200
14-12-21,40.0,39.8,40.35,39.5,1927900
15-12-21,39.3,40.75,42,39.3,2661500
