Date,Open,Close,High,Low,Volume
16-11-20,39.35,38.0,39.4,38.0,2119080
17-11-20,38.0,38.9,39.0,38.0,1885110
18-11-20,38.8,38.65,38.9,38.5,2198210
19-11-20,38.5,39.25,39.25,38.5,2295860
20-11-20,39.6,41.95,41.95,39.4,3721350
23-11-20,42.2,41.95,42.7,41.3,2295520
24-11-20,41.95,41.9,41.95,40.95,2252570
25-11-20,41.8,40.6,41.8,40.4,2336930
26-11-20,40.55,40.7,40.7,39.5,2249000
27-11-20,40.6,41.55,42.1,40.4,3544850
30-11-20,41.4,41.35,41.55,40.9,2496410
01-12-20,40.2,41.0,41.1,40.2,2295090
02-12-20,41.7,40.9,41.7,40.1,2412740
03-12-20,40.9,43.5,43.5,40.2,3810350
04-12-20,43.5,43.5,44.5,43.2,2446350
07-12-20,43.3,43.7,43.8,42.3,2946050
08-12-20,43.7,43.45,43.8,42.7,2236980
09-12-20,43.55,43.6,43.9,43.2,2872410
10-12-20,43.6,42.9,43.9,42.8,2572120
11-12-20,42.8,42.9,43.3,42.0,2347190
14-12-20,43.0,44.85,44.85,43.0,4062630
15-12-20,44.7,44.4,44.85,44.0,3076690
16-12-20,44.2,44.5,44.5,43.9,3609790
17-12-20,44.2,44.0,44.5,43.5,3117130
18-12-20,43.9,43.75,44.7,43.6,3924570
21-12-20,43.9,46.75,46.8,43.9,4250390
22-12-20,46.6,48.0,48.0,45.9,4189830
23-12-20,47.8,49.8,50.0,47.5,4079260
24-12-20,49.7,50.0,50.0,47.4,3016020
25-12-20,49.5,49.0,49.6,48.5,3114430
28-12-20,48.8,49.7,49.8,48.5,3601600
29-12-20,49.7,52.0,53.0,49.1,4109920
30-12-20,51.5,51.1,52.5,50.2,3024660
31-12-20,50.9,51.5,51.5,50.6,3092380
04-01-21,51.4,51.8,52.6,50.9,3380200
05-01-21,51.6,51.4,52.4,51.2,3227600
06-01-21,51.0,51.9,52.4,50.6,3515200
07-01-21,51.9,51.6,52.1,50.8,3148200
08-01-21,51.2,51.4,51.7,50.5,3689700
11-01-21,51.4,51.5,51.6,50.9,2328600
12-01-21,51.5,51.5,51.8,51.1,3578100
13-01-21,51.3,53.3,53.3,51.0,5038900
14-01-21,53.2,56.0,57.0,53.1,5327500
15-01-21,55.4,55.3,56.0,54.5,3532400
18-01-21,55.1,55.0,55.4,54.0,3523000
19-01-21,54.8,53.4,55.2,51.2,2731500
20-01-21,53.1,53.0,53.4,50.4,3111400
21-01-21,52.9,53.4,54.0,52.4,3528900
22-01-21,53.3,55.4,55.6,53.0,4401900
25-01-21,55.4,56.5,56.6,54.8,4820700
26-01-21,56.5,55.5,56.5,53.3,3297500
27-01-21,54.7,54.0,54.9,53.0,3220200
28-01-21,50.5,52.5,54.0,50.3,2758900
29-01-21,51.9,55.8,55.8,51.4,3711700
01-02-21,55.6,54.5,55.8,53.7,3176200
02-02-21,54.4,55.8,55.8,53.6,4085100
03-02-21,55.9,59.0,59.5,55.8,5457200
04-02-21,59.0,59.0,59.5,58.0,3836300
05-02-21,59.1,60.4,60.4,59.1,3364200
08-02-21,60.2,61.3,61.3,56.5,3868400
09-02-21,60.5,62.8,62.8,58.8,4151800
17-02-21,62.6,64.6,64.7,61.8,3977000
18-02-21,64.4,65.1,65.1,62.9,3735100
19-02-21,64.0,64.9,64.9,63.0,3790500
22-02-21,64.8,64.5,64.8,63.3,3725500
23-02-21,64.2,64.0,64.2,62.7,3163200
24-02-21,63.8,63.1,63.9,61.7,3175500
25-02-21,62.7,62.2,62.8,61.0,3287200
26-02-21,61.9,63.0,63.3,61.1,3725300
01-03-21,63.0,64.3,64.5,62.9,4017700
02-03-21,64.3,64.5,64.5,63.2,3813100
03-03-21,64.0,64.3,64.5,63.5,3461900
04-03-21,64.3,62.8,64.4,62.5,1996100
05-03-21,62.5,62.6,62.6,61.0,3428300
08-03-21,62.5,62.3,62.8,61.1,3451400
09-03-21,62.4,63.7,63.8,61.0,4088200
10-03-21,63.6,64.3,64.5,63.2,4310900
11-03-21,64.3,66.8,66.8,64.0,5569900
12-03-21,66.7,67.2,68.6,66.4,4283000
15-03-21,67.4,67.0,67.8,66.1,3467700
16-03-21,66.7,67.1,67.1,65.5,3154900
17-03-21,66.7,67.2,67.3,65.7,3162700
18-03-21,67.2,68.0,68.0,66.8,3030600
19-03-21,67.8,68.5,68.5,67.0,3151200
22-03-21,67.8,67.5,68.2,67.2,3002900
23-03-21,61.6,63.2,63.3,60.3,3540800
24-03-21,62.7,62.7,63.2,61.5,2928000
25-03-21,62.6,62.2,62.8,61.5,2851900
26-03-21,62.0,61.5,62.0,59.7,2895900
29-03-21,61.3,62.0,62.3,61.0,3209100
30-03-21,61.9,61.8,62.4,61.2,2897100
31-03-21,61.8,62.0,62.3,61.1,2753800
01-04-21,62.0,63.2,63.5,61.7,3623500
02-04-21,63.4,64.6,65.0,63.1,3879700
05-04-21,69.0,68.0,69.0,64.9,4300600
06-04-21,68.0,67.8,68.1,67.2,3274100
07-04-21,67.6,68.7,68.7,66.7,3311200
08-04-21,68.6,68.7,68.8,68.0,2918800
09-04-21,68.6,68.6,69.0,67.8,2853600
12-04-21,68.5,68.3,68.8,68.0,2786200
13-04-21,68.1,67.8,68.4,67.6,2719500
