Date,Open,Close,High,Low,Volume
16-11-20,14.3,14.6,14.9,13.55,3773240
17-11-20,14.8,14.3,14.9,14.2,1786350
18-11-20,14.05,14.4,14.8,14.05,1566860
19-11-20,14.1,13.6,14.2,13.4,3412140
20-11-20,13.8,14.55,14.55,13.65,3534550
23-11-20,14.8,15.55,15.55,14.8,2157350
24-11-20,16.0,15.85,16.2,15.3,2544870
25-11-20,15.65,15.35,16.0,15.2,2139980
26-11-20,15.45,15.4,15.55,15.1,1184420
27-11-20,15.35,16.0,16.3,15.35,3288210
30-11-20,16.35,16.1,16.45,16.05,2087790
01-12-20,15.9,15.8,16.25,15.6,2816910
02-12-20,15.95,15.5,16.2,15.5,3017890
03-12-20,15.6,15.8,16.0,15.35,2417250
04-12-20,15.7,15.6,15.8,15.45,1587180
07-12-20,15.45,15.7,16.3,15.45,2796030
08-12-20,15.7,15.4,15.95,15.4,2283000
09-12-20,15.4,15.4,15.7,15.35,2021000
10-12-20,15.45,14.9,15.55,14.9,2342070
11-12-20,14.9,15.05,15.2,14.7,1734430
14-12-20,15.35,15.85,16.0,15.15,3529230
15-12-20,15.7,16.6,16.9,15.5,7664280
16-12-20,16.8,16.6,17.2,16.6,2530740
17-12-20,16.5,16.6,16.9,16.25,2139620
18-12-20,16.75,16.55,16.75,16.3,3314200
21-12-20,16.7,16.5,17.15,16.45,4424360
22-12-20,16.45,16.2,16.45,16.1,3672370
23-12-20,16.15,16.2,16.55,16.1,2105000
24-12-20,16.1,15.4,16.2,15.1,2546320
25-12-20,15.4,15.45,16.0,15.0,1980250
28-12-20,15.5,16.0,16.3,15.25,2711820
29-12-20,16.0,15.75,16.15,15.75,1307290
30-12-20,15.75,16.25,16.85,15.6,3484870
31-12-20,16.4,16.15,16.6,16.1,1807200
04-01-21,16.15,16.35,16.5,16.15,2014200
05-01-21,16.3,17.1,17.3,16.1,4584700
06-01-21,17.1,17.0,17.8,16.7,2616600
07-01-21,17.2,17.35,17.5,17.0,2947700
08-01-21,17.5,17.4,17.6,17.0,3374300
11-01-21,17.45,17.2,17.45,17.0,2338900
12-01-21,17.2,17.1,17.2,16.9,2177800
13-01-21,17.15,17.4,17.8,17.15,4756800
14-01-21,17.4,18.6,18.6,17.4,5543700
15-01-21,19.4,19.2,19.7,19.0,2484800
18-01-21,19.2,18.7,19.2,18.5,2664200
19-01-21,18.5,17.4,18.55,17.4,2746900
20-01-21,17.0,16.85,17.1,16.2,3958300
21-01-21,17.2,17.5,17.5,16.75,2000000
22-01-21,17.5,17.75,18.4,17.2,2398800
25-01-21,17.5,17.4,17.85,17.4,2047500
26-01-21,17.4,16.3,17.4,16.2,2788500
27-01-21,16.05,15.3,16.65,15.2,2600600
28-01-21,14.3,14.25,14.6,14.25,1610100
29-01-21,13.4,14.8,14.9,13.4,2066700
01-02-21,14.55,13.9,15.3,13.8,1804000
02-02-21,13.9,14.45,14.45,13.5,935700
03-02-21,14.8,15.45,15.45,14.55,1811100
04-02-21,15.45,15.45,16.0,15.3,1193600
05-02-21,15.75,15.65,15.8,15.45,660400
08-02-21,15.7,14.9,15.75,14.75,1537300
09-02-21,14.9,15.4,15.5,14.5,930300
17-02-21,15.8,16.45,16.45,15.8,2088300
18-02-21,16.8,17.15,17.35,16.7,2186500
19-02-21,16.75,17.05,17.5,16.75,1375500
22-02-21,17.15,16.8,17.15,16.6,1269500
23-02-21,17.0,16.85,17.0,16.6,1347200
24-02-21,16.85,16.5,17.1,16.05,1121400
25-02-21,16.5,16.6,16.75,16.3,1419000
26-02-21,16.1,16.55,16.6,16.1,1114400
01-03-21,16.65,17.7,17.7,16.65,3182800
02-03-21,18.4,18.1,18.5,17.7,3738000
03-03-21,18.1,19.05,19.3,18.1,3135800
04-03-21,19.25,18.5,19.25,18.0,2168800
05-03-21,18.5,19.75,19.75,17.8,4618000
08-03-21,20.8,21.1,21.1,20.4,2611600
09-03-21,21.15,21.5,22.55,21.1,5720300
10-03-21,21.0,21.2,22.0,20.5,3524500
11-03-21,21.3,21.8,22.5,21.25,1808600
12-03-21,22.0,22.2,22.8,21.4,2790700
15-03-21,22.5,23.05,23.5,22.3,2744300
16-03-21,23.15,24.45,24.6,23.15,2791000
17-03-21,24.0,24.0,25.0,23.65,2856100
18-03-21,24.1,23.0,24.1,22.6,4449300
19-03-21,22.6,23.8,24.0,22.3,3274100
22-03-21,24.0,24.25,24.8,23.9,2286100
23-03-21,24.0,23.6,24.25,23.25,2353300
24-03-21,23.0,22.5,23.4,22.5,2448300
25-03-21,22.7,22.0,23.25,21.5,2655600
26-03-21,22.0,22.0,22.5,20.55,2796500
29-03-21,22.4,22.0,22.4,21.65,2230700
30-03-21,22.0,21.7,22.15,21.5,1870800
31-03-21,21.8,22.9,23.0,21.6,3158700
01-04-21,23.0,23.05,23.4,22.6,1134200
02-04-21,23.35,22.75,23.35,22.6,1829800
05-04-21,22.75,22.2,23.1,22.05,1892300
06-04-21,22.15,22.0,22.2,21.85,1729900
07-04-21,22.2,23.5,23.5,22.2,4352800
08-04-21,23.9,23.2,23.9,23.2,1639600
09-04-21,23.25,23.5,23.6,23.15,2577800
12-04-21,23.5,23.4,23.6,23.0,2288200
13-04-21,23.5,22.5,23.5,22.1,2801300
14-04-21,22.1,22.75,23.0,22.1,1298700
15-04-21,23.0,22.05,23.0,22.0,1652800
16-04-21,22.0,21.1,22.0,20.6,2664200
19-04-21,21.5,22.2,22.5,20.8,1340100
20-04-21,22.5,21.4,22.5,21.4,1576900
22-04-21,21.0,19.95,21.5,19.95,1764200
23-04-21,19.9,20.5,20.5,19.05,1611100
26-04-21,20.5,19.65,20.5,19.5,975200
27-04-21,19.5,19.85,20.3,19.0,1036100
28-04-21,19.8,20.0,20.3,19.5,1005600
29-04-21,20.35,20.0,20.4,19.9,1051200
04-05-21,19.1,20.5,20.8,19.1,1640400
