Date,Open,Close,High,Low,Volume
16-11-20,23.0,22.05,23.0,21.2,7440
17-11-20,22.45,21.5,22.45,21.5,17460
18-11-20,21.5,22.4,22.5,21.5,118040
19-11-20,22.4,22.7,22.7,22.0,92610
20-11-20,22.9,23.2,23.2,22.0,152300
23-11-20,23.35,22.3,23.35,22.1,8480
24-11-20,22.3,22.6,23.05,22.3,7280
25-11-20,23.0,22.5,23.0,21.8,18310
26-11-20,22.65,21.35,22.65,21.1,2500
27-11-20,22.5,21.6,22.5,21.4,3020
30-11-20,22.4,21.0,22.4,21.0,11360
01-12-20,21.8,21.3,21.85,21.0,7950
02-12-20,22.0,21.5,22.0,21.1,10300
03-12-20,21.9,21.5,21.9,21.3,17260
04-12-20,22.2,21.9,22.3,21.9,68740
07-12-20,22.3,21.8,22.3,21.8,16380
08-12-20,22.5,22.1,22.5,21.15,18130
09-12-20,22.1,21.95,22.1,20.75,17090
10-12-20,22.3,21.85,22.3,21.75,32210
11-12-20,21.85,21.85,22.0,21.55,49650
14-12-20,21.85,22.5,22.5,21.7,40410
15-12-20,21.55,21.6,21.8,21.5,9820
16-12-20,21.5,21.45,21.5,21.3,5080
17-12-20,21.45,21.3,21.9,21.3,7790
18-12-20,21.3,21.15,21.3,21.1,8840
21-12-20,21.15,20.9,21.15,20.9,7300
22-12-20,20.1,20.8,21.0,19.95,22900
23-12-20,20.8,20.65,20.95,20.6,3980
24-12-20,20.8,20.3,20.8,19.3,8100
25-12-20,20.2,20.25,20.3,20.2,11050
28-12-20,20.45,20.25,20.45,20.25,6670
29-12-20,20.2,20.25,20.25,20.1,2680
30-12-20,20.25,20.2,20.25,19.8,19360
31-12-20,20.0,20.0,20.2,20.0,20800
04-01-21,19.5,20.2,21.4,19.5,8400
05-01-21,20.7,20.2,20.75,20.0,76800
06-01-21,20.5,20.1,20.5,20.0,36600
07-01-21,19.9,19.6,20.0,19.5,98300
08-01-21,19.6,19.75,20.65,19.6,38700
11-01-21,19.75,19.6,19.75,19.6,45500
12-01-21,19.8,19.6,19.8,19.55,32300
13-01-21,19.6,19.4,19.6,19.4,70500
14-01-21,19.5,19.0,19.5,18.95,120500
15-01-21,19.0,19.35,19.5,19.0,36000
18-01-21,19.5,19.5,19.55,19.4,43800
19-01-21,19.5,18.6,19.8,18.4,22100
20-01-21,18.6,18.6,18.7,17.4,35400
21-01-21,18.6,18.55,18.6,18.3,28400
22-01-21,18.55,18.3,18.55,18.0,29500
25-01-21,18.3,18.4,18.4,18.0,34700
26-01-21,18.4,18.0,18.4,17.9,45000
27-01-21,18.0,17.85,18.0,17.7,16800
28-01-21,17.5,16.65,17.5,16.65,51700
29-01-21,16.0,16.65,16.8,15.7,90800
01-02-21,16.5,17.2,17.2,15.9,30400
02-02-21,17.0,17.0,17.0,16.8,17300
03-02-21,17.3,16.8,17.3,16.5,33900
04-02-21,16.8,17.0,17.2,16.8,124000
05-02-21,17.0,17.0,17.2,17.0,116000
08-02-21,17.0,16.8,17.45,16.6,25000
09-02-21,16.6,16.7,16.95,16.6,33700
17-02-21,16.7,16.9,17.4,16.7,101300
18-02-21,17.0,18.0,18.05,16.85,305400
19-02-21,18.2,18.1,18.3,17.7,180200
22-02-21,17.8,17.7,18.0,17.5,109300
23-02-21,18.5,18.0,18.5,17.8,120700
24-02-21,17.85,17.6,18.0,17.3,95400
25-02-21,17.9,17.8,18.0,17.55,96900
26-02-21,17.0,17.6,17.8,17.0,65800
01-03-21,17.65,17.8,17.9,17.55,94200
02-03-21,17.8,17.6,17.8,17.6,108300
03-03-21,17.6,17.65,17.9,17.55,64200
04-03-21,17.75,17.65,17.9,17.6,76800
05-03-21,17.7,18.85,18.85,17.7,257400
08-03-21,20.15,20.15,20.15,19.5,248200
09-03-21,21.0,20.25,21.0,20.2,154100
10-03-21,19.6,19.6,19.75,18.85,125200
11-03-21,19.6,19.1,20.0,19.1,115700
12-03-21,19.15,19.05,19.2,18.9,86000
15-03-21,19.5,19.1,19.5,18.95,78100
16-03-21,19.1,19.0,19.2,18.9,81100
17-03-21,19.0,19.0,19.1,18.9,45100
18-03-21,19.0,18.95,19.0,18.7,57600
19-03-21,18.55,18.7,18.85,18.55,86700
22-03-21,18.7,18.6,18.75,18.6,34200
23-03-21,18.6,18.6,18.8,18.45,61200
24-03-21,18.4,18.2,18.4,18.2,26500
25-03-21,18.2,18.2,18.5,18.0,39900
26-03-21,18.0,17.9,18.1,17.6,28100
29-03-21,17.9,18.45,18.45,17.9,39300
30-03-21,18.45,18.25,18.9,18.25,42400
31-03-21,18.1,18.35,18.35,18.1,23000
01-04-21,18.3,18.3,18.35,17.5,48800
02-04-21,18.65,18.45,18.65,18.45,41000
05-04-21,18.7,18.4,18.7,18.3,26100
06-04-21,18.4,18.1,18.4,18.1,18800
07-04-21,18.5,18.2,18.6,18.1,30000
08-04-21,18.2,18.2,18.2,18.1,34800
09-04-21,18.2,18.3,18.4,18.1,26600
12-04-21,18.3,18.2,18.3,18.1,34600
13-04-21,18.35,18.0,18.35,17.9,74700
14-04-21,18.0,17.95,18.0,17.8,38200
15-04-21,17.95,17.95,18.2,17.8,64500
16-04-21,17.9,17.5,17.9,17.4,48700
19-04-21,17.5,17.5,17.7,17.4,17000
20-04-21,17.6,17.4,17.95,17.0,82300
22-04-21,17.3,17.0,17.5,17.0,73900
23-04-21,17.0,17.0,17.0,16.6,52500
26-04-21,17.0,16.0,17.2,16.0,53200
27-04-21,16.0,16.6,16.7,16.0,22100
28-04-21,16.6,16.8,16.95,16.6,16300
29-04-21,17.0,17.45,17.6,16.95,24400
04-05-21,16.45,16.75,17.0,16.45,26900
05-05-21,16.75,17.2,17.3,16.75,49800
06-05-21,17.3,17.0,17.3,16.6,30800
07-05-21,17.0,16.8,17.0,16.8,5100
10-05-21,16.8,16.75,16.9,16.7,23100
11-05-21,16.75,16.9,16.9,16.75,16300
12-05-21,16.9,16.9,16.95,16.85,12700
13-05-21,17.0,17.0,17.2,16.5,76400
14-05-21,17.0,17.0,17.05,16.9,25800
17-05-21,17.0,16.7,17.0,16.7,32000
18-05-21,16.7,16.8,16.9,16.7,20700
19-05-21,16.8,16.5,17.0,16.5,52100
20-05-21,16.5,16.6,16.8,16.5,28200
21-05-21,16.6,16.6,16.75,16.5,26200
24-05-21,16.6,16.7,16.8,16.6,62100
25-05-21,16.7,17.05,17.5,16.7,94800
26-05-21,17.0,17.0,17.0,16.9,27800
27-05-21,17.0,16.8,17.0,16.8,27000
28-05-21,16.5,16.7,16.8,16.5,18400
31-05-21,16.7,16.65,16.7,16.5,17200
01-06-21,16.8,16.8,17.0,16.65,30100
02-06-21,17.0,17.55,17.7,17.0,145200
03-06-21,17.8,17.9,17.95,17.8,78900
04-06-21,17.9,17.9,17.9,17.5,47000
07-06-21,18.3,17.9,18.3,17.5,89800
08-06-21,17.2,17.4,17.9,17.2,48300
09-06-21,17.0,17.2,17.35,16.9,45800
10-06-21,17.2,16.9,17.25,16.9,39200
11-06-21,16.9,17.0,17.2,16.9,21000
14-06-21,17.25,17.4,17.6,17.25,24600
15-06-21,17.4,17.1,17.4,17.0,35700
16-06-21,17.1,17.6,17.8,17.1,95800
17-06-21,17.1,17.5,17.6,17.1,20200
18-06-21,17.5,17.2,17.6,17.2,48200
21-06-21,17.2,17.3,17.45,17.2,25700
22-06-21,17.3,17.45,17.6,17.3,54000
23-06-21,17.2,17.3,17.6,17.2,41000
24-06-21,17.5,17.2,17.5,17.2,21100
25-06-21,17.25,17.25,17.5,17.15,28900
28-06-21,17.25,17.3,17.3,17.1,50800
29-06-21,17.5,17.15,17.5,17.15,29300
30-06-21,17.15,17.35,17.6,17.15,30500
01-07-21,17.35,17.45,17.5,17.3,23100
02-07-21,17.45,17.65,17.65,17.45,62400
05-07-21,18.1,18.2,18.3,17.8,247300
06-07-21,18.4,17.9,18.45,17.9,84100
07-07-21,17.3,17.9,17.9,17.3,38200
08-07-21,17.4,17.3,17.5,17.2,119100
09-07-21,17.15,17.15,17.3,16.8,45200
12-07-21,17.15,16.05,17.15,16.0,95200
13-07-21,16.5,16.2,16.5,16.05,22400
14-07-21,16.8,16.3,16.8,16.2,8100
15-07-21,16.3,16.6,16.6,16.3,9000
16-07-21,16.6,16.5,16.6,16.4,8600
19-07-21,15.7,16.0,16.75,15.7,19300
20-07-21,16.0,16.3,16.3,15.85,6200
21-07-21,16.0,16.4,16.4,16.0,2100
22-07-21,16.4,16.7,16.7,16.2,8400
23-07-21,16.6,16.6,16.6,16.5,1500
26-07-21,16.6,16.5,16.6,16.2,4900
27-07-21,16.5,16.6,16.7,16.5,3100
28-07-21,16.6,16.6,16.6,16.5,1800
29-07-21,17.0,16.7,17.0,16.6,5300
30-07-21,16.6,16.8,16.8,16.6,11600
02-08-21,16.9,16.9,16.9,16.5,99000
03-08-21,16.8,16.9,17.0,16.8,19600
04-08-21,17.0,17.0,17.2,16.9,17400
05-08-21,16.8,17.2,17.3,16.8,15400
06-08-21,17.2,17.0,17.2,17.0,54000
09-08-21,16.9,17.2,17.2,16.8,24400
10-08-21,17.5,18.4,18.4,17.5,404600
11-08-21,19.0,19.65,19.65,19.0,293000
12-08-21,20.0,19.7,20.0,19.55,190800
13-08-21,18.9,19.35,19.35,18.35,132700
16-08-21,19.3,19.0,19.3,18.8,99800
17-08-21,18.4,18.45,19.0,18.3,173200
18-08-21,18.45,18.85,18.9,18.4,130800
19-08-21,18.9,18.7,18.9,18.4,20600
20-08-21,18.7,18.1,18.7,18.1,118400
23-08-21,18.0,18.0,18.2,17.8,89900
24-08-21,18.2,17.85,18.2,17.85,20000
25-08-21,17.45,17.85,17.85,17.45,12800
26-08-21,17.85,18.15,18.15,17.8,18600
27-08-21,17.95,18.35,18.35,17.9,27800
30-08-21,18.8,19.4,19.5,18.5,240800
31-08-21,19.4,19.7,20.0,19.4,164600
01-09-21,19.8,19.8,20.0,19.7,105000
06-09-21,19.8,21.15,21.15,19.5,497700
07-09-21,21.15,21.2,22.2,20.4,182700
08-09-21,21.0,21.0,22.0,20.4,84300
09-09-21,21.0,21.25,21.6,21.0,116000
10-09-21,21.25,21.45,21.6,21.05,114200
13-09-21,21.5,20.8,21.6,20.6,67600
14-09-21,21.3,20.6,21.5,20.5,59400
15-09-21,20.6,21.4,21.8,20.5,180900
16-09-21,22.0,22.85,22.85,21.5,311200
17-09-21,24.4,24.4,24.4,23.5,286200
20-09-21,24.0,26.1,26.1,23.45,343600
21-09-21,24.3,25.4,25.9,24.3,207400
22-09-21,24.1,24.7,25.25,24.1,155200
23-09-21,26.4,24.85,26.4,24.8,110400
24-09-21,24.85,24.45,25.0,24.45,121500
27-09-21,25.0,23.25,25.0,22.8,136500
28-09-21,23.8,24.85,24.85,23.7,246500
29-09-21,26.0,26.55,26.55,26.0,299900
30-09-21,28.4,27.3,28.4,26.8,211800
01-10-21,27.35,29.2,29.2,27.35,437300
04-10-21,30.5,31.0,31.2,30.1,329600
05-10-21,31.0,30.7,32.4,29.0,438100
06-10-21,31.05,30.3,31.2,29.5,251600
07-10-21,29.05,28.6,29.5,28.4,274800
08-10-21,28.0,30.0,30.6,27.5,328400
11-10-21,30.0,28.7,30.0,28.5,169100
12-10-21,28.6,28.7,29.25,27.6,241000
13-10-21,28.3,28.6,28.7,28.0,180400
14-10-21,28.6,29.4,29.8,28.6,641700
15-10-21,29.4,29.1,29.5,29.0,231300
18-10-21,29.1,28.5,29.6,28.5,270900
19-10-21,28.0,28.15,28.7,27.0,307400
20-10-21,28.9,27.45,28.9,27.0,232100
21-10-21,27.45,26.4,27.45,26.25,428900
22-10-21,26.55,27.6,28.0,26.0,273600
25-10-21,28.4,28.45,29.0,28.0,156300
26-10-21,29.0,28.45,29.0,27.9,204100
27-10-21,28.45,29.0,29.0,28.0,314900
28-10-21,29.0,28.95,29.0,28.4,196300
29-10-21,28.95,28.5,28.95,28.0,233800
01-11-21,28.1,27.55,28.5,27.5,352200
02-11-21,27.6,27.9,28.0,26.6,385200
03-11-21,27.9,27.2,27.9,27.0,176900
04-11-21,27.15,26.7,27.15,26.5,156900
05-11-21,26.7,26.8,27.25,26.6,89600
08-11-21,26.8,27.2,27.45,26.7,151200
09-11-21,27.8,27.4,27.8,27.35,122600
10-11-21,27.9,29.3,29.3,27.6,638800
11-11-21,29.4,29.3,30.55,28.5,355400
12-11-21,29.3,28.7,29.3,28.0,191800
15-11-21,28.2,27.4,28.3,27.0,423100
16-11-21,27.4,27.6,28.0,27.4,205700
17-11-21,27.8,27.9,27.9,27.2,236700
18-11-21,28.1,27.0,28.1,26.5,234100
19-11-21,27.0,25.2,27.0,25.2,393000
22-11-21,25.2,23.45,25.3,23.45,250300
23-11-21,23.45,24.6,24.6,23.05,135000
24-11-21,24.55,24.55,24.9,24.55,55400
25-11-21,24.05,24.55,24.6,23.5,147000
26-11-21,24.55,24.3,24.55,23.8,86500
29-11-21,23.5,23.7,23.8,23.5,64000
30-11-21,23.95,23.9,24.2,23.4,100200
01-12-21,23.6,23.1,23.7,23.0,126600
02-12-21,23.1,23.2,23.5,23.1,83600
03-12-21,23.25,22.0,23.25,22.0,96400
06-12-21,21.6,20.55,21.95,20.5,169300
07-12-21,21.5,21.95,21.95,20.8,87900
08-12-21,23.45,23.45,23.45,23.45,102400
09-12-21,24.95,24.4,25.05,24.05,284000
10-12-21,24.2,23.95,24.2,23.7,82300
13-12-21,23.95,23.95,24.1,23.9,60200
14-12-21,24.05,23.5,24.05,23.2,76900
15-12-21,23.6,23.05,23.7,22.9,66800
16-12-21,23.7,23.2,23.95,23.0,71800
17-12-21,23.4,22.8,23.4,22.5,121900
20-12-21,22.8,22.5,22.8,22.35,46800
21-12-21,22.5,22.6,22.95,21.5,62200
22-12-21,22.7,22.6,23.1,22.5,43400
23-12-21,22.6,22.7,22.95,22.2,55300
24-12-21,22.7,22.7,23.0,22.2,50600
27-12-21,22.8,22.8,22.8,22.6,49200
28-12-21,22.8,22.85,23.2,22.8,61800
29-12-21,22.9,22.9,23.0,22.8,46000
30-12-21,22.7,23.7,23.9,22.7,164800
31-12-21,23.8,23.8,23.8,23.1,98500
04-01-22,23.9,23.9,24.35,23.55,102900
05-01-22,24.05,23.9,24.4,23.6,132600
06-01-22,23.7,23.5,23.9,23.0,50000
07-01-22,23.5,23.6,24.0,23.0,71300
10-01-22,23.9,22.7,23.9,22.65,96300
11-01-22,22.7,22.15,22.7,22.0,73700
12-01-22,23.6,23.0,23.6,21.9,44500
13-01-22,23.85,22.95,23.85,22.9,59600
14-01-22,22.5,22.5,22.7,22.15,20800
17-01-22,22.65,22.1,22.85,22.1,71700
18-01-22,22.2,22.1,22.3,22.0,109400
19-01-22,21.9,22.1,22.1,20.6,82900
20-01-22,21.9,22.3,22.3,21.8,35000
21-01-22,21.0,21.9,22.2,21.0,51100
24-01-22,21.9,21.6,22.1,21.6,93300
25-01-22,21.6,21.75,21.75,21.6,32900
26-01-22,21.75,21.9,21.9,21.7,31800
27-01-22,21.9,21.9,22.0,21.8,11700
28-01-22,21.9,22.0,22.1,21.85,24600
07-02-22,21.95,22.65,22.8,21.95,80700
08-02-22,23.1,23.25,23.4,23.1,95800
09-02-22,23.2,23.0,23.2,22.8,32600
10-02-22,23.55,23.2,23.55,23.0,36700
11-02-22,23.2,23.05,23.4,22.5,22200
14-02-22,23.5,24.65,24.65,23.3,336000
15-02-22,25.1,24.4,26.0,24.3,166800
16-02-22,24.65,23.6,24.65,22.8,34500
17-02-22,23.3,23.1,23.4,23.05,98500
18-02-22,23.55,23.05,23.55,22.8,137400
21-02-22,23.1,23.25,23.6,23.1,69300
22-02-22,23.1,24.0,24.0,23.1,190700
23-02-22,24.6,24.5,25.1,24.2,264400
24-02-22,24.6,26.2,26.2,24.6,535700
25-02-22,26.5,26.6,27.3,26.2,392600
28-02-22,26.2,26.8,26.9,25.95,254300
01-03-22,27.2,26.5,27.2,26.2,241100
02-03-22,27,26.65,27.2,25.9,371500
