Date,Open,Close,High,Low,Volume
16-11-20,26.55,26.5,26.55,26.5,8770
17-11-20,26.5,26.5,26.5,26.5,1080
18-11-20,26.9,26.5,27.0,26.5,4030
19-11-20,27.0,26.95,27.0,26.55,1650
20-11-20,26.5,26.5,26.9,26.5,1480
23-11-20,26.8,26.6,26.8,26.6,3080
24-11-20,26.6,26.6,26.7,26.5,1550
25-11-20,26.55,26.6,26.65,26.5,6470
26-11-20,26.6,26.75,26.75,26.6,2280
27-11-20,26.65,26.7,26.75,26.65,17350
30-11-20,26.8,26.8,26.8,26.6,1020
01-12-20,26.7,26.7,26.7,26.6,8710
02-12-20,26.8,26.7,26.8,26.55,2140
03-12-20,27.0,27.0,27.1,26.75,4130
04-12-20,27.0,27.0,27.0,27.0,700
07-12-20,26.95,27.1,27.1,26.8,7590
08-12-20,28.0,28.3,28.7,27.4,3390
09-12-20,28.2,27.5,28.2,27.0,180
10-12-20,28.2,27.15,28.2,27.15,1780
11-12-20,27.9,28.0,28.0,27.7,9430
14-12-20,28.0,29.2,29.2,28.0,5560
15-12-20,29.2,29.5,29.9,29.2,1600
16-12-20,29.5,29.0,29.85,29.0,6910
17-12-20,29.9,29.0,29.9,29.0,260
18-12-20,27.6,28.8,29.2,27.6,2090
21-12-20,28.8,27.75,28.8,27.75,8800
22-12-20,29.4,28.9,29.4,27.5,3070
23-12-20,28.9,28.9,28.9,28.8,1730
24-12-20,28.0,28.0,28.0,27.5,1500
25-12-20,28.0,27.85,28.05,27.85,8730
28-12-20,27.85,27.9,29.0,27.75,2580
29-12-20,27.9,28.4,28.9,27.9,2950
30-12-20,28.9,28.4,29.0,28.4,1450
31-12-20,28.4,28.3,28.4,27.35,2740
04-01-21,28.4,28.6,28.9,28.4,8400
05-01-21,28.6,28.4,28.6,28.4,3100
06-01-21,28.5,28.5,28.5,28.4,3600
07-01-21,28.5,28.9,28.9,28.5,9600
08-01-21,29.0,29.5,29.5,29.0,10300
11-01-21,29.8,29.5,29.8,29.5,7700
12-01-21,29.5,28.8,29.5,28.8,7200
13-01-21,28.8,28.85,28.85,28.8,6000
14-01-21,29.3,30.6,30.6,29.0,25500
15-01-21,30.8,32.7,32.7,30.8,29000
18-01-21,34.95,34.95,34.95,34.9,16500
19-01-21,34.95,32.6,34.95,32.6,33900
20-01-21,32.6,32.0,32.6,32.0,2800
21-01-21,33.1,33.0,33.1,32.0,5000
22-01-21,32.0,32.1,34.0,32.0,10300
25-01-21,32.0,32.5,34.0,32.0,9200
26-01-21,32.5,32.0,32.5,32.0,2800
27-01-21,32.0,30.8,32.0,30.5,2100
28-01-21,28.7,28.65,28.75,28.65,11000
29-01-21,28.6,28.7,30.0,28.6,2100
01-02-21,28.05,28.0,28.05,28.0,1300
02-02-21,29.9,29.95,29.95,29.9,4400
03-02-21,31.6,31.6,31.6,31.6,200
04-02-21,31.0,30.0,31.0,30.0,1900
05-02-21,30.0,30.0,30.1,30.0,2400
08-02-21,29.9,29.9,29.9,29.9,100
09-02-21,30.5,30.5,30.5,30.5,500
17-02-21,32.4,32.0,32.4,32.0,2400
18-02-21,32.0,30.65,32.3,30.65,1300
19-02-21,30.6,31.0,31.05,30.6,900
22-02-21,30.5,30.0,30.6,30.0,8200
23-02-21,31.0,30.0,31.2,30.0,5500
24-02-21,31.9,30.5,31.9,30.5,3200
25-02-21,32.4,30.5,32.4,30.1,2600
26-02-21,30.0,31.0,31.0,30.0,2100
01-03-21,30.8,30.8,31.5,30.8,3800
02-03-21,30.8,30.5,30.8,30.5,5300
03-03-21,30.5,30.5,30.5,30.5,2700
04-03-21,32.5,30.5,32.5,30.5,6900
05-03-21,32.0,30.5,32.0,30.5,6800
08-03-21,32.0,31.85,32.0,30.8,15900
09-03-21,31.85,31.9,31.9,30.6,2300
10-03-21,31.3,30.8,31.3,30.8,3100
11-03-21,32.0,31.0,32.0,31.0,7600
12-03-21,30.8,30.8,30.8,30.8,900
15-03-21,30.8,30.8,30.8,30.8,3900
16-03-21,30.8,30.8,31.9,30.8,2700
17-03-21,30.6,31.0,31.0,30.6,2200
18-03-21,30.6,30.6,30.6,30.55,4100
19-03-21,30.6,30.6,30.6,30.6,2500
22-03-21,30.6,30.6,30.6,30.5,6400
23-03-21,30.6,30.6,30.8,30.6,1200
24-03-21,29.6,30.1,31.3,29.6,4900
25-03-21,30.1,30.1,30.1,30.1,200
26-03-21,30.1,30.1,30.1,30.1,1500
29-03-21,30.1,30.1,30.1,30.1,0
30-03-21,30.9,30.2,31.0,30.2,1000
31-03-21,30.5,30.5,30.5,30.5,3400
01-04-21,30.5,30.5,30.5,30.5,0
02-04-21,30.0,30.8,30.8,30.0,4400
05-04-21,30.8,30.65,30.8,30.6,1400
06-04-21,30.65,29.5,30.65,29.5,2000
07-04-21,30.6,30.6,30.6,30.6,100
08-04-21,30.5,30.5,30.5,30.5,100
09-04-21,30.45,30.6,30.6,30.45,2000
12-04-21,30.5,30.4,30.5,30.4,3200
13-04-21,30.4,30.4,30.4,30.4,1000
14-04-21,30.2,29.9,30.2,29.0,8900
15-04-21,29.7,29.75,30.0,29.7,1400
16-04-21,29.75,29.75,29.75,29.75,100
19-04-21,29.75,29.75,29.75,29.75,0
20-04-21,28.55,29.6,29.6,28.55,4800
22-04-21,29.0,28.55,29.0,28.5,5700
23-04-21,29.7,28.6,29.7,28.6,200
26-04-21,29.75,29.55,29.75,29.55,300
27-04-21,29.55,29.55,29.55,29.55,0
28-04-21,29.0,29.0,29.0,29.0,600
29-04-21,29.0,29.5,29.5,29.0,1400
04-05-21,29.0,29.0,29.0,29.0,700
05-05-21,29.05,28.8,29.05,28.5,800
06-05-21,28.05,28.75,30.0,28.05,1100
07-05-21,28.75,28.75,28.75,28.75,0
10-05-21,28.4,28.0,28.4,28.0,1500
11-05-21,28.0,28.0,28.1,28.0,8100
12-05-21,28.0,28.5,28.5,28.0,2100
13-05-21,28.0,27.9,28.1,27.9,9000
14-05-21,27.8,28.0,28.0,27.8,2700
17-05-21,28.0,28.0,28.0,28.0,9400
18-05-21,28.0,27.55,28.0,27.55,2600
19-05-21,27.6,27.55,27.6,27.55,1400
20-05-21,27.95,27.9,27.95,27.9,1600
21-05-21,27.9,28.0,28.0,27.9,2700
24-05-21,28.1,28.95,28.95,27.9,41200
25-05-21,28.95,29.65,29.85,28.9,2100
26-05-21,30.0,28.0,30.0,28.0,7600
27-05-21,29.5,28.2,29.5,28.2,200
28-05-21,29.8,28.05,29.9,28.05,900
31-05-21,28.05,29.3,29.3,28.05,200
01-06-21,29.3,29.3,29.3,29.3,300
02-06-21,29.4,29.4,29.4,29.4,1700
03-06-21,29.4,29.4,29.4,29.4,0
04-06-21,28.5,29.6,29.6,28.5,600
07-06-21,29.95,29.8,29.95,29.8,1300
08-06-21,28.4,28.45,28.45,28.4,300
09-06-21,28.45,29.75,29.8,28.4,1400
10-06-21,29.75,29.75,29.75,29.75,0
11-06-21,29.75,29.05,31.3,29.05,1800
14-06-21,29.05,29.0,29.05,29.0,600
15-06-21,29.8,29.0,29.8,29.0,500
16-06-21,29.8,29.7,29.8,29.0,73100
17-06-21,29.7,29.0,29.7,28.3,900
18-06-21,29.95,29.4,29.95,28.7,1400
21-06-21,29.9,30.0,30.1,27.5,8900
22-06-21,30.4,30.2,30.4,29.1,8000
23-06-21,29.6,29.6,29.6,29.6,500
24-06-21,29.0,29.5,29.5,29.0,300
25-06-21,29.5,29.5,29.5,29.5,0
28-06-21,29.0,28.7,29.0,28.7,2500
29-06-21,28.7,28.7,28.7,28.7,2000
30-06-21,29.0,29.0,29.0,29.0,200
01-07-21,28.5,29.0,29.0,28.5,2100
02-07-21,29.0,28.5,29.0,28.1,1600
05-07-21,28.5,28.0,28.5,28.0,1100
06-07-21,29.35,29.1,29.4,28.0,13300
07-07-21,29.1,31.0,31.0,29.1,24200
