Date,Open,Close,High,Low,Volume
16-11-20,10.05,9.96,10.15,9.91,265700
17-11-20,9.99,10.1,10.1,9.95,224340
18-11-20,10.1,10.05,10.1,10.0,158180
19-11-20,10.05,10.3,10.3,9.95,303740
20-11-20,10.5,10.3,10.5,10.2,170640
23-11-20,10.3,10.1,10.35,10.0,154900
24-11-20,10.15,10.0,10.15,9.93,152510
25-11-20,10.1,9.94,10.1,9.89,196220
26-11-20,9.95,9.94,9.95,9.79,158240
27-11-20,9.95,10.1,10.1,9.94,284330
30-11-20,10.15,10.2,10.25,10.1,218150
01-12-20,10.1,10.25,10.3,10.1,240950
02-12-20,10.25,10.25,10.3,10.15,261000
03-12-20,10.1,10.25,10.25,10.05,236830
04-12-20,10.25,10.4,10.4,10.05,282470
07-12-20,10.4,10.55,10.55,10.25,193980
08-12-20,10.5,10.4,10.5,10.3,299660
09-12-20,10.4,10.65,10.7,10.4,361000
10-12-20,10.65,10.65,10.75,10.5,241020
11-12-20,10.75,10.65,10.75,10.5,238550
14-12-20,10.55,10.35,10.7,10.25,210390
15-12-20,10.35,10.25,10.4,10.1,327910
16-12-20,10.1,10.4,10.65,10.1,364940
17-12-20,10.3,10.3,10.4,10.15,220940
18-12-20,10.3,10.5,10.5,10.3,299860
21-12-20,10.55,10.55,10.65,10.45,286330
22-12-20,10.6,11.0,11.0,10.4,524240
23-12-20,11.15,11.3,11.65,11.05,515320
24-12-20,11.35,11.2,11.55,10.85,313110
25-12-20,11.3,11.95,11.95,11.0,829070
28-12-20,12.15,12.6,12.6,12.0,765440
29-12-20,12.6,12.6,12.6,12.3,306750
30-12-20,12.7,12.8,12.9,12.7,433460
31-12-20,12.9,12.5,12.9,12.0,424650
04-01-21,12.6,12.1,12.6,11.7,288100
05-01-21,12.05,12.35,12.5,12.0,313400
06-01-21,12.4,12.2,12.5,12.2,247100
07-01-21,12.2,12.15,12.35,12.0,257900
08-01-21,12.2,12.25,12.3,12.05,282900
11-01-21,12.3,12.35,12.4,12.2,225400
12-01-21,12.45,12.95,13.0,12.3,588000
13-01-21,13.15,12.8,13.2,12.8,347900
14-01-21,12.65,13.0,13.0,12.55,386100
15-01-21,13.0,12.75,13.05,12.7,229400
18-01-21,12.7,12.65,12.7,12.2,370700
19-01-21,12.7,12.6,12.75,11.8,172400
20-01-21,12.65,12.2,12.65,11.8,42100
21-01-21,12.4,12.2,12.5,12.05,121000
22-01-21,12.2,12.1,12.3,12.0,63000
25-01-21,12.05,12.1,12.2,11.95,161500
26-01-21,12.1,11.65,12.1,11.5,98100
27-01-21,11.5,11.0,11.9,10.85,104500
28-01-21,10.5,10.25,10.6,10.25,30900
29-01-21,10.0,10.4,10.6,9.79,74800
01-02-21,10.65,10.4,10.65,9.98,77600
02-02-21,10.4,10.45,10.45,10.0,65800
03-02-21,10.45,10.5,10.5,10.4,67000
04-02-21,10.45,10.4,10.55,10.3,103500
05-02-21,10.45,10.4,10.55,10.3,90600
08-02-21,10.4,10.45,10.55,10.25,44900
09-02-21,10.4,10.5,10.55,10.3,56900
17-02-21,10.65,11.2,11.2,10.6,208900
18-02-21,11.35,11.2,11.45,11.15,90600
19-02-21,10.95,11.15,11.25,10.95,72800
22-02-21,11.25,11.2,11.25,11.1,106900
23-02-21,11.3,11.3,11.3,11.15,101900
24-02-21,11.45,11.15,11.5,11.0,61600
25-02-21,11.3,11.2,11.35,10.65,74000
26-02-21,11.2,11.25,11.25,10.95,39000
01-03-21,11.5,11.45,11.5,11.25,91300
02-03-21,11.45,11.45,11.45,11.15,137300
03-03-21,11.45,11.8,11.8,11.1,230700
04-03-21,11.9,11.45,12.0,11.4,118900
05-03-21,11.45,11.35,11.45,11.15,47100
08-03-21,11.45,12.1,12.1,11.4,313900
09-03-21,12.0,12.5,12.5,12.0,187700
10-03-21,12.5,12.25,12.65,12.25,143300
11-03-21,12.25,12.35,12.5,12.25,320600
12-03-21,12.5,12.4,12.5,12.3,255200
15-03-21,12.4,12.35,12.5,12.3,115100
16-03-21,12.35,12.35,12.5,12.2,200200
17-03-21,12.35,12.4,12.45,12.2,92300
18-03-21,12.45,12.35,12.45,12.35,103600
19-03-21,12.35,12.25,12.35,12.1,186300
22-03-21,12.3,12.6,12.6,12.3,351000
23-03-21,12.55,12.45,12.75,12.35,295200
24-03-21,12.2,12.25,12.3,12.0,138600
25-03-21,12.3,12.5,12.5,11.95,352400
26-03-21,12.6,12.55,12.6,12.05,326700
29-03-21,12.6,12.5,12.65,12.35,241900
30-03-21,12.5,12.55,12.55,12.3,333600
31-03-21,12.6,12.55,12.75,12.5,288000
01-04-21,12.5,12.55,12.55,12.3,177100
02-04-21,12.7,12.6,12.7,12.45,376500
05-04-21,12.75,13.45,13.45,12.55,783300
06-04-21,13.6,13.4,13.6,13.1,389500
07-04-21,13.4,13.65,13.8,13.1,554300
08-04-21,13.8,13.35,13.8,13.35,314300
09-04-21,13.25,13.25,13.4,13.15,352300
12-04-21,13.35,13.5,13.55,13.25,371700
13-04-21,13.6,13.35,13.6,13.35,393400
14-04-21,13.15,14.15,14.15,13.1,664200
15-04-21,14.25,14.25,14.5,14.05,806100
16-04-21,14.25,13.9,14.35,13.8,296800
19-04-21,14.1,14.0,14.2,13.7,624700
20-04-21,13.95,13.8,14.05,13.6,438200
22-04-21,13.9,13.8,14.0,13.8,225300
23-04-21,13.75,13.65,13.85,13.45,326800
26-04-21,13.8,13.5,13.8,13.5,220100
27-04-21,13.55,13.25,13.55,13.2,143300
28-04-21,13.2,13.4,13.55,13.15,421900
29-04-21,13.5,14.05,14.1,13.5,512200
04-05-21,13.85,13.95,13.95,13.6,307000
05-05-21,13.95,14.4,14.5,13.95,562300
06-05-21,14.25,14.8,14.8,14.2,732600
07-05-21,14.7,14.65,14.9,14.4,417500
10-05-21,14.5,14.25,14.55,14.25,371400
11-05-21,14.3,14.35,14.4,14.15,216600
12-05-21,14.3,15.35,15.35,14.25,906900
13-05-21,15.35,15.2,15.45,15.15,412600
14-05-21,15.3,15.5,15.5,15.25,514600
17-05-21,15.45,15.45,15.55,15.25,356500
18-05-21,15.45,15.35,15.6,15.2,263400
19-05-21,15.35,15.45,15.6,15.3,430400
20-05-21,15.35,15.45,15.5,15.35,329200
21-05-21,15.45,15.5,15.7,15.3,500400
24-05-21,15.45,16.1,16.1,15.45,538200
25-05-21,16.2,16.4,16.45,16.1,500400
26-05-21,16.4,16.2,16.5,16.2,360800
27-05-21,16.2,15.4,16.2,15.3,186600
28-05-21,15.4,15.1,15.4,14.35,382700
31-05-21,15.1,14.6,15.15,14.6,149800
01-06-21,14.6,14.2,14.65,14.2,80000
02-06-21,14.15,14.2,14.2,14.0,118300
03-06-21,14.3,14.45,14.65,14.2,620100
04-06-21,14.5,14.7,14.8,14.45,520600
07-06-21,14.85,14.4,15.2,14.4,588000
08-06-21,14.3,14.55,14.85,14.3,612800
09-06-21,14.65,15.25,15.55,14.3,813900
10-06-21,15.25,15.3,15.55,15.15,677400
11-06-21,15.3,16.35,16.35,15.1,1092700
14-06-21,16.5,17.05,17.2,16.45,1032200
15-06-21,17.05,16.9,17.35,16.7,816700
16-06-21,16.85,16.9,17.1,16.6,762800
17-06-21,16.85,17.3,17.35,16.5,896600
18-06-21,17.5,17.7,17.95,16.5,1272700
21-06-21,17.8,18.3,18.3,17.65,956000
22-06-21,18.3,18.45,18.5,18.1,939800
23-06-21,18.5,17.85,18.8,17.8,1004300
24-06-21,17.85,17.65,17.85,16.9,1141600
25-06-21,17.5,17.8,17.95,17.5,510400
28-06-21,17.65,18.3,18.3,17.65,963900
29-06-21,18.45,17.8,18.65,17.8,748200
30-06-21,17.1,17.65,17.85,17.1,448800
01-07-21,17.6,17.75,18.3,17.6,936000
02-07-21,17.9,18.3,18.3,17.75,1180300
05-07-21,18.35,18.4,18.85,18.15,1167800
06-07-21,18.35,18.2,18.6,18.0,702800
07-07-21,18.1,17.85,18.2,17.7,834000
08-07-21,17.75,17.65,17.85,17.4,561700
09-07-21,17.6,17.6,17.65,17.3,696000
12-07-21,17.6,17.6,17.7,17.35,314900
13-07-21,17.5,17.95,18.0,17.05,762800
14-07-21,17.9,18.25,18.6,17.1,981800
15-07-21,18.2,19.5,19.5,18.0,1455700
16-07-21,19.65,20.0,20.5,19.5,812900
19-07-21,20.2,18.8,20.45,18.8,671100
20-07-21,18.4,17.5,18.5,17.5,457700
21-07-21,16.3,17.65,17.7,16.3,1144700
22-07-21,17.6,18.85,18.85,17.4,1328700
23-07-21,18.85,18.6,19.4,18.55,953100
26-07-21,18.4,18.15,18.4,17.9,800400
27-07-21,18.15,17.7,18.15,17.1,1052700
28-07-21,17.7,18.4,18.5,17.5,946800
29-07-21,18.35,18.45,18.7,18.1,466500
30-07-21,18.45,19.3,19.3,18.45,936400
02-08-21,19.3,19.25,19.5,19.1,522900
03-08-21,19.25,19.05,19.35,19.05,411400
04-08-21,19.1,19.4,19.4,19.1,644500
05-08-21,19.4,19.7,19.85,19.4,842700
06-08-21,19.7,20.2,20.5,19.6,1122200
09-08-21,20.25,21.0,21.35,20.05,1075300
10-08-21,21.0,20.2,21.4,20.0,806400
11-08-21,20.2,20.1,20.3,20.05,400500
12-08-21,20.15,20.45,20.5,20.05,553700
13-08-21,20.2,19.05,20.5,19.05,185700
16-08-21,19.0,20.35,20.35,18.2,1101600
17-08-21,20.5,21.75,21.75,20.35,1581300
18-08-21,21.85,22.25,22.55,21.7,1220500
19-08-21,22.25,21.7,22.3,21.55,942300
20-08-21,21.7,21.8,22.15,21.7,780800
23-08-21,21.8,22.15,22.15,21.8,841000
24-08-21,22.1,23.7,23.7,22.0,1826900
25-08-21,23.7,24.55,25.2,23.7,1525400
26-08-21,24.6,24.35,25.25,24.2,1234600
27-08-21,24.25,24.35,24.7,24.0,814700
30-08-21,24.45,25.2,25.5,24.45,1748700
31-08-21,25.2,25.1,25.5,24.9,1059700
01-09-21,25.05,26.0,26.05,24.85,1788700
06-09-21,26.05,24.2,26.3,24.2,915900
07-09-21,22.55,22.55,23.5,22.55,1631900
08-09-21,21.0,22.0,22.55,21.0,2069200
09-09-21,22.0,20.7,22.1,20.5,1803900
10-09-21,20.5,22.1,22.1,20.5,3088100
13-09-21,22.1,21.0,22.3,20.6,2229000
14-09-21,20.55,19.55,20.55,19.55,1783700
15-09-21,18.9,18.9,19.5,18.2,764400
16-09-21,19.15,19.0,19.5,17.6,1592200
17-09-21,19.0,18.85,19.0,17.7,1421700
20-09-21,18.45,18.05,19.0,18.0,304200
21-09-21,17.5,17.0,18.05,16.9,475200
22-09-21,17.0,17.7,17.95,16.3,718600
23-09-21,18.0,17.65,18.1,17.5,398800
24-09-21,17.5,17.35,17.6,17.05,136800
27-09-21,17.1,16.4,17.2,16.3,186100
28-09-21,15.7,16.3,16.5,15.5,155700
29-09-21,16.0,16.5,16.5,15.8,100500
30-09-21,17.0,16.9,17.3,16.7,131300
01-10-21,16.95,16.35,17.0,16.2,82800
04-10-21,16.1,16.0,16.5,15.9,267500
05-10-21,16.4,17.1,17.1,16.0,569800
06-10-21,17.35,18.25,18.25,17.35,829400
07-10-21,18.25,17.7,18.25,17.5,603000
08-10-21,17.6,17.35,18.2,17.3,279400
11-10-21,17.35,17.2,17.65,17.0,360500
12-10-21,17.2,17.0,17.2,16.8,148900
13-10-21,17.8,17.25,17.8,17.05,639400
14-10-21,17.25,17.1,17.4,16.9,347800
15-10-21,17.0,16.9,17.15,16.85,159700
18-10-21,16.9,17.1,17.3,16.9,535800
19-10-21,17.2,17.5,17.7,17.0,728500
20-10-21,17.55,17.3,18.0,17.3,810500
21-10-21,17.4,17.0,17.7,17.0,538800
22-10-21,14.8,14.85,14.85,14.7,1228400
25-10-21,15.15,15.3,15.7,15.15,897400
26-10-21,15.5,15.2,15.5,14.7,754400
27-10-21,15.5,15.4,15.7,15.2,1085400
28-10-21,15.45,16.45,16.45,15.45,1562500
29-10-21,17.4,17.6,17.6,17.2,2384200
01-11-21,18.6,18.6,18.8,17.8,1853000
02-11-21,18.1,18.15,18.2,17.5,824700
03-11-21,18.0,16.9,18.15,16.9,1532600
04-11-21,17.05,17.2,17.6,16.35,968700
05-11-21,17.3,18.0,18.25,17.2,874500
08-11-21,17.9,17.7,18.15,17.3,992600
09-11-21,17.7,18.05,18.2,17.7,2073200
10-11-21,18.05,18.5,18.8,18.05,1254800
11-11-21,18.8,18.55,19.0,18.4,1415000
12-11-21,18.55,18.2,19.0,17.9,1439800
15-11-21,18.15,18.0,18.5,17.55,1342400
16-11-21,18.05,17.5,18.1,17.4,737200
17-11-21,17.6,17.95,18.1,17.55,755600
18-11-21,17.95,18.75,18.9,17.95,2115200
19-11-21,20.0,18.6,20.0,18.0,1815700
22-11-21,18.6,17.3,18.6,17.3,890400
23-11-21,16.5,17.4,17.5,16.2,747600
24-11-21,18.0,17.3,18.3,17.3,1081000
25-11-21,17.3,17.5,17.6,16.45,704600
26-11-21,17.15,17.0,17.5,16.8,527600
29-11-21,16.4,17.9,18.0,16.4,459400
30-11-21,18.2,17.7,18.2,17.5,425800
01-12-21,17.5,17.4,17.7,17.2,340100
02-12-21,17.35,17.35,17.9,17.3,435300
03-12-21,17.35,16.7,17.6,16.6,551000
06-12-21,16.7,15.55,16.7,15.55,923400
07-12-21,15.9,16.15,16.15,15.5,360100
08-12-21,16.3,15.9,16.4,15.9,227500
09-12-21,15.6,15.8,16.2,15.6,314100
10-12-21,15.7,16.5,16.9,15.7,510200
13-12-21,16.4,16.7,16.95,16.4,310700
14-12-21,16.85,16.45,16.85,16.4,298100
15-12-21,16.35,16.4,16.55,16.3,237800
16-12-21,16.4,16.3,16.4,16.1,197100
17-12-21,16.15,16.65,16.85,16.15,438600
20-12-21,16.7,16.25,16.7,16.0,324300
21-12-21,16.25,16.3,16.4,16.05,357200
22-12-21,16.5,17.4,17.4,16.05,1113400
23-12-21,17.85,17.6,18.1,16.7,794300
24-12-21,17.55,17.8,18.15,16.9,1030400
27-12-21,17.8,17.65,17.8,17.3,569400
28-12-21,17.7,18.35,18.65,17.65,1420500
29-12-21,18.7,17.95,18.7,17.8,416800
30-12-21,17.95,18.0,18.25,17.9,409500
31-12-21,17.9,17.25,18.05,17.25,707300
04-01-22,17.3,17.7,17.8,17.3,438500
05-01-22,17.7,18.25,18.4,17.7,936800
06-01-22,18.0,17.7,18.2,17.7,758900
07-01-22,18.0,18.4,18.5,17.7,966900
10-01-22,17.95,19.65,19.65,17.8,6439000
11-01-22,19.65,19.8,20.45,19.6,3313300
12-01-22,18.85,18.45,19.4,18.45,1676300
13-01-22,18.0,17.2,18.3,17.2,2741500
14-01-22,16.0,16.4,16.9,16.0,2159900
17-01-22,16.5,15.3,16.9,15.3,1071800
18-01-22,14.3,14.25,15.0,14.25,1243700
19-01-22,13.65,13.5,14.2,13.3,1286600
20-01-22,13.7,14.4,14.4,13.65,395600
21-01-22,14.9,14.5,14.95,14.0,816800
24-01-22,14.5,13.5,14.5,13.5,721200
25-01-22,12.8,13.5,13.55,12.8,478700
26-01-22,13.7,13.3,13.8,12.8,635700
27-01-22,13.0,13.15,13.4,12.9,362500
28-01-22,13.15,13.45,13.5,13.05,430100
07-02-22,13.85,13.85,13.85,13.4,469700
08-02-22,14.0,13.95,14.1,13.8,410100
09-02-22,14.1,14.4,14.6,13.3,520900
10-02-22,14.5,14.35,14.65,14.25,505400
11-02-22,14.35,14.3,14.4,14.2,415300
