Date,Open,Close,High,Low,Volume
16-11-20,6.96,6.96,6.96,6.96,120660
17-11-20,7.44,7.44,7.44,7.44,62880
18-11-20,7.96,7.96,7.96,7.96,46170
19-11-20,8.51,8.51,8.51,8.51,157020
20-11-20,9.1,8.25,9.1,8.01,484760
23-11-20,8.25,8.82,8.82,8.25,227450
24-11-20,9.43,9.43,9.43,9.43,64660
25-11-20,10.05,10.05,10.05,10.05,101970
26-11-20,10.75,10.75,10.75,10.7,453620
27-11-20,11.5,11.5,11.5,11.5,24970
30-11-20,12.3,12.3,12.3,12.3,35150
01-12-20,12.9,13.15,13.15,12.2,705230
02-12-20,14.05,14.05,14.05,14.0,1011330
03-12-20,14.9,14.65,15.0,13.3,568790
04-12-20,13.65,13.65,14.2,13.65,360950
07-12-20,12.7,12.7,12.7,12.7,172000
08-12-20,11.85,11.85,11.85,11.85,92110
09-12-20,11.05,11.05,11.05,11.05,115870
10-12-20,10.3,11.8,11.8,10.3,518900
11-12-20,12.6,12.4,12.6,11.8,608490
14-12-20,12.4,12.45,12.7,12.2,368540
15-12-20,11.8,12.3,12.3,11.6,388920
16-12-20,13.1,12.75,13.1,12.4,219050
17-12-20,12.4,12.4,12.7,12.4,184080
18-12-20,12.4,12.3,12.4,12.1,143000
21-12-20,11.8,12.0,12.2,11.8,272910
22-12-20,12.6,12.8,12.8,12.3,382620
23-12-20,13.3,13.65,13.65,13.0,357650
24-12-20,13.65,13.1,13.8,12.8,181990
25-12-20,12.8,13.3,13.65,12.5,225420
28-12-20,13.95,13.2,13.95,13.0,188240
29-12-20,13.2,12.95,13.2,12.95,296970
30-12-20,12.8,12.9,13.2,12.8,110650
31-12-20,12.6,12.8,13.0,12.6,119180
04-01-21,12.8,13.65,13.65,12.8,428600
05-01-21,14.4,13.9,14.4,13.75,230600
06-01-21,13.45,13.5,13.9,13.45,293300
07-01-21,13.2,13.25,13.5,13.1,149700
08-01-21,13.3,13.35,13.7,13.25,126200
11-01-21,13.4,13.25,13.45,13.15,182600
12-01-21,13.2,14.0,14.0,13.1,229700
13-01-21,13.9,14.1,14.6,13.9,867800
14-01-21,14.1,14.1,14.3,14.05,269300
15-01-21,14.5,14.15,14.5,14.0,160100
18-01-21,14.15,14.1,14.2,13.9,187300
19-01-21,14.05,13.35,14.05,13.15,146300
20-01-21,13.35,12.9,13.4,12.45,159600
21-01-21,13.8,13.8,13.8,13.2,227600
22-01-21,14.7,14.0,14.7,13.85,399300
25-01-21,14.1,14.0,14.75,14.0,718000
26-01-21,13.5,13.4,13.9,13.1,188700
27-01-21,13.4,12.9,13.5,12.9,125300
28-01-21,12.0,12.0,12.05,12.0,146500
29-01-21,11.2,12.5,12.55,11.2,154000
01-02-21,13.35,13.0,13.35,13.0,312300
02-02-21,13.0,13.1,13.2,12.95,84400
03-02-21,13.0,13.25,13.3,12.6,83500
04-02-21,13.25,13.25,13.3,13.2,92900
05-02-21,13.5,13.25,13.5,13.1,83700
08-02-21,13.25,13.2,13.45,13.05,110800
09-02-21,13.0,13.55,13.55,12.9,124900
17-02-21,13.55,14.0,14.0,13.5,115200
18-02-21,14.0,13.6,14.0,13.6,95900
19-02-21,13.4,13.8,13.8,13.4,60300
22-02-21,13.8,14.1,14.2,13.5,205100
23-02-21,14.2,13.9,14.2,13.85,96700
24-02-21,13.4,13.6,13.9,13.4,74500
25-02-21,13.5,13.6,13.75,13.5,50600
26-02-21,13.6,14.55,14.55,13.5,585300
01-03-21,15.55,15.55,15.55,15.4,443700
02-03-21,16.6,16.35,16.6,16.0,761800
03-03-21,16.0,17.45,17.45,15.8,937200
04-03-21,18.45,18.5,18.65,17.6,672000
05-03-21,18.1,18.65,18.9,17.6,437100
08-03-21,18.0,18.95,19.7,17.85,932900
09-03-21,18.95,18.6,19.45,17.95,398600
10-03-21,18.5,17.55,18.5,17.5,552000
11-03-21,17.35,17.8,17.85,17.3,388800
12-03-21,18.2,17.6,18.2,17.0,272000
15-03-21,17.6,17.3,17.65,17.1,260900
16-03-21,17.2,17.15,17.2,16.8,179700
17-03-21,17.15,17.5,17.65,17.1,174500
18-03-21,17.6,17.4,17.7,17.2,176000
19-03-21,17.4,17.7,17.85,17.3,319500
22-03-21,17.7,17.35,17.8,17.35,134200
23-03-21,17.35,17.0,17.35,16.15,256600
24-03-21,16.2,16.2,17.0,16.0,182400
25-03-21,16.2,16.1,16.5,15.9,259200
26-03-21,15.8,15.8,16.3,15.2,185300
29-03-21,15.7,16.1,16.4,15.7,130200
30-03-21,16.1,16.2,16.5,16.0,76500
31-03-21,16.2,16.85,17.0,16.2,360200
01-04-21,17.4,17.0,17.4,16.85,192900
02-04-21,17.05,16.85,17.25,16.85,138900
05-04-21,17.15,16.8,17.2,16.5,142300
06-04-21,16.25,16.4,16.7,16.25,159900
07-04-21,16.4,16.8,17.0,16.3,176100
08-04-21,17.2,16.85,17.2,16.6,168600
09-04-21,16.85,16.8,16.85,16.55,195600
12-04-21,16.8,17.1,17.15,16.8,440900
13-04-21,17.2,17.25,17.55,17.0,452800
14-04-21,17.3,18.45,18.45,17.0,1401900
15-04-21,19.3,18.9,19.4,18.6,832100
16-04-21,19.0,18.3,19.15,18.0,511900
19-04-21,18.3,19.55,19.55,18.0,3426900
20-04-21,20.3,19.4,20.4,18.2,1387700
