Date,Open,Close,High,Low,Volume
16-11-20,17.95,18.0,18.0,17.9,120700
17-11-20,17.95,17.95,17.95,17.9,131830
18-11-20,17.9,17.6,17.9,17.4,194850
19-11-20,17.6,17.6,17.8,17.3,139400
20-11-20,17.5,17.5,17.6,17.35,138780
23-11-20,17.5,17.5,17.5,17.3,113130
24-11-20,17.5,17.3,17.5,17.0,106440
25-11-20,17.3,17.3,17.4,17.2,118180
26-11-20,17.3,17.5,17.5,17.3,141920
27-11-20,17.5,17.5,17.7,17.4,110770
30-11-20,17.5,17.3,17.5,17.2,149060
01-12-20,17.2,17.3,17.4,17.05,104930
02-12-20,17.3,17.3,17.3,17.1,155300
03-12-20,17.3,17.3,17.3,17.0,159690
04-12-20,17.3,17.3,17.3,17.1,142770
07-12-20,17.3,17.4,17.4,17.1,137160
08-12-20,17.4,17.4,17.6,17.2,161550
09-12-20,17.4,17.3,17.5,17.2,135460
10-12-20,17.3,17.0,17.3,17.0,164030
11-12-20,17.0,17.2,17.2,17.0,197180
14-12-20,17.2,17.3,17.3,17.1,134830
15-12-20,17.1,17.2,17.3,17.0,149210
16-12-20,17.1,17.2,17.2,17.0,167070
17-12-20,17.2,17.2,17.3,17.0,136310
18-12-20,17.1,17.1,17.2,17.0,140040
21-12-20,17.1,17.1,17.1,17.0,174130
22-12-20,17.1,17.05,17.1,17.0,152560
23-12-20,17.1,17.0,17.1,17.0,117380
24-12-20,17.05,17.0,17.05,16.7,86480
25-12-20,17.0,17.0,17.05,16.7,116660
28-12-20,17.0,17.0,17.0,16.9,117090
29-12-20,17.0,17.0,17.0,16.8,130140
30-12-20,17.0,17.0,17.05,16.9,120210
31-12-20,17.0,17.0,17.0,16.8,124180
04-01-21,17.0,17.0,17.0,16.9,124200
05-01-21,17.0,17.0,17.0,16.8,118900
06-01-21,17.0,17.0,17.0,16.8,128600
07-01-21,17.0,17.0,17.0,16.85,117400
08-01-21,17.0,17.0,17.0,16.8,128900
11-01-21,17.0,17.0,17.05,16.9,122000
12-01-21,17.0,18.15,18.15,17.0,340600
13-01-21,18.6,19.4,19.4,18.6,453500
14-01-21,19.4,19.0,19.45,18.95,169800
15-01-21,18.95,18.6,19.0,18.35,190600
18-01-21,18.6,18.85,18.85,18.45,407000
19-01-21,18.85,18.55,18.95,18.45,460500
20-01-21,18.55,18.35,18.65,18.2,102800
21-01-21,18.35,18.35,18.45,18.25,146900
22-01-21,18.35,18.4,18.4,18.15,170600
25-01-21,18.4,18.35,18.45,18.0,161000
26-01-21,18.3,18.3,18.4,17.9,145900
27-01-21,18.3,17.95,18.4,17.7,139700
28-01-21,17.85,17.2,17.9,17.1,150100
29-01-21,17.15,17.3,17.55,17.15,201900
01-02-21,17.25,17.2,17.4,17.15,131000
02-02-21,17.2,17.25,17.25,17.1,153300
03-02-21,17.25,17.3,17.35,17.2,146100
04-02-21,17.3,18.1,18.2,17.3,299400
05-02-21,18.1,18.2,18.2,18.05,171100
08-02-21,18.2,18.0,18.3,17.9,148800
09-02-21,18.0,18.15,18.15,18.0,146400
17-02-21,18.2,19.4,19.4,18.2,465800
18-02-21,19.4,20.25,20.5,19.4,378900
19-02-21,20.0,19.95,20.25,19.9,119100
22-02-21,19.95,19.85,20.0,19.55,159900
23-02-21,19.85,20.4,20.6,19.8,345000
24-02-21,20.5,20.2,20.55,20.0,156400
25-02-21,20.2,20.0,20.3,19.85,183800
26-02-21,19.95,20.0,20.1,19.85,163400
01-03-21,19.95,20.05,20.05,19.95,179400
02-03-21,20.05,20.0,20.05,19.9,138600
03-03-21,20.0,20.2,20.5,19.8,344400
04-03-21,20.25,20.25,20.4,20.15,394000
05-03-21,20.4,20.55,20.65,20.4,236600
08-03-21,20.8,21.25,21.3,20.8,370100
09-03-21,21.25,20.8,21.25,20.7,155600
10-03-21,20.65,20.7,20.85,20.55,143200
11-03-21,20.7,20.0,20.75,19.8,181300
12-03-21,19.95,20.15,20.15,19.95,203300
15-03-21,20.15,20.0,20.2,19.85,143700
16-03-21,20.0,20.0,20.05,19.6,128900
17-03-21,19.95,20.15,20.15,19.9,192300
18-03-21,20.15,20.1,20.25,20.1,169900
19-03-21,20.1,19.95,20.15,19.95,131800
22-03-21,19.95,20.1,20.15,19.95,207600
23-03-21,20.1,19.9,20.1,19.8,127100
24-03-21,19.85,19.7,19.95,19.55,109700
25-03-21,19.7,19.65,19.8,19.55,138800
26-03-21,19.6,19.65,19.65,19.4,143200
29-03-21,19.65,19.8,19.8,19.65,207500
30-03-21,19.8,19.75,19.8,19.7,125000
31-03-21,19.75,19.75,19.85,19.7,150400
01-04-21,19.75,19.75,19.8,19.7,117100
02-04-21,19.75,19.8,19.8,19.7,156000
05-04-21,19.8,20.1,20.15,19.75,227200
06-04-21,20.1,20.25,20.25,20.1,178700
07-04-21,20.25,20.2,20.3,20.2,120000
08-04-21,20.15,20.05,20.2,20.0,102300
09-04-21,20.05,20.1,20.1,20.0,91000
12-04-21,20.1,19.95,20.1,19.9,140600
13-04-21,19.9,19.85,19.95,19.75,159400
14-04-21,19.75,19.8,19.85,19.7,140200
15-04-21,19.8,19.75,19.85,19.75,124700
16-04-21,19.75,19.5,19.75,19.5,141100
19-04-21,19.5,20.0,20.0,19.3,150000
20-04-21,20.0,19.9,20.1,19.8,270700
22-04-21,19.9,19.9,20.0,19.75,353600
23-04-21,19.9,19.9,19.9,19.8,444700
26-04-21,19.9,20.0,20.0,19.7,542300
27-04-21,20.0,21.4,21.4,19.9,731200
28-04-21,22.85,22.85,22.85,22.85,627800
29-04-21,24.4,24.4,24.4,24.0,996400
04-05-21,23.2,24.2,24.8,22.7,210000
05-05-21,24.5,25.0,25.2,22.8,310700
06-05-21,25.0,25.0,25.1,24.0,554600
07-05-21,25.0,24.7,25.1,24.0,423800
10-05-21,24.6,24.0,24.7,24.0,317400
11-05-21,24.0,24.0,24.5,23.5,212900
12-05-21,24.0,23.8,25.2,23.7,320500
13-05-21,23.8,22.4,23.9,22.15,1360500
14-05-21,22.4,22.4,22.4,22.0,187900
17-05-21,22.2,22.6,22.7,22.2,248900
18-05-21,22.6,22.7,22.8,22.3,301900
19-05-21,22.8,23.8,24.0,22.4,1013700
20-05-21,23.8,24.8,25.0,23.8,1086800
21-05-21,24.8,25.8,25.8,24.2,1042500
24-05-21,25.8,26.5,26.7,25.0,962900
25-05-21,26.5,28.35,28.35,25.9,1922100
26-05-21,28.7,30.3,30.3,27.6,2050400
27-05-21,30.7,29.9,30.7,28.2,852700
28-05-21,27.85,31.95,31.95,27.85,1965400
31-05-21,32.3,31.0,32.3,30.0,936300
01-06-21,28.85,30.2,30.5,28.85,439000
02-06-21,30.1,30.2,30.5,29.9,378300
03-06-21,30.1,32.3,32.3,30.1,1383600
04-06-21,32.3,32.45,32.8,30.05,383300
07-06-21,32.45,31.9,32.6,30.2,227400
08-06-21,29.8,31.5,31.9,29.7,163400
09-06-21,31.5,29.2,32.0,29.2,262400
10-06-21,29.0,28.4,29.2,27.2,89100
11-06-21,28.4,28.6,28.9,28.2,381600
14-06-21,28.6,29.0,30.0,26.65,486200
15-06-21,28.9,30.45,31.0,27.0,1867800
16-06-21,30.4,29.8,31.1,28.35,724900
17-06-21,29.5,31.0,31.85,27.75,1746500
18-06-21,29.9,28.85,30.4,28.85,366800
21-06-21,28.7,28.0,28.85,26.85,744200
22-06-21,26.5,26.5,27.75,26.05,179700
23-06-21,26.5,25.5,26.9,24.65,211900
24-06-21,25.0,25.4,25.7,23.75,436500
25-06-21,24.7,26.6,27.15,23.65,1246200
28-06-21,26.6,28.45,28.45,24.75,1218800
29-06-21,29.85,28.6,30.35,26.5,884500
30-06-21,26.6,26.6,27.8,26.6,93500
01-07-21,24.8,24.95,25.1,24.75,1152800
02-07-21,24.95,24.95,24.95,24.0,282000
05-07-21,24.95,24.95,24.95,23.25,222000
06-07-21,24.9,24.0,24.9,23.3,341900
07-07-21,23.5,23.95,24.5,22.35,530700
08-07-21,23.9,23.9,23.9,22.3,378700
09-07-21,23.0,22.85,23.45,22.25,247200
12-07-21,22.9,21.3,22.9,21.3,1137100
13-07-21,20.5,22.75,22.75,20.0,1259600
14-07-21,22.75,24.0,24.3,21.2,2035200
15-07-21,23.5,24.0,25.5,22.35,1355800
16-07-21,23.9,25.65,25.65,22.35,2904400
19-07-21,25.9,23.9,26.8,23.9,1032300
20-07-21,22.25,22.25,24.5,22.25,1112900
21-07-21,22.2,21.9,22.2,20.7,536400
22-07-21,21.9,21.5,22.8,20.4,2285100
23-07-21,21.5,22.3,22.4,20.0,3527400
26-07-21,22.4,22.1,22.7,20.75,2026000
27-07-21,20.6,23.6,23.6,20.6,9312000
28-07-21,24.0,23.0,24.15,21.95,1793800
29-07-21,22.7,21.4,22.7,21.4,619900
30-07-21,20.0,19.95,20.4,19.95,3278400
02-08-21,18.8,18.6,19.5,18.6,1398000
03-08-21,18.5,17.65,18.5,17.55,1814900
04-08-21,18.0,18.2,18.75,17.0,1999600
05-08-21,18.2,18.05,18.25,17.85,317500
06-08-21,18.05,17.75,18.05,17.75,507200
09-08-21,17.65,17.55,17.8,17.3,652500
10-08-21,17.55,18.15,18.45,17.55,589300
11-08-21,18.2,18.35,18.65,18.2,491700
12-08-21,18.2,19.15,19.55,17.8,2181700
13-08-21,19.0,18.95,19.4,18.5,1324600
16-08-21,18.8,19.35,19.45,18.8,922700
