Date,Open,Close,High,Low,Volume
16-11-20,54.5,53.6,54.9,53.6,287560
17-11-20,54.0,54.4,54.4,53.3,144680
18-11-20,54.4,54.2,54.5,54.0,138090
19-11-20,54.2,56.3,56.8,54.2,496090
20-11-20,56.3,56.3,56.8,56.0,280960
23-11-20,56.2,57.5,57.8,55.9,255830
24-11-20,57.5,57.0,57.8,56.6,331820
25-11-20,57.0,56.5,57.4,56.3,183110
26-11-20,56.2,56.4,56.4,55.8,190960
27-11-20,56.4,57.3,57.5,56.4,235650
30-11-20,57.5,58.1,58.9,57.0,311800
01-12-20,57.8,59.2,59.2,56.5,351950
02-12-20,59.2,59.1,59.6,58.7,161140
03-12-20,59.1,61.0,61.0,58.5,308900
04-12-20,61.0,60.2,61.3,59.8,195640
07-12-20,59.9,60.0,60.9,59.8,209010
08-12-20,60.4,59.6,60.4,59.2,229100
09-12-20,59.6,59.5,60.7,59.2,242290
10-12-20,59.5,59.1,60.0,59.0,312840
11-12-20,59.2,59.6,59.6,58.6,120860
14-12-20,59.6,60.0,61.0,59.0,252720
15-12-20,60.0,59.7,60.2,59.6,163620
16-12-20,60.0,60.2,60.2,59.5,311650
17-12-20,59.5,59.0,59.7,57.9,365240
18-12-20,59.0,58.2,59.0,58.0,480350
21-12-20,58.1,58.8,59.4,57.4,699170
22-12-20,58.8,59.9,59.9,58.1,275730
23-12-20,59.9,59.0,59.9,58.0,135440
24-12-20,58.8,58.5,58.8,57.7,179510
25-12-20,58.1,58.8,59.2,57.6,125340
28-12-20,58.8,58.1,58.9,57.8,253070
29-12-20,58.0,58.5,58.5,57.9,126560
30-12-20,58.5,60.8,60.9,58.4,449650
31-12-20,60.8,61.6,62.4,60.1,313390
04-01-21,61.6,61.8,62.5,61.6,177800
05-01-21,61.8,61.0,61.9,60.8,156100
06-01-21,61.0,60.3,61.0,60.0,385100
07-01-21,60.0,60.0,60.3,58.9,245200
08-01-21,60.2,61.4,61.9,60.2,390700
11-01-21,62.1,62.8,63.9,60.8,299500
12-01-21,62.8,61.9,63.0,59.0,146900
13-01-21,61.9,61.7,62.7,61.5,149600
14-01-21,61.7,63.4,63.8,61.0,309500
15-01-21,63.0,63.3,63.4,62.8,179400
18-01-21,64.0,63.3,65.0,63.3,234000
19-01-21,63.3,61.0,64.9,59.0,240300
20-01-21,63.0,63.6,64.1,60.0,307600
21-01-21,64.0,64.7,64.7,63.8,216500
22-01-21,65.0,68.5,68.5,65.0,483300
25-01-21,68.5,68.3,68.8,67.8,129600
26-01-21,68.0,68.3,69.7,66.6,205600
27-01-21,67.0,67.5,68.4,66.5,323400
28-01-21,63.3,62.8,65.0,62.8,353000
29-01-21,59.0,64.0,65.0,59.0,231100
01-02-21,64.0,62.6,65.0,61.5,176400
02-02-21,62.0,65.0,65.2,62.0,240000
03-02-21,65.0,65.5,66.2,64.0,122100
04-02-21,66.0,66.0,66.8,65.5,83400
05-02-21,66.0,66.1,67.0,65.0,245100
08-02-21,67.0,66.5,67.2,64.3,327000
09-02-21,66.5,68.2,68.3,65.9,266500
17-02-21,68.6,70.9,72.0,68.6,239100
18-02-21,71.0,70.0,71.0,69.0,142700
19-02-21,69.3,72.4,72.5,69.3,235700
22-02-21,72.0,71.3,72.4,71.0,149300
23-02-21,72.0,73.1,73.1,70.9,293600
24-02-21,73.1,75.4,77.2,73.1,323400
25-02-21,77.8,76.5,77.8,74.5,128000
26-02-21,74.2,75.8,76.6,74.2,165700
01-03-21,77.0,75.7,77.0,75.2,162700
02-03-21,76.5,74.6,76.5,74.0,142000
03-03-21,74.0,75.0,75.5,73.8,88200
04-03-21,75.0,74.0,76.5,74.0,243400
05-03-21,74.0,75.8,76.0,73.2,107400
08-03-21,76.5,79.1,81.0,75.0,661700
09-03-21,79.1,80.0,81.5,78.8,149200
10-03-21,80.0,79.7,80.1,78.5,48100
11-03-21,79.7,79.6,81.5,79.0,192800
12-03-21,79.5,80.0,80.3,79.3,275500
15-03-21,80.1,82.5,82.9,80.1,97900
16-03-21,83.0,82.6,84.0,82.1,203400
17-03-21,82.6,82.8,83.0,82.1,100100
18-03-21,82.8,82.5,82.8,82.0,83100
19-03-21,82.5,81.8,82.5,80.5,144600
22-03-21,82.0,80.0,82.0,79.5,156400
23-03-21,79.5,80.6,82.0,79.5,242400
24-03-21,80.0,79.6,80.5,79.0,151000
25-03-21,80.0,80.6,81.7,79.6,157600
26-03-21,80.6,80.9,81.0,79.0,178900
