Date,Open,Close,High,Low,Volume
16-11-20,9.2,9.2,9.2,9.2,0
17-11-20,9.2,9.2,9.2,9.2,0
18-11-20,9.2,9.2,9.2,9.2,0
19-11-20,9.2,9.2,9.2,9.2,0
20-11-20,9.2,9.2,9.2,9.2,0
23-11-20,9.2,9.2,9.2,9.2,0
24-11-20,9.2,9.2,9.2,9.2,0
25-11-20,9.2,9.2,9.2,9.2,0
26-11-20,9.2,9.2,9.2,9.2,0
27-11-20,9.2,9.2,9.2,9.2,0
30-11-20,9.2,9.2,9.2,9.2,0
01-12-20,8.56,8.56,8.56,8.56,100
02-12-20,8.56,8.56,8.56,8.56,0
03-12-20,8.1,8.1,8.1,8.0,1100
04-12-20,8.0,8.0,8.0,8.0,20
07-12-20,8.0,8.0,8.0,8.0,0
08-12-20,8.0,8.0,8.0,8.0,0
09-12-20,8.0,8.0,8.0,8.0,0
10-12-20,8.0,8.0,8.0,8.0,0
11-12-20,7.9,7.9,7.9,7.9,20
14-12-20,8.45,8.45,8.45,8.45,10
15-12-20,9.0,9.04,9.04,9.0,30
16-12-20,9.15,9.15,9.15,9.15,10
17-12-20,9.15,9.15,9.15,9.15,0
18-12-20,8.51,9.6,9.6,8.51,30
21-12-20,9.6,9.6,9.6,9.6,0
22-12-20,9.0,9.6,9.6,9.0,2010
23-12-20,9.7,9.7,9.7,9.7,6010
24-12-20,9.7,9.7,9.7,9.7,0
25-12-20,9.7,9.7,9.7,9.7,0
28-12-20,9.7,9.7,9.7,9.7,0
29-12-20,9.03,9.03,9.03,9.03,10
30-12-20,9.03,9.03,9.03,9.03,80
31-12-20,8.4,8.4,9.5,8.4,2180
04-01-21,8.4,8.4,8.4,8.4,0
05-01-21,7.9,7.9,7.9,7.9,100
06-01-21,7.9,7.9,7.9,7.9,1000
07-01-21,7.9,7.9,7.9,7.9,0
08-01-21,7.9,7.9,7.9,7.9,0
11-01-21,7.9,7.9,7.9,7.9,0
12-01-21,7.9,7.9,7.9,7.9,0
13-01-21,7.9,7.9,7.9,7.9,0
14-01-21,7.35,7.35,7.35,7.35,900
15-01-21,7.8,7.8,7.8,7.8,100
18-01-21,7.9,7.9,7.9,7.9,1200
19-01-21,7.63,7.35,7.63,7.35,5700
20-01-21,7.35,7.35,7.35,7.35,0
21-01-21,7.35,7.86,7.86,7.35,49000
22-01-21,8.41,8.41,8.41,8.41,4900
25-01-21,8.99,8.99,8.99,8.99,3900
26-01-21,9.61,9.61,9.61,9.61,32400
27-01-21,9.61,10.2,10.25,9.61,25300
28-01-21,10.2,10.8,10.9,9.5,10000
29-01-21,11.5,11.0,11.5,10.9,4700
01-02-21,11.0,11.0,11.0,11.0,0
02-02-21,11.0,11.0,11.0,11.0,1900
03-02-21,10.25,10.25,10.25,10.25,400
04-02-21,9.54,9.54,9.54,9.54,2400
05-02-21,8.89,8.88,10.1,8.88,5800
08-02-21,8.28,9.5,9.5,8.28,300
09-02-21,8.9,8.9,9.9,8.9,4200
17-02-21,9.0,9.52,9.52,9.0,800
18-02-21,9.55,9.0,9.55,9.0,200
19-02-21,9.0,8.7,9.0,8.7,2200
22-02-21,9.3,9.3,9.3,8.8,9100
23-02-21,9.3,9.8,9.8,9.3,3400
24-02-21,9.15,9.15,9.15,9.15,800
25-02-21,8.8,9.5,9.5,8.8,200
26-02-21,9.5,8.91,9.94,8.9,1500
01-03-21,8.6,8.6,8.6,8.6,200
02-03-21,9.1,9.2,9.2,9.1,9800
03-03-21,9.84,9.84,9.84,9.84,24200
04-03-21,10.5,10.5,10.5,10.5,18000
05-03-21,11.2,11.2,11.2,11.1,16600
08-03-21,11.95,10.95,11.95,10.5,16600
09-03-21,10.2,10.95,10.95,10.2,4800
10-03-21,10.2,10.2,10.2,10.2,8200
11-03-21,9.49,10.5,10.5,9.49,15700
12-03-21,10.5,9.8,10.5,9.77,5200
15-03-21,9.45,10.1,10.2,9.45,8500
16-03-21,9.45,10.0,10.0,9.45,7100
17-03-21,9.7,9.7,9.7,9.7,500
18-03-21,9.99,9.95,9.99,9.9,2700
19-03-21,9.8,10.0,10.0,9.8,1700
22-03-21,9.8,9.7,9.9,9.7,4800
23-03-21,9.7,9.6,9.7,9.6,2000
24-03-21,9.4,9.5,9.6,9.4,13900
25-03-21,9.6,9.6,9.6,9.6,3700
26-03-21,9.6,9.8,9.8,9.6,17000
29-03-21,9.85,10.0,10.0,9.85,2100
30-03-21,10.0,10.4,10.4,10.0,1200
31-03-21,9.81,9.81,9.85,9.8,2300
01-04-21,9.85,9.85,9.85,9.85,1000
02-04-21,9.85,9.65,9.85,9.65,2200
05-04-21,9.65,9.65,9.65,9.65,0
06-04-21,9.65,9.65,9.65,9.65,1500
07-04-21,9.75,9.5,9.75,9.2,1100
08-04-21,9.15,9.1,9.2,9.1,10000
09-04-21,9.1,9.1,9.1,9.1,0
12-04-21,9.3,9.73,9.73,9.3,2800
13-04-21,9.8,9.8,9.81,9.8,2300
14-04-21,9.8,10.2,10.2,9.8,500
15-04-21,10.4,10.9,10.9,10.3,35400
16-04-21,10.9,10.9,10.9,10.15,5400
19-04-21,11.0,10.9,11.0,10.6,4900
20-04-21,10.9,11.0,11.0,10.15,13200
22-04-21,10.3,10.95,11.2,10.3,16000
23-04-21,10.9,10.2,11.0,10.2,9200
26-04-21,10.0,10.0,10.0,9.8,4100
27-04-21,10.0,10.4,10.4,10.0,13500
28-04-21,9.68,10.35,10.35,9.68,1000
29-04-21,10.35,10.35,10.35,10.35,0
04-05-21,10.35,10.35,10.35,10.35,0
05-05-21,9.63,10.35,10.35,9.63,4500
06-05-21,9.66,10.5,10.5,9.66,5100
07-05-21,9.77,10.45,10.45,9.77,1000
10-05-21,10.45,10.45,10.45,10.45,0
11-05-21,9.73,9.73,9.73,9.73,8900
12-05-21,9.1,9.1,9.1,9.1,100
13-05-21,9.06,9.12,9.73,9.01,2700
14-05-21,9.19,9.13,9.75,9.13,2700
17-05-21,9.73,9.76,9.76,9.73,9200
18-05-21,9.76,9.76,9.76,9.76,0
19-05-21,9.73,9.73,9.73,9.73,1500
20-05-21,9.73,9.18,9.73,9.15,3000
21-05-21,9.82,9.82,9.82,9.82,500
24-05-21,9.82,9.82,9.82,9.82,0
25-05-21,9.15,9.79,9.79,9.15,2800
26-05-21,9.2,9.2,9.2,9.2,900
27-05-21,9.2,9.83,9.83,9.2,2300
28-05-21,9.8,9.8,9.8,9.8,100
31-05-21,9.78,9.78,9.78,9.78,900
01-06-21,9.1,9.1,9.1,9.1,5100
02-06-21,9.03,9.72,9.72,9.03,3600
03-06-21,9.8,9.72,9.8,9.72,500
04-06-21,9.71,9.71,9.71,9.71,1000
07-06-21,9.71,9.71,9.71,9.71,0
08-06-21,9.71,9.71,9.71,9.71,0
09-06-21,9.68,9.69,9.69,9.68,1200
10-06-21,9.5,9.65,9.65,9.5,1200
11-06-21,9.65,9.65,9.65,9.65,0
14-06-21,9.65,9.63,9.7,9.63,300
15-06-21,8.99,9.7,9.7,8.99,500
16-06-21,9.7,9.7,9.7,9.7,0
17-06-21,9.7,9.7,9.7,9.7,0
18-06-21,9.7,9.7,9.7,9.7,0
21-06-21,9.33,9.8,9.8,9.33,4400
22-06-21,9.8,10.45,10.45,9.8,20200
23-06-21,11.1,11.1,11.15,11.1,5100
24-06-21,11.0,11.6,11.85,10.4,5000
25-06-21,11.6,12.0,12.0,10.8,7700
28-06-21,11.2,11.2,11.2,11.2,8000
29-06-21,11.0,10.5,11.0,10.45,17100
30-06-21,10.5,10.85,10.85,10.5,700
01-07-21,10.85,11.5,11.5,10.85,200
02-07-21,10.7,10.7,10.7,10.7,3000
05-07-21,10.7,11.0,11.3,10.0,5500
06-07-21,11.0,11.0,11.0,11.0,0
07-07-21,10.25,10.25,10.25,10.25,200
08-07-21,10.25,10.6,10.6,9.54,11400
09-07-21,10.5,11.0,11.0,10.5,500
12-07-21,11.0,11.0,11.0,11.0,0
13-07-21,11.0,11.0,11.0,11.0,0
14-07-21,10.25,10.25,10.25,10.25,3100
15-07-21,9.54,10.85,10.85,9.54,4800
16-07-21,11.05,10.2,11.05,10.1,3000
19-07-21,10.7,9.63,10.7,9.55,4600
20-07-21,9.03,10.0,10.0,9.03,400
21-07-21,9.99,10.5,10.5,9.99,200
22-07-21,10.1,10.1,10.1,10.1,900
23-07-21,10.1,9.8,10.1,9.8,500
26-07-21,9.8,9.8,9.8,9.8,0
27-07-21,9.14,9.8,10.1,9.14,500
28-07-21,9.71,9.63,9.79,9.6,4000
29-07-21,9.6,9.8,9.8,9.3,3200
30-07-21,9.8,9.8,9.8,9.8,0
02-08-21,10.3,9.31,10.3,9.18,600
03-08-21,9.6,9.5,9.96,9.5,7500
04-08-21,9.03,9.99,9.99,9.03,300
05-08-21,10.55,9.99,10.55,9.32,1300
06-08-21,9.9,9.31,9.9,9.31,700
09-08-21,9.93,9.55,9.93,9.5,2000
10-08-21,9.97,9.88,9.97,9.5,3300
11-08-21,9.55,9.51,9.55,9.5,3700
12-08-21,9.93,9.42,9.93,9.31,4200
13-08-21,9.42,9.8,9.8,9.42,600
16-08-21,9.21,9.4,9.78,9.21,3400
17-08-21,9.7,9.5,9.73,9.4,12000
18-08-21,9.47,9.5,9.55,9.47,2500
19-08-21,9.6,9.47,9.6,9.47,2500
20-08-21,9.45,9.6,9.6,9.4,3100
23-08-21,9.01,9.6,9.6,9.01,20400
24-08-21,9.6,9.6,9.6,9.01,9700
25-08-21,9.6,9.52,9.65,9.51,4100
26-08-21,9.02,9.02,9.02,9.02,100
27-08-21,9.53,9.53,9.53,9.52,2200
30-08-21,9.05,9.12,9.12,9.05,200
31-08-21,9.74,9.75,9.75,9.74,4300
01-09-21,10.0,10.1,10.1,9.9,3700
06-09-21,9.42,10.1,10.1,9.42,8500
07-09-21,10.75,10.3,10.75,10.3,300
08-09-21,10.3,10.3,10.3,10.3,400
09-09-21,9.62,10.25,10.25,9.62,1400
10-09-21,10.2,10.2,10.2,10.2,100
13-09-21,9.61,10.5,10.5,9.61,1400
14-09-21,10.45,10.45,10.45,10.0,300
15-09-21,9.92,9.92,9.92,9.92,500
16-09-21,9.92,10.3,10.3,9.92,400
17-09-21,10.4,10.3,10.5,10.3,4900
20-09-21,10.65,10.7,11.0,10.65,5200
21-09-21,11.4,10.2,11.4,10.2,16800
22-09-21,10.9,10.9,10.9,10.9,400
23-09-21,11.65,11.0,11.65,11.0,500
24-09-21,11.7,11.5,11.7,11.5,5200
27-09-21,11.7,11.6,11.7,11.6,3000
28-09-21,11.6,10.8,11.6,10.8,200
29-09-21,11.0,11.0,11.0,11.0,500
