Date,Open,Close,High,Low,Volume
16-11-20,129.0,127.6,129.0,127.5,4410
17-11-20,127.0,127.6,128.0,126.0,10310
18-11-20,127.0,129.0,132.0,127.0,12920
19-11-20,129.0,127.8,129.0,127.0,3470
20-11-20,127.7,126.4,127.7,126.4,14770
23-11-20,126.4,127.1,127.1,126.0,3660
24-11-20,127.1,129.0,129.0,127.0,3590
25-11-20,128.0,127.5,128.0,127.5,9770
26-11-20,127.9,127.8,127.9,127.5,2330
27-11-20,127.9,127.8,127.9,126.1,6420
30-11-20,127.8,127.7,127.8,126.6,4350
01-12-20,126.2,126.8,126.9,126.0,8750
02-12-20,126.8,126.0,126.8,125.9,13780
03-12-20,125.5,128.0,128.0,125.5,22320
04-12-20,128.0,127.9,128.0,127.0,2650
07-12-20,127.9,132.1,136.8,127.9,23680
08-12-20,132.1,133.5,133.5,132.0,7220
09-12-20,132.2,133.9,134.0,132.2,8420
10-12-20,133.9,131.2,133.9,131.0,15970
11-12-20,131.2,134.0,134.7,131.0,25530
14-12-20,133.1,133.0,133.5,132.5,10460
15-12-20,130.5,133.0,133.0,130.5,5720
16-12-20,132.9,130.8,132.9,130.5,12080
17-12-20,131.5,129.0,131.5,129.0,10600
18-12-20,128.0,129.9,129.9,127.0,14020
21-12-20,129.5,129.0,129.9,127.5,5750
22-12-20,129.0,129.5,129.5,128.2,2710
23-12-20,129.0,127.6,129.4,126.0,14230
24-12-20,129.0,127.1,129.1,126.5,5590
25-12-20,127.1,131.6,134.4,127.1,25230
28-12-20,132.9,132.0,133.1,131.4,8220
29-12-20,132.0,136.1,139.8,127.1,32920
30-12-20,136.1,137.5,138.8,136.1,8830
31-12-20,137.0,137.9,138.0,135.5,5550
04-01-21,137.9,139.5,139.5,137.9,22600
05-01-21,139.5,146.5,147.0,139.5,26400
06-01-21,146.5,144.2,147.0,144.2,18200
07-01-21,147.8,154.0,154.2,147.8,51100
08-01-21,157.8,150.1,157.8,150.1,8400
11-01-21,154.0,156.0,157.0,152.0,14900
12-01-21,156.0,153.1,156.0,152.6,17200
13-01-21,158.0,152.0,158.0,152.0,17700
14-01-21,152.0,149.3,152.0,148.6,19700
15-01-21,151.0,149.3,151.0,149.0,31400
18-01-21,150.0,153.3,159.6,150.0,26200
19-01-21,153.3,146.0,153.3,142.6,40000
20-01-21,146.0,150.5,151.0,140.0,19000
21-01-21,150.5,157.5,160.0,150.0,59000
22-01-21,158.0,159.0,159.0,156.0,18300
25-01-21,165.0,170.1,170.1,165.0,96100
26-01-21,181.0,178.9,181.8,170.1,42700
27-01-21,173.6,172.0,178.0,166.4,25100
28-01-21,160.5,160.0,165.0,160.0,38800
29-01-21,151.0,158.0,165.0,151.0,40600
01-02-21,158.0,149.0,159.8,149.0,19400
02-02-21,146.1,157.0,157.0,145.4,23400
03-02-21,158.0,162.0,163.0,158.0,24000
04-02-21,162.0,160.0,162.0,156.0,13300
05-02-21,156.1,157.3,161.0,156.1,21400
08-02-21,157.5,153.0,157.5,152.0,17100
09-02-21,152.1,156.0,158.0,152.1,18600
17-02-21,158.2,166.9,166.9,158.2,25500
18-02-21,168.0,175.0,178.5,168.0,57800
19-02-21,177.0,174.5,180.0,174.5,22500
22-02-21,174.5,174.5,180.0,174.0,20500
23-02-21,175.0,178.0,178.0,173.0,17200
24-02-21,174.7,175.0,177.9,172.0,38300
