Date,Open,Close,High,Low,Volume
16-11-20,44.5,43.7,44.6,43.7,325880
17-11-20,43.9,44.15,44.3,43.6,736910
18-11-20,44.15,43.9,44.7,43.7,400660
19-11-20,44.15,43.9,44.4,43.6,675990
20-11-20,43.9,44.5,44.55,43.9,299890
23-11-20,44.5,46.05,46.4,44.2,745600
24-11-20,46.05,46.0,46.1,45.2,386580
25-11-20,47.35,45.9,47.35,45.5,405260
26-11-20,46.0,46.4,46.95,45.7,406620
27-11-20,46.35,47.6,47.7,46.1,513130
30-11-20,49.5,48.6,49.5,47.7,821150
01-12-20,48.45,48.45,48.5,47.8,362830
02-12-20,48.45,48.3,48.85,47.9,278150
03-12-20,48.05,47.2,48.15,46.2,479430
04-12-20,47.5,47.0,47.5,46.9,364310
07-12-20,46.5,46.9,47.5,46.5,343790
08-12-20,46.9,46.5,47.1,46.5,415460
09-12-20,46.5,46.75,46.75,46.2,552810
10-12-20,46.8,47.3,49.0,46.8,686500
11-12-20,47.3,47.5,47.8,47.3,483590
14-12-20,47.9,47.55,48.4,47.5,457190
15-12-20,47.75,47.5,48.0,47.15,443820
16-12-20,47.1,47.3,47.6,47.0,559800
17-12-20,47.0,46.3,47.3,46.1,938760
18-12-20,46.0,46.6,46.8,46.0,593480
21-12-20,47.0,47.1,47.8,47.0,522710
22-12-20,47.1,48.6,48.8,46.8,792470
23-12-20,49.0,48.5,49.05,48.0,500210
24-12-20,48.05,47.7,48.5,46.8,554540
25-12-20,47.25,48.0,48.0,47.25,451440
28-12-20,48.3,47.65,48.3,47.4,383160
29-12-20,47.6,47.7,47.85,47.3,318410
30-12-20,47.7,48.3,49.0,47.4,504640
31-12-20,48.0,48.95,48.95,48.0,241510
04-01-21,49.55,50.3,50.5,49.2,659500
05-01-21,50.0,50.2,50.5,49.9,362700
06-01-21,50.3,50.0,51.0,49.6,456500
07-01-21,49.9,51.0,51.3,49.8,624000
08-01-21,51.5,51.3,51.5,50.5,498200
11-01-21,51.3,51.2,51.8,51.0,614200
12-01-21,51.2,53.1,53.5,51.0,1089900
13-01-21,53.5,53.2,53.8,52.5,1066600
14-01-21,53.2,53.0,53.3,52.7,482400
15-01-21,53.5,53.5,53.7,52.7,925900
18-01-21,53.5,53.9,54.5,53.2,559600
19-01-21,53.9,52.8,53.9,50.2,786300
20-01-21,52.9,53.0,53.1,50.0,988000
21-01-21,53.0,53.6,53.9,52.4,586800
22-01-21,53.6,54.1,55.0,53.3,816100
25-01-21,54.1,54.3,54.5,53.8,678300
26-01-21,54.7,53.4,54.7,52.0,713400
27-01-21,52.0,51.9,53.4,50.0,958000
28-01-21,48.3,48.3,50.5,48.3,917900
29-01-21,46.0,51.0,51.6,46.0,680300
01-02-21,50.8,50.1,51.8,48.8,485900
02-02-21,49.8,53.5,53.5,49.75,669000
03-02-21,54.0,54.0,54.5,53.0,1020400
04-02-21,54.3,53.5,54.3,52.6,1187200
05-02-21,53.5,53.5,54.0,52.6,937100
08-02-21,53.8,54.0,56.0,52.8,1818200
09-02-21,54.0,57.0,57.0,53.5,1500300
17-02-21,58.0,59.1,59.2,57.0,1912700
18-02-21,59.0,59.6,59.6,57.5,1053100
19-02-21,58.5,58.6,59.5,58.5,637700
22-02-21,58.1,57.0,58.3,56.8,1044700
23-02-21,57.0,56.4,57.5,56.0,990700
24-02-21,56.8,57.0,57.2,55.0,616000
25-02-21,57.1,56.4,57.7,56.0,816200
26-02-21,55.7,56.7,56.8,55.6,1037700
01-03-21,56.7,56.9,57.3,56.7,874100
02-03-21,57.4,56.9,57.6,56.7,563900
03-03-21,57.3,57.1,57.4,56.7,1146400
04-03-21,57.6,55.5,57.6,54.5,948400
05-03-21,55.5,55.4,55.5,54.5,641600
08-03-21,55.5,56.0,56.5,55.4,614800
09-03-21,55.4,55.0,55.6,53.7,1461200
10-03-21,54.7,54.9,54.9,54.0,968100
11-03-21,55.0,55.5,55.5,55.0,821900
12-03-21,55.5,55.5,55.6,55.1,611700
15-03-21,55.2,54.9,55.5,54.8,586200
16-03-21,54.9,53.9,54.9,53.3,1072000
17-03-21,53.9,53.9,54.0,53.4,636800
18-03-21,54.3,54.1,54.8,53.9,428500
19-03-21,54.1,56.2,56.3,53.9,1678800
22-03-21,56.6,56.5,57.0,56.0,982800
23-03-21,56.5,55.5,56.5,55.1,456100
24-03-21,54.3,54.0,55.0,53.5,672400
25-03-21,54.0,53.4,54.2,53.3,565800
26-03-21,53.4,54.0,54.0,49.7,870500
29-03-21,54.0,54.3,54.3,53.4,301000
30-03-21,54.3,53.2,54.3,52.6,816600
31-03-21,52.4,52.6,53.2,52.4,728900
01-04-21,52.7,53.9,53.9,52.5,458300
02-04-21,54.0,53.7,54.2,53.7,542500
05-04-21,53.9,53.6,54.2,53.3,388200
06-04-21,53.7,53.3,54.0,52.5,369800
07-04-21,52.7,53.3,53.3,52.5,291200
08-04-21,53.2,52.8,53.3,52.6,378300
09-04-21,52.8,53.5,53.6,52.7,652700
12-04-21,53.6,53.6,53.6,53.1,754500
13-04-21,53.7,53.2,53.7,53.0,807100
14-04-21,53.0,52.9,53.2,52.4,507400
15-04-21,52.7,51.7,52.9,51.7,620300
16-04-21,51.6,51.0,51.7,50.0,691200
19-04-21,51.0,52.7,52.7,50.0,537800
20-04-21,52.7,52.0,53.2,52.0,607800
22-04-21,52.0,51.2,52.0,51.2,412900
23-04-21,50.3,52.3,52.3,50.3,496900
26-04-21,52.3,51.3,52.3,50.8,428700
27-04-21,51.4,51.0,51.4,50.4,548100
28-04-21,50.7,51.0,51.1,50.1,287200
29-04-21,51.0,53.6,53.6,50.6,1047800
04-05-21,52.5,52.1,53.0,52.0,461800
05-05-21,52.1,52.8,53.5,52.1,390100
06-05-21,53.5,55.1,55.4,52.9,1560900
07-05-21,55.0,56.1,56.7,54.0,996200
10-05-21,55.6,56.7,57.4,55.1,898500
11-05-21,56.7,54.9,56.8,54.8,906700
12-05-21,54.3,55.3,55.9,54.0,376800
13-05-21,55.0,55.0,55.5,54.3,603500
14-05-21,55.0,56.0,56.6,54.5,626200
17-05-21,56.0,55.2,56.3,55.0,360000
18-05-21,55.2,55.5,56.0,54.4,523000
19-05-21,55.0,55.0,55.3,54.4,357800
20-05-21,54.6,58.4,58.5,54.6,1457300
21-05-21,58.4,58.0,58.4,57.3,822600
24-05-21,58.0,59.1,59.9,57.6,879000
25-05-21,59.2,59.1,59.5,58.0,590800
26-05-21,59.1,59.1,59.2,58.3,518900
27-05-21,59.1,59.2,61.0,58.6,1038100
28-05-21,58.8,59.3,59.3,58.3,769900
31-05-21,59.5,58.2,59.6,58.0,551500
01-06-21,58.2,57.0,58.2,56.6,834100
02-06-21,56.0,56.0,56.8,55.6,827600
03-06-21,55.5,57.8,58.5,55.5,594100
04-06-21,57.5,57.4,57.7,56.5,520300
07-06-21,57.0,55.8,57.2,54.0,1120100
08-06-21,56.0,56.0,57.0,55.6,592000
09-06-21,55.0,55.5,56.0,55.0,326800
10-06-21,54.5,54.5,55.4,53.4,1013600
11-06-21,54.5,54.9,55.2,54.0,789200
14-06-21,55.4,55.5,55.8,54.8,764800
15-06-21,56.4,56.9,57.2,56.0,779500
16-06-21,56.7,56.9,57.3,55.8,616300
17-06-21,55.9,60.0,60.3,55.8,1078600
18-06-21,60.9,59.7,61.0,59.6,1201700
21-06-21,58.0,58.2,59.3,57.8,684000
22-06-21,58.0,57.6,58.8,57.3,559600
23-06-21,57.6,56.9,57.9,56.6,692700
24-06-21,56.5,56.4,57.0,56.4,312400
25-06-21,56.9,56.5,57.0,55.8,429400
28-06-21,56.5,57.3,57.5,56.4,501500
29-06-21,57.3,57.7,58.3,57.3,693700
30-06-21,58.0,57.7,58.4,57.5,413000
01-07-21,57.5,57.6,58.4,57.3,434400
02-07-21,58.0,56.7,58.0,56.7,767900
05-07-21,56.7,54.8,56.7,54.8,1101800
06-07-21,54.8,52.5,56.7,52.5,721000
07-07-21,53.0,53.9,53.9,52.5,550700
08-07-21,53.9,53.0,54.0,53.0,369600
09-07-21,52.1,52.9,53.3,51.9,790100
12-07-21,53.0,52.3,53.0,50.0,1353000
13-07-21,52.8,51.9,52.8,51.6,410700
14-07-21,51.5,51.1,51.9,50.9,518000
15-07-21,51.1,51.2,52.0,51.0,355900
16-07-21,51.7,51.9,52.1,51.2,472400
19-07-21,51.0,50.8,51.9,50.5,529600
20-07-21,50.6,51.7,51.8,50.6,471600
21-07-21,51.6,52.2,52.8,51.5,496900
22-07-21,52.2,52.8,53.1,52.1,277600
23-07-21,52.8,51.5,53.2,51.0,650100
26-07-21,51.8,52.0,52.1,50.5,379700
27-07-21,51.7,52.8,53.5,51.7,461400
28-07-21,52.5,52.4,52.8,52.1,170600
29-07-21,52.4,52.4,53.0,52.0,300500
30-07-21,53.1,55.0,55.0,52.4,1927400
02-08-21,54.4,54.0,54.9,53.4,637200
03-08-21,54.0,54.3,54.5,53.7,426800
04-08-21,54.3,54.0,54.5,53.9,384600
05-08-21,53.5,54.0,54.1,53.5,269300
06-08-21,53.9,54.0,54.8,53.9,415500
09-08-21,54.0,55.9,55.9,53.5,1049800
10-08-21,55.7,55.9,56.1,55.5,457000
11-08-21,55.9,56.4,57.0,55.4,792600
12-08-21,55.6,55.7,56.2,55.3,459600
13-08-21,55.9,55.7,56.1,54.7,587900
16-08-21,56.0,56.5,57.9,55.9,1197200
17-08-21,56.7,56.6,57.7,55.9,809900
18-08-21,56.8,60.5,60.5,55.9,3303400
19-08-21,61.5,60.7,63.2,60.7,1685100
20-08-21,61.1,61.3,63.5,59.0,2231000
23-08-21,60.8,58.0,61.5,58.0,2414900
24-08-21,58.2,57.9,58.8,56.0,1270700
25-08-21,57.5,58.1,58.5,56.8,892300
26-08-21,58.7,62.1,62.1,58.3,2584800
27-08-21,62.1,65.0,65.6,62.1,1983900
30-08-21,66.0,65.0,66.5,64.5,1032500
31-08-21,64.7,66.0,67.8,63.9,1640500
01-09-21,65.3,66.5,67.4,65.1,1031900
