Date,Open,Close,High,Low,Volume
16-11-20,10.0,10.0,10.0,9.95,99880
17-11-20,10.0,10.0,10.0,9.95,7660
18-11-20,9.95,10.0,10.0,9.95,19740
19-11-20,9.98,10.1,10.1,9.96,34480
20-11-20,10.2,10.75,10.8,10.0,155580
23-11-20,10.75,10.85,11.2,10.5,209980
24-11-20,11.15,10.6,11.15,10.6,28620
25-11-20,10.95,10.7,10.95,10.5,45740
26-11-20,10.5,10.85,10.85,10.5,27380
27-11-20,10.85,10.7,10.85,10.6,31500
30-11-20,10.7,10.4,10.7,10.2,77030
01-12-20,10.4,10.1,10.4,9.68,194550
02-12-20,10.3,9.9,10.3,9.9,26520
03-12-20,10.0,9.93,10.05,9.9,9440
04-12-20,9.93,9.7,9.93,9.7,93470
07-12-20,9.8,9.8,9.95,9.5,132130
08-12-20,9.85,9.9,10.2,9.8,74530
09-12-20,9.99,9.81,9.99,9.77,130010
10-12-20,9.9,9.55,9.9,9.55,60760
11-12-20,9.55,9.85,10.05,9.55,51360
14-12-20,9.85,9.9,9.94,9.85,45800
15-12-20,9.9,9.88,9.9,9.86,39470
16-12-20,9.88,9.98,10.05,9.88,81150
17-12-20,10.0,9.86,10.0,9.86,35450
18-12-20,9.86,10.0,10.0,9.82,76500
21-12-20,10.0,10.0,10.0,9.88,59180
22-12-20,9.9,10.0,10.0,9.9,81070
23-12-20,10.0,9.97,10.0,9.91,98870
24-12-20,10.0,9.99,10.2,9.92,86360
25-12-20,10.0,10.0,10.0,9.95,92780
28-12-20,10.0,9.97,10.0,9.95,61200
29-12-20,9.92,9.84,10.0,9.83,48340
30-12-20,9.84,9.85,10.0,9.84,120790
31-12-20,9.85,9.95,10.0,9.55,196360
04-01-21,9.95,9.89,9.95,9.8,350000
05-01-21,9.89,9.85,9.9,9.85,179000
06-01-21,9.85,10.5,10.5,9.8,593600
07-01-21,11.15,11.2,11.2,11.0,548700
08-01-21,11.3,11.95,11.95,11.3,453000
11-01-21,12.1,11.9,12.4,11.5,534200
12-01-21,11.8,11.5,11.8,11.2,428100
13-01-21,11.3,11.25,11.5,11.15,552200
14-01-21,11.2,11.35,11.7,11.2,952500
15-01-21,11.75,11.75,11.75,11.7,346000
18-01-21,12.3,12.55,12.55,12.3,847800
19-01-21,13.0,12.2,13.0,11.7,833700
20-01-21,12.2,12.5,12.5,11.6,597200
21-01-21,12.6,12.45,12.7,12.2,584500
22-01-21,12.45,13.3,13.3,12.3,1809200
25-01-21,14.0,14.2,14.2,13.8,1373500
