Date,Open,Close,High,Low,Volume
16-11-20,17.2,16.8,17.3,16.7,103140
17-11-20,16.0,16.9,17.0,16.0,18430
18-11-20,16.9,16.9,16.9,16.5,68320
19-11-20,16.6,16.5,16.85,16.5,81800
20-11-20,16.8,17.65,17.65,16.7,112330
23-11-20,17.65,17.3,17.7,17.0,55160
24-11-20,17.5,17.4,17.5,16.8,36560
25-11-20,17.1,17.3,17.3,16.9,57100
26-11-20,16.9,17.45,17.7,16.9,46770
27-11-20,17.45,17.7,17.75,16.9,44420
30-11-20,17.0,17.0,17.4,17.0,46790
01-12-20,17.5,17.2,17.5,16.9,145230
02-12-20,17.05,17.1,17.25,17.0,71190
03-12-20,17.2,17.75,18.25,17.15,163180
04-12-20,17.6,17.7,17.95,17.6,59040
07-12-20,17.55,16.95,18.0,16.95,213870
08-12-20,17.05,17.5,17.6,17.05,19630
09-12-20,17.85,17.6,17.95,17.4,57080
10-12-20,17.5,17.2,17.8,17.1,58370
11-12-20,17.0,17.5,17.5,17.0,9660
14-12-20,17.7,17.5,17.7,17.2,53230
15-12-20,17.3,17.4,17.65,17.2,26360
16-12-20,17.5,17.4,17.5,17.0,69680
17-12-20,17.4,17.3,17.45,17.15,38040
18-12-20,17.3,17.5,17.5,17.15,47500
21-12-20,17.35,17.4,17.6,17.35,43530
22-12-20,17.2,17.2,17.25,17.0,70510
23-12-20,17.0,16.8,17.05,16.5,100810
24-12-20,16.8,16.35,16.8,15.65,44330
25-12-20,16.35,16.2,16.35,16.1,36280
28-12-20,16.2,16.1,16.2,15.6,57080
29-12-20,16.3,16.4,16.6,16.2,15830
30-12-20,16.0,16.4,16.7,16.0,28530
31-12-20,16.75,17.3,17.4,16.5,57550
04-01-21,17.3,17.2,17.4,16.8,45300
05-01-21,17.5,17.2,17.5,17.2,36300
06-01-21,17.2,17.8,18.2,17.15,83500
07-01-21,17.8,18.1,18.1,17.8,39200
08-01-21,18.3,18.9,19.2,18.3,62200
11-01-21,18.9,19.0,19.3,18.0,105900
12-01-21,18.5,19.0,19.05,18.4,33100
13-01-21,18.6,19.1,20.0,18.6,127200
14-01-21,19.1,19.8,20.1,19.1,50100
15-01-21,21.15,20.5,21.15,20.1,68200
18-01-21,20.5,20.5,20.65,20.5,48000
19-01-21,20.55,19.8,20.55,19.2,114200
20-01-21,19.1,19.75,19.75,18.5,16300
21-01-21,21.0,20.8,21.0,20.5,107900
22-01-21,20.65,20.7,20.8,20.4,57300
25-01-21,20.5,20.4,20.5,20.4,39200
26-01-21,20.4,20.2,20.4,20.0,55600
27-01-21,20.2,19.5,20.3,19.4,59000
28-01-21,18.15,18.15,19.3,18.15,140300
29-01-21,16.9,19.4,19.4,16.9,2900
01-02-21,19.4,19.5,19.8,18.1,66400
02-02-21,19.0,19.7,20.0,19.0,41600
03-02-21,19.9,19.95,20.0,19.7,49400
04-02-21,19.6,19.6,19.9,19.5,2900
05-02-21,19.65,20.0,20.0,19.5,34700
08-02-21,19.9,19.8,20.0,19.1,72100
09-02-21,19.8,20.0,20.8,19.8,57600
17-02-21,20.0,21.0,21.1,20.0,45600
18-02-21,21.2,21.85,21.9,21.1,45200
19-02-21,21.85,21.8,21.85,21.7,45200
22-02-21,21.8,22.5,22.5,21.8,30400
23-02-21,22.8,22.4,22.8,22.3,36100
24-02-21,22.4,23.95,23.95,22.4,122500
25-02-21,25.5,25.6,25.6,24.85,61100
26-02-21,25.6,27.35,27.35,25.6,31800
01-03-21,29.0,29.25,29.25,29.0,28700
02-03-21,31.25,29.85,31.25,27.3,104600
03-03-21,31.0,29.2,31.0,29.0,65500
04-03-21,29.2,28.2,29.2,28.2,20500
05-03-21,27.5,28.7,28.7,26.4,123900
08-03-21,28.7,29.65,29.8,28.7,81500
09-03-21,29.65,29.65,29.7,29.0,24100
10-03-21,29.65,29.4,29.65,29.0,4000
11-03-21,29.4,29.1,29.4,28.5,43900
12-03-21,29.1,29.1,29.3,29.0,22300
15-03-21,29.1,28.6,29.1,28.05,16600
16-03-21,28.35,28.5,28.5,28.0,14600
17-03-21,28.5,28.5,28.5,28.0,13500
18-03-21,29.3,30.45,30.45,28.6,61100
19-03-21,32.3,32.55,32.55,32.3,37200
22-03-21,34.6,32.6,34.6,31.4,51400
23-03-21,34.2,34.85,34.85,33.1,119300
24-03-21,33.5,35.0,37.0,33.5,59300
25-03-21,35.0,36.4,37.0,35.0,25200
26-03-21,36.9,37.8,38.5,36.9,98900
29-03-21,39.0,38.3,39.0,38.0,66100
30-03-21,38.0,38.1,39.0,37.9,44200
31-03-21,37.5,38.7,38.85,37.0,28400
01-04-21,38.6,38.0,39.0,38.0,34900
02-04-21,38.0,37.5,39.0,37.5,28400
05-04-21,37.6,37.55,38.0,37.5,41600
06-04-21,38.0,38.5,38.5,38.0,44000
07-04-21,38.5,41.15,41.15,38.1,98900
08-04-21,44.0,44.0,44.0,43.9,65400
09-04-21,44.55,47.05,47.05,44.55,54900
12-04-21,45.0,50.3,50.3,45.0,71500
13-04-21,51.0,49.9,51.0,48.0,35800
14-04-21,49.9,48.3,49.9,48.3,58000
15-04-21,47.1,44.95,47.5,44.95,104700
16-04-21,41.85,41.85,41.85,41.85,50500
19-04-21,38.95,38.95,38.95,38.95,32100
20-04-21,36.25,36.25,36.25,36.25,33000
22-04-21,33.75,33.75,37.9,33.75,169400
23-04-21,32.5,35.5,36.1,31.4,153600
26-04-21,36.5,33.5,36.5,33.05,62300
27-04-21,31.5,31.6,32.5,31.2,32800
