Date,Open,Close,High,Low,Volume
16-11-20,16.2,15.8,16.2,15.7,2986970
17-11-20,15.85,15.85,16.15,15.6,3168470
18-11-20,15.95,16.2,16.2,15.8,3795020
19-11-20,16.35,17.25,17.3,16.1,7067060
20-11-20,17.3,17.5,17.5,17.05,4357340
23-11-20,17.55,17.45,17.7,17.35,3421450
24-11-20,17.45,18.45,18.45,17.4,6761380
25-11-20,18.6,18.4,18.6,18.05,3461010
26-11-20,18.5,17.85,18.5,17.85,3160950
27-11-20,17.8,18.35,18.4,17.55,4849500
30-11-20,18.15,18.05,18.4,18.05,3154740
01-12-20,17.8,18.5,18.5,17.65,4886230
02-12-20,18.45,19.0,19.2,18.45,5853660
03-12-20,19.0,18.95,19.2,18.85,3353140
04-12-20,19.0,19.2,19.7,18.65,4559540
07-12-20,19.4,19.1,19.5,19.0,3294030
08-12-20,19.0,19.05,19.25,18.9,2930860
09-12-20,19.1,19.1,19.25,18.9,3661190
10-12-20,19.1,18.55,19.2,18.55,3447240
11-12-20,18.55,18.8,18.9,18.4,3208190
14-12-20,18.8,19.8,20.05,18.8,4736580
15-12-20,19.8,19.6,19.9,19.55,3241630
16-12-20,19.7,19.8,20.0,19.55,4051590
17-12-20,20.0,19.8,20.2,19.45,4304100
18-12-20,20.0,19.8,20.05,19.8,3567020
21-12-20,20.15,20.8,20.95,20.15,4862580
22-12-20,21.0,21.5,21.75,20.7,4109180
23-12-20,21.5,21.2,21.8,20.95,3081530
24-12-20,21.2,20.5,21.3,19.75,2449550
25-12-20,20.5,20.9,21.05,19.8,3936960
28-12-20,21.0,20.95,21.15,20.65,4682940
29-12-20,20.95,20.95,21.3,20.75,4638540
30-12-20,21.0,20.85,21.0,20.7,3114090
31-12-20,20.95,20.95,20.95,20.65,3486570
04-01-21,21.2,20.95,21.2,20.9,3671100
05-01-21,20.95,21.35,22.0,20.9,6889000
06-01-21,21.85,21.25,21.85,21.0,3605000
07-01-21,21.3,21.25,21.35,21.0,3081100
08-01-21,21.2,21.8,21.8,21.0,6506600
11-01-21,22.05,22.85,22.85,21.8,8946700
12-01-21,23.0,22.85,23.1,22.6,4117400
13-01-21,23.15,22.55,23.15,22.5,3418000
14-01-21,22.55,22.85,22.95,22.2,4803800
15-01-21,23.3,23.8,23.9,23.3,7790100
18-01-21,24.0,25.0,25.3,23.8,9086000
19-01-21,25.3,24.0,25.3,23.25,5533700
20-01-21,23.8,23.4,24.0,22.35,4344500
21-01-21,24.0,24.0,24.2,23.1,5934600
22-01-21,24.1,23.85,24.4,23.5,4219200
25-01-21,23.55,22.4,23.6,22.4,4866200
26-01-21,22.0,21.2,22.2,20.85,5080600
27-01-21,20.1,19.75,21.0,19.75,3584600
28-01-21,18.4,18.4,18.55,18.4,2100600
29-01-21,17.15,18.0,18.8,17.15,5547500
01-02-21,18.0,16.8,18.5,16.8,2714400
02-02-21,16.8,17.95,17.95,16.0,2567500
03-02-21,18.4,19.2,19.2,17.95,4687800
04-02-21,19.2,19.2,19.4,18.8,3067300
05-02-21,19.1,20.5,20.5,18.9,4494200
08-02-21,21.4,20.55,21.6,19.5,5003000
09-02-21,20.7,21.9,21.95,20.5,5348500
17-02-21,23.4,23.35,23.4,22.9,5312700
18-02-21,23.35,23.35,23.8,22.5,3832800
19-02-21,23.0,22.85,23.3,22.55,3947000
22-02-21,22.85,22.0,23.0,21.5,4813400
23-02-21,22.8,22.5,22.8,22.0,4022600
24-02-21,22.6,22.35,22.8,21.55,3079100
25-02-21,22.3,21.95,22.3,21.7,2652700
26-02-21,21.1,21.7,21.9,21.0,3412700
01-03-21,22.0,22.9,22.9,21.6,5679500
02-03-21,23.0,22.9,23.15,22.5,3497300
03-03-21,22.7,22.9,23.0,22.55,3212300
04-03-21,22.8,22.5,22.9,21.5,3325200
05-03-21,22.0,22.45,22.5,21.6,3283300
08-03-21,22.5,22.3,22.7,21.9,3824900
09-03-21,22.0,22.6,22.6,21.65,4088500
10-03-21,22.6,22.6,22.7,22.15,3411500
11-03-21,22.7,22.7,22.7,22.3,4614000
12-03-21,22.7,23.8,23.9,22.7,13267400
15-03-21,23.9,23.8,24.15,23.45,3897600
16-03-21,23.8,23.7,23.8,23.1,3157600
17-03-21,23.5,23.5,23.5,23.15,3824100
18-03-21,23.6,23.5,23.6,23.1,4330500
19-03-21,23.1,23.0,23.4,22.9,5453700
22-03-21,23.0,23.5,23.5,22.9,5126300
23-03-21,23.4,23.3,23.45,22.8,2861700
24-03-21,22.7,22.7,23.0,21.7,3544700
25-03-21,22.7,22.15,22.7,21.5,3318700
26-03-21,21.5,22.0,22.0,20.6,4903900
29-03-21,21.8,22.05,22.45,21.7,3575300
30-03-21,22.05,22.2,22.35,21.95,2455100
31-03-21,22.05,22.4,22.45,21.9,3792400
01-04-21,22.4,22.9,22.9,22.05,3398900
02-04-21,23.0,22.9,23.0,22.4,3114700
05-04-21,23.1,22.7,23.1,22.5,2575000
06-04-21,22.5,22.5,22.6,22.2,2049100
07-04-21,22.4,22.7,22.7,22.1,3065200
08-04-21,22.7,22.65,22.8,22.4,1851800
09-04-21,22.55,22.7,22.7,22.35,3497800
12-04-21,22.7,22.5,22.7,22.35,4289700
13-04-21,22.55,22.25,22.55,22.0,3577800
14-04-21,22.0,22.25,22.3,21.8,3184800
15-04-21,22.4,22.0,22.4,21.8,2816800
16-04-21,21.75,22.0,22.1,21.1,2572700
19-04-21,22.1,21.6,22.45,21.5,2105600
20-04-21,21.65,21.15,21.9,21.1,3120200
22-04-21,21.0,19.7,21.0,19.7,3987200
23-04-21,19.7,20.4,20.5,19.65,3578600
26-04-21,21.0,20.55,21.45,20.3,2403600
27-04-21,20.8,20.25,20.9,20.25,1780600
28-04-21,20.3,20.45,20.8,20.25,1963000
29-04-21,20.45,20.0,20.65,20.0,2516300
04-05-21,19.6,19.75,19.9,19.4,3163800
05-05-21,20.05,19.95,20.4,19.8,2640000
06-05-21,20.05,19.85,20.35,19.85,2650200
07-05-21,19.8,19.35,19.85,19.35,2590600
10-05-21,19.35,19.05,19.35,18.95,2766300
11-05-21,19.05,20.15,20.35,19.0,4283900
12-05-21,20.2,21.45,21.45,20.2,4295900
13-05-21,21.1,20.75,21.45,20.75,3386200
14-05-21,20.65,20.2,20.85,20.15,3159500
17-05-21,20.0,19.6,20.15,19.6,2053300
18-05-21,19.65,19.9,20.15,19.6,1889100
19-05-21,19.6,19.65,19.8,19.4,2038800
20-05-21,19.65,19.3,19.65,19.0,2141100
21-05-21,19.4,19.9,20.1,19.1,2208800
24-05-21,20.25,19.95,20.3,19.8,1737000
25-05-21,19.8,19.7,19.9,19.5,1747700
26-05-21,19.5,19.35,19.8,19.1,2714500
27-05-21,19.45,19.1,19.5,19.1,1672600
28-05-21,19.3,19.7,19.7,19.1,2062400
31-05-21,19.5,19.9,19.9,19.25,2411300
01-06-21,19.95,19.6,19.95,19.6,1120300
02-06-21,19.6,19.9,20.0,19.45,2548400
03-06-21,20.05,21.2,21.25,20.05,5155900
04-06-21,21.5,20.9,21.65,20.6,2394000
07-06-21,21.0,20.9,21.3,20.65,3190000
08-06-21,20.9,21.2,21.95,20.9,4842800
