Date,Open,Close,High,Low,Volume
16-11-20,25.0,25.0,25.0,25.0,610
17-11-20,24.9,24.8,24.9,24.8,90
18-11-20,24.8,24.8,24.8,24.8,20
19-11-20,24.7,24.7,24.75,24.7,70
20-11-20,24.95,25.0,25.0,24.8,21760
23-11-20,25.0,25.0,25.0,25.0,40
24-11-20,24.9,25.0,25.0,24.2,9300
25-11-20,24.8,24.5,24.8,24.0,2960
26-11-20,24.2,24.8,24.8,24.2,1230
27-11-20,24.8,24.8,24.8,24.8,0
30-11-20,24.5,24.5,24.5,23.8,5670
01-12-20,24.4,24.5,24.5,23.8,2220
02-12-20,24.4,24.4,24.4,24.4,170
03-12-20,24.4,24.4,24.4,24.4,270
04-12-20,24.0,23.5,24.35,23.5,11390
07-12-20,24.45,24.4,24.45,24.4,270
08-12-20,24.5,24.4,24.5,24.4,40
09-12-20,24.4,24.4,24.4,24.4,40
10-12-20,24.4,23.65,24.4,23.6,6500
11-12-20,23.65,23.65,24.4,23.65,5810
14-12-20,24.7,24.5,24.7,24.5,300
15-12-20,24.1,24.1,24.1,24.0,3450
16-12-20,24.0,24.0,24.1,23.8,11420
17-12-20,23.9,24.0,24.75,23.8,8910
18-12-20,23.7,23.9,24.0,23.7,4030
21-12-20,24.5,24.0,24.5,23.75,13050
22-12-20,24.0,24.0,24.0,23.8,1420
23-12-20,23.8,24.0,24.0,23.75,10150
24-12-20,24.1,23.5,24.1,23.5,10200
25-12-20,23.8,24.0,25.0,23.6,1900
28-12-20,24.0,24.0,24.0,23.7,1760
29-12-20,24.0,24.0,24.4,23.5,11120
30-12-20,24.0,23.9,24.0,23.85,7170
31-12-20,24.0,23.8,24.0,23.7,3630
04-01-21,23.8,23.8,23.8,23.8,4700
05-01-21,24.0,23.35,24.0,23.35,17600
06-01-21,23.35,23.8,23.8,23.1,1000
07-01-21,23.55,23.5,23.55,23.5,3100
08-01-21,23.2,23.5,23.8,23.0,34600
11-01-21,23.8,23.7,23.8,23.6,11800
12-01-21,23.85,23.8,23.85,23.8,400
13-01-21,23.8,23.9,24.0,23.5,5700
14-01-21,23.5,23.9,23.9,23.5,2300
15-01-21,23.5,23.5,23.6,23.5,1900
18-01-21,23.5,23.5,23.5,23.5,2500
19-01-21,23.2,23.3,23.4,23.2,3700
20-01-21,23.8,23.2,23.9,23.2,1000
21-01-21,23.2,23.5,23.5,23.0,9600
22-01-21,23.7,23.5,23.9,23.5,36600
25-01-21,23.8,23.9,24.0,23.8,12200
26-01-21,23.5,23.0,23.5,23.0,1400
27-01-21,23.1,22.8,23.1,22.8,7700
28-01-21,22.4,21.3,23.4,21.25,5900
29-01-21,22.75,22.75,22.75,22.75,3100
01-02-21,23.0,21.35,24.3,21.35,2200
02-02-21,21.55,22.8,22.8,21.35,3500
03-02-21,24.15,24.25,24.25,24.1,5000
04-02-21,24.0,24.2,24.2,24.0,5800
05-02-21,24.2,24.2,24.2,24.2,4000
08-02-21,24.15,24.15,24.25,24.0,18700
09-02-21,24.1,24.9,25.4,24.1,5800
17-02-21,24.9,25.0,25.0,24.5,4400
18-02-21,24.0,24.0,24.0,24.0,10000
19-02-21,24.0,24.0,24.0,24.0,0
22-02-21,24.0,24.0,24.0,23.9,15200
23-02-21,24.0,24.0,24.0,24.0,500
24-02-21,24.0,24.0,24.0,24.0,0
25-02-21,23.1,23.9,23.9,23.1,600
26-02-21,23.1,24.0,24.0,23.0,25100
01-03-21,24.0,23.2,24.0,23.1,6600
02-03-21,23.8,23.2,23.8,23.2,3600
03-03-21,22.6,23.5,24.0,22.6,8000
04-03-21,24.0,24.1,24.5,23.3,4000
05-03-21,24.1,24.1,24.1,24.1,0
08-03-21,23.95,24.0,24.0,23.95,2700
09-03-21,23.8,23.8,23.8,23.8,1600
10-03-21,23.9,23.9,23.9,23.9,1000
11-03-21,24.4,24.0,24.4,24.0,300
12-03-21,24.0,24.0,24.0,23.7,5900
