Date,Open,Close,High,Low,Volume
16-11-20,6.5,6.72,6.8,6.5,4679680
17-11-20,6.78,6.73,6.83,6.7,2039350
18-11-20,6.73,6.73,6.82,6.68,2042650
19-11-20,6.74,6.75,6.83,6.7,3155860
20-11-20,6.75,7.06,7.19,6.75,6908090
23-11-20,7.1,7.15,7.25,7.04,3869030
24-11-20,7.15,7.0,7.16,6.96,3131060
25-11-20,7.05,6.98,7.11,6.98,2959970
26-11-20,7.0,7.05,7.1,7.0,2814460
27-11-20,7.12,7.07,7.17,7.07,2708040
30-11-20,7.07,7.14,7.37,7.07,5291350
01-12-20,7.11,7.25,7.25,7.0,4979530
02-12-20,7.28,7.2,7.4,7.2,3786600
03-12-20,7.21,7.15,7.23,7.13,3543590
04-12-20,7.2,7.17,7.26,7.15,4575920
07-12-20,7.23,7.25,7.43,7.23,4376100
08-12-20,7.25,7.17,7.32,7.16,3274280
09-12-20,7.17,7.1,7.24,7.1,3806420
10-12-20,7.11,7.0,7.22,7.0,4815480
11-12-20,7.12,7.07,7.15,6.95,2063890
14-12-20,7.08,7.25,7.3,7.04,5590590
15-12-20,7.19,7.43,7.65,7.18,9278340
16-12-20,7.5,7.84,7.92,7.5,8615990
17-12-20,7.8,7.72,7.89,7.6,6215560
18-12-20,7.73,7.7,7.85,7.63,6778810
21-12-20,7.75,8.17,8.2,7.72,10286240
22-12-20,8.15,8.47,8.47,8.05,9557550
23-12-20,8.6,7.92,8.67,7.92,6911940
24-12-20,8.2,8.0,8.25,7.5,7954920
25-12-20,8.01,8.42,8.5,7.85,8817500
28-12-20,8.8,8.96,9.0,8.65,12305480
29-12-20,9.0,9.36,9.55,8.86,7347030
30-12-20,9.36,9.08,9.48,9.07,5781330
31-12-20,9.05,9.11,9.29,9.0,5083070
04-01-21,9.3,9.21,9.7,9.12,6008700
05-01-21,9.2,9.1,9.35,9.1,5931900
06-01-21,9.3,9.1,9.3,9.08,6357200
07-01-21,9.2,9.29,9.38,9.05,6912600
08-01-21,9.3,9.48,9.59,9.28,8677100
11-01-21,9.5,9.78,9.9,9.4,7146300
12-01-21,9.9,9.65,9.92,9.65,6023200
13-01-21,9.65,9.3,9.75,9.3,7124000
14-01-21,9.35,9.27,9.39,9.1,5994300
15-01-21,9.35,9.56,9.6,9.25,6607000
18-01-21,9.6,9.5,9.8,9.5,6532300
19-01-21,9.5,8.84,9.58,8.84,5429200
20-01-21,8.95,8.35,9.0,8.23,5590100
21-01-21,8.6,8.88,8.88,8.42,4198900
22-01-21,9.0,9.1,9.35,9.0,6033100
25-01-21,9.1,9.3,9.53,9.1,9753700
26-01-21,9.35,9.15,9.39,8.81,5416500
27-01-21,9.1,8.6,9.25,8.54,4570600
28-01-21,8.0,8.0,8.4,8.0,5439700
29-01-21,7.5,8.1,8.3,7.5,4781000
01-02-21,8.0,7.54,8.08,7.54,5828600
02-02-21,7.4,7.59,7.59,7.15,4645600
03-02-21,7.6,8.04,8.1,7.58,3966300
04-02-21,8.0,7.93,8.2,7.8,2317500
05-02-21,8.0,8.3,8.3,7.9,3341000
08-02-21,8.3,7.8,8.4,7.75,2701100
09-02-21,7.8,8.17,8.18,7.8,2462600
17-02-21,8.28,8.6,8.62,8.18,3542200
18-02-21,8.61,8.56,8.82,8.5,3292200
19-02-21,8.5,8.51,8.67,8.48,3034200
22-02-21,8.52,8.41,8.69,8.41,3820800
23-02-21,8.53,8.45,8.53,8.42,3009600
24-02-21,8.45,8.25,8.55,8.25,2594200
25-02-21,8.4,8.19,8.4,8.19,2536500
26-02-21,8.01,8.19,8.2,8.01,2885400
01-03-21,8.3,8.3,8.5,8.18,3156100
02-03-21,8.4,8.31,8.45,8.3,1607300
03-03-21,8.32,8.89,8.89,8.3,7645900
04-03-21,9.0,8.9,9.34,8.5,10019400
