Date,Open,Close,High,Low,Volume
16-11-20,25.2,25.0,25.7,25.0,1150
17-11-20,25.6,25.35,25.6,24.6,7730
18-11-20,25.0,25.0,25.4,24.9,4690
19-11-20,24.5,25.1,25.4,24.5,1630
20-11-20,24.9,25.0,25.0,24.5,6290
23-11-20,25.5,25.4,25.5,25.0,5270
24-11-20,24.65,25.1,25.35,24.65,13760
25-11-20,24.75,25.4,25.4,24.75,2670
26-11-20,25.45,25.5,25.5,25.05,7640
27-11-20,25.4,25.75,25.9,25.4,4150
30-11-20,25.5,27.55,27.55,25.5,19940
01-12-20,28.0,29.45,29.45,28.0,22270
02-12-20,31.0,31.5,31.5,31.0,19490
03-12-20,32.0,31.0,33.0,31.0,22420
04-12-20,30.2,30.9,31.4,29.9,13980
07-12-20,30.0,30.5,30.85,29.9,8340
08-12-20,29.75,30.6,30.65,29.75,3900
09-12-20,30.4,31.5,31.7,30.4,14730
10-12-20,31.0,31.65,31.85,31.0,9520
11-12-20,31.1,30.6,31.7,30.1,18490
14-12-20,30.5,30.5,30.9,30.1,10170
15-12-20,30.5,30.7,31.5,30.5,10670
16-12-20,31.0,31.85,32.0,30.6,28830
17-12-20,32.0,31.0,32.0,31.0,13490
18-12-20,31.5,32.0,32.0,30.4,117700
21-12-20,32.65,34.2,34.2,32.5,34640
22-12-20,35.0,34.4,35.0,34.2,7010
23-12-20,34.4,33.9,34.4,33.8,2520
24-12-20,33.9,32.7,33.9,31.65,14480
25-12-20,31.55,31.7,32.8,31.55,16850
28-12-20,32.8,31.8,32.8,31.7,4580
29-12-20,31.6,31.2,32.35,31.0,9270
30-12-20,31.7,31.8,32.45,31.2,27860
31-12-20,31.1,31.9,32.55,31.1,6290
04-01-21,31.9,32.45,32.45,31.05,17700
05-01-21,31.25,31.5,32.35,31.25,5800
06-01-21,33.2,32.45,33.2,31.1,17500
07-01-21,32.45,32.5,32.5,31.5,25500
08-01-21,32.2,32.1,32.2,31.6,24900
11-01-21,32.1,32.0,32.1,31.8,7900
12-01-21,32.0,34.0,34.0,31.5,38200
13-01-21,36.0,36.35,36.35,36.0,40900
14-01-21,38.5,38.85,38.85,37.5,65400
15-01-21,38.85,38.0,39.0,38.0,41200
18-01-21,38.3,38.7,38.8,38.1,14400
19-01-21,40.0,37.0,40.0,36.0,31100
