Date,Open,Close,High,Low,Volume
16-11-20,69.5,68.5,69.5,68.4,12510
17-11-20,68.5,68.0,68.9,68.0,16320
18-11-20,68.0,68.6,68.8,68.0,6180
19-11-20,68.8,68.8,68.8,68.2,2930
20-11-20,68.8,68.8,68.8,68.7,5150
23-11-20,68.8,69.2,69.5,68.8,42270
24-11-20,70.0,69.5,70.0,69.1,23200
25-11-20,70.0,69.6,70.5,69.5,33970
26-11-20,69.5,69.6,69.6,69.5,22620
27-11-20,69.6,70.0,70.0,69.5,25430
30-11-20,70.0,69.8,70.5,69.8,7970
01-12-20,69.6,69.8,69.8,69.0,21940
02-12-20,69.5,69.5,69.6,69.3,18980
03-12-20,69.4,69.6,69.6,69.3,14940
04-12-20,69.6,69.4,69.6,69.4,13580
07-12-20,69.4,69.4,69.6,69.3,18980
08-12-20,69.4,69.7,69.7,69.4,5500
09-12-20,70.0,69.6,70.0,69.5,15310
10-12-20,69.6,69.6,69.9,69.6,6250
11-12-20,69.6,69.7,70.0,69.6,5260
14-12-20,70.0,70.8,71.0,69.7,15400
15-12-20,70.7,70.1,70.7,70.1,26230
16-12-20,70.1,70.3,70.9,70.1,7410
17-12-20,71.0,70.5,71.0,70.2,9320
18-12-20,70.3,70.6,70.6,70.3,9530
21-12-20,70.6,70.9,70.9,70.3,8450
22-12-20,70.5,70.3,70.5,70.3,9060
23-12-20,70.3,70.5,70.9,70.3,6660
24-12-20,70.5,70.2,70.5,70.1,16320
25-12-20,70.2,70.2,70.4,70.1,5950
28-12-20,70.2,70.2,70.5,70.1,14940
29-12-20,70.2,70.4,71.5,70.2,2980
30-12-20,70.4,70.5,70.5,70.2,4890
31-12-20,70.4,70.5,70.5,70.2,8350
04-01-21,70.5,70.5,70.5,70.4,4500
05-01-21,70.5,70.6,70.6,70.4,9600
06-01-21,70.5,71.0,71.0,70.5,8800
07-01-21,71.0,71.3,71.4,71.0,2400
08-01-21,70.7,71.0,71.5,70.7,15700
11-01-21,71.0,71.2,71.2,71.0,9300
12-01-21,71.2,71.7,71.7,71.2,4700
13-01-21,71.5,72.1,72.5,71.5,12100
14-01-21,73.0,73.3,73.4,73.0,7600
15-01-21,73.3,73.0,73.4,73.0,2500
18-01-21,72.0,72.5,72.5,71.3,3000
19-01-21,72.3,70.0,72.5,69.0,4300
20-01-21,71.5,70.0,71.5,69.0,6600
21-01-21,70.0,70.0,71.5,69.8,17000
22-01-21,69.9,69.5,70.0,69.0,5300
25-01-21,69.5,72.0,72.0,69.4,4500
26-01-21,72.0,70.0,72.0,69.7,800
27-01-21,70.0,68.0,71.0,68.0,3500
28-01-21,66.5,63.3,67.0,63.3,40000
29-01-21,63.5,66.8,67.0,63.5,1900
01-02-21,67.0,67.0,67.0,67.0,2400
02-02-21,63.2,67.0,67.0,63.2,1500
03-02-21,67.0,68.6,68.8,66.0,2700
04-02-21,68.5,68.5,68.5,66.6,4800
05-02-21,68.0,68.5,68.5,67.5,1200
08-02-21,68.5,68.0,68.5,66.5,2700
09-02-21,66.5,69.0,69.0,66.5,2900
17-02-21,69.0,69.0,70.5,69.0,2600
18-02-21,69.8,69.5,69.8,68.5,2800
19-02-21,68.1,69.0,69.0,68.1,2600
22-02-21,69.0,69.0,70.0,69.0,7800
23-02-21,69.0,68.7,69.0,68.5,2800
24-02-21,68.9,68.6,69.1,68.6,9300
25-02-21,69.5,69.0,69.9,68.7,1200
26-02-21,69.0,69.0,69.0,68.0,4900
01-03-21,70.0,69.8,70.0,69.0,14900
02-03-21,69.0,70.0,70.0,69.0,14100
03-03-21,70.0,69.5,72.0,69.3,20100
04-03-21,70.0,70.0,70.0,69.5,8100
05-03-21,70.0,70.0,70.1,69.5,26400
08-03-21,70.0,69.5,70.0,69.4,63000
09-03-21,69.6,69.5,69.6,69.5,11800
10-03-21,70.0,69.5,70.0,68.2,9300
11-03-21,71.0,69.5,71.0,69.5,3600
12-03-21,69.6,70.0,70.0,69.6,3700
15-03-21,70.0,70.0,70.0,69.6,3200
16-03-21,69.6,69.5,69.8,69.5,5300
17-03-21,69.3,69.9,69.9,69.3,1000
18-03-21,69.6,69.8,70.0,69.6,4200
19-03-21,69.8,69.7,69.8,69.7,4300
22-03-21,70.0,69.9,70.0,69.5,6500
23-03-21,70.0,69.9,70.0,69.0,14200
24-03-21,69.5,69.9,69.9,69.4,10600
25-03-21,69.9,69.6,69.9,69.5,8600
26-03-21,69.1,69.3,69.6,69.0,29200
29-03-21,69.3,70.0,70.0,69.3,43400
30-03-21,70.0,70.0,70.3,70.0,42300
31-03-21,70.0,69.8,70.1,69.8,21000
01-04-21,70.0,70.8,70.8,70.0,42300
02-04-21,70.8,70.9,70.9,70.7,2900
05-04-21,70.9,70.3,70.9,70.0,19900
06-04-21,70.0,70.1,70.3,70.0,5900
07-04-21,70.1,70.4,70.8,70.1,5900
08-04-21,70.5,70.4,70.5,70.2,9500
09-04-21,70.4,70.5,70.5,70.1,17100
12-04-21,70.5,70.4,70.6,70.1,13600
13-04-21,70.6,70.6,70.6,70.4,14500
14-04-21,70.6,70.3,70.6,69.6,31100
15-04-21,70.2,70.0,70.5,70.0,9100
16-04-21,69.9,69.1,70.3,69.1,2900
19-04-21,69.5,70.3,70.3,69.2,8400
20-04-21,70.3,70.3,70.4,70.2,40500
22-04-21,70.4,70.0,70.4,70.0,7000
23-04-21,70.0,69.9,70.0,69.6,2600
26-04-21,69.9,69.6,69.9,69.6,1200
27-04-21,69.8,69.7,69.8,69.5,1300
28-04-21,69.8,69.7,69.9,69.6,4000
29-04-21,69.6,69.6,69.6,68.5,3700
04-05-21,69.6,69.5,69.6,68.5,1600
05-05-21,69.5,69.5,69.5,69.2,2200
06-05-21,69.3,69.2,69.3,69.2,6300
07-05-21,69.2,69.0,69.2,68.8,8100
10-05-21,68.2,68.0,68.2,68.0,8100
11-05-21,68.0,68.0,68.2,67.5,2000
12-05-21,68.2,68.0,68.2,67.5,9800
13-05-21,67.9,67.9,67.9,67.4,1600
14-05-21,68.0,67.2,68.0,67.0,4700
17-05-21,67.2,67.4,67.9,67.2,500
18-05-21,67.4,67.0,67.6,67.0,800
19-05-21,67.0,67.0,67.5,63.0,28300
20-05-21,67.0,66.2,67.0,65.0,23500
21-05-21,66.2,66.2,66.4,66.0,5500
24-05-21,66.2,66.4,66.4,66.0,11300
25-05-21,66.4,66.3,66.4,66.0,8400
26-05-21,66.3,66.1,66.3,66.0,3300
27-05-21,66.0,65.9,66.0,65.9,3800
28-05-21,65.9,65.9,65.9,65.4,9700
31-05-21,65.8,65.5,65.8,64.9,5200
01-06-21,65.5,65.4,65.5,65.0,5800
02-06-21,65.2,65.4,65.4,65.1,7900
03-06-21,65.4,69.7,69.8,65.3,30700
04-06-21,67.1,69.3,69.7,67.0,4800
07-06-21,68.9,69.3,69.3,68.8,13800
08-06-21,69.2,69.0,69.2,69.0,400
09-06-21,69.0,69.1,69.1,67.6,4600
10-06-21,69.0,69.0,69.0,67.5,6900
11-06-21,68.2,69.0,69.0,68.1,13100
14-06-21,68.5,68.9,68.9,68.1,800
15-06-21,68.9,68.1,68.9,68.1,2100
16-06-21,68.7,68.8,68.9,68.4,4900
17-06-21,68.8,68.8,68.9,68.7,5900
18-06-21,68.8,68.8,68.8,68.4,2000
21-06-21,68.8,69.0,69.6,68.3,16200
22-06-21,69.4,69.3,69.4,69.0,2700
23-06-21,69.4,69.5,69.9,69.0,10000
24-06-21,68.5,69.4,69.4,68.5,500
25-06-21,68.9,69.4,69.4,68.7,3000
28-06-21,68.6,69.3,69.4,68.6,15900
29-06-21,69.3,69.3,69.4,69.0,27000
30-06-21,69.3,69.0,69.3,69.0,6800
01-07-21,69.2,69.0,69.2,68.6,1400
02-07-21,69.0,69.3,69.3,68.6,7500
05-07-21,68.1,69.3,69.3,68.1,10600
06-07-21,69.3,69.3,69.3,69.0,8800
07-07-21,69.3,69.0,69.3,68.5,2000
08-07-21,69.0,69.0,69.3,68.6,10200
09-07-21,69.0,68.7,69.2,68.7,1800
