Date,Open,Close,High,Low,Volume
16-11-20,17.8,17.5,17.9,17.5,11860
17-11-20,17.5,17.8,18.0,17.5,14430
18-11-20,18.0,18.0,18.0,17.5,39600
19-11-20,18.0,17.7,18.1,17.7,26360
20-11-20,17.6,18.0,18.0,17.5,3920
23-11-20,18.0,17.8,18.0,17.5,16510
24-11-20,17.8,17.8,17.9,17.5,7700
25-11-20,17.85,17.5,17.85,17.5,2700
26-11-20,17.9,17.5,17.9,17.5,5180
27-11-20,18.0,17.8,18.2,17.8,44690
30-11-20,18.0,18.0,18.1,17.7,44460
01-12-20,18.3,18.3,18.3,17.9,13050
02-12-20,18.2,18.3,18.3,18.0,23490
03-12-20,18.0,19.55,19.55,18.0,70490
04-12-20,20.45,20.2,20.5,19.55,26720
07-12-20,20.2,20.6,21.1,20.2,55390
08-12-20,20.6,19.8,20.75,19.7,45650
09-12-20,20.2,20.1,20.5,20.0,22090
10-12-20,20.1,20.0,20.1,19.75,27580
11-12-20,19.8,20.5,20.5,19.75,16980
14-12-20,20.5,20.3,20.5,19.95,41640
15-12-20,20.0,20.0,20.2,20.0,22800
16-12-20,20.0,19.8,20.0,19.8,37220
17-12-20,19.9,20.3,21.0,19.9,67160
18-12-20,20.0,20.1,20.3,20.0,16910
21-12-20,20.2,20.5,20.5,20.1,19110
22-12-20,20.3,20.5,20.6,19.7,16510
23-12-20,20.5,20.2,20.6,20.0,30570
24-12-20,20.2,19.7,20.2,19.3,30590
25-12-20,19.7,20.0,20.5,19.7,21500
28-12-20,19.9,19.9,20.0,19.8,10380
29-12-20,19.7,19.9,20.1,19.7,15380
30-12-20,19.9,20.2,20.4,19.9,5080
31-12-20,19.9,20.2,20.5,19.8,8480
04-01-21,20.3,20.8,21.6,20.15,50300
05-01-21,20.8,20.5,20.8,20.5,19300
06-01-21,20.5,20.4,20.5,20.3,16300
07-01-21,20.4,20.35,20.4,20.0,17500
08-01-21,20.1,20.35,20.8,20.1,34800
11-01-21,20.35,20.3,20.35,20.0,53700
12-01-21,20.35,20.5,20.7,20.0,41500
13-01-21,20.5,20.2,20.6,20.2,45400
14-01-21,20.4,21.6,21.6,20.4,125500
15-01-21,23.0,23.0,23.1,22.8,180800
18-01-21,23.5,23.6,23.8,23.5,100600
19-01-21,23.0,21.95,23.0,21.95,69900
20-01-21,21.85,20.8,21.9,20.45,36000
21-01-21,20.8,22.0,22.0,20.8,39600
22-01-21,22.0,21.7,22.9,21.1,22400
25-01-21,21.7,21.45,21.7,20.5,105300
26-01-21,21.45,20.65,21.45,20.5,22700
27-01-21,20.5,20.5,21.5,20.5,39200
28-01-21,20.1,19.1,20.5,19.1,32200
29-01-21,17.8,19.9,20.1,17.8,46500
01-02-21,19.9,18.6,20.0,18.6,43300
02-02-21,18.6,19.0,19.0,18.4,10700
03-02-21,19.0,19.5,19.5,19.0,18500
04-02-21,19.5,19.2,19.5,19.1,16600
05-02-21,19.2,19.4,19.5,19.1,20200
08-02-21,20.0,19.4,20.4,19.3,84600
09-02-21,19.4,20.7,20.75,19.4,40900
17-02-21,21.8,21.7,21.8,21.15,59000
18-02-21,22.6,22.2,22.6,22.0,67400
19-02-21,22.2,23.7,23.75,22.2,162200
22-02-21,25.35,24.8,25.35,24.1,158400
23-02-21,24.8,25.7,26.3,24.8,74900
24-02-21,26.0,24.95,26.0,24.5,59000
25-02-21,25.55,24.6,25.55,23.25,63300
26-02-21,25.0,25.0,25.0,23.8,46000
01-03-21,25.5,25.2,26.0,25.0,87500
02-03-21,26.4,26.1,26.4,25.1,68000
03-03-21,26.4,25.5,26.4,25.5,36300
04-03-21,25.4,25.1,26.0,25.0,25200
05-03-21,25.0,25.3,25.5,24.5,32600
08-03-21,24.5,26.0,26.1,24.5,69900
09-03-21,26.0,27.8,27.8,25.6,168000
10-03-21,29.7,29.7,29.7,29.7,57400
11-03-21,31.75,31.75,31.75,31.75,29300
12-03-21,33.95,33.8,33.95,29.55,246200
15-03-21,36.0,36.15,36.15,36.0,115100
16-03-21,38.65,38.65,38.65,38.0,75700
17-03-21,41.35,41.35,41.35,41.1,64800
18-03-21,44.15,44.2,44.2,44.0,203200
19-03-21,44.0,41.15,44.0,41.15,307900
22-03-21,38.3,38.3,38.3,38.3,23400
23-03-21,35.65,35.65,35.65,35.65,13800
24-03-21,33.2,33.2,33.2,33.2,28500
25-03-21,30.9,35.5,35.5,30.9,413100
26-03-21,35.5,37.95,37.95,35.5,137000
29-03-21,39.95,38.5,40.5,37.1,105800
30-03-21,36.95,36.5,37.1,36.1,100100
31-03-21,36.5,37.3,38.0,34.5,41700
01-04-21,35.6,35.75,37.0,35.6,57600
02-04-21,36.5,35.7,36.9,35.5,71000
05-04-21,35.7,35.25,36.05,35.0,52000
06-04-21,35.25,34.0,35.25,33.5,86900
07-04-21,34.0,33.0,34.0,32.4,106600
08-04-21,32.6,32.7,33.0,32.4,75600
09-04-21,33.0,33.4,33.9,33.0,130300
12-04-21,34.0,33.4,34.0,33.3,144600
13-04-21,33.5,32.4,33.5,31.2,122500
14-04-21,32.4,31.5,32.4,30.3,106100
15-04-21,31.5,30.1,32.0,29.8,141500
16-04-21,29.1,28.6,30.3,28.0,127400
19-04-21,28.6,30.6,30.6,27.0,103100
20-04-21,32.0,31.5,32.6,30.6,123300
22-04-21,31.5,29.5,31.5,29.4,37000
23-04-21,29.0,29.0,29.5,27.6,41900
26-04-21,30.0,27.0,30.0,27.0,68000
27-04-21,27.0,28.1,28.5,27.0,37900
28-04-21,29.0,28.5,29.2,28.3,25100
29-04-21,29.3,29.0,29.3,28.55,24600
04-05-21,27.2,28.4,28.75,27.2,32300
05-05-21,28.1,27.6,29.0,27.55,78300
06-05-21,28.7,27.5,28.7,27.5,34400
07-05-21,27.5,27.05,27.85,27.05,35400
10-05-21,25.65,25.85,26.8,25.65,54900
11-05-21,25.85,26.2,26.9,25.85,26700
12-05-21,26.1,27.4,27.5,26.0,45800
13-05-21,27.35,29.3,29.3,27.1,45900
14-05-21,30.9,29.7,30.9,29.4,44500
17-05-21,29.3,28.6,29.3,27.7,23400
18-05-21,28.6,27.9,28.6,27.0,24700
19-05-21,27.5,26.75,27.5,26.05,83700
20-05-21,26.75,26.65,26.9,26.0,34900
21-05-21,27.0,27.6,27.6,26.05,51000
24-05-21,27.4,27.95,28.0,27.4,24400
25-05-21,27.95,27.9,28.5,27.75,31100
26-05-21,26.65,27.9,28.0,26.6,27000
27-05-21,27.9,27.0,27.9,27.0,30400
28-05-21,27.0,26.7,27.0,26.25,52500
31-05-21,26.7,26.2,26.7,26.0,57000
01-06-21,24.6,25.8,26.0,24.6,33000
02-06-21,25.8,27.6,27.6,25.8,42900
03-06-21,29.4,28.5,29.4,28.0,36700
04-06-21,28.5,27.0,28.5,26.9,39800
07-06-21,27.2,27.1,27.2,26.8,43800
08-06-21,28.5,26.6,28.5,26.3,32700
09-06-21,26.6,26.3,26.9,26.3,21000
10-06-21,27.8,27.0,27.8,26.3,32300
11-06-21,26.0,26.7,27.15,26.0,21300
14-06-21,27.0,26.5,27.5,26.5,35600
15-06-21,26.5,26.3,26.75,26.25,22100
16-06-21,26.1,26.0,26.7,25.5,136000
17-06-21,26.0,26.0,26.5,25.8,41300
18-06-21,26.1,26.1,26.5,25.9,73300
21-06-21,26.1,26.9,27.0,25.7,391800
22-06-21,27.6,26.2,27.6,25.95,269200
23-06-21,26.2,26.2,26.2,25.8,64700
24-06-21,25.8,25.7,26.0,25.6,85300
25-06-21,25.55,24.9,25.6,24.7,141300
