Date,Open,Close,High,Low,Volume
16-11-20,4.2,4.15,4.2,4.15,21740
17-11-20,4.05,4.1,4.17,4.05,19920
18-11-20,4.15,4.1,4.15,4.0,22880
19-11-20,4.12,4.19,4.29,4.1,37500
20-11-20,4.15,4.2,4.2,4.15,7180
23-11-20,4.21,4.2,4.21,4.15,7980
24-11-20,4.2,4.19,4.3,4.1,14570
25-11-20,4.25,4.19,4.25,4.16,12920
26-11-20,4.18,4.18,4.19,4.16,9250
27-11-20,4.15,4.13,4.17,4.13,32920
30-11-20,4.14,4.17,4.17,4.04,10780
01-12-20,4.17,4.14,4.2,4.01,40980
02-12-20,4.14,4.3,4.3,4.1,129650
03-12-20,4.3,4.3,4.3,4.16,33910
04-12-20,4.3,4.3,4.3,4.2,10110
07-12-20,4.2,4.28,4.29,4.19,36810
08-12-20,4.3,4.28,4.3,4.2,22480
09-12-20,4.21,4.28,4.28,4.2,16290
10-12-20,4.26,4.26,4.26,4.26,910
11-12-20,4.21,4.26,4.26,4.16,5860
14-12-20,4.26,4.23,4.26,4.13,61700
15-12-20,4.17,4.2,4.22,4.17,51900
16-12-20,4.2,4.25,4.25,4.2,27510
17-12-20,4.25,4.2,4.25,4.2,25470
18-12-20,4.18,4.25,4.25,4.18,41360
21-12-20,4.25,4.16,4.25,4.16,141030
22-12-20,4.17,4.25,4.25,4.15,53680
23-12-20,4.28,4.25,4.28,4.21,30380
24-12-20,4.25,4.24,4.25,4.16,43540
25-12-20,4.24,4.25,4.25,4.2,35420
28-12-20,4.22,4.29,4.29,4.22,22880
29-12-20,4.25,4.27,4.27,4.21,26900
30-12-20,4.3,4.39,4.49,4.22,109500
31-12-20,4.39,4.39,4.42,4.35,40130
04-01-21,4.4,4.56,4.6,4.4,36800
05-01-21,4.56,4.68,4.87,4.56,600000
06-01-21,4.79,4.74,4.9,4.55,320600
07-01-21,4.78,4.78,4.78,4.5,104900
08-01-21,4.78,4.7,4.78,4.6,64500
11-01-21,4.69,5.02,5.02,4.65,260700
12-01-21,5.02,5.25,5.34,4.88,101100
13-01-21,5.25,5.2,5.25,5.0,132000
14-01-21,5.1,5.18,5.18,4.95,98900
15-01-21,5.18,5.3,5.4,5.1,146100
18-01-21,5.4,5.3,5.4,5.3,75700
19-01-21,5.3,5.2,5.3,4.93,60700
20-01-21,5.1,4.98,5.1,4.84,91000
21-01-21,4.97,5.17,5.3,4.97,99000
22-01-21,5.17,5.11,5.18,5.02,48400
25-01-21,5.15,5.07,5.15,4.8,51800
26-01-21,5.07,4.98,5.07,4.85,48800
27-01-21,4.72,4.7,4.98,4.7,69400
28-01-21,4.4,4.38,4.5,4.38,194900
29-01-21,4.12,4.6,4.6,4.12,16500
01-02-21,4.6,4.35,4.6,4.3,79300
02-02-21,4.5,4.5,4.5,4.25,7600
