Date,Open,Close,High,Low,Volume
16-11-20,8.23,8.2,8.23,8.09,376760
17-11-20,8.2,8.03,8.2,8.03,629420
18-11-20,8.15,8.2,8.2,8.06,654040
19-11-20,8.2,8.3,8.3,8.09,505650
20-11-20,8.3,8.35,8.35,8.11,971840
23-11-20,8.35,8.93,8.93,8.2,1232700
24-11-20,8.75,8.6,8.8,8.6,537230
25-11-20,8.6,8.65,8.65,8.5,795600
26-11-20,8.5,8.9,8.9,8.5,620990
27-11-20,8.6,8.8,8.81,8.6,688460
30-11-20,8.8,8.89,8.89,8.72,788550
01-12-20,8.63,8.8,8.8,8.63,667620
02-12-20,8.7,8.79,8.88,8.7,747730
03-12-20,8.79,8.9,8.9,8.72,377770
04-12-20,8.9,9.0,9.0,8.8,529360
07-12-20,9.0,8.98,9.0,8.8,611690
08-12-20,8.98,9.0,9.0,8.9,407790
09-12-20,9.0,9.0,9.0,8.9,468370
10-12-20,9.0,8.8,9.0,8.75,484770
11-12-20,8.9,8.75,8.9,8.6,665280
14-12-20,8.75,9.0,9.0,8.64,638180
15-12-20,8.9,8.94,8.97,8.86,990380
16-12-20,8.9,8.9,8.9,8.75,463630
17-12-20,8.8,8.9,8.9,8.64,1518480
18-12-20,8.9,8.85,8.9,8.6,662700
21-12-20,8.8,8.79,8.8,8.67,660510
22-12-20,8.79,8.8,8.8,8.67,691730
23-12-20,8.8,8.8,8.91,8.7,885060
24-12-20,8.75,8.7,8.8,8.6,367120
25-12-20,8.65,8.79,8.8,8.65,1424140
28-12-20,8.79,8.7,8.79,8.62,1322060
29-12-20,8.7,8.88,8.88,8.64,730970
30-12-20,8.8,9.2,9.2,8.8,674220
31-12-20,9.05,9.2,9.2,9.0,637310
04-01-21,9.3,9.5,9.5,9.2,863600
05-01-21,9.45,9.42,9.68,9.19,426300
06-01-21,9.3,9.4,9.45,9.22,461300
07-01-21,9.38,9.42,9.45,9.22,580700
08-01-21,9.45,9.4,9.45,9.13,664300
11-01-21,9.4,10.0,10.0,9.25,696700
12-01-21,9.8,9.73,9.8,9.6,1025300
13-01-21,9.7,9.6,9.7,9.5,659000
14-01-21,9.5,9.6,9.65,9.37,858900
15-01-21,9.66,9.6,9.66,9.49,495800
18-01-21,9.74,9.6,9.74,9.5,590900
19-01-21,9.72,9.6,9.72,9.4,501700
20-01-21,9.6,9.7,9.7,9.1,1586500
21-01-21,9.7,9.8,9.8,9.6,717600
22-01-21,9.85,9.8,9.9,9.7,563200
25-01-21,9.8,10.2,10.4,9.7,812300
26-01-21,10.3,10.15,10.3,9.8,699800
27-01-21,10.15,9.98,10.15,9.47,656900
28-01-21,9.4,9.34,9.56,9.29,1145900
29-01-21,9.3,9.8,9.8,8.91,1291100
01-02-21,9.8,9.6,9.8,9.2,614700
02-02-21,9.6,9.59,9.6,9.45,741900
03-02-21,9.59,9.79,9.79,9.5,638700
04-02-21,9.79,9.79,9.79,9.59,582800
05-02-21,9.79,9.8,9.8,9.6,1023400
08-02-21,9.8,9.8,9.8,9.31,757500
09-02-21,9.8,9.8,9.8,9.42,619600
17-02-21,9.8,9.8,9.9,9.8,700500
18-02-21,9.8,10.05,10.4,9.8,415500
19-02-21,10.05,10.35,10.5,10.05,794800
22-02-21,10.4,11.05,11.05,10.35,701100
23-02-21,10.9,11.2,11.5,10.9,570800
24-02-21,11.3,11.0,11.3,10.9,679700
25-02-21,10.95,11.05,11.2,10.95,606100
26-02-21,11.0,10.8,11.05,10.8,680400
01-03-21,10.7,10.8,11.0,10.65,663000
02-03-21,10.8,11.0,11.3,10.8,720800
03-03-21,11.0,11.75,11.75,11.0,496700
04-03-21,12.55,12.5,12.55,12.0,488900
05-03-21,12.2,13.3,13.3,12.2,674000
08-03-21,13.3,12.9,13.4,12.9,697000
09-03-21,12.9,12.8,12.95,12.6,69300
10-03-21,12.2,12.0,12.3,12.0,216200
11-03-21,12.0,11.45,12.0,11.4,299400
12-03-21,11.45,12.25,12.25,11.45,282800
15-03-21,13.1,13.1,13.1,13.1,48100
16-03-21,14.0,14.0,14.0,14.0,204000
17-03-21,14.95,14.95,14.95,14.95,95800
18-03-21,15.95,15.95,15.95,15.95,40500
19-03-21,17.05,15.9,17.05,15.5,722900
22-03-21,15.9,15.3,15.9,14.8,254100
23-03-21,15.0,15.2,16.35,15.0,180600
24-03-21,15.0,14.2,15.7,14.2,346800
25-03-21,14.2,13.5,14.55,13.5,133900
26-03-21,13.5,13.6,14.4,13.0,628700
29-03-21,14.4,14.55,14.55,14.0,91200
30-03-21,15.55,15.0,15.55,14.0,249000
31-03-21,15.4,14.6,15.4,14.6,244600
01-04-21,14.6,14.7,15.0,14.6,107400
02-04-21,15.2,14.85,15.2,14.7,136800
05-04-21,15.3,15.0,15.3,14.85,143500
06-04-21,15.0,15.05,15.4,15.0,103100
07-04-21,15.05,15.6,15.7,15.05,266400
08-04-21,15.6,15.6,15.9,15.45,457800
09-04-21,15.6,15.55,15.7,15.5,374800
12-04-21,15.55,16.1,16.6,15.55,327800
13-04-21,16.1,17.15,17.2,16.0,710000
14-04-21,18.3,18.35,18.35,17.7,513100
15-04-21,19.6,19.6,19.6,19.0,966100
16-04-21,20.95,20.8,20.95,20.75,1013300
19-04-21,21.0,21.6,21.6,20.8,1082300
20-04-21,21.0,21.7,21.8,20.95,1344600
22-04-21,21.5,21.1,21.7,21.0,1323900
23-04-21,21.0,21.1,21.15,20.75,1190300
26-04-21,20.8,20.8,20.9,20.75,833700
27-04-21,20.8,21.45,21.45,20.5,1686100
28-04-21,21.45,22.6,22.6,21.45,2128200
29-04-21,22.6,21.9,23.1,21.9,1648000
04-05-21,21.7,23.4,23.4,20.65,2016500
05-05-21,23.4,25.0,25.0,23.4,1624000
06-05-21,25.1,25.45,25.7,23.3,1853000
07-05-21,25.0,24.25,25.6,24.25,2412500
10-05-21,23.95,23.95,24.7,23.6,1948000
11-05-21,23.8,23.6,23.95,23.2,1666800
12-05-21,23.5,24.7,24.7,22.55,3175000
13-05-21,24.3,25.5,26.05,24.3,2419700
14-05-21,25.8,25.75,25.8,24.95,1875100
17-05-21,25.75,27.4,27.4,25.25,4042600
18-05-21,27.3,28.9,29.3,27.3,3535800
19-05-21,28.7,28.4,29.55,28.0,2520600
20-05-21,27.9,27.65,28.55,27.0,1828800
21-05-21,27.65,28.2,28.7,26.9,1834700
24-05-21,28.35,28.65,29.0,27.9,2507900
25-05-21,28.6,28.65,28.65,27.5,2602200
26-05-21,28.8,30.0,30.1,28.8,3754100
27-05-21,30.0,29.8,30.5,29.8,2175000
28-05-21,29.5,29.75,29.9,28.9,2897400
31-05-21,29.75,29.7,29.8,29.4,1872800
01-06-21,29.7,29.8,29.85,29.45,1080700
02-06-21,29.9,28.2,29.9,27.75,823300
03-06-21,28.3,28.25,28.3,26.75,1252500
04-06-21,28.1,27.65,28.1,26.3,1229300
07-06-21,27.65,28.55,28.55,27.5,2263300
08-06-21,28.6,29.5,29.6,28.6,2573000
09-06-21,29.7,29.5,29.7,27.45,1938300
10-06-21,27.7,28.3,28.6,27.5,2073900
11-06-21,27.5,28.7,28.8,26.4,2599800
14-06-21,28.7,28.0,28.7,26.8,1504100
15-06-21,28.0,27.9,28.0,26.25,1435500
16-06-21,26.05,26.1,27.1,26.05,1051300
17-06-21,25.9,25.3,25.95,24.8,1486200
18-06-21,25.0,26.0,26.0,24.0,1863200
21-06-21,26.0,25.45,26.1,25.4,855800
22-06-21,25.3,25.95,26.2,25.0,1751800
23-06-21,25.8,25.95,26.55,25.75,1480300
24-06-21,26.4,25.6,26.55,25.6,867600
25-06-21,25.3,25.6,25.7,25.05,717100
28-06-21,25.6,25.65,25.7,25.05,970600
29-06-21,25.65,25.65,25.95,25.15,979500
30-06-21,25.65,25.65,25.85,25.0,975800
01-07-21,25.65,25.55,25.9,25.0,2021000
02-07-21,25.8,25.6,25.8,25.4,1297700
05-07-21,25.3,25.65,25.9,24.7,2157700
06-07-21,25.7,26.45,26.55,25.6,2651000
07-07-21,26.5,27.4,27.4,26.45,2503200
