Date,Open,Close,High,Low,Volume
16-11-20,25.5,25.0,25.5,25.0,6240
17-11-20,25.0,25.0,25.2,25.0,15910
18-11-20,25.0,25.0,25.0,25.0,8170
19-11-20,25.0,24.8,25.1,24.8,6070
20-11-20,24.5,24.8,25.0,24.5,1830
23-11-20,24.8,24.9,25.0,24.8,4200
24-11-20,25.0,24.9,25.0,24.8,3080
25-11-20,24.95,24.9,24.95,24.9,1390
26-11-20,24.9,24.9,24.9,24.9,300
27-11-20,25.0,24.9,25.0,24.9,1400
30-11-20,25.0,24.9,25.0,24.9,8430
01-12-20,25.0,25.0,25.0,24.9,12640
02-12-20,25.1,25.3,25.4,25.1,25030
03-12-20,23.5,23.6,23.6,23.4,7480
04-12-20,24.5,23.7,24.5,23.6,910
07-12-20,23.5,23.4,23.5,23.4,4560
08-12-20,23.4,23.4,23.6,23.4,18480
09-12-20,23.9,23.7,23.9,23.7,520
10-12-20,23.0,23.45,23.5,23.0,6310
11-12-20,23.1,23.4,23.4,23.0,1980
14-12-20,23.4,23.3,23.4,23.0,5680
15-12-20,23.0,23.3,23.3,22.0,4630
16-12-20,23.0,23.0,23.0,23.0,260
17-12-20,23.2,22.6,23.2,22.6,7600
18-12-20,22.6,22.6,22.6,22.6,1600
21-12-20,22.6,22.6,22.6,22.6,5120
22-12-20,22.65,22.6,22.65,22.6,9230
23-12-20,22.6,22.7,22.7,22.6,240
24-12-20,22.7,22.7,22.7,22.7,960
25-12-20,22.7,22.8,22.8,22.7,940
28-12-20,23.5,23.5,23.5,23.5,400
29-12-20,21.9,23.0,23.0,21.9,3860
30-12-20,22.6,22.6,23.0,22.6,910
31-12-20,23.0,23.0,23.0,22.5,5720
04-01-21,23.0,23.0,23.0,23.0,11300
05-01-21,23.0,23.0,23.0,23.0,15200
06-01-21,23.0,23.0,23.0,23.0,24900
07-01-21,23.0,23.0,23.0,23.0,3000
08-01-21,23.0,23.0,23.0,23.0,9400
11-01-21,23.0,23.0,23.0,23.0,61100
12-01-21,23.0,23.0,23.0,23.0,15700
13-01-21,23.0,23.0,23.1,23.0,11100
14-01-21,23.5,23.0,23.5,23.0,10300
15-01-21,23.0,23.1,23.1,23.0,20100
18-01-21,23.0,22.7,23.0,22.7,400
19-01-21,22.7,22.6,22.8,22.6,2500
20-01-21,22.5,22.5,22.9,22.0,25700
21-01-21,22.5,22.5,22.6,22.5,2400
22-01-21,22.5,22.6,22.7,22.5,3000
25-01-21,22.7,22.7,22.7,22.6,14000
26-01-21,22.5,22.2,22.5,22.2,16300
27-01-21,22.2,22.2,22.5,22.2,3100
28-01-21,22.0,20.65,22.1,20.65,19500
29-01-21,19.3,22.05,22.05,19.3,600
01-02-21,22.5,22.5,22.5,22.5,2100
02-02-21,22.5,22.0,22.5,22.0,4500
03-02-21,22.0,22.5,22.5,22.0,900
04-02-21,22.5,22.5,22.5,22.5,0
05-02-21,22.5,22.5,22.5,22.5,1800
08-02-21,22.9,22.2,22.9,22.2,200
09-02-21,22.3,23.65,23.65,22.3,6500
17-02-21,22.5,22.3,22.5,22.1,29100
18-02-21,22.3,22.3,22.3,22.3,1500
19-02-21,22.0,22.0,22.05,22.0,7200
22-02-21,22.0,22.0,22.0,21.8,19000
23-02-21,22.0,22.9,22.9,22.0,2500
24-02-21,22.5,22.0,22.5,22.0,900
25-02-21,22.0,22.55,22.55,22.0,3200
26-02-21,22.55,22.55,22.55,22.55,0
01-03-21,22.55,22.55,22.55,22.5,12600
02-03-21,22.55,22.5,22.55,22.5,21000
03-03-21,22.5,22.5,22.5,22.3,4400
04-03-21,22.5,22.5,22.5,22.5,3700
05-03-21,22.4,22.2,22.5,22.1,12400
08-03-21,22.2,22.15,22.2,22.15,10000
09-03-21,21.7,22.1,22.15,21.7,20900
10-03-21,22.5,22.1,22.5,22.1,25200
11-03-21,22.1,22.25,22.3,22.1,13100
12-03-21,22.3,22.5,22.5,22.3,23000
15-03-21,22.3,22.2,22.3,22.0,44200
16-03-21,22.0,22.0,22.05,22.0,2000
17-03-21,22.2,22.2,22.2,22.2,21300
18-03-21,22.2,22.2,22.2,22.1,13300
19-03-21,22.2,22.2,22.2,22.0,36100
22-03-21,22.3,22.3,22.3,22.3,100
23-03-21,22.3,22.3,22.3,22.3,20700
24-03-21,22.3,22.3,22.3,22.2,10500
25-03-21,22.2,22.3,22.3,22.2,11000
26-03-21,21.7,21.7,21.8,21.7,2000
29-03-21,22.0,22.1,22.5,22.0,2100
30-03-21,22.1,22.2,22.3,22.0,14200
31-03-21,21.5,22.3,22.3,21.5,3400
01-04-21,22.0,22.05,22.5,22.0,8300
02-04-21,22.05,22.05,22.05,22.05,11500
05-04-21,22.05,22.1,22.2,22.05,5300
06-04-21,22.3,22.3,22.3,22.3,9400
07-04-21,22.3,22.3,22.35,22.3,2400
08-04-21,22.3,22.6,22.6,22.3,47400
09-04-21,22.6,22.6,22.6,22.6,5500
12-04-21,22.6,22.85,22.85,22.6,30100
13-04-21,22.85,22.85,22.85,22.85,0
14-04-21,22.6,22.6,22.6,22.6,10000
15-04-21,22.6,22.6,22.7,22.6,33300
16-04-21,22.6,22.6,22.6,22.6,19100
19-04-21,22.7,22.6,22.7,22.6,9300
20-04-21,22.7,22.8,22.8,22.7,5100
22-04-21,22.7,22.6,22.7,22.6,53700
23-04-21,22.6,22.65,22.65,22.6,5900
26-04-21,22.65,22.0,23.0,22.0,14600
27-04-21,21.7,21.75,21.75,21.7,4700
28-04-21,21.5,22.5,22.5,21.5,2900
29-04-21,22.0,22.0,22.0,22.0,1900
04-05-21,22.0,22.0,22.0,22.0,1000
05-05-21,22.8,22.0,22.8,21.65,700
06-05-21,22.0,22.7,22.7,21.8,3500
07-05-21,21.6,21.8,22.2,21.6,6200
10-05-21,22.0,22.4,22.4,21.9,20200
11-05-21,22.0,22.6,22.6,22.0,13000
12-05-21,22.5,22.5,22.5,22.5,200
13-05-21,22.4,22.4,22.4,22.4,100
14-05-21,22.4,21.6,22.4,21.5,19500
17-05-21,21.6,21.55,21.6,21.55,2300
18-05-21,21.0,22.5,22.5,21.0,3100
19-05-21,22.4,22.4,22.4,21.5,4200
20-05-21,21.5,21.5,21.5,21.5,1500
21-05-21,21.5,21.5,21.5,21.5,5200
24-05-21,21.5,22.05,22.05,20.0,1600
25-05-21,22.05,22.0,22.05,22.0,1000
26-05-21,22.0,22.05,22.05,22.0,700
27-05-21,22.05,22.05,22.05,22.05,0
28-05-21,20.55,22.0,22.0,20.55,3300
31-05-21,22.0,20.75,22.0,20.7,64600
01-06-21,20.75,20.75,20.75,20.75,5700
02-06-21,20.1,22.05,22.05,20.1,1200
03-06-21,21.3,21.0,21.95,21.0,7200
04-06-21,21.0,20.65,21.0,20.6,4100
07-06-21,20.65,21.0,21.0,20.65,20500
08-06-21,21.2,21.0,21.2,21.0,3000
09-06-21,20.85,20.9,20.9,20.85,1100
10-06-21,20.9,20.75,21.0,20.75,4600
11-06-21,20.75,19.55,20.75,19.55,33100
14-06-21,20.9,20.9,20.9,20.7,5300
15-06-21,21.0,20.9,21.0,20.9,6300
16-06-21,20.5,20.9,21.0,20.5,7700
17-06-21,20.9,21.0,21.25,20.9,4500
18-06-21,21.0,21.0,21.0,21.0,7300
21-06-21,21.0,21.15,21.25,21.0,9500
22-06-21,21.15,21.3,21.3,21.15,4400
23-06-21,21.3,21.3,21.3,21.3,800
24-06-21,21.3,21.3,21.3,21.3,3300
25-06-21,21.3,21.4,21.5,21.3,7400
28-06-21,21.0,21.0,21.0,21.0,1000
29-06-21,21.0,21.6,22.0,21.0,16300
30-06-21,21.7,21.6,21.7,21.6,5600
01-07-21,21.5,21.5,21.5,21.5,2600
02-07-21,22.0,22.0,22.0,21.1,600
05-07-21,21.5,21.05,21.5,21.05,500
06-07-21,21.2,21.3,21.3,21.2,800
07-07-21,21.4,21.3,21.4,21.3,4200
08-07-21,21.3,21.2,21.3,21.2,15500
09-07-21,21.0,21.2,21.3,21.0,6500
12-07-21,21.0,21.95,21.95,20.0,23400
13-07-21,20.8,21.7,21.7,20.8,7200
14-07-21,20.7,21.5,21.5,20.6,9100
15-07-21,20.0,21.6,21.6,20.0,8100
16-07-21,21.6,21.7,21.7,21.1,9600
19-07-21,21.7,21.7,21.7,21.7,0
20-07-21,21.5,21.5,21.5,20.7,10200
21-07-21,21.1,21.7,21.7,21.1,5200
22-07-21,21.1,21.4,21.5,21.1,4500
23-07-21,21.3,21.2,21.3,21.2,5100
26-07-21,21.3,21.2,21.3,21.2,2700
27-07-21,21.0,21.0,21.0,21.0,100
28-07-21,21.0,21.5,21.5,21.0,18100
29-07-21,21.45,21.5,21.5,21.45,2100
30-07-21,21.5,21.5,21.5,21.5,7000
02-08-21,21.45,21.5,21.5,21.45,3100
03-08-21,21.45,21.6,21.6,21.45,1400
04-08-21,21.7,21.4,21.7,21.4,4400
05-08-21,21.7,21.65,21.7,21.65,800
06-08-21,21.7,21.75,21.75,21.6,8100
09-08-21,21.6,21.75,21.75,21.6,1900
10-08-21,21.5,21.9,21.9,21.5,3400
11-08-21,22.0,21.4,22.0,21.35,27100
12-08-21,21.6,21.7,21.7,21.5,1800
13-08-21,22.0,22.0,22.0,21.8,4400
16-08-21,22.0,22.3,22.3,22.0,2500
17-08-21,22.4,22.4,22.4,22.4,1400
18-08-21,22.4,22.5,22.5,22.4,19400
19-08-21,22.45,22.45,22.45,22.45,900
20-08-21,22.5,22.45,22.5,22.45,15400
23-08-21,22.1,22.1,22.1,22.1,800
24-08-21,22.1,22.1,22.1,22.1,1000
25-08-21,22.0,22.0,22.0,22.0,5000
26-08-21,22.0,22.0,22.0,22.0,0
27-08-21,22.2,22.2,22.2,22.2,2000
30-08-21,22.2,22.2,22.2,22.2,0
31-08-21,22.0,22.3,22.3,22.0,1500
01-09-21,23.45,23.0,23.45,23.0,7400
06-09-21,23.0,23.0,23.05,23.0,19600
07-09-21,23.0,23.5,23.5,23.0,7000
08-09-21,23.1,23.0,23.5,23.0,7200
09-09-21,23.0,23.0,23.0,23.0,19000
10-09-21,23.0,23.0,23.1,23.0,24900
13-09-21,23.0,23.2,23.2,23.0,10000
14-09-21,23.2,23.3,23.4,23.2,1400
15-09-21,23.4,23.4,23.4,23.4,900
16-09-21,23.4,23.4,23.4,23.4,400
17-09-21,23.4,23.4,23.6,23.4,16100
20-09-21,23.5,23.5,23.5,23.5,6900
21-09-21,23.6,23.6,23.6,23.6,5300
22-09-21,23.6,23.7,23.7,23.6,4300
23-09-21,23.7,23.5,23.8,23.5,1200
24-09-21,23.6,23.6,23.6,23.6,2100
27-09-21,23.8,22.8,23.8,22.8,200
28-09-21,23.0,23.5,23.5,23.0,11100
29-09-21,23.1,23.5,23.5,23.1,4700
30-09-21,24.0,24.0,24.0,24.0,200
01-10-21,24.0,23.8,24.0,23.5,8900
04-10-21,23.8,25.0,25.0,23.5,46600
05-10-21,25.0,25.3,25.5,24.6,19100
06-10-21,25.3,25.8,25.8,24.2,35200
07-10-21,26.2,25.8,26.2,25.3,6500
08-10-21,26.0,25.5,26.0,25.1,1800
11-10-21,25.4,25.5,25.5,24.5,39300
12-10-21,25.5,26.0,26.0,25.5,200
13-10-21,26.0,25.8,26.0,25.0,35900
14-10-21,25.8,25.6,25.8,25.6,5200
15-10-21,25.6,26.0,26.0,25.6,61500
