Date,Open,Close,High,Low,Volume
16-11-20,2.0,2.03,2.07,2.0,390960
17-11-20,2.02,2.02,2.04,2.01,548990
18-11-20,2.02,2.0,2.04,2.0,726700
19-11-20,1.99,2.02,2.05,1.99,782520
20-11-20,2.04,2.12,2.15,2.01,1488190
23-11-20,2.15,2.07,2.16,2.07,520910
24-11-20,2.07,2.09,2.13,2.05,711130
25-11-20,2.09,2.07,2.1,2.05,674490
26-11-20,2.1,2.07,2.1,2.05,397550
27-11-20,2.06,2.05,2.09,2.05,505710
30-11-20,2.08,2.04,2.08,2.03,447520
01-12-20,1.98,2.02,2.04,1.98,874720
02-12-20,2.02,2.02,2.06,2.02,263250
03-12-20,2.05,2.1,2.13,2.02,1195070
04-12-20,2.12,2.07,2.12,2.06,832480
07-12-20,2.08,2.21,2.21,2.08,4862460
08-12-20,2.34,2.29,2.36,2.2,4243410
09-12-20,2.34,2.27,2.34,2.2,2270550
10-12-20,2.21,2.18,2.24,2.16,2135150
11-12-20,2.15,2.14,2.19,2.11,1535540
14-12-20,2.15,2.15,2.18,2.12,1086640
15-12-20,2.15,2.16,2.24,2.13,1619640
16-12-20,2.21,2.22,2.25,2.17,2678270
17-12-20,2.25,2.37,2.37,2.25,6587980
18-12-20,2.48,2.37,2.48,2.37,3711140
21-12-20,2.37,2.43,2.5,2.31,2757310
22-12-20,2.4,2.6,2.6,2.39,4930880
23-12-20,2.68,2.58,2.78,2.58,3913140
24-12-20,2.58,2.47,2.61,2.4,3499750
25-12-20,2.47,2.4,2.5,2.31,3115100
28-12-20,2.49,2.47,2.49,2.38,1933870
29-12-20,2.47,2.46,2.47,2.39,1962740
30-12-20,2.45,2.52,2.63,2.43,3265920
31-12-20,2.59,2.5,2.6,2.5,1755480
04-01-21,2.53,2.5,2.55,2.42,2361600
05-01-21,2.5,2.52,2.6,2.48,2211100
06-01-21,2.56,2.52,2.59,2.51,1486300
07-01-21,2.52,2.59,2.6,2.5,2922600
08-01-21,2.64,2.74,2.77,2.63,6361900
11-01-21,2.74,2.7,2.85,2.65,3801200
12-01-21,2.7,2.7,2.74,2.64,3629400
13-01-21,2.71,2.86,2.88,2.7,7401800
14-01-21,2.92,2.9,2.97,2.84,2947000
15-01-21,2.95,3.09,3.1,2.93,3679200
18-01-21,3.1,3.29,3.3,2.9,6146800
19-01-21,3.29,3.06,3.3,3.06,3885200
20-01-21,2.85,2.91,3.02,2.85,5417200
21-01-21,3.0,3.0,3.05,2.83,3106000
22-01-21,3.0,3.0,3.05,2.91,4197700
25-01-21,2.98,3.0,3.02,2.9,3079500
26-01-21,2.96,2.79,2.98,2.79,3108700
27-01-21,2.7,2.6,2.79,2.6,4199200
28-01-21,2.42,2.42,2.5,2.42,1223700
29-01-21,2.26,2.3,2.41,2.26,3028200
01-02-21,2.14,2.14,2.35,2.14,1970800
02-02-21,2.06,2.28,2.28,2.01,1999500
03-02-21,2.3,2.43,2.43,2.2,1489300
04-02-21,2.49,2.38,2.49,2.3,927900
05-02-21,2.35,2.44,2.47,2.33,1431300
08-02-21,2.44,2.35,2.48,2.3,883600
09-02-21,2.35,2.39,2.46,2.28,914900
17-02-21,2.4,2.54,2.55,2.4,1286500
18-02-21,2.55,2.52,2.55,2.46,664600
19-02-21,2.5,2.49,2.5,2.46,701400
22-02-21,2.49,2.45,2.51,2.45,940100
23-02-21,2.45,2.55,2.55,2.42,1284700
24-02-21,2.6,2.49,2.61,2.47,1740500
25-02-21,2.54,2.55,2.55,2.48,1219700
26-02-21,2.52,2.55,2.56,2.51,625500
01-03-21,2.56,2.6,2.65,2.55,926500
02-03-21,2.65,2.6,2.65,2.54,782600
03-03-21,2.6,2.78,2.78,2.59,4369000
04-03-21,2.8,2.8,2.85,2.65,1612600
05-03-21,2.75,2.77,2.8,2.65,1095100
08-03-21,2.79,2.79,2.81,2.7,1902100
09-03-21,2.82,2.84,2.9,2.73,1975100
10-03-21,2.85,2.78,2.87,2.78,1026100
11-03-21,2.77,2.8,2.81,2.76,1368800
12-03-21,2.8,2.85,2.86,2.79,1838700
15-03-21,2.82,2.99,2.99,2.82,2759700
16-03-21,3.0,2.97,3.0,2.88,2016100
17-03-21,2.92,2.89,2.96,2.89,1633700
18-03-21,2.9,2.91,2.92,2.88,1464500
19-03-21,2.89,2.84,2.91,2.82,959500
22-03-21,2.85,2.85,2.86,2.81,1271000
23-03-21,2.85,2.94,2.99,2.84,1779200
24-03-21,2.9,2.88,2.96,2.74,2132200
25-03-21,2.88,2.87,2.9,2.81,1056600
26-03-21,2.82,2.81,2.88,2.7,1223200
29-03-21,2.86,3.0,3.0,2.86,4871700
30-03-21,3.15,3.09,3.15,3.02,2560600
31-03-21,3.13,3.12,3.2,3.05,3198800
01-04-21,3.13,3.13,3.15,3.06,1595300
02-04-21,3.16,3.19,3.3,3.15,2379200
05-04-21,3.22,3.41,3.41,3.17,4968800
06-04-21,3.41,3.64,3.64,3.41,3959100
07-04-21,3.64,3.88,3.89,3.64,3581800
08-04-21,3.79,3.7,3.87,3.61,4862900
09-04-21,3.65,3.86,3.95,3.5,4767500
12-04-21,4.0,4.13,4.13,3.9,3979800
13-04-21,4.41,4.3,4.41,4.13,7883500
14-04-21,4.15,4.58,4.6,4.01,5762500
15-04-21,4.86,4.9,4.9,4.6,5051900
16-04-21,5.0,4.6,5.1,4.56,4505400
19-04-21,4.3,4.28,4.5,4.28,5648500
20-04-21,3.99,4.0,4.14,3.99,5147900
22-04-21,3.86,3.84,4.2,3.72,3255300
23-04-21,3.7,4.1,4.1,3.7,2323600
26-04-21,4.1,4.14,4.3,4.06,2798900
27-04-21,4.05,4.0,4.12,3.9,1473400
28-04-21,3.9,4.03,4.2,3.9,1254600
29-04-21,4.0,3.92,4.14,3.91,1636800
04-05-21,3.65,3.65,3.76,3.65,2864400
05-05-21,3.46,3.78,3.89,3.46,1619100
06-05-21,3.7,3.65,3.84,3.65,1260400
07-05-21,3.65,3.4,3.65,3.4,1965600
10-05-21,3.39,3.48,3.57,3.24,1782700
11-05-21,3.5,3.44,3.5,3.44,1079200
12-05-21,3.44,3.66,3.67,3.41,971200
13-05-21,3.61,3.56,3.64,3.55,1240500
14-05-21,3.56,3.55,3.63,3.5,1132200
17-05-21,3.55,3.57,3.59,3.51,676800
18-05-21,3.57,3.7,3.79,3.57,1852100
19-05-21,3.7,3.66,3.9,3.5,1273400
20-05-21,3.67,3.7,3.82,3.55,2591600
21-05-21,3.7,3.74,3.86,3.62,2001300
24-05-21,3.89,3.83,3.89,3.76,1043700
25-05-21,3.81,3.8,3.87,3.75,1482200
26-05-21,3.72,3.69,3.79,3.68,1616500
27-05-21,3.63,3.68,3.81,3.63,1838900
28-05-21,3.65,3.79,3.82,3.65,1466500
31-05-21,3.8,3.75,3.82,3.7,1571900
01-06-21,3.7,3.7,3.74,3.66,849100
02-06-21,3.63,3.69,3.69,3.63,1205500
03-06-21,3.79,3.94,3.94,3.71,1706000
04-06-21,4.2,4.03,4.2,3.94,1495600
07-06-21,4.1,3.9,4.1,3.85,1221000
08-06-21,3.8,3.85,4.1,3.8,2027000
09-06-21,3.9,3.88,3.95,3.8,1177100
10-06-21,3.88,3.9,3.99,3.84,898500
11-06-21,3.9,3.98,4.08,3.82,1483200
14-06-21,3.98,4.2,4.25,3.98,4163600
15-06-21,4.2,4.2,4.4,4.2,1732100
16-06-21,4.2,4.25,4.35,4.2,1970300
17-06-21,4.16,4.3,4.32,4.1,1438500
18-06-21,4.4,4.3,4.45,4.28,1240900
21-06-21,4.28,4.15,4.28,4.13,1356600
22-06-21,4.15,4.16,4.25,4.14,1148100
23-06-21,4.16,4.0,4.18,3.99,1690200
24-06-21,4.0,3.95,4.01,3.93,1003000
25-06-21,3.95,3.94,4.07,3.92,916500
28-06-21,3.94,3.91,4.0,3.91,1016400
29-06-21,3.9,3.83,3.93,3.81,1858000
30-06-21,3.83,3.67,3.83,3.65,1866300
01-07-21,3.67,3.74,3.76,3.66,1139400
02-07-21,3.74,3.74,3.89,3.74,814700
05-07-21,3.76,3.67,3.77,3.64,1109900
06-07-21,3.67,3.63,3.7,3.63,920800
07-07-21,3.6,3.54,3.62,3.45,822100
08-07-21,3.65,3.6,3.65,3.53,979300
09-07-21,3.6,3.5,3.65,3.35,996100
12-07-21,3.49,3.26,3.49,3.26,929100
13-07-21,3.26,3.45,3.45,3.04,1136800
14-07-21,3.56,3.25,3.56,3.21,841000
15-07-21,3.3,3.35,3.35,3.22,270500
16-07-21,3.29,3.2,3.31,3.2,326500
19-07-21,3.03,2.98,3.19,2.98,1132300
20-07-21,3.0,3.08,3.08,2.9,449000
21-07-21,3.08,3.07,3.1,3.01,238400
22-07-21,3.07,3.19,3.22,3.04,534900
23-07-21,3.1,3.11,3.2,3.1,298900
26-07-21,3.15,3.18,3.27,3.15,801000
27-07-21,3.4,3.4,3.4,3.4,471700
28-07-21,3.63,3.63,3.63,3.63,422000
29-07-21,3.88,3.65,3.88,3.63,4250400
30-07-21,3.5,3.58,3.65,3.5,796900
02-08-21,3.68,3.59,3.68,3.58,628200
03-08-21,3.54,3.73,3.78,3.44,2071700
04-08-21,3.8,3.68,3.8,3.65,811300
05-08-21,3.68,3.93,3.93,3.5,2618400
06-08-21,3.97,3.9,4.17,3.89,1493900
09-08-21,3.88,3.85,3.93,3.76,961700
10-08-21,3.85,4.11,4.11,3.81,3265300
11-08-21,4.39,4.32,4.39,4.3,4642900
12-08-21,4.44,4.35,4.44,4.18,1590500
13-08-21,4.29,4.22,4.45,4.06,2600300
16-08-21,4.2,4.29,4.42,4.2,1575400
17-08-21,4.3,4.29,4.33,4.2,866300
18-08-21,4.29,4.18,4.29,4.16,1477100
19-08-21,4.17,4.06,4.2,4.0,1586500
20-08-21,4.1,4.14,4.27,3.85,3269700
23-08-21,4.14,4.0,4.14,3.86,2877300
24-08-21,4.0,3.85,4.08,3.77,1092500
25-08-21,3.7,3.8,3.85,3.68,1199800
26-08-21,3.86,3.75,3.87,3.75,898400
27-08-21,3.75,3.94,3.95,3.75,1362000
30-08-21,3.95,4.21,4.21,3.9,2092700
31-08-21,4.45,4.5,4.5,4.28,5275800
01-09-21,4.65,4.67,4.8,4.5,2680100
06-09-21,4.49,4.87,4.99,4.42,4256400
07-09-21,4.8,4.53,4.9,4.53,2980600
08-09-21,4.5,4.84,4.84,4.46,4220400
09-09-21,5.17,5.17,5.17,4.9,5295400
10-09-21,5.53,5.53,5.53,5.52,2609400
13-09-21,5.91,5.91,5.91,5.6,14500800
14-09-21,6.32,6.32,6.32,6.32,3390400
15-09-21,6.76,6.76,6.76,6.76,1768200
16-09-21,7.23,6.77,7.23,6.29,13908000
17-09-21,6.3,6.41,6.77,6.3,6671700
20-09-21,6.85,6.85,6.85,6.8,3694200
21-09-21,6.9,7.32,7.32,6.8,8965100
22-09-21,7.83,7.83,7.83,7.83,1673300
23-09-21,8.37,8.0,8.37,7.3,11408300
24-09-21,7.47,7.44,8.0,7.44,8470800
27-09-21,6.92,6.93,7.75,6.92,4340900
28-09-21,6.45,7.41,7.41,6.45,6218500
29-09-21,7.45,7.35,7.6,7.3,2585300
30-09-21,7.35,7.45,7.7,7.0,2097500
01-10-21,7.35,7.44,7.56,7.35,2599700
04-10-21,7.54,7.63,7.9,7.38,3734200
05-10-21,7.9,8.16,8.16,7.73,2593600
06-10-21,8.73,8.73,8.73,8.73,1246200
07-10-21,9.34,8.98,9.34,8.73,8435300
08-10-21,8.4,8.6,8.96,8.4,4496300
11-10-21,8.79,8.6,8.9,8.58,2579700
12-10-21,8.6,8.95,9.2,8.3,3783100
13-10-21,8.95,9.04,9.19,8.95,1718000
14-10-21,9.0,9.05,9.16,9.0,1681300
15-10-21,9.0,9.0,9.1,8.89,2417300
18-10-21,9.3,8.96,9.3,8.95,2278600
19-10-21,8.8,8.98,9.2,8.8,2147200
20-10-21,9.0,9.0,9.25,8.8,3506200
21-10-21,8.98,8.95,8.99,8.89,2607800
22-10-21,8.99,8.75,8.99,8.69,2710200
25-10-21,8.62,8.3,8.68,8.3,4663900
26-10-21,8.0,8.61,8.7,8.0,2257400
27-10-21,8.88,9.03,9.21,8.8,4085200
28-10-21,9.02,8.95,9.02,8.85,1751800
29-10-21,8.95,9.2,9.3,8.8,3918900
01-11-21,9.84,9.84,9.84,9.57,3984100
02-11-21,10.5,10.5,10.5,10.1,4801800
03-11-21,11.1,10.45,11.2,10.1,7814000
04-11-21,10.4,10.6,10.8,10.0,2953000
05-11-21,10.6,10.9,11.05,10.6,2200500
08-11-21,10.9,11.0,11.3,10.5,4295600
09-11-21,11.0,10.8,11.0,10.7,2383000
10-11-21,10.9,11.55,11.55,10.6,3871200
11-11-21,12.3,12.35,12.35,11.55,4370400
12-11-21,13.2,13.2,13.2,13.0,3266900
15-11-21,14.1,14.1,14.1,13.7,3661500
16-11-21,14.2,15.05,15.05,13.5,6678300
17-11-21,15.6,16.1,16.1,15.5,3358000
18-11-21,17.2,17.2,17.2,17.2,1051800
19-11-21,18.4,18.4,18.4,17.2,7563100
22-11-21,19.65,18.5,19.65,17.2,5981800
23-11-21,18.1,19.75,19.75,17.25,4624600
24-11-21,21.1,21.1,21.1,20.5,2573900
25-11-21,22.55,22.55,22.55,22.5,2702100
26-11-21,24.1,24.1,24.1,22.6,10803300
29-11-21,22.45,22.45,24.6,22.45,7798600
30-11-21,20.9,20.9,20.9,20.9,495000
01-12-21,19.45,19.45,19.45,19.45,149700
02-12-21,18.1,18.1,18.1,18.1,129300
03-12-21,16.85,16.85,16.85,16.85,362000
06-12-21,15.7,15.7,15.7,15.7,109400
07-12-21,14.65,14.65,14.65,14.65,86200
08-12-21,13.65,13.65,13.65,13.65,114400
09-12-21,12.7,12.7,12.7,12.7,263000
10-12-21,11.85,11.85,13.35,11.85,23716700
13-12-21,12.2,12.65,12.65,12.05,1363300
14-12-21,13.5,13.5,13.5,13.5,948200
15-12-21,13.0,13.0,14.2,12.6,13697700
16-12-21,12.1,12.2,12.8,12.1,5619900
17-12-21,12.2,12.3,12.7,12.15,2148500
20-12-21,13.15,12.7,13.15,12.3,3490700
21-12-21,12.2,12.0,12.6,11.85,4445200
22-12-21,11.7,11.2,12.0,11.2,6731300
23-12-21,11.0,11.95,11.95,11.0,3162100
24-12-21,12.5,11.8,12.5,11.4,2059400
27-12-21,11.7,11.45,11.8,11.3,1538600
28-12-21,11.4,11.55,12.0,11.05,2952200
29-12-21,11.6,11.5,11.8,11.3,1624100
30-12-21,11.4,12.3,12.3,11.4,3472700
31-12-21,12.8,12.05,12.8,11.85,2954200
04-01-22,12.1,11.9,12.25,11.8,1620600
05-01-22,11.9,11.95,12.5,11.7,2291400
06-01-22,12.0,12.5,12.75,11.95,4412500
07-01-22,12.8,12.65,12.8,12.4,3182400
10-01-22,12.7,13.5,13.5,12.65,5564800
11-01-22,13.5,13.15,14.0,13.0,3751400
12-01-22,13.0,12.25,13.15,12.25,3778900
13-01-22,12.3,11.45,12.6,11.4,2435400
14-01-22,11.2,12.25,12.25,10.7,1596200
17-01-22,13.1,12.75,13.1,12.25,4192100
18-01-22,12.7,12.5,13.3,12.25,1458500
19-01-22,12.3,11.65,12.75,11.65,1540300
20-01-22,11.05,11.9,12.4,11.05,969100
21-01-22,11.9,11.9,12.4,11.7,896300
