Date,Open,Close,High,Low,Volume
16-11-20,25.15,24.8,26.0,24.6,140610
17-11-20,25.5,26.0,26.5,24.7,342840
18-11-20,26.0,27.3,27.5,26.0,316010
19-11-20,27.3,26.9,27.3,26.8,89430
20-11-20,26.6,27.2,27.2,26.55,142540
23-11-20,27.2,26.9,27.3,26.7,105440
24-11-20,27.0,26.55,27.0,26.2,214520
25-11-20,26.5,26.4,26.65,26.4,50530
26-11-20,26.3,26.0,26.35,26.0,72650
27-11-20,26.0,26.4,26.6,26.0,92530
30-11-20,26.3,26.9,27.3,26.3,194900
01-12-20,26.2,26.8,26.9,26.2,151580
02-12-20,26.9,26.0,27.0,26.0,143880
03-12-20,26.2,27.8,27.8,26.2,430760
04-12-20,27.8,27.8,28.0,27.6,91340
07-12-20,27.5,27.5,27.7,27.4,58740
08-12-20,27.5,27.0,27.55,26.9,146970
09-12-20,27.0,27.0,27.35,26.7,130490
10-12-20,27.0,26.0,27.0,25.8,269090
11-12-20,25.8,26.1,26.8,25.7,74230
14-12-20,26.1,26.5,26.6,26.0,166710
15-12-20,26.5,26.0,26.5,25.9,154830
16-12-20,26.0,26.2,26.3,25.85,88790
17-12-20,26.0,25.7,26.05,24.95,192480
18-12-20,25.6,25.4,25.7,25.1,66660
21-12-20,25.1,25.8,26.3,25.0,106290
22-12-20,25.9,25.85,26.0,25.45,61490
23-12-20,25.95,26.0,26.7,25.6,155550
24-12-20,25.8,25.5,25.8,24.5,138480
25-12-20,25.5,26.0,26.05,25.35,100940
28-12-20,26.0,27.2,27.2,25.45,429480
29-12-20,27.4,27.65,27.9,27.2,368470
30-12-20,27.55,28.5,28.8,27.55,327020
31-12-20,28.5,28.15,28.6,27.8,190210
04-01-21,28.15,28.4,28.7,28.0,218600
05-01-21,28.3,28.0,28.5,27.6,200300
06-01-21,27.95,27.7,28.2,27.6,211300
07-01-21,28.0,29.6,29.6,27.6,289800
08-01-21,30.0,29.8,30.0,28.0,169100
11-01-21,29.9,29.8,29.9,28.8,88000
12-01-21,29.3,29.0,29.4,28.8,216000
13-01-21,29.0,29.45,29.9,28.9,157300
14-01-21,29.0,29.2,29.4,28.7,81200
15-01-21,29.1,29.3,29.8,29.0,119100
18-01-21,29.0,29.0,29.0,28.5,93500
19-01-21,29.0,27.9,29.1,27.0,278500
20-01-21,27.9,28.2,28.2,27.2,267300
21-01-21,28.05,28.65,28.8,27.9,127500
22-01-21,28.65,28.0,29.0,28.0,114500
25-01-21,28.0,29.95,29.95,27.95,281500
26-01-21,29.95,30.3,31.9,29.5,332700
27-01-21,31.0,32.4,32.4,30.4,758400
28-01-21,31.0,31.9,34.5,30.15,911600
29-01-21,30.6,34.1,34.1,30.6,320600
01-02-21,35.6,32.7,35.6,32.0,508600
02-02-21,32.7,32.7,33.0,30.8,243800
03-02-21,32.95,34.6,34.95,32.0,539000
04-02-21,34.6,34.45,34.95,33.9,243700
05-02-21,34.5,35.8,36.85,34.5,451300
08-02-21,36.0,36.8,37.4,34.65,453500
09-02-21,36.8,36.4,36.9,35.5,261500
17-02-21,36.1,37.65,38.2,35.5,295400
18-02-21,36.85,39.7,39.9,36.85,359000
19-02-21,39.7,42.45,42.45,39.1,302500
22-02-21,45.0,42.45,45.0,40.5,466500
23-02-21,42.45,41.8,43.0,40.6,218400
24-02-21,41.8,41.1,42.05,40.5,291700
25-02-21,41.2,40.5,42.0,39.9,287000
26-02-21,39.6,40.4,40.8,39.0,215800
01-03-21,40.4,41.2,41.5,40.3,140000
02-03-21,41.2,40.3,41.2,39.5,182900
03-03-21,39.1,39.2,40.3,38.0,180600
04-03-21,38.4,37.9,39.2,36.6,153500
05-03-21,37.9,39.0,39.0,36.6,134700
08-03-21,39.0,39.0,39.5,38.5,142300
09-03-21,39.0,40.6,41.3,39.0,115900
10-03-21,41.0,41.2,41.2,40.5,127000
11-03-21,41.2,40.55,41.5,40.2,136900
12-03-21,40.3,40.0,40.5,39.3,243100
15-03-21,40.0,40.0,41.05,39.5,138500
16-03-21,39.7,39.9,40.1,39.4,69700
17-03-21,40.0,39.5,40.0,38.4,158500
18-03-21,39.5,39.0,39.55,38.5,87200
19-03-21,38.5,39.4,39.9,38.5,134700
22-03-21,39.2,38.45,39.2,38.1,80000
23-03-21,38.45,37.5,39.1,37.5,141900
24-03-21,37.5,36.65,37.5,34.95,116000
25-03-21,38.2,36.0,38.2,35.5,139800
26-03-21,36.0,35.5,37.0,34.5,111000
29-03-21,35.6,37.95,37.95,34.8,156500
30-03-21,39.5,39.45,40.3,38.6,211100
31-03-21,39.45,39.5,40.5,38.8,183800
01-04-21,39.0,41.2,41.2,38.95,331800
02-04-21,41.3,41.7,41.8,41.0,271100
05-04-21,43.8,41.6,43.8,41.6,63000
06-04-21,41.0,41.5,41.5,40.0,189900
07-04-21,41.4,41.2,41.4,40.0,55300
08-04-21,40.35,40.9,40.9,40.35,62100
09-04-21,40.9,43.0,43.5,40.9,292100
12-04-21,43.5,43.3,43.9,42.5,183000
13-04-21,43.5,45.5,46.0,43.5,554000
14-04-21,45.0,48.65,48.65,45.0,429400
15-04-21,50.9,49.6,51.0,49.0,373600
16-04-21,49.0,47.9,49.6,46.4,199000
19-04-21,47.6,48.2,48.4,47.4,219700
20-04-21,48.1,49.85,50.0,48.1,472700
22-04-21,50.0,46.4,51.9,46.4,348100
23-04-21,46.5,47.6,47.6,45.0,215800
26-04-21,46.5,46.2,49.45,46.0,123100
27-04-21,45.2,46.6,46.8,45.1,37600
28-04-21,46.6,47.9,48.1,46.25,107200
29-04-21,47.5,47.45,47.9,47.0,49700
04-05-21,44.15,46.5,46.75,44.15,92700
05-05-21,43.65,46.3,47.45,43.65,131400
06-05-21,46.0,46.3,46.9,45.75,44800
07-05-21,46.0,44.5,46.0,44.5,120500
10-05-21,44.2,45.8,46.0,44.2,97500
11-05-21,45.8,46.9,48.0,45.5,253800
12-05-21,46.8,49.4,49.5,46.8,269400
13-05-21,49.4,48.0,49.4,48.0,101000
14-05-21,47.2,51.3,51.3,47.2,475100
17-05-21,54.2,53.8,54.4,52.0,383500
18-05-21,55.0,53.9,55.7,53.5,190600
19-05-21,53.2,55.5,55.8,53.1,198400
20-05-21,55.5,55.6,57.0,55.0,146100
21-05-21,55.6,56.0,57.0,55.6,170700
24-05-21,56.0,54.0,56.8,54.0,203700
25-05-21,55.3,54.7,55.3,54.0,129500
26-05-21,54.3,55.0,55.5,54.1,178600
27-05-21,55.0,53.8,56.0,51.9,106900
28-05-21,53.8,53.2,53.8,52.5,135900
31-05-21,53.1,52.1,53.1,51.0,156800
01-06-21,52.1,54.0,55.0,52.1,181100
02-06-21,54.0,53.1,54.0,52.9,79800
03-06-21,53.0,53.1,53.9,52.5,155400
04-06-21,53.5,52.2,53.5,52.0,117100
07-06-21,52.0,50.3,52.3,50.0,119800
08-06-21,50.0,49.3,50.0,48.2,157600
09-06-21,49.3,52.7,52.7,49.3,337400
10-06-21,52.7,53.8,54.1,52.6,169400
11-06-21,54.0,53.0,54.5,53.0,167200
14-06-21,53.1,53.9,54.5,52.8,176700
15-06-21,53.9,53.5,53.9,53.0,84900
16-06-21,54.5,53.7,54.5,53.0,98500
17-06-21,53.3,57.4,57.4,52.9,457300
18-06-21,59.9,61.4,61.4,57.5,713300
21-06-21,62.0,61.7,63.6,61.4,249800
22-06-21,60.5,60.9,61.5,59.5,218800
23-06-21,60.1,60.0,60.9,59.4,136300
24-06-21,59.5,55.8,59.5,55.8,367700
25-06-21,55.8,58.0,59.5,55.8,350300
28-06-21,58.0,57.2,58.0,57.0,90800
29-06-21,57.2,57.9,58.6,57.0,114400
30-06-21,57.7,57.5,58.3,57.4,70300
01-07-21,58.0,61.4,61.5,58.0,574700
02-07-21,61.5,60.1,61.5,60.1,108900
05-07-21,60.8,60.0,60.8,58.6,53500
06-07-21,60.9,56.0,60.9,56.0,144600
07-07-21,56.2,56.0,56.7,53.0,269000
08-07-21,55.4,56.4,57.9,55.4,59800
09-07-21,56.4,56.8,57.0,55.0,151700
12-07-21,60.7,60.0,60.7,57.5,615400
13-07-21,61.5,60.0,61.5,59.0,121400
14-07-21,59.9,61.1,62.1,59.0,237000
15-07-21,61.1,61.8,62.2,60.8,80700
16-07-21,61.6,61.5,62.8,61.5,91400
19-07-21,60.0,59.6,60.5,59.3,191300
20-07-21,59.5,60.6,60.6,58.0,89100
21-07-21,60.6,60.3,60.8,60.0,72000
22-07-21,59.2,61.4,62.0,59.2,175000
23-07-21,61.5,62.5,64.0,61.5,357700
26-07-21,62.6,63.7,63.9,62.5,75300
27-07-21,64.5,63.3,64.8,63.3,86800
28-07-21,63.0,62.1,63.3,62.0,124200
29-07-21,62.4,62.5,62.8,61.5,70200
30-07-21,62.5,62.8,63.0,62.1,119600
02-08-21,62.7,63.3,64.5,62.0,209300
03-08-21,63.3,64.0,64.5,63.0,138500
04-08-21,63.0,63.3,64.3,63.0,110200
05-08-21,63.3,63.3,64.0,63.0,114700
06-08-21,63.3,63.1,64.0,62.8,214600
09-08-21,63.0,63.5,63.5,62.5,111100
10-08-21,63.5,64.0,64.0,63.3,102700
11-08-21,63.6,65.1,68.0,63.6,138400
12-08-21,65.1,64.9,66.5,64.9,93400
13-08-21,64.9,64.2,65.0,63.5,135300
16-08-21,64.2,63.5,64.3,63.4,208400
17-08-21,63.1,63.7,64.3,63.1,58900
18-08-21,63.7,65.1,65.6,63.4,99500
19-08-21,65.1,64.7,65.2,64.5,53000
20-08-21,64.7,62.0,64.7,61.5,179500
23-08-21,62.0,62.5,63.3,62.0,97400
24-08-21,62.5,62.5,63.5,62.4,87700
25-08-21,65.5,64.5,65.5,63.0,87600
26-08-21,64.5,65.0,65.5,64.0,49200
27-08-21,65.0,64.1,65.0,63.5,30600
30-08-21,64.1,64.2,65.1,64.1,55800
31-08-21,64.2,64.0,64.2,63.4,59200
01-09-21,63.0,63.5,64.0,63.0,37800
06-09-21,64.9,63.8,64.9,63.3,31300
07-09-21,64.4,63.0,64.4,62.5,88300
08-09-21,62.2,63.0,63.0,61.9,67500
09-09-21,62.3,62.9,63.0,62.0,139000
10-09-21,63.3,62.1,63.3,62.0,81200
13-09-21,62.0,61.0,62.0,60.7,66200
14-09-21,59.0,61.5,62.5,59.0,100300
15-09-21,61.5,62.0,62.0,61.3,32200
16-09-21,60.0,61.2,61.9,60.0,45800
17-09-21,61.2,60.0,61.3,60.0,121900
20-09-21,60.5,62.0,62.8,59.5,124400
21-09-21,62.0,62.0,62.0,61.0,82500
22-09-21,62.3,66.0,66.3,62.0,350700
23-09-21,67.0,65.6,67.0,64.9,57700
24-09-21,64.2,64.9,65.0,63.7,33000
27-09-21,62.1,61.5,63.6,61.3,122800
28-09-21,60.4,62.3,62.5,60.4,53700
29-09-21,62.3,62.2,62.3,62.1,5000
