Date,Open,Close,High,Low,Volume
16-11-20,37.0,36.8,37.0,36.5,10140
17-11-20,37.0,36.8,37.0,36.6,4850
18-11-20,37.0,36.9,37.0,36.4,15080
19-11-20,36.95,36.9,36.95,36.7,2510
20-11-20,36.9,36.9,36.9,36.5,9650
23-11-20,36.1,37.4,37.5,36.1,11570
24-11-20,38.0,37.4,38.0,37.2,8220
25-11-20,38.0,37.9,38.0,37.3,5180
26-11-20,38.0,37.8,38.1,37.7,6590
27-11-20,38.0,38.9,39.4,38.0,38800
30-11-20,38.9,38.9,39.0,38.6,23920
01-12-20,39.95,40.1,40.1,38.5,63600
02-12-20,40.1,42.6,42.9,40.1,133330
03-12-20,43.0,41.0,43.05,40.8,76800
04-12-20,41.95,42.0,42.0,41.0,41260
07-12-20,42.8,42.0,42.8,41.3,11490
08-12-20,42.0,41.5,42.0,41.05,7210
09-12-20,42.4,41.5,42.5,41.5,19410
10-12-20,41.5,41.7,42.0,41.2,68720
11-12-20,43.9,41.8,43.9,41.8,11720
14-12-20,43.0,42.0,43.0,41.5,38810
15-12-20,42.8,43.0,43.0,42.3,49670
16-12-20,43.0,43.0,43.2,42.9,51510
17-12-20,43.0,42.9,43.0,42.9,7050
18-12-20,43.1,42.9,43.1,42.8,8850
21-12-20,43.1,43.2,43.2,42.5,65010
22-12-20,43.5,42.4,43.5,42.2,15130
23-12-20,42.9,42.0,42.9,42.0,26340
24-12-20,42.9,41.7,42.9,41.2,14290
25-12-20,41.7,42.0,42.0,41.7,14390
28-12-20,42.0,42.0,42.4,41.5,22500
29-12-20,42.5,42.0,42.5,41.7,56870
30-12-20,42.0,41.9,42.0,41.2,7740
31-12-20,41.9,41.9,41.9,41.5,5590
04-01-21,42.95,42.2,42.95,41.95,22800
05-01-21,42.1,42.0,42.1,41.9,2000
06-01-21,41.9,42.0,42.0,41.6,2800
07-01-21,42.0,43.0,43.0,41.9,24200
08-01-21,43.0,43.3,43.5,42.8,21400
11-01-21,43.5,42.5,43.5,42.5,31300
12-01-21,43.0,42.9,44.0,42.4,19100
13-01-21,43.45,42.7,43.45,42.7,20600
14-01-21,43.0,42.7,43.0,42.5,6700
15-01-21,43.0,42.7,43.0,42.45,15700
18-01-21,42.9,42.9,44.0,42.0,26800
19-01-21,43.0,42.0,43.0,42.0,23800
20-01-21,43.0,42.9,43.0,42.0,2000
21-01-21,42.8,43.0,43.0,42.2,8100
22-01-21,42.4,42.75,42.8,42.4,12100
25-01-21,42.5,42.7,42.75,42.5,44800
26-01-21,42.7,43.8,44.4,42.5,22500
27-01-21,43.8,43.0,43.8,42.8,29000
28-01-21,42.0,41.5,42.0,40.0,41800
29-01-21,41.5,42.0,43.0,41.5,24000
01-02-21,42.0,42.0,42.0,41.4,19000
02-02-21,42.0,42.4,42.5,42.0,8100
03-02-21,42.5,43.0,43.4,42.5,25700
04-02-21,42.7,43.5,44.0,42.7,28500
05-02-21,43.8,43.6,43.8,43.4,6500
08-02-21,43.5,43.0,44.7,42.5,86400
09-02-21,43.8,45.4,45.4,43.5,15100
17-02-21,44.95,44.0,45.0,43.95,13500
18-02-21,44.0,43.95,44.0,43.5,7300
19-02-21,43.95,43.9,44.0,43.9,2900
22-02-21,43.9,43.7,43.9,43.0,8200
23-02-21,43.5,43.7,43.7,43.05,6500
24-02-21,43.1,43.7,43.7,42.6,2200
25-02-21,43.65,43.7,43.7,43.65,20900
26-02-21,43.5,43.5,43.5,43.2,13900
01-03-21,43.5,43.5,43.8,43.3,4500
02-03-21,43.6,43.7,44.0,43.5,2000
03-03-21,43.7,43.7,44.0,43.4,12000
04-03-21,43.7,43.5,43.7,43.5,3500
05-03-21,44.0,43.5,44.0,43.1,600
08-03-21,43.5,43.5,46.5,43.0,15000
09-03-21,44.5,43.5,45.0,43.2,3800
10-03-21,43.3,43.8,43.8,43.3,7100
11-03-21,43.5,43.5,43.8,43.3,2400
12-03-21,43.1,43.2,43.5,43.0,3300
15-03-21,43.5,43.45,43.5,43.45,800
16-03-21,43.2,43.45,43.45,43.0,9100
17-03-21,43.45,43.2,43.45,42.9,7300
18-03-21,43.2,43.0,43.45,42.9,7500
19-03-21,43.2,43.0,43.5,43.0,12600
22-03-21,42.85,42.9,43.0,42.6,3000
23-03-21,43.0,42.75,43.0,42.6,4300
24-03-21,43.0,42.3,43.0,42.3,4200
25-03-21,43.0,42.3,43.0,42.3,4100
26-03-21,42.4,42.0,42.4,42.0,1800
29-03-21,42.0,43.25,43.25,42.0,22400
30-03-21,43.5,44.0,44.0,43.5,10200
31-03-21,44.0,44.0,44.0,43.3,79900
01-04-21,44.0,44.0,44.2,43.9,10600
02-04-21,44.0,44.1,44.5,43.9,20400
05-04-21,44.1,43.9,44.1,43.7,16800
06-04-21,44.0,43.6,44.0,43.6,10500
07-04-21,43.9,43.8,43.9,43.5,3800
08-04-21,43.8,43.7,43.9,43.7,6700
09-04-21,43.7,43.7,43.7,43.5,15400
12-04-21,43.7,43.3,43.8,43.2,24800
13-04-21,43.4,43.2,43.5,43.0,34300
14-04-21,43.5,43.0,43.5,42.9,48000
15-04-21,43.0,43.0,43.0,42.9,11900
16-04-21,42.2,42.3,43.0,42.0,16700
19-04-21,42.1,43.0,43.0,42.1,53400
20-04-21,42.7,43.0,43.2,42.6,68300
22-04-21,43.0,43.0,43.0,42.7,5100
23-04-21,42.9,42.7,43.0,42.0,25900
26-04-21,43.0,43.0,43.0,42.85,2400
27-04-21,42.5,42.9,43.0,42.2,4400
28-04-21,42.5,42.5,42.5,42.1,1100
29-04-21,42.5,42.5,42.5,42.0,18500
04-05-21,42.2,42.0,42.2,42.0,11000
05-05-21,42.0,42.2,42.5,42.0,39900
06-05-21,42.2,42.2,42.2,42.2,200
07-05-21,42.0,42.0,42.0,41.3,7800
10-05-21,41.2,40.8,42.0,40.8,20700
11-05-21,40.8,41.0,41.5,40.5,33500
12-05-21,41.0,41.4,41.5,40.6,10600
13-05-21,41.9,41.4,41.9,41.0,30600
14-05-21,41.5,41.8,41.8,41.2,45100
17-05-21,41.4,41.8,41.8,41.4,4800
18-05-21,41.55,41.2,41.55,40.5,2300
19-05-21,41.1,41.0,41.15,41.0,13300
20-05-21,41.0,40.0,41.0,40.0,13200
21-05-21,40.0,40.0,40.1,39.5,37800
24-05-21,40.0,39.8,40.0,39.5,3300
25-05-21,40.0,39.7,40.0,39.5,14800
26-05-21,40.0,39.6,40.5,39.6,12100
27-05-21,39.7,39.8,39.9,39.7,2500
28-05-21,39.8,41.0,41.0,39.8,12600
31-05-21,40.2,39.5,40.2,38.15,21900
01-06-21,39.7,39.5,40.0,39.5,9200
02-06-21,40.0,40.0,40.0,39.4,18600
03-06-21,42.35,41.0,42.35,39.0,5900
04-06-21,42.5,42.0,42.5,39.6,5000
07-06-21,41.0,41.0,42.0,40.5,2500
08-06-21,41.0,41.0,41.0,41.0,16500
09-06-21,41.0,41.0,41.0,39.8,3300
10-06-21,40.8,40.8,40.8,40.8,100
11-06-21,41.0,41.0,41.0,40.5,1100
14-06-21,41.0,41.0,41.0,40.5,2400
15-06-21,41.0,41.0,41.0,40.8,400
16-06-21,41.0,41.0,41.0,41.0,500
17-06-21,41.0,41.5,41.7,40.9,12800
18-06-21,41.2,41.5,41.5,41.2,2200
21-06-21,41.5,41.5,41.7,41.5,3100
22-06-21,41.2,41.5,41.6,41.0,3200
23-06-21,41.3,41.2,41.3,41.2,600
24-06-21,41.2,41.5,41.5,41.2,5400
25-06-21,41.4,42.0,42.0,41.2,3800
28-06-21,42.0,42.0,42.0,42.0,9300
29-06-21,42.0,42.0,42.0,41.9,2000
30-06-21,41.5,42.0,42.0,41.0,700
01-07-21,42.0,41.5,42.0,41.0,900
02-07-21,40.6,41.5,41.5,40.6,1800
05-07-21,41.5,41.5,41.5,41.0,600
06-07-21,41.5,41.5,41.5,40.5,4300
07-07-21,41.0,40.5,41.0,40.0,12200
08-07-21,41.5,41.5,41.5,41.5,600
09-07-21,41.1,41.1,41.1,41.1,600
12-07-21,39.0,38.55,40.0,38.5,7100
13-07-21,39.0,40.0,40.0,39.0,16800
14-07-21,41.5,41.5,41.5,41.5,100
15-07-21,41.0,41.25,41.4,40.0,1400
16-07-21,41.25,41.25,41.25,41.25,0
19-07-21,41.25,41.25,41.25,41.25,0
20-07-21,40.0,41.25,41.25,40.0,6700
21-07-21,41.5,41.5,41.5,41.5,5300
22-07-21,41.9,41.9,41.9,41.9,400
23-07-21,40.55,41.7,41.7,40.55,1800
26-07-21,41.0,41.6,41.6,40.0,1900
27-07-21,41.6,41.6,41.6,41.6,100
28-07-21,41.6,41.6,41.6,40.2,1200
29-07-21,41.0,41.0,41.0,40.8,4800
30-07-21,41.0,41.0,41.0,40.05,6400
02-08-21,40.9,41.0,41.5,40.7,12600
03-08-21,41.5,41.0,41.5,41.0,2400
04-08-21,41.3,41.2,41.3,41.0,1800
05-08-21,41.2,41.2,41.2,41.2,0
06-08-21,41.25,41.0,41.25,41.0,2700
09-08-21,41.4,41.5,41.5,40.4,400
10-08-21,41.0,41.5,42.0,41.0,900
11-08-21,41.5,41.4,41.5,41.4,4900
12-08-21,41.4,41.3,41.5,41.3,8300
13-08-21,41.0,41.0,41.0,41.0,2800
16-08-21,40.5,41.5,42.8,40.5,1600
17-08-21,41.5,41.5,41.5,41.5,200
18-08-21,41.5,41.0,41.5,40.9,900
19-08-21,41.5,41.5,41.5,40.6,800
20-08-21,40.6,40.5,41.5,40.2,9900
23-08-21,40.05,40.5,41.0,39.2,3800
24-08-21,41.4,41.2,41.4,41.2,200
25-08-21,41.2,41.1,41.2,40.0,400
26-08-21,41.0,41.0,41.1,41.0,500
27-08-21,41.0,41.0,41.0,41.0,100
30-08-21,40.9,41.0,41.0,40.9,2400
31-08-21,41.0,41.0,41.4,40.2,10000
01-09-21,41.0,41.0,41.0,40.4,5400
06-09-21,41.0,41.0,41.0,40.0,21200
07-09-21,41.0,40.0,41.0,39.6,13600
08-09-21,40.0,40.5,41.0,40.0,3500
09-09-21,40.9,40.9,40.9,40.9,300
10-09-21,40.9,40.9,40.9,40.9,600
13-09-21,40.9,41.2,41.5,40.6,50400
14-09-21,41.2,41.2,41.3,40.95,22400
15-09-21,41.2,41.0,41.2,40.5,26600
16-09-21,41.5,41.0,41.5,40.2,57900
17-09-21,41.0,40.9,41.0,40.7,36600
20-09-21,40.8,40.9,41.0,40.55,60200
21-09-21,40.95,40.8,40.95,40.5,60500
22-09-21,41.0,41.0,41.0,40.3,31400
23-09-21,40.8,41.0,41.0,40.8,57400
24-09-21,41.0,40.95,41.0,40.8,2600
27-09-21,41.0,40.8,41.0,40.6,48600
28-09-21,40.8,40.8,40.8,40.5,9500
29-09-21,40.8,40.55,40.8,40.5,32900
30-09-21,40.55,40.8,40.8,40.55,9600
01-10-21,40.95,40.8,40.95,40.7,49700
04-10-21,40.8,41.0,41.3,40.8,38700
05-10-21,41.2,41.5,41.5,41.2,22100
06-10-21,41.5,42.0,42.0,41.5,8300
07-10-21,42.0,42.2,42.4,42.0,12800
08-10-21,42.7,42.9,42.9,42.15,30000
11-10-21,42.85,43.2,43.3,42.7,28800
12-10-21,43.5,43.3,43.5,43.0,48100
13-10-21,43.4,43.45,43.5,43.3,44100
14-10-21,43.6,43.4,43.6,43.3,24600
15-10-21,43.5,43.5,43.5,43.2,26700
18-10-21,42.2,43.5,43.6,42.2,13900
19-10-21,43.5,43.4,43.55,43.4,15900
20-10-21,43.55,43.4,43.55,43.4,23900
21-10-21,43.4,43.4,43.5,43.35,29600
22-10-21,41.05,41.0,41.4,40.9,40800
25-10-21,40.85,41.0,41.2,40.65,11400
26-10-21,40.65,40.9,41.0,40.25,16000
27-10-21,41.0,40.9,41.0,40.35,11200
28-10-21,40.9,40.9,41.1,40.7,19100
29-10-21,41.0,40.8,41.0,40.6,28900
01-11-21,40.8,40.7,40.8,40.5,24500
02-11-21,40.7,40.75,40.8,40.2,28600
