Date,Open,Close,High,Low,Volume
16-11-20,49.8,49.0,49.8,49.0,60
17-11-20,48.0,48.0,48.0,48.0,470
18-11-20,48.0,48.0,48.0,48.0,10
19-11-20,50.0,50.0,50.0,50.0,10
20-11-20,49.4,49.5,49.5,49.4,90
23-11-20,49.5,49.5,49.5,49.5,910
24-11-20,49.5,49.65,49.65,49.5,430
25-11-20,49.65,49.65,49.65,49.65,0
26-11-20,49.65,49.65,49.65,49.65,0
27-11-20,46.4,49.65,49.65,46.4,80
30-11-20,47.0,47.0,47.0,47.0,10
01-12-20,50.0,50.0,50.0,50.0,10
02-12-20,47.0,50.0,50.0,47.0,30
03-12-20,50.0,50.0,50.0,50.0,0
04-12-20,50.0,50.0,50.0,50.0,0
07-12-20,51.7,51.1,51.7,51.1,50
08-12-20,50.5,50.0,51.5,50.0,23190
09-12-20,50.0,50.0,50.1,50.0,220
10-12-20,50.0,50.0,50.0,50.0,0
11-12-20,50.0,50.0,50.0,50.0,0
14-12-20,47.05,49.55,50.0,47.05,410
15-12-20,49.55,49.55,49.55,49.55,0
16-12-20,49.55,49.55,49.55,49.55,0
17-12-20,49.5,49.55,49.55,49.5,210
18-12-20,49.0,49.75,49.75,49.0,60
21-12-20,49.55,49.55,49.55,49.55,30
22-12-20,46.4,48.0,48.9,46.4,160
23-12-20,47.2,47.0,47.5,47.0,880
24-12-20,47.0,47.0,47.0,47.0,20
25-12-20,44.5,47.5,47.5,44.5,20
28-12-20,47.5,47.7,47.7,47.5,210
29-12-20,47.7,48.45,48.45,47.7,540
30-12-20,48.45,49.5,50.0,48.45,900
31-12-20,49.6,50.6,51.0,48.5,1170
04-01-21,50.0,50.0,50.0,50.0,600
05-01-21,50.0,49.0,50.0,49.0,200
06-01-21,48.0,49.0,49.0,47.0,2800
07-01-21,49.0,49.0,49.0,49.0,0
08-01-21,49.0,49.0,49.0,49.0,0
11-01-21,50.0,50.0,50.0,50.0,200
12-01-21,50.0,50.0,50.0,50.0,0
13-01-21,46.8,50.0,50.0,46.8,200
14-01-21,48.0,47.0,48.0,47.0,300
15-01-21,49.0,50.0,50.0,49.0,1300
18-01-21,50.0,50.0,50.0,50.0,0
19-01-21,50.0,50.0,50.0,50.0,0
20-01-21,47.0,50.0,50.0,47.0,1800
21-01-21,50.0,50.0,50.0,50.0,0
22-01-21,50.0,50.0,50.0,46.6,2700
25-01-21,46.5,50.0,50.0,46.5,1100
26-01-21,50.0,50.0,50.0,50.0,0
27-01-21,50.0,50.0,50.0,50.0,0
28-01-21,46.5,46.5,46.5,46.5,1900
29-01-21,46.5,46.5,46.5,46.5,0
01-02-21,43.3,43.5,43.5,43.3,300
02-02-21,43.5,43.5,43.5,43.5,0
03-02-21,43.5,43.5,43.5,43.5,0
04-02-21,45.95,45.95,45.95,45.95,100
05-02-21,47.0,46.45,47.0,43.0,700
08-02-21,46.45,46.45,46.45,46.45,0
09-02-21,43.4,46.5,46.5,43.35,1100
17-02-21,46.5,46.5,46.5,46.5,0
18-02-21,46.5,46.5,46.5,46.5,0
19-02-21,44.0,45.8,45.8,44.0,500
22-02-21,42.9,45.0,45.0,42.6,600
23-02-21,44.85,44.85,44.85,44.85,200
24-02-21,44.85,44.85,44.85,44.85,0
25-02-21,42.3,46.2,46.2,42.3,200
26-02-21,46.2,46.2,46.2,46.2,0
01-03-21,43.5,46.85,46.85,43.5,900
02-03-21,46.85,46.85,46.85,46.85,0
03-03-21,46.85,46.85,46.85,46.85,0
04-03-21,45.0,45.0,45.0,45.0,400
05-03-21,42.0,45.95,45.95,42.0,500
08-03-21,45.95,45.6,45.95,45.5,800
09-03-21,45.6,45.6,45.6,45.6,0
10-03-21,45.4,45.4,45.4,45.4,100
11-03-21,45.0,45.0,45.0,45.0,100
12-03-21,45.6,45.6,45.6,45.6,100
15-03-21,45.6,45.6,45.6,45.6,0
16-03-21,45.7,45.6,46.8,45.6,300
17-03-21,43.45,43.45,43.45,43.45,100
18-03-21,46.0,46.0,46.0,46.0,400
19-03-21,46.0,46.05,46.05,46.0,1900
22-03-21,46.05,46.05,46.05,46.05,200
23-03-21,46.05,46.05,46.05,46.05,0
29-03-21,46.1,46.1,46.1,46.1,7
30-03-21,46.1,46.1,46.1,46.1,4
31-03-21,42.0,42.5,50.6,42.0,817
01-04-21,42.5,42.5,42.5,42.5,69
02-04-21,42.5,42.5,42.5,42.5,5
05-04-21,43.0,43.0,43.0,43.0,301
